"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101753200","78/975/975/79/107919/975/79/","0.3361482100423871/3.938803761032082E-6/3.938803761032082E-6/0.3319199867731648/0.0/3.938803761032082E-6/0.3319199867731648/","0/3/6/7/8/9/","no"
"1","105070300","975/54/158/975/158/975/705/","4.101773911653533E-8/0.7681220363353912/0.11593614102240855/4.101773911653533E-8/0.11593614102240855/4.101773911653533E-8/5.5585665741613645E-6/","1/7/8/","no"
"2","113016700","975/163/128/692/163/692/975/","5.513794276035946E-4/0.2986408118026732/0.39172473339265973/0.0049454420733933135/0.2986408118026732/0.0049454420733933135/5.513794276035946E-4/","2/7/8/","no"
"3","103620100","202/395/2041/50/395/242/202/","0.04505027938209657/0.0010237429402035426/9.852567204598589E-18/0.8872895287300888/0.0010237429402035426/0.02056242662531096/0.04505027938209657/","3/7/8/9/","no"
"4","104051100","214/1179/1179/4773/128/4773/4773/","0.3391138848640886/1.9122889591468146E-4/1.9122889591468146E-4/1.520222844172794E-16/0.6605036573440815/1.520222844172794E-16/1.520222844172794E-16/","4/7/8/","no"
"5","100253099","395/395/2056/245/395/50/395/","0.0011240383406433722/0.0011240383406433722/8.061315895911588E-18/0.021287165498981638/0.0011240383406433722/0.974216681138445/0.0011240383406433722/","5/7/8/9/","no"
"6","101182199","199/2061/395/199/395/395/60/","0.08414278509292235/4.6596769901140785E-15/0.0033851574665923387/0.08414278509292235/0.0033851574665923387/0.0033851574665923387/0.8215589574143736/","6/7/8/","no"
"7","102462701","671/6483/6483/6483/671/272/6483/","0.15841360353782286/8.993596383878959E-11/8.993596383878959E-11/8.993596383878959E-11/0.15841360353782286/0.6831727925646104/8.993596383878959E-11/","5/7/8/9/","no"
"8","102575000","191/395/2112/50/395/254/191/","0.05493976960469491/0.0010062569807098463/2.4069182994327867E-18/0.8721342508285186/0.0010062569807098463/0.015973696000671864/0.05493976960469491/","3/7/8/9/","no"
"9","101132200","193/395/2097/50/395/251/193/","0.052999628743684336/0.0010095458688810979/3.2405010738473136E-18/0.8749847672237141/0.0010095458688810979/0.01699688355115495/0.052999628743684336/","3/7/8/9/","no"
"0","102382500","50/975/975/114/6400/975/114/","0.6368584491104896/8.455381241454912E-9/8.455381241454912E-9/0.1815707627616833/5.371828375089884E-55/8.455381241454912E-9/0.1815707627616833/","0/7/8/","no"
"1","101835900","975/54/158/975/158/975/705/","4.101773911653533E-8/0.7681220363353912/0.11593614102240855/4.101773911653533E-8/0.11593614102240855/4.101773911653533E-8/5.5585665741613645E-6/","1/7/8/","no"
"2","101392000","975/177/133/657/177/657/975/","7.514883313434556E-4/0.28989659300080606/0.4025754338086553/0.008064201763522802/0.28989659300080606/0.008064201763522802/7.514883313434556E-4/","2/7/8/","no"
"3","102557600","241/395/1798/60/395/203/241/","0.042621608707948185/0.003413612816414596/3.503008383128137E-13/0.8284649131235383/0.003413612816414596/0.07946464382738588/0.042621608707948185/","3/7/8/9/","no"
"4","101486700","581/104/104/716/60/716/716/","9.901103069077305E-5/0.24644728513670194/0.24644728513670194/1.0827795777142596E-5/0.5069739353085737/1.0827795777142596E-5/1.0827795777142596E-5/","4/7/8/","no"
"5","101566500","395/395/1855/212/395/50/395/","0.0011026799649044461/0.0011026799649044461/4.0710411478434786E-16/0.039884143648158225/0.0011026799649044461/0.9557051364922236/0.0011026799649044461/","5/7/8/9/","no"
"6","103457400","194/2092/395/194/395/395/50/","0.05292561207207223/3.639977507058497E-18/0.0010280984297782777/0.05292561207207223/0.0010280984297782777/0.0010280984297782777/0.8910644805665207/","6/7/8/","no"
"7","100538500","298/6483/6483/6483/298/607/6483/","0.42448798924021297/4.4077335949823596E-10/4.4077335949823596E-10/4.4077335949823596E-10/0.42448798924021297/0.15102401975648064/4.4077335949823596E-10/","0/4/7/8/","no"
"8","105309200","216/395/1953/50/395/228/216/","0.0347617909929672/0.001039474089459075/5.61749927554551E-17/0.9009238928474608/0.001039474089459075/0.02747357698768669/0.0347617909929672/","3/7/8/9/","no"
"9","103652600","210/395/1989/50/395/234/210/","0.03888276759693632/0.001033654085226759/2.7576793776305794E-17/0.8958796296738637/0.001033654085226759/0.0242875269618102/0.03888276759693632/","3/7/8/9/","no"
"0","101931401","93/975/975/156/5743/975/156/","0.49420498619358233/4.15844765806061E-5/4.15844765806061E-5/0.2528351301883379/3.890779939276187E-27/4.15844765806061E-5/0.2528351301883379/","0/7/8/","no"
"1","102384200","975/68/227/975/227/975/531/","1.6282974573666826E-6/0.8327281359664808/0.08312615515020504/1.6282974573666826E-6/0.08312615515020504/1.6282974573666826E-6/0.0010146688407370982/","1/7/8/","no"
"2","101698400","975/145/50/738/145/738/975/","1.0131063988316657E-8/0.11846358243275518/0.7630707019815319/1.0564454148187087E-6/0.11846358243275518/1.0564454148187087E-6/1.0131063988316657E-8/","2/7/8/","no"
"3","104747899","216/395/1953/50/395/228/216/","0.0347617909929672/0.001039474089459075/5.61749927554551E-17/0.9009238928474608/0.001039474089459075/0.02747357698768669/0.0347617909929672/","3/7/8/9/","no"
"4","101150900","491/139/139/716/152/716/716/","0.02661069748241916/0.3288491089736318/0.3288491089736318/0.005334368128221327/0.29968798018565346/0.005334368128221327/0.005334368128221327/","1/2/4/7/8/","no"
"5","102400301","395/395/1834/209/395/50/395/","0.0011000217590750084/0.0011000217590750084/6.130338048481152E-16/0.04219867338255042/0.0011000217590750084/0.953401239581149/0.0011000217590750084/","5/7/8/9/","no"
"6","105606600","210/1989/395/210/395/395/50/","0.03980846866672377/2.823332799641737E-17/0.0010582627937015122/0.03980846866672377/0.0010582627937015122/0.0010582627937015122/0.9172082742854479/","6/7/8/","no"
"7","103590899","2476/6483/6483/6483/2476/133/6483/","2.548757705405415E-8/2.6280107742568156E-21/2.6280107742568156E-21/2.6280107742568156E-21/2.548757705405415E-8/0.9999999490248459/2.6280107742568156E-21/","5/7/8/9/","no"
"8","106289300","194/395/2092/50/395/250/194/","0.052060169784119883/0.0010112869122072409/3.580456410589854E-18/0.8764937490703141/0.0010112869122072409/0.017363337537031693/0.052060169784119883/","3/7/8/9/","no"
"9","102455900","207/395/2009/50/395/237/207/","0.04110196824199178/0.0010302294038747983/1.8569103010216175E-17/0.892911419800565/0.0010302294038747983/0.0228241849077018/0.04110196824199178/","3/7/8/9/","no"
"0","106769600","78/975/975/79/107919/975/79/","0.3361482100423871/3.938803761032082E-6/3.938803761032082E-6/0.3319199867731648/0.0/3.938803761032082E-6/0.3319199867731648/","0/3/6/7/8/9/","no"
"1","100755000","975/68/172/975/172/975/669/","1.354881381656861E-6/0.6929003311393941/0.15349067096763655/1.354881381656861E-6/0.15349067096763655/1.354881381656861E-6/1.142622811878391E-4/","1/7/8/","no"
"2","103868100","975/193/50/616/193/616/975/","1.1841782920084542E-8/0.05402554433497205/0.8919218767113165/1.3505467586760595E-5/0.05402554433497205/1.3505467586760595E-5/1.1841782920084542E-8/","2/7/8/","no"
"3","101785699","249/395/1746/68/395/195/249/","0.05492152186778334/0.0066191255042027265/2.0770193500263097E-11/0.7567959732330376/0.0066191255042027265/0.12012273200222001/0.05492152186778334/","3/7/8/9/","no"
