"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","107736599","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","107624800","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","109108000","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","102086299","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","108151900","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","103135400","2070/447/360/","0.00488478560509734/0.4378911096940173/0.5572241047008855/","2/4/","no"
"0","103365799","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","100504700","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","100676100","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","102765400","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","102725400","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","107397000","2070/1887/1671/","0.29540519409213756/0.32957294619865357/0.3750218597092088/","1/2/3/4/","no"
"0","101627201","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","101145800","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","103406099","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","102765201","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","101739999","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","102779701","2070/447/360/","0.00488478560509734/0.4378911096940173/0.5572241047008855/","2/4/","no"
"0","105115800","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","104454999","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","102309801","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","105318399","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","103388101","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","100777501","2070/447/360/","0.00488478560509734/0.4378911096940173/0.5572241047008855/","2/4/","no"
"0","100917400","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","99797900","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","104106900","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","101830700","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","103421101","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","104969500","2070/447/360/","0.00488478560509734/0.4378911096940173/0.5572241047008855/","2/4/","no"
"0","100963800","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","102781201","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","101071600","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","107255000","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","101597900","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","104445301","2070/447/360/","0.00488478560509734/0.4378911096940173/0.5572241047008855/","2/4/","no"
"0","100049900","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","103194299","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","102310201","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","103403100","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","103398499","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","103624300","2070/1887/1671/","0.29540519409213756/0.32957294619865357/0.3750218597092088/","1/2/3/4/","no"
"0","102798600","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","102101899","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
"2","104003999","2464/584/50/","2.7757618819527924E-21/2.8357568603919723E-5/0.9999716424313961/","2/4/","no"
"3","101897399","52712/1502/1539/","8.073531423340448E-16/0.5061540471653172/0.49384595283468197/","1/2/3/4/","no"
"4","99431700","65766/1409/1138/","1.274283017218124E-25/0.44079702383124797/0.559202976168752/","2/4/","no"
"5","103816200","2070/1887/1671/","0.29540519409213756/0.32957294619865357/0.3750218597092088/","1/2/3/4/","no"
"0","101350400","50/758/758/","0.9999981293182688/9.353408656891987E-7/9.353408656891987E-7/","0/3/4/5/","no"
"1","101816200","2374/50/493/","1.6207767912855767E-20/0.9998311404719407/1.6885952805934437E-4/","1/3/","no"
