"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101671900","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","115145700","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","108921700","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","105267600","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","105898601","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","100874100","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","102367500","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","102542900","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","98402399","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","109852599","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","105935700","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","103704699","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","100121499","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","104983900","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","100328401","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","106252500","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","102243300","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","107098599","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","101267999","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","101838200","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","110643300","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
