"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","111232600","156/861/82388/","0.9889087533627288/0.011091246637271159/3.345269815202234E-228/","0/3/5/","no"
"1","106817100","858/3666/1469863019/","0.9633469628166672/0.03665303718333285/0.0/","0/3/5/","no"
"2","106718900","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","100187799","2147483647/1107925/5127/","0.0/4.009981279900297E-94/1.0/","2/4/","no"
"4","97836099","48259941/48259941/524/","0.0/0.0/1.0/","2/4/","no"
"5","99410501","7671210/1676/48259941/","0.0/1.0/0.0/","1/","no"
"0","104466601","156/861/82388/","0.9889087533627288/0.011091246637271159/3.345269815202234E-228/","0/3/5/","no"
"1","103036801","1948/6390/20895/","0.9070833695032293/0.0928622179886971/5.4412508073648515E-5/","0/3/5/","no"
"2","99180800","1796212/290369/294/","0.0/0.0/1.0/","2/4/","no"
"3","102197200","2147483647/2147483647/2078/","0.0/0.0/1.0/","2/4/","no"
"4","98609100","48259941/48259941/175/","0.0/0.0/1.0/","2/4/","no"
"5","99413700","7671210/11041/48259941/","5.209511899558314E-302/1.0/0.0/","1/","no"
"0","97461200","153196043/3604/92237/","0.0/0.9999999999789922/2.100773580226364E-11/","1/","no"
"1","106162299","12059/37284/1469863019/","0.8900865245649764/0.10991347543502371/0.0/","0/3/5/","no"
"2","100662500","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","98573600","711813722/711813722/5040/","0.0/0.0/1.0/","2/4/","no"
"4","100713799","48259941/48259941/175/","0.0/0.0/1.0/","2/4/","no"
"5","99334600","7671210/1676/48259941/","0.0/1.0/0.0/","1/","no"
"0","101292600","50/10334/1892459/","1.0/2.6656004983505577E-88/0.0/","0/3/5/","no"
"1","104995700","12059/37284/1469863019/","0.8900865245649764/0.10991347543502371/0.0/","0/3/5/","no"
"2","98520200","478056859/478056859/122/","0.0/0.0/1.0/","2/4/","no"
"3","100894100","50/126124/17862208/","1.0/0.0/0.0/","0/3/5/","no"
"4","96185100","14902303/14902303/152/","0.0/0.0/1.0/","2/4/","no"
"5","101100001","7671210/912/48259941/","0.0/1.0/0.0/","1/","no"
"0","110450499","8750/8750/601256/","0.5/0.5/1.9683037873895294E-30/","0/1/3/5/","no"
"1","106257399","12059/37284/1469863019/","0.8900865245649764/0.10991347543502371/0.0/","0/3/5/","no"
"2","100067899","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","103539500","150/15500/2147483647/","1.0/7.104298658219963E-45/0.0/","0/3/5/","no"
"4","100131600","48259941/48259941/547/","0.0/0.0/1.0/","2/4/","no"
"5","99883800","1184063/375/3050363/","0.0/1.0/0.0/","1/","no"
"0","105120800","2746/9194/153196043/","0.9127184178740516/0.08728158212594843/0.0/","0/3/5/","no"
"1","106187700","1795/12059/1469863019/","0.996714423130231/0.003285576869769131/0.0/","0/3/5/","no"
"2","99774700","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","98824000","2147483647/2147483647/138418/","0.0/0.0/1.0/","2/4/","no"
"4","99168100","48259941/48259941/511/","0.0/0.0/1.0/","2/4/","no"
"5","97353499","62940/10884/48259941/","0.008306621088958086/0.9916933789110419/0.0/","1/","no"
"0","101385001","156/861/674/","0.9540871241796963/0.010700699707367556/0.0352121761129362/","0/3/5/","no"
"1","103898100","43267/50/2147483647/","0.0/1.0/0.0/","1/","no"
"2","98794800","153196043/153196043/50/","0.0/0.0/1.0/","2/4/","no"
"3","100247400","2147483647/2147483647/16809/","0.0/0.0/1.0/","2/4/","no"
"4","97656100","14902303/14902303/78/","0.0/0.0/1.0/","2/4/","no"
"5","98085899","2364241/3292/14902303/","4.24878917775E-312/1.0/0.0/","1/","no"
"0","100180300","50/10334/478056859/","1.0/2.6656004983505577E-88/0.0/","0/3/5/","no"
"1","104602101","12059/37284/5856331/","0.8900865245649764/0.10991347543502371/3.093644031590871E-211/","0/3/5/","no"
"2","99591200","4783331/4783331/107/","0.0/0.0/1.0/","2/4/","no"
"3","102713100","294/17744/711813722/","1.0/2.0435123038312747E-26/0.0/","0/3/5/","no"
"4","100477600","48259941/48259941/175/","0.0/0.0/1.0/","2/4/","no"
"5","96166300","2364241/3292/14902303/","4.24878917775E-312/1.0/0.0/","1/","no"
"0","107640300","50/8750/153196043/","1.0/8.212412099003691E-75/0.0/","0/3/5/","no"
"1","104444101","1014/4056/915247/","0.9524404209940678/0.047559579005932225/0.0/","0/3/5/","no"
"2","100243400","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","101331900","83/129416/17811786/","1.0/0.0/0.0/","0/3/5/","no"
"4","103657300","48259941/48259941/175/","0.0/0.0/1.0/","2/4/","no"
"5","102105100","2364241/210/14902303/","0.0/1.0/0.0/","1/","no"
"0","100288800","50/97/153196043/","0.7153616165131179/0.28463838348688203/0.0/","0/3/5/","yes"
"1","111585301","968/3941/1469863019/","0.9555580407820553/0.0444419592179446/0.0/","0/3/5/","yes"
"2","109392500","257165/478056859/64/","0.0/0.0/1.0/","2/4/","yes"
"3","106039301","188/17744/1783526897/","1.0/4.5589846026221175E-41/0.0/","0/3/5/","yes"
"4","116699800","533/48259941/19280164/768/","0.6082768792895769/0.0/0.0/0.3917231207104231/","0/5/","yes"
"5","113848699","2364241/390/14902303/50724/14902303/","0.0/1.0/0.0/1.2377650906108117E-56/0.0/","1/","yes"
