"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","94867301","60/25963/3989/","1.0/3.8148370147289646E-185/1.0645439997899882E-28/","0/4/","no"
"1","97997299","25963/83/10317/","1.5701393383508222E-134/1.0/1.2259016270551298E-53/","1/","no"
"2","95497801","598/98/68/","2.800223763403996E-4/0.39287482437388893/0.6068451532497707/","2/3/5/","no"
"3","91779399","103/3989/185/","0.6875008976373818/4.070923271351379E-17/0.31249910236261813/","0/4/","no"
"4","92856700","1317511/703/208227/","0.0/1.0/9.535940829301849E-129/","1/","no"
"5","91905201","1317511/30484/556/","0.0/4.624378818006749E-24/1.0/","2/3/5/","no"
"0","89718600","68/25963/10317/","1.0/1.032016944037623E-163/3.1012310964847675E-65/","0/4/","no"
"1","89967299","25963/50/112/","1.6712853944745533E-221/0.7713035230736016/0.2286964769263984/","1/","no"
"2","89523600","598/98/68/","2.800223763403996E-4/0.39287482437388893/0.6068451532497707/","2/3/5/","no"
"3","92434701","93/1484/170/","0.6940554726551174/2.5987223506235525E-7/0.3059442674726476/","0/4/","no"
"4","89728000","1317511/554/208227/","0.0/1.0/3.1136154417329735E-163/","1/","no"
"5","91507201","31001/214/11962/","6.472173721551041E-63/1.0/1.859265963848485E-24/","1/","no"
"0","91870900","68/25963/10317/","1.0/1.032016944037623E-163/3.1012310964847675E-65/","0/4/","no"
"1","90059300","25963/203/25963/","1.4443657686019753E-55/1.0/1.4443657686019753E-55/","1/","no"
"2","91039000","25963/214/157/","6.876187623468095E-72/0.4107757263816036/0.5892242736183966/","2/3/5/","no"
"3","91652299","113/3989/206/","0.6933418319972899/1.1883244118009414E-15/0.3066581680027088/","0/4/","no"
"4","88596901","1317511/4757/525508/","1.500246461450357E-120/1.0/2.9347654904369047E-48/","1/","no"
"5","93883599","4616/703/30582/","0.003840753206071843/0.9961592467939282/3.6821884223375098E-19/","1/","no"
"0","88038000","50/25963/10317/","1.0/2.1668323098208784E-221/3.720145175813745E-88/","0/4/","no"
"1","91578900","25963/203/112/","3.062220385018262E-100/0.30889086238380814/0.6911091376161919/","2/3/5/","no"
"2","89427899","25963/90/60/","2.3672251869073784E-185/0.3794688533828321/0.6205311466171679/","2/3/5/","no"
