"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","127971100","50/25963/50/25963/1468/241/1535/1535/10317/10317/25963/3989/241/10317/10317/10317/10317/535/","0.488438479142842/1.0583642779664813E-221/0.488438479142842/1.0583642779664813E-221/4.108848777893924E-13/0.011543418942415302/1.1045272290171685E-13/1.1045272290171685E-13/1.8170620518650466E-88/1.8170620518650466E-88/1.0583642779664813E-221/1.399419195835149E-34/0.011543418942415302/1.8170620518650466E-88/1.8170620518650466E-88/1.8170620518650466E-88/1.8170620518650466E-88/3.6203828853431784E-5/","0/2/","no"
"1","114146200","381/123/348/952/381/136/50/50/78/348/68/348/2474/381/348/123/55/82/","2.8115649860837455E-4/0.04425550184841264/5.369850597257344E-4/3.859695508134343E-9/2.8115649860837455E-4/0.0342976808607896/0.18518443016634675/0.18518443016634675/0.10694692041163616/5.369850597257344E-4/0.1301140107436672/5.369850597257344E-4/4.2251605094202966E-22/2.8115649860837455E-4/5.369850597257344E-4/0.04425550184841264/0.16789067652541506/0.09887943383454968/","6/7/16/","no"
"2","117183600","50/348/50/72/72/2474/375/68/952/2474/348/2474/6209/2474/952/82/54/136/","0.17689458196830288/5.129467287183966E-4/0.17689458196830288/0.11491370139749482/0.11491370139749482/4.036019666402333E-22/3.0210064771096155E-4/0.12428940984965711/3.686914838483206E-9/4.036019666402333E-22/5.129467287183966E-4/4.036019666402333E-22/6.313485071691087E-54/4.036019666402333E-22/3.686914838483206E-9/0.09445306010723023/0.1635506290980776/0.03276233273446224/","0/2/16/","no"
"3","115865400","2474/68/952/50/952/2474/348/78/68/2474/83/82/83/123/2474/134/348/348/","4.559392764633769E-22/0.14040670829888802/4.1650175737090885E-9/0.19983348541215842/4.1650175737090885E-9/4.559392764633769E-22/5.794633814671012E-4/0.11540698016974962/0.14040670829888802/4.559392764633769E-22/0.10462950885800519/0.10670131328529915/0.10462950885800519/0.04775634309584453/4.559392764633769E-22/0.03849104524872543/5.794633814671012E-4/5.794633814671012E-4/","3/","no"
"4","118418000","10317/228/3989/1468/157/535/228/228/228/10317/25963/10317/1551/78/10317/54/228/228/","4.447084856811847E-82/0.020581447907135536/4.126953972774245E-32/3.3274337940429157E-12/0.07483600907589039/7.750381648814235E-5/0.020581447907135536/0.020581447907135536/0.020581447907135536/4.447084856811847E-82/1.2680597276080296E-205/4.447084856811847E-82/7.357318693279193E-13/0.31471353434012395/4.447084856811847E-82/0.4868842653206212/0.020581447907135536/0.020581447907135536/","15/","no"
"5","119507900","109/1366/1366/1366/109/109/561/109/227/109/1366/227/55/109/109/109/109/109/","0.07772184508907032/1.3873404055011863E-11/1.3873404055011863E-11/1.3873404055011863E-11/0.07772184508907032/0.07772184508907032/2.4275389806539505E-5/0.07772184508907032/0.009449799338829716/0.07772184508907032/1.3873404055011863E-11/0.009449799338829716/0.20385767498633744/0.07772184508907032/0.07772184508907032/0.07772184508907032/0.07772184508907032/0.07772184508907032/","12/","no"
"6","118877400","10317/50/3989/535/3989/1551/50/50/78/502/535/50/1468/3989/502/157/228/203/","7.781223353695809E-89/0.2091645079951414/5.992747092519992E-35/1.550360254777101E-5/5.992747092519992E-35/3.456251208198099E-14/0.2091645079951414/0.2091645079951414/0.12079579244000933/2.9610565579261636E-5/1.550360254777101E-5/0.2091645079951414/1.7595365020438635E-13/5.992747092519992E-35/2.9610565579261636E-5/0.025663810461081935/0.006378449122193599/0.010413687659684728/","1/6/7/11/","no"
"7","115755900","381/78/348/952/381/381/78/50/123/348/68/348/2474/381/348/78/136/82/","3.441983595280727E-4/0.13092692057436253/6.573896657680762E-4/4.7251294875036585E-9/3.441983595280727E-4/3.441983595280727E-4/0.13092692057436253/0.22670710934617866/0.05417862013402346/6.573896657680762E-4/0.1592886142460102/6.573896657680762E-4/5.172540287290178E-22/3.441983595280727E-4/6.573896657680762E-4/0.13092692057436253/0.04198802284966828/0.12105051487471777/","7/","no"
"8","130707900","150/198/156/156/15712/156/198/50/269/2111/2194/198/5922/15712/122/691/868/806/","0.07261643675876238/0.028332649358805643/0.06455672140729285/0.06455672140729285/2.1958815387752383E-134/0.06455672140729285/0.028332649358805643/0.515932329017893/0.007041758771798307/1.4520658993433757E-18/2.852287811681721E-19/0.028332649358805643/5.118212071707022E-51/2.1958815387752383E-134/0.12573932386386738/1.7951766683368445E-6/5.582771793590985E-8/1.8828499724980318E-7/","7/","no"
"9","119763600","25963/241/241/241/25963/241/241/241/1551/1468/25963/1551/535/25963/239/25963/529/529/","3.595964996092924E-48/0.12627766813718808/0.12627766813718808/0.12627766813718808/3.595964996092924E-48/0.12627766813718808/0.12627766813718808/0.12627766813718808/5.3802506234197E-4/7.603193000456912E-4/3.595964996092924E-48/5.3802506234197E-4/0.03709503739419862/3.595964996092924E-48/0.12733437888456153/3.595964996092924E-48/0.03803410273669096/0.03803410273669096/","1/2/3/5/6/7/14/","no"
"10","115421100","241/25963/203/3989/25963/203/228/3989/78/50/1468/3989/239/228/1468/3989/25963/239/","0.013050805385115546/1.196569776008563E-221/0.02749345252747437/1.5821610276944543E-34/1.196569776008563E-221/0.02749345252747437/0.016839912418234505/1.5821610276944543E-34/0.3189161700926787/0.5522207558864939/4.645398908648065E-13/1.5821610276944543E-34/0.013572769371682452/0.016839912418234505/4.645398908648065E-13/1.5821610276944543E-34/1.196569776008563E-221/0.013572769371682452/","9/","no"
"11","122195300","1551/50/502/535/535/1551/50/50/50/1468/203/50/10317/535/1468/228/170/239/","3.177516264804302E-14/0.19229609948428777/2.722257384387597E-5/1.4253289558859013E-5/1.4253289558859013E-5/3.177516264804302E-14/0.19229609948428777/0.19229609948428777/0.19229609948428777/1.6176358479093494E-13/0.009573859051897799/0.19229609948428777/7.153694068242733E-89/1.4253289558859013E-5/1.6176358479093494E-13/0.005864048823165062/0.01828525856679583/0.004726353693794902/","1/6/7/8/11/","no"
"12","113460600","6209/78/381/6209/6209/381/83/381/381/6209/2474/2474/952/6209/161/6209/136/136/","5.921203470823004E-35/0.2998887816616839/0.006475129712157549/5.921203470823004E-35/5.921203470823004E-35/0.006475129712157549/0.2814966477223252/0.006475129712157549/0.006475129712157549/5.921203470823004E-35/2.01926539011353E-14/2.01926539011353E-14/4.7014727837154615E-6/5.921203470823004E-35/0.10487600700886908/5.921203470823004E-35/0.14391667164283373/0.14391667164283373/","1/6/","no"
"13","114972700","25963/241/241/241/25963/1468/592/157/592/592/592/592/10317/592/193/50/25963/1468/","1.7275035874241297E-221/0.018841620082337696/0.018841620082337696/0.018841620082337696/1.7275035874241297E-221/6.706623751165383E-13/1.9326372131727215E-5/0.09781980685468497/1.9326372131727215E-5/1.9326372131727215E-5/1.9326372131727215E-5/1.9326372131727215E-5/2.965879781203774E-88/1.9326372131727215E-5/0.04829097680963851/0.7972483978545317/1.7275035874241297E-221/6.706623751165383E-13/","15/","no"
"14","118676500","10317/228/3989/82/10317/1551/239/228/3989/10317/228/10317/1551/82/3989/73/10317/216/","2.2346031114807836E-61/0.03630538501263646/3.0707711109798892E-24/0.26110928879559525/2.2346031114807836E-61/6.244389310867246E-10/0.031290590491506204/0.03630538501263646/3.0707711109798892E-24/2.2346031114807836E-61/0.03630538501263646/2.2346031114807836E-61/6.244389310867246E-10/0.26110928879559525/3.0707711109798892E-24/0.29487769357473936/2.2346031114807836E-61/0.04269698205577678/","3/13/15/","no"
"15","117665000","509/2884/487/318/474/22942/2884/354/441/8282/8488/354/22425/1092/8282/246/425/3171/","0.06722718342160594/4.483698861645578E-6/0.07348979160525416/0.1456719292230231/0.07746127126141471/2.4216493716181216E-41/4.483698861645578E-6/0.12591512203436628/0.08853352772865535/1.4469576349001156E-15/6.284210170450598E-16/0.12591512203436628/1.963996018020596E-40/0.006345550091762523/1.4469576349001156E-15/0.19497181484734885/0.09445831750567829/1.4028487978259874E-6/","15/","no"
"16","126722500","1551/170/535/25963/73/1551/216/170/535/1551/168/1551/3989/1551/535/82/78/228/","5.415791468119509E-10/0.06895027158776605/4.970588301875729E-4/2.906923885900552E-153/0.2557489639894081/5.415791468119509E-10/0.03703131557311765/0.06895027158776605/4.970588301875729E-4/5.415791468119509E-10/0.0708392035682661/5.415791468119509E-10/2.6632958253339612E-24/5.415791468119509E-10/4.970588301875729E-4/0.2264614501285058/0.23903949429688282/0.03148785006982896/","4/15/16/","no"
