"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","92376500","50/205/207616/","0.9543146467293375/0.04568535327066246/0.0/","0/","no"
"1","94062100","1793938/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","95806400","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","93545300","43203/827/322/","1.8244706850013976E-58/0.17314964737308677/0.8268503526269132/","2/","no"
"4","90089500","2368056/14902303/394/","0.0/0.0/1.0/","2/","no"
"5","86321600","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","89992500","50/205/207616/","0.9543146467293375/0.04568535327066246/0.0/","0/","no"
"1","92064000","1793938/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","91655600","2368056/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","93632800","712589/827/372/","0.0/0.2279647598161021/0.7720352401838979/","2/","no"
"4","87745000","2368056/14902303/394/","0.0/0.0/1.0/","2/","no"
"5","87679100","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","89322400","51/1302/22523/","0.9999999999643651/3.563501807574323E-11/2.079549594166694E-188/","0/","no"
"1","91140700","1793938/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","91140400","2368056/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","90421500","281551/827/366/","0.0/0.2216406741748902/0.7783593258251098/","2/","no"
"4","86816700","2368056/14902303/394/","0.0/0.0/1.0/","2/","no"
"5","87306200","2368056/14902303/56786/","2.1082182005576682E-18/2.9157631829025133E-114/1.0/","2/","no"
"0","90435100","50/126/58441/","0.8161077010556762/0.18389229894432382/0.0/","0/","no"
"1","91329900","1793938/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","90162100","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","88873800","711063/868/334/","0.0/0.16881768032927133/0.8311823196707288/","2/","no"
"4","88529500","5951414/14902303/385/","0.0/0.0/1.0/","2/","no"
"5","87671000","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","90937300","1442/247/81670/","0.00801376623999637/0.9919862337600036/2.567862554489139E-143/","1/","no"
"1","91846800","712589/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","91155100","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","90733200","711063/827/351/","0.0/0.20549905708087873/0.7945009429191213/","2/","no"
"4","87138700","5951414/14902303/376/","0.0/0.0/1.0/","2/","no"
"5","85053200","5951414/14902303/56465/","4.57547285024944E-46/6.559247062733105E-115/1.0/","2/","no"
"0","93364600","50/205/207616/","0.9543146467293375/0.04568535327066246/0.0/","0/","no"
"1","89729600","712589/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","94215400","2368056/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","89305100","711063/827/364/","0.0/0.21951530896068616/0.7804846910393138/","2/","no"
"4","89004200","2368056/14902303/394/","0.0/0.0/1.0/","2/","no"
"5","87427400","5951414/14902303/56465/","4.57547285024944E-46/6.559247062733105E-115/1.0/","2/","no"
"0","89228500","50/186/207616/","0.9350308308713359/0.06496916912866406/0.0/","0/","no"
"1","91618000","712589/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","91885400","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","88964000","712589/827/348/","0.0/0.2022173897208796/0.7977826102791205/","2/","no"
"4","86760200","5951414/14902303/385/","0.0/0.0/1.0/","2/","no"
"5","91205400","5951414/14902303/56465/","4.57547285024944E-46/6.559247062733105E-115/1.0/","2/","no"
"0","89743200","50/265/207616/","0.9854525645902817/0.014547435409718246/0.0/","0/","no"
"1","89528100","1793938/50/4494307/","0.0/1.0/0.0/","1/","no"
"2","89106600","5951414/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","86572200","110615/827/347/","1.954490616991307E-138/0.20111978423257484/0.7988802157674252/","2/","no"
"4","88708300","5951414/14902303/376/","0.0/0.0/1.0/","2/","no"
"5","88950700","5951414/14902303/55903/","1.5858925813567483E-46/4.619668693170245E-116/1.0/","2/","no"
"0","95421600","50/186/207616/","0.9350308308713359/0.06496916912866406/0.0/","0/","no"
"1","96113300","712589/128/4494307/","0.0/1.0/0.0/","1/","no"
"2","89868500","2368056/14902303/50/","0.0/0.0/1.0/","2/","no"
"3","91594600","711063/827/351/","0.0/0.20549905708087873/0.7945009429191213/","2/","no"
"4","89363600","2368056/14902303/394/","0.0/0.0/1.0/","2/","no"
"5","87498200","5951414/14902303/56465/","4.57547285024944E-46/6.559247062733105E-115/1.0/","2/","no"
"0","92671300","51/1302/22523/","0.9999999999643651/3.563501807574323E-11/2.079549594166694E-188/","0/","yes"
"1","95232100","109569/50/4494307/","0.0/1.0/0.0/","1/","yes"
"2","96626200","931925/14902303/50/","0.0/0.0/1.0/","2/","yes"
"3","93386000","5867/827/355/","1.4909591837727408E-7/0.20984783212850244/0.7901520187755792/","2/","yes"
"4","93361100","5951414/14902303/385/258/","0.0/0.0/0.3798117112283576/0.6201882887716423/","3/","yes"
"5","105049000","5951414/14902303/55903/55386/3115/","0.0/0.0/4.391762874278166E-8/5.184371170656976E-8/0.9999999042386596/","4/","yes"
