"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101438500","60/5628/126579/","1.0/2.2812309672068385E-40/0.0/","0/","no"
"1","99067100","64854/4004/53384/","2.520816520189419E-7/0.9999953288987022/4.419019645690027E-6/","1/","no"
"2","99645000","8578/5039/68/","2.7353562637103236E-54/5.151277359747137E-32/1.0/","2/","no"
"3","96040200","50/20836/15984/","1.0/9.889950118181098E-178/2.0548443401026744E-136/","0/","no"
"4","97576800","5401/8812/6461/","0.4248706201158998/0.22595862259695995/0.3491707572871402/","0/2/","no"
"5","98610800","1277/30117/28366/","0.9999999992186509/1.583030039477052E-10/6.230460852522207E-10/","0/","no"
"0","97068100","50/6391/4450/","1.0/1.0062813336985554E-54/3.399824218526337E-38/","0/","no"
"1","95813300","24972/15891/21246/","0.24783135861192573/0.43885457389443633/0.31331406749363805/","1/","no"
"2","101245700","1333/754/305/","0.027466639650467146/0.18220438060829047/0.7903289797412423/","2/","no"
"3","95339800","50/16198/1047539/","1.0/3.093465095609134E-138/0.0/","0/","no"
"4","97200200","516/1318/1285/","0.6954419822045611/0.1474206899138118/0.157137327881627/","0/","no"
"5","98784100","1307/28999/27884/","0.9999999978625967/6.389123587154648E-10/1.498490840573943E-9/","0/","no"
"0","96313800","50/5940/328528/","1.0/6.97019822608162E-51/0.0/","0/","no"
"1","99584000","64211/44950/52520/","0.26096209302273254/0.40056015630118674/0.33847775067608066/","1/2/","no"
"2","98149600","3464/2492/940/","0.054267272109914604/0.1524543182317783/0.7932784096583071/","2/","no"
"3","97162700","50/20534/15683/","1.0/3.688915271335053E-175/7.515673925000283E-134/","0/","no"
"4","97904100","1662/3363/2401/","0.4998021183854166/0.17971315316879657/0.3204847284457868/","0/","no"
"5","96149000","1360/29983/27058/","0.99999999295841/7.352138776428507E-10/6.306376099999858E-9/","0/","no"
"0","96376900","50/6253/4312/","1.0/1.5061533470920138E-53/5.088692848387757E-37/","0/","no"
"1","100873300","165072/4791/138837/","2.977712415293083E-15/0.9999999999992866/7.10454525868779E-13/","1/","no"
"2","96641100","3292/1665/1356/","0.11790328803293991/0.3910490532225129/0.4910476587445472/","2/","no"
"3","97824100","50/15984/1039178/","1.0/2.0548443401026744E-136/0.0/","0/","no"
"4","97943100","427/1369/1018/","0.7341784437357048/0.08127329850902937/0.18454825775526576/","0/","no"
"5","105548100","1360/29853/27345/","0.9999999940837152/8.089033564927328E-10/5.1073814934865795E-9/","0/","no"
"0","95975600","109/6025/331872/","1.0/4.393930030837214E-24/0.0/","0/","no"
"1","99099700","165072/4497/138837/","3.133535261272351E-16/0.9999999999998928/1.0692942248158675E-13/","1/","no"
"2","100647200","1373/880/50/","5.418638365512979E-12/8.5520485821869E-8/0.9999999144740955/","2/","no"
"3","96539300","50/15683/1027418/","1.0/7.515673925000283E-134/0.0/","0/","no"
"4","96679000","1781/3288/3231/","0.5340498864444869/0.22924934237956607/0.23670077117594707/","0/","no"
"5","97708700","1344/29527/23897/","0.9999999469979569/7.940271996937144E-10/5.220801588775572E-8/","0/","no"
"0","96110400","50/6253/4312/","1.0/1.5061533470920138E-53/5.088692848387757E-37/","0/","no"
"1","97492400","63676/4004/54360/","3.382841609241409E-7/0.999996198410752/3.4633050870887787E-6/","1/","no"
"2","97195700","8541/5895/4004/","0.1655481398144238/0.3205172781320974/0.5139345820534788/","2/","no"
"3","96610400","50/15683/1027418/","1.0/7.515673925000283E-134/0.0/","0/","no"
"4","99977700","1633/3363/2485/","0.5153136664643424/0.17875644669839746/0.30592988683726/","0/","no"
"5","98436200","1243/31429/25481/","0.999999996517701/2.8955141876123725E-11/3.4533438857653636E-9/","0/","no"
"0","95892700","50/5940/328528/","1.0/6.97019822608162E-51/0.0/","0/","no"
"1","97337500","419416/4635/353828/","1.3926839392259288E-39/1.0/1.941116266184467E-33/","1/","no"
"2","102759600","3313/1644/1401/","0.12195970643270625/0.40106878266127455/0.47697151090601914/","1/2/","no"
"3","97848500","150/19963/409600/","1.0/1.0360648836264987E-57/0.0/","0/","no"
"4","99269600","1662/3288/3231/","0.5664346853104568/0.21306786423144072/0.2204974504581025/","0/","no"
"5","98813200","1277/30480/24953/","0.9999999908788622/1.191607445298431E-10/9.00197710533614E-9/","0/","no"
"0","96573300","50/5783/129000/","1.0/1.5142266564216288E-49/0.0/","0/","no"
"1","98122100","64854/47209/52520/","0.2665426487696792/0.38733495054160016/0.34612240068872063/","1/2/","no"
"2","95991200","3464/2341/894/","0.04510478201379377/0.15818051416435103/0.7967147038218553/","2/","no"
"3","96780900","60/19833/407565/","1.0/1.6769172349027406E-141/0.0/","0/","no"
"4","95945000","451/1355/988/","0.6943723968327469/0.09397308499704543/0.21165451817020767/","0/","no"
"5","97212500","1397/29473/23071/","0.9999998132262699/1.8970308827997543E-9/1.8487669923652867E-7/","0/","no"
"0","96036600","50/6060/333232/","1.0/6.62789714235141E-52/0.0/","0/","no"
"1","100624100","25443/15155/20209/","0.22810234406530086/0.4497093471333028/0.3221883088013963/","1/","no"
"2","97342800","8127/4661/4004/","0.16192857893877644/0.3847422365039501/0.45332918455727345/","1/2/","no"
"3","95121400","50/20749/15897/","1.0/5.445645845366807E-177/1.1314470153883465E-135/","0/","no"
"4","97097300","1235/8624/8482/","0.9946533060834695/0.0025199495980204813/0.002826744318510026/","0/","no"
"5","101785900","1307/30300/24472/","0.9999999794149118/2.3630396289713776E-10/2.0348784249064837E-8/","0/","no"
"0","98808600","50/5869/130338/","1.0/2.8044724152132006E-50/0.0/","0/","yes"
"1","103509800","2602128/5789/353828/","1.7973328966074514E-195/1.0/7.841536650836152E-27/","1/","yes"
"2","103113900","2879/1967/1532/","0.1915501523594248/0.34725577213903513/0.4611940755015401/","2/","yes"
"3","100784500","50/400877/400877/","1.0/0.0/0.0/","0/","yes"
"4","104154800","1747/3288/3231/1747/","0.35186689003401195/0.14571811020729414/0.15054810972468208/0.35186689003401195/","0/3/","yes"
"5","115243200","977/29775/26530/977/2747/","0.46217464280701104/7.527561010526055E-14/2.077981127096718E-12/0.46217464280701104/0.07565071438382462/","0/3/","yes"
