"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","107400100","64/502/3989/3989/3989/3989/3989/","0.9988169332905957/0.0011830667094042291/5.953613577369064E-27/5.953613577369064E-27/5.953613577369064E-27/5.953613577369064E-27/5.953613577369064E-27/","0/","no"
"1","111842900","4494307/50/711063/50/188/513/1467/","0.0/0.4838103867785562/0.0/0.4838103867785562/0.03232402346047409/5.5202981998529E-5/4.1505060706942517E-13/","1/3/","no"
"2","110789700","198/15712/97/155/141/155/155/","0.097616598829512/1.7300085151589702E-70/0.27359797757894533/0.15138451531740668/0.17463187763932259/0.15138451531740668/0.15138451531740668/","2/","no"
"3","106234200","525508/31001/11283/3870/1173/73/73/","0.0/1.5394013750087877E-182/8.113808704063575E-67/2.599967571397997E-23/1.7508185657865383E-7/0.4999999124590717/0.4999999124590717/","5/6/","no"
"4","106074400","80624/207616/1442/1173/202/202/245/","3.1364843013264964E-173/0.0/7.887940765950119E-4/0.0029679550122714976/0.3546475215296127/0.3546475215296127/0.286948207851908/","4/5/6/","no"
"5","108983600","2364241/2364241/930399/5996/137249/2317/6063/","0.0/0.0/9.329130633289975E-175/0.14574553316231317/3.735706996799633E-26/0.712661296258781/0.14159317057890572/","5/","no"
"6","106205800","14902303/2364241/2364241/930399/360971/50/50/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/","5/6/","no"
"7","104079300","8449/8449/2884/257/54/69/132/","2.5334664859687657E-67/2.5334664859687657E-67/2.2203450407622535E-23/0.012299973542125985/0.4929985349027021/0.3753199752624194/0.11938151629275257/","4/","no"
"8","106881800","58441/50/22425/8282/2884/257/54/","0.0/0.514976857630168/1.4987467364097704E-191/4.0883586470799125E-71/3.790002042082432E-25/0.008893302217593437/0.47612984015223864/","1/6/","no"
"9","105764100","148646/50/22425/8282/2884/249/50/","0.0/0.4949999411676158/1.4406075445059618E-191/3.929763560812324E-71/3.6429807671148567E-25/0.010000117664768356/0.4949999411676158/","1/6/","no"
"0","102502400","68/65/136/161/952/161/161/","0.3188267430806038/0.33365328186584425/0.11378887979164783/0.07791020308562138/4.86005039955081E-7/0.07791020308562138/0.07791020308562138/","0/1/","no"
"1","107950900","4494307/97/711063/97/150/198/364/","0.0/0.33281848104904893/0.0/0.33281848104904893/0.19379112676321325/0.11874579057602182/0.021826120562667112/","1/3/","no"
"2","102541100","15712/64/64/234/201/310/308/","1.253749970806034E-105/0.4462686344430517/0.4462686344430517/0.03263993291171732/0.05422970290351125/0.010138151720482637/0.010454943578185289/","1/2/","no"
"3","107846200","4494307/128/711063/150/229/150/607/","0.0/0.3156693417678587/0.0/0.26617464228017035/0.14427908908561402/0.26617464228017035/0.007702284586186701/","1/3/5/","no"
"4","108021300","373066/58441/8282/914/366/97/140/","0.0/1.626620776963714E-259/3.1240951444473586E-37/1.4014537462799195E-4/0.03759088984818152/0.5850279880748891/0.3772409767023013/","5/","no"
"5","107378500","14902303/5996/2364241/5996/5996/883/18712/","0.0/0.003048443764023202/0.0/0.003048443764023202/0.003048443764023202/0.9908546669824139/1.7255164421798055E-9/","5/","no"
"6","108134000","48259941/7671210/7671210/3030195/1184063/50/2165/","0.0/0.0/0.0/0.0/0.0/1.0/9.76230491231732E-19/","5/","no"
"7","108501200","207616/11283/11469/3870/55/193/55/","0.0/4.025648254184004E-88/1.4533082020964284E-89/1.2432769074225412E-30/0.4796003008028685/0.040799398394263074/0.4796003008028685/","4/6/","no"
"8","107016100","22425/1004/914/400/107/125/125/","6.500125244867094E-91/8.953961322769582E-5/2.060284913167965E-4/0.02403517655022852/0.3623031925756322/0.3066830313847974/0.3066830313847974/","4/5/6/","no"
"9","105983700","148646/246/22425/8282/246/110/109/","0.0/0.1121379938338764/3.0488835392948986E-89/2.1016810741190002E-33/0.1121379938338764/0.38609900918902235/0.38962500314322474/","5/6/","no"
"0","104903200","50/1468/502/502/3989/3989/3989/","0.9997169483041827/8.40983242861627E-13/1.4152584748817869E-4/1.4152584748817869E-4/2.864276971613183E-34/2.864276971613183E-34/2.864276971613183E-34/","0/","no"
"1","109329600","1793938/128/278324/150/229/150/561/","0.0/0.31463104826325394/0.0/0.26529914578557173/0.14380452909125746/0.26529914578557173/0.010966131074345272/","1/3/5/","no"
"2","104467400","806/787/136/155/141/137/155/","0.0015947197478869085/0.0018319558113730362/0.21213205104513255/0.18466120681583476/0.20452958044695338/0.21058927931698462/0.18466120681583476/","2/3/4/5/6/","no"
"3","109803000","1317511/50/207616/50/109/302/1173/","0.0/0.43073419461417173/0.0/0.43073419461417173/0.13545350391920485/0.0030781067346327597/1.178189560885733E-10/","1/3/","no"
"4","108897500","525508/11283/11283/1206/327/55/114/","0.0/6.187973863159992E-88/6.187973863159992E-88/8.735533578174147E-10/0.00573009406756951/0.7372114846465596/0.25705842041231763/","5/","no"
"5","108065800","5951414/930399/930399/5996/137249/2290/5996/","0.0/8.269347137059566E-177/8.269347137059566E-177/0.1420222558832446/1.8677568509021935E-26/0.7159554882335107/0.1420222558832446/","5/","no"
"6","108403400","14902303/5996/2364241/5996/360971/2662/5996/","0.0/0.15391172452713064/0.0/0.15391172452713064/1.9782911682782152E-59/0.5382648264186081/0.15391172452713064/","5/","no"
"7","108621000","30903/4600/3854/1498/302/102/102/","6.280147877507971E-131/5.0499596041276824E-20/7.05928245938824E-17/6.063449663483206E-7/0.06692609848740601/0.46653664758381386/0.46653664758381386/","5/6/","no"
"8","105993000","373066/22425/8282/914/246/50/93/","0.0/2.0046490768283512E-191/5.46838514373997E-71/3.0243939641871145E-8/0.014758578098031949/0.6888074263362589/0.29643396532176947/","5/","no"
"9","106065100","525508/302/80624/11076/302/129/158/","0.0/0.11349041105011416/5.261413501048442E-270/1.1533703947793528E-37/0.11349041105011416/0.429442381525591/0.3435767963741807/","5/6/","no"
"0","104372100","50/1551/170/1551/157/1551/1551/","0.8211624391870794/1.356895440708883E-13/0.07808357822205006/1.356895440708883E-13/0.10075398259032764/1.356895440708883E-13/1.356895440708883E-13/","0/","no"
"1","106440200","4494307/188/711063/1467/106872/364/364/","0.0/0.5588782004290648/0.0/6.432227407479701E-4/4.008835070639668E-246/0.22023928841509366/0.22023928841509366/","1/","no"
"2","106545300","5922/691/50/79/272/297/297/","6.219871580625436E-51/2.1815759458881105E-6/0.6269831702604715/0.35506193803773556/0.008068588194939696/0.004942060965453694/0.004942060965453694/","2/","no"
"3","106350100","4494307/122/711063/122/150/50/545/","0.0/0.1496791854915894/0.0/0.1496791854915894/0.08644208329862386/0.6141621284665444/3.741725165295245E-5/","5/","no"
"4","111935800","30903/80624/11244/1199/373/82/142/","3.545856792546547E-162/0.0/2.598506688801653E-59/9.436720162906378E-7/0.019807790825717184/0.6599073410004389/0.3202839245018277/","5/","no"
"5","111692100","14902303/5996/2364241/360971/137249/2290/6283/","0.0/0.14443757602771248/0.0/7.390588245692633E-69/1.8995211030533535E-26/0.7281314792605392/0.12743094471174815/","5/","no"
"6","109996000","5951414/17994/930399/360971/17994/2176/6926/","0.0/6.272777776200413E-4/6.022750557513851E-186/2.378096809426791E-72/6.272777776200413E-4/0.8974851044729684/0.10126033997179155/","5/","no"
"7","107042300","208227/30903/3854/312/152/156/235/","0.0/1.7744032392720868E-88/1.0674383106499748E-11/0.12089322636164422/0.34400609087640466/0.3351290134297284/0.19997166932154842/","4/5/","no"
"8","106442100","3108/8282/1212/366/97/97/97/","1.479779874277706E-14/1.7426938656189528E-37/3.7365075861772106E-6/0.020969083882742014/0.326342393203219/0.326342393203219/0.326342393203219/","4/5/6/","no"
"9","108880300","1317511/302/30484/11076/302/1173/1173/","0.0/0.4732879059068669/2.5990126958241525E-44/1.708394972604954E-16/0.4732879059068669/0.026712094093133028/0.026712094093133028/","1/4/","no"
