"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","122451200","54/50/212/15809/5961/201/40251/","0.45814195572881306/0.49552135743965586/0.020679437879127068/3.148237369107468E-135/2.2881282723730188E-51/0.025657248952404024/0.0/","0/1/","no"
"1","120387700","60/55/82/101165/15712/82/6128/","0.2903901154931377/0.31751052236764377/0.1960496810696093/0.0/1.1958429223851114E-122/0.1960496810696093/2.535552526341275E-48/","0/1/","no"
"2","174161200","2147483647/2147483647/16420/50/576679/576679/59379/","0.0/0.0/3.9809515048899197E-140/1.0/0.0/0.0/0.0/","3/","no"
"3","170987700","2147483647/2147483647/1314/1315/191108/191108/16420/","0.0/0.0/0.5001875476213797/0.49980732145374324/1.0408635239891291E-63/1.0408635239891291E-63/5.130924876931094E-6/","2/3/","no"
"4","152672700","11945988/81330290/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"5","152390500","4496716/31331541/51/50/50/50/50/","0.0/0.0/0.19688119095634607/0.20077970226091346/0.20077970226091346/0.20077970226091346/0.20077970226091346/","2/3/4/5/6/","no"
"6","162852800","35567335/238965890/967/967/967/967/967/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"7","165611900","4496716/31611592/1399/1399/1399/50/1399/","0.0/0.0/3.2545067359379314E-12/3.2545067359379314E-12/3.2545067359379314E-12/0.9999999999869821/3.2545067359379314E-12/","5/","no"
"8","155976600","304736162/2008790160/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"9","160010200","131258114/880419862/51/55/51/51/54/","0.0/0.0/0.20534296545551248/0.19013959378479817/0.20534296545551248/0.20534296545551248/0.1938315098486644/","2/3/4/5/6/","no"
"0","122063800","68/55/73/8881/3253/8881/148646/","0.31487294865248666/0.397149219170389/0.28797783217712425/1.4159282986729062E-69/6.275331791221342E-26/1.4159282986729062E-69/0.0/","1/","no"
"1","125498800","50/55/65/40251/2351/40251/6128/","0.3771020374721408/0.3418857413306214/0.28101222119723784/0.0/9.596518940222372E-21/0.0/6.588329779840261E-53/","0/1/","no"
"2","188258600","2147483647/2147483647/16420/50/576679/576679/59379/","0.0/0.0/3.9809515048899197E-140/1.0/0.0/0.0/0.0/","3/","no"
"3","177236700","2147483647/2147483647/16420/1314/576679/576679/59379/","0.0/0.0/1.0257896800575815E-5/0.9999897421031995/9.524034485667253E-191/9.524034485667253E-191/6.65785969516063E-20/","3/","no"
"4","150751500","11945988/81330290/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"5","151812400","1469301/10473804/50/79/50/79/50/","0.0/0.0/0.2419781598779942/0.1370327601830086/0.2419781598779942/0.1370327601830086/0.2419781598779942/","2/4/6/","no"
"6","159205700","35567335/238965890/967/967/967/967/967/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"7","154179500","4496716/31331541/50/79/50/79/50/","0.0/0.0/0.2419781598779942/0.1370327601830086/0.2419781598779942/0.1370327601830086/0.2419781598779942/","2/4/6/","no"
"8","161583000","340908187/2147483647/1187/1187/1187/1187/1187/","0.0/0.0/0.2/0.2/0.2/0.2/0.2/","2/3/4/5/6/","no"
"9","163517900","879781035/2147483647/1433/1433/50/1433/709/","0.0/0.0/1.6709153872842291E-12/1.6709153872842291E-12/0.9999975552532565/1.6709153872842291E-12/2.4447417307774492E-6/","4/","no"
"0","125761600","914/914/260/148646/260/260/148646/","0.025801038647411907/0.025801038647411907/0.31613264090172544/3.899210226344591E-248/0.31613264090172544/0.31613264090172544/3.899210226344591E-248/","2/4/5/","no"
"1","122965700","50/50/2111/2111/40251/2111/101165/","0.5/0.5/1.4072251511234692E-18/1.4072251511234692E-18/0.0/1.4072251511234692E-18/0.0/","0/1/","no"
"2","169258900","2147483647/2147483647/16420/79/576679/579547/59379/","0.0/0.0/1.9495006765342273E-89/1.0/0.0/0.0/1.2E-322/","3/","no"
"3","166639400","2147483647/2147483647/1314/1315/191108/191108/16420/","0.0/0.0/0.5001875476213797/0.49980732145374324/1.0408635239891291E-63/1.0408635239891291E-63/5.130924876931094E-6/","2/3/","no"
"4","167659900","11945988/81330290/482/482/50/50/50/","0.0/0.0/6.983744654418026E-5/6.983744654418026E-5/0.33328677503563725/0.33328677503563725/0.33328677503563725/","4/5/6/","no"
"5","156511500","1665407/12110266/51/51/51/51/50/","0.0/0.0/0.1992110707907644/0.1992110707907644/0.1992110707907644/0.1992110707907644/0.20315571683694242/","2/3/4/5/6/","no"
"6","163245100","35567335/238965890/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"7","151467400","3954888/27385040/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"8","164901400","879781035/2147483647/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"9","157025600","340908187/2147483647/50/51/50/50/50/","0.0/0.0/0.20077970226091346/0.19688119095634607/0.20077970226091346/0.20077970226091346/0.20077970226091346/","2/3/4/5/6/","no"
"0","120461100","97/50/1212/373066/148646/914/373066/","0.284638374520502/0.715361593978546/9.108018315865657E-11/0.0/0.0/3.140987167556761E-8/0.0/","1/","no"
"1","123909700","50/50/2899/148646/58441/2884/2884/","0.5/0.5/2.7421301524255397E-25/0.0/0.0/3.6797789899951505E-25/3.6797789899951505E-25/","0/1/","no"
"2","165230000","2147483647/2147483647/16420/79/576679/579547/59379/","0.0/0.0/1.9495006765342273E-89/1.0/0.0/0.0/1.2E-322/","3/","no"
"3","166974700","2147483647/2147483647/16420/50/576679/576679/59379/","0.0/0.0/3.9809515048899197E-140/1.0/0.0/0.0/0.0/","3/","no"
"4","154251900","11945988/81330290/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"5","144803100","4496716/657213/616/615/615/615/514/","0.0/0.0/0.19139253032338713/0.1917645273498783/0.1917645273498783/0.1917645273498783/0.23331388762697788/","2/3/4/5/6/","no"
"6","151648400","11945988/81330290/50/50/50/50/50/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"7","166823700","1749830/11945988/188/188/188/188/188/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"8","164957800","131155902/879781035/55/55/55/55/55/","0.0/0.0/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/0.19999999999999998/","2/3/4/5/6/","no"
"9","157979300","131155902/879781035/50/94/50/93/50/","0.0/0.0/0.2595811187402488/0.10954376524639561/0.2595811187402488/0.111712878532858/0.2595811187402488/","2/4/6/","no"
"0","126223700","122/122/2884/373066/2884/2884/2884/","0.4999999998230732/0.4999999998230732/8.846344202159435E-11/0.0/8.846344202159435E-11/8.846344202159435E-11/8.846344202159435E-11/","0/1/","no"
"1","122386400","50/50/697/40251/15712/691/691/","0.49999748694907886/0.49999748694907886/1.5466384617804024E-6/0.0/2.1280605794086962E-134/1.7397316902134142E-6/1.7397316902134142E-6/","0/1/","no"
"2","164174800","2147483647/2147483647/63604/50/1795177/1795177/204941/","0.0/0.0/0.0/1.0/0.0/0.0/0.0/","3/","no"
"3","174870000","2147483647/2147483647/6381/1227/576679/576679/59379/","0.0/0.0/0.014816764057066233/0.9851832359429338/3.0141287627459784E-204/3.0141287627459784E-204/2.6759660736230095E-21/","3/","no"
