"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","107981200","7748/156/473691/1207458/473081/","9.976019347494082E-22/1.0/0.0/0.0/0.0/","1/","no"
"1","105203200","1861/1467/395/975/384/","0.009507765563587636/0.02645606720196537/0.42833307272318505/0.09495542716295519/0.44074766734830684/","2/4/","no"
"2","112501600","675/9658374/50/8750/510/","4.761119500624164E-6/0.0/0.9998742405258645/8.211379310376736E-75/1.2099835463476559E-4/","2/","no"
"3","103572000","24385354/92753/675/50/24385354/","0.0/0.0/4.761695657964049E-6/0.999995238304342/0.0/","3/","no"
"4","102569300","48259941/1184063/7671210/4323/50/","0.0/0.0/0.0/4.101425988398207E-37/1.0/","4/","no"
"5","109055000","1523968/1774/11323/5514/92656/","0.0/0.8879368559939325/0.004092607602351984/0.10797053640371553/5.152467528449531E-23/","1/","no"
"6","102440400","478056859/743739/11916807/478056859/743739/","9.54970549781166E-280/0.4999999252494252/1.4950114960843186E-7/9.54970549781166E-280/0.4999999252494252/","1/4/","no"
"7","101776100","48259941/1689/48259941/48259941/28599/","0.0/0.9999998784666401/0.0/0.0/1.2153335991992774E-7/","1/","no"
"0","106752700","51/361/24553/19280164/23013/","0.9974306725203889/0.002569327479611247/2.3049609562973046E-205/0.0/1.6767244265211234E-192/","0/","no"
"1","104301100","107116/1467/16776/1793938/1609/","2.9118034343419824E-32/0.5241555967009075/1.5503561086487958E-5/0.0/0.475828899738006/","1/4/","no"
"2","103908800","1523968/9658374/50/8750/9699259/","0.0/0.0/1.0/8.212412099003691E-75/0.0/","2/","no"
"3","103407800","12915/12915/3793268/188/24385354/","5.691241710872184E-30/5.691241710872184E-30/0.0/1.0/0.0/","3/","no"
"4","104823300","48259941/23013/7671210/7671210/22128/","0.0/0.4900031399801347/3.8894585841884096E-151/3.8894585841884096E-151/0.5099968600198653/","1/4/","no"
"5","103067500","153196043/600646/24385354/24385354/188/","0.0/0.0/0.0/0.0/1.0/","4/","no"
"6","109597300","267775/115515/269066/41318/41318/","0.0019162863455883495/0.07635371241039245/0.0018573382459643724/0.45993633149902746/0.45993633149902746/","3/4/","no"
"7","104610900","48259941/3046549/69100/187208/3046549/","1.1272219959717304E-303/1.6394882629734523E-19/0.846733563767519/0.15326643623248104/1.6394882629734523E-19/","2/","no"
"0","120211400","122/8290/187208/187208/273/","0.7734056511129279/1.117967202902204E-29/0.0/0.0/0.2265943488870722/","0/","no"
"1","105151300","1861/1645/711063/4494307/1793938/","0.46724019405047296/0.532759805949527/3.529559756551679E-188/0.0/0.0/","0/1/","no"
"2","103914200","1523968/9658374/50/8750/9699259/","0.0/0.0/1.0/8.212412099003691E-75/0.0/","2/","no"
"3","112288600","24385354/675/92753/8750/24385354/","0.0/0.999993510160527/6.993911033692441E-60/6.4898394731228905E-6/0.0/","1/","no"
"4","103748600","48259941/458959/3050363/19280164/55/","0.0/0.0/0.0/0.0/1.0/","4/","no"
"5","102558600","153196043/24385354/61218842/61218842/8750/","0.0/0.0/0.0/0.0/1.0/","4/","no"
"6","107701600","1078/729043/45221/45221/45221/","1.0/9.911142225634318E-294/1.708307208385402E-18/1.708307208385402E-18/1.708307208385402E-18/","0/","no"
"7","104301800","48259941/7671210/3692/3692/3692/","0.0/0.0/0.33333333333333337/0.33333333333333337/0.33333333333333337/","2/3/4/","no"
"0","105446000","78/7748/521/1207458/521/","0.992713709580363/6.788557258954546E-43/0.003643145209818502/0.0/0.003643145209818502/","0/","no"
"1","102588000","106872/1467/16776/4494307/1861/","3.7173337978810216E-32/0.5666886930204841/1.6761612056731257E-5/0.0/0.43329454536745926/","1/","no"
"2","103247400","218830/2145/50/294/218830/","0.0/1.4330072275607003E-18/0.9917094488998592/0.008290551100140825/0.0/","2/","no"
"3","106793000","2158/9658374/8750/8750/9699259/","0.9137351244510912/0.0/0.0431324377744544/0.0431324377744544/0.0/","0/","no"
"4","103659100","48259941/1676/4317/4317/50/","0.0/1.4245249087175545E-14/4.613476868322115E-37/4.613476868322115E-37/0.9999999999999858/","4/","no"
"5","101961100","153196043/24385354/858/858/8750/","0.0/0.0/0.4999744218672171/0.4999744218672171/5.115626556587453E-5/","2/3/","no"
"6","105340100","11916807/1078/11926344/45260/11916807/","0.0/1.0/0.0/1.647663733191588E-18/0.0/","1/","no"
"7","103621400","476308/1687/7671210/7671210/7671210/","7.724431587847878E-123/1.0/0.0/0.0/0.0/","1/","no"
