"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","98696000","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","107284900","716/50/200/3787/716/12187/1317511/","2.0243047475787E-6/0.9498409575805035/0.05015499381000148/1.42868215639576E-32/2.0243047475787E-6/4.208039208671879E-104/0.0/","1/","no"
"2","112291800","512/181/50/1092/373066/1029/373066/","1.0806503834750912E-4/0.07117730746520189/0.9287146219760166/1.2435118480059996E-9/0.0/4.276922161739178E-9/0.0/","2/","no"
"3","99585700","6128/223/140/50/101165/343/101165/","1.4461847277550042E-52/0.02784276185832565/0.14174419871806598/0.8277654969037206/0.0/0.00264754251988769/0.0/","3/","no"
"4","99667800","1830/716/1317511/1317511/50/1317511/234/","6.771003782770739E-16/2.074947122317018E-6/0.0/0.0/0.9736032896963227/0.0/0.026394635356554313/","4/","no"
"5","102336900","713/290/290/290/1317511/50/4600/","2.2006305733843065E-6/0.008803120946646594/0.008803120946646594/0.008803120946646594/0.0/0.9735884365294869/1.7478137790862165E-39/","5/","no"
"6","98766500","512/373066/373066/373066/2884/512/93/","0.011329265999339927/0.0/0.0/0.0/1.2450773616679932E-13/0.011329265999339927/0.9773414680011956/","6/","no"
"7","101981000","713/1199/1317511/1317511/1448/1317511/290/","0.180285792964614/0.033934772891410565/0.0/0.0/0.014422220890300801/0.0/0.7713572132536746/","6/","no"
"8","98192500","214/373066/373066/373066/1219/373066/1212/","0.9813824920136913/0.0/0.0/0.0/0.009157229522286642/0.0/0.00946027846402193/","0/","no"
"9","109671400","567/3787/31465/1317511/1317511/567/234/","0.16327019600411677/1.828725333396713E-7/1.2927031918909484E-58/0.0/0.0/0.16327019600411677/0.6734594251192332/","6/","no"
"0","99270900","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","97925300","716/50/200/3787/716/12187/1317511/","2.0243047475787E-6/0.9498409575805035/0.05015499381000148/1.42868215639576E-32/2.0243047475787E-6/4.208039208671879E-104/0.0/","1/","no"
"2","99571800","512/181/50/1092/373066/1029/373066/","1.0806503834750912E-4/0.07117730746520189/0.9287146219760166/1.2435118480059996E-9/0.0/4.276922161739178E-9/0.0/","2/","no"
"3","99483300","2351/244/132/68/101165/343/101165/","2.8622608316383544E-15/0.05229091158228625/0.26507451815724503/0.6701805937224458/0.0/0.012453976538020042/0.0/","3/","no"
"4","101409300","207616/716/1317511/1317511/50/1317511/290/","0.0/2.1121019098410822E-6/0.0/0.0/0.9910369982339179/0.0/0.008960889664172317/","4/","no"
"5","102405000","713/234/234/234/1317511/50/80624/","2.090317544891932E-6/0.02507114475701882/0.02507114475701882/0.02507114475701882/0.0/0.9247844754113986/0.0/","5/","no"
"6","104980100","512/373066/373066/373066/941/512/50/","1.1633271405307147E-4/0.0/0.0/0.0/2.5853471431545867E-8/1.1633271405307147E-4/0.9997673087184225/","6/","no"
"7","100956700","713/3787/1317511/1317511/4246/1317511/234/","0.11524013552297536/2.4024940718532236E-7/0.0/0.0/3.4072346117873105E-8/0.0/0.8847595901552713/","6/","no"
"8","99283400","156/373066/373066/373066/8674/373066/8674/","1.0/0.0/0.0/0.0/2.7381024987490164E-24/0.0/2.7381024987490164E-24/","0/","no"
"9","99991500","716/3787/31465/1317511/1317511/1836/215/","0.08948047579301273/5.985580497061263E-8/1.339966417498305E-63/0.0/0.0/5.009922078228046E-4/0.9100184721433594/","6/","no"
"0","97139200","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","100183100","716/50/200/3787/716/12187/1317511/","2.0243047475787E-6/0.9498409575805035/0.05015499381000148/1.42868215639576E-32/2.0243047475787E-6/4.208039208671879E-104/0.0/","1/","no"
"2","98985900","512/170/50/1098/373066/1212/373066/","1.0624471531753147E-4/0.08682305025438296/0.9130707038271745/1.0868724597630206E-9/0.0/1.1625260237814303E-10/0.0/","2/","no"
"3","101401400","15712/201/98/50/101165/320/101165/","2.941421588058448E-134/0.0357839946842679/0.26964561523921077/0.6911003456939384/0.0/0.003470044382582868/0.0/","3/","no"
"4","102733600","1830/716/1317511/1317511/50/1317511/234/","6.771003782770739E-16/2.074947122317018E-6/0.0/0.0/0.9736032896963227/0.0/0.026394635356554313/","4/","no"
"5","100686200","705/293/293/293/1317511/50/4549/","2.578263569926121E-6/0.008312764549658532/0.008312764549658532/0.008312764549658532/0.0/0.9750591280874544/4.7582273176733787E-39/","5/","no"
"6","99664300","512/373066/373066/373066/1098/512/79/","0.004421022360365965/0.0/0.0/0.0/2.912833304261274E-6/0.004421022360365965/0.9911550424459638/","6/","no"
"7","102287000","713/4075/1317511/1317511/3787/1317511/234/","0.11524013132071664/7.053758081502888E-8/0.0/0.0/2.4024939842457107E-7/0.0/0.8847595578923042/","6/","no"
"8","99103100","197/373066/373066/373066/3328/373066/3041/","0.9999992863107066/0.0/0.0/0.0/1.3565756554991266E-7/0.0/5.780317278387913E-7/","0/","no"
"9","99190800","608/1442/31465/1317511/1317511/608/251/","0.1623406518350064/0.005930883007377089/1.075863893656534E-54/0.0/0.0/0.1623406518350064/0.66938781332261/","6/","no"
"0","100814000","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","102915100","716/50/211/4075/716/31465/1317511/","2.0441961344965222E-6/0.9591743615653666/0.04082155004236443/5.089742412689967E-35/2.0441961344965222E-6/2.9175095570452783E-268/0.0/","1/","no"
"2","100049400","512/148/50/3041/373066/2884/373066/","1.0149188535928299E-4/0.12767378690579173/0.8722247212088491/2.9548426888285464E-26/0.0/6.419188407317401E-25/0.0/","2/","no"
"3","99988600","15809/209/150/50/101165/328/101165/","5.342114701831588E-135/0.03721612935505303/0.11834510766120386/0.8408298416838874/0.0/0.003608921299855742/0.0/","3/","no"
"4","98873600","1830/716/1317511/1317511/50/1317511/234/","6.771003782770739E-16/2.074947122317018E-6/0.0/0.0/0.9736032896963227/0.0/0.026394635356554313/","4/","no"
"5","101110500","713/290/290/290/1317511/50/4600/","2.2006305733843065E-6/0.008803120946646594/0.008803120946646594/0.008803120946646594/0.0/0.9735884365294869/1.7478137790862165E-39/","5/","no"
"6","98098800","58441/373066/373066/373066/920/512/50/","0.0/0.0/0.0/0.0/3.902981789782666E-8/1.1634624739531059E-4/0.9998836147227868/","6/","no"
"7","99452100","713/4075/1317511/1317511/3787/1317511/234/","0.11524013132071664/7.053758081502888E-8/0.0/0.0/2.4024939842457107E-7/0.0/0.8847595578923042/","6/","no"
"8","100738900","205/373066/373066/373066/1275/373066/1212/","0.9870863049753341/0.0/0.0/0.0/0.005477138100162022/0.0/0.007436556924503883/","0/","no"
"9","103447900","670/1287/4690/1317511/1317511/670/276/","0.1598773551901682/0.017235482038055513/7.96213418128285E-8/0.0/0.0/0.1598773551901682/0.6630097279602662/","6/","no"
"0","107905600","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","102773000","716/50/211/4075/716/31465/1317511/","2.0441961344965222E-6/0.9591743615653666/0.04082155004236443/5.089742412689967E-35/2.0441961344965222E-6/2.9175095570452783E-268/0.0/","1/","no"
"2","102386800","512/175/50/1056/373066/941/373066/","1.0711319866069501E-4/0.07935838122736978/0.9205344792727063/2.496712381325641E-9/0.0/2.3804550973103173E-8/0.0/","2/","no"
"3","102440500","15809/209/150/50/101165/328/101165/","5.342114701831588E-135/0.03721612935505303/0.11834510766120386/0.8408298416838874/0.0/0.003608921299855742/0.0/","3/","no"
"4","111782800","716/716/1317511/1317511/50/1317511/293/","2.113179198776395E-6/2.113179198776395E-6/0.0/0.0/0.991542481983404/0.0/0.008453291658198596/","4/","no"
"5","101939600","713/290/290/290/1317511/50/4600/","2.2006305733843065E-6/0.008803120946646594/0.008803120946646594/0.008803120946646594/0.0/0.9735884365294869/1.7478137790862165E-39/","5/","no"
"6","99551100","512/373066/373066/373066/977/512/50/","1.1633271557590349E-4/0.0/0.0/0.0/1.2763155498223696E-8/1.1633271557590349E-4/0.9997673218056927/","6/","no"
