"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","107905200","50/4706/1287/4706/1287/4706/197/","0.9469671534605023/2.1271758362576684E-40/2.7705426150270926E-11/2.1271758362576684E-40/2.7705426150270926E-11/2.1271758362576684E-40/0.053032846484086925/","0/","no"
"1","104374300","101165/97/133/318/2284/97/101165/","0.0/0.3574706874705188/0.24757323244462467/0.037485392541662985/7.267465301928911E-11/0.3574706874705188/0.0/","1/5/","no"
"2","111975800","5497/671/93/784/561/138/4494307/","6.617651460111616E-26/0.0013108934605940042/0.6137852467273913/3.9399434449885067E-4/0.0042245878327886975/0.3802852776347269/0.0/","2/","no"
"3","103730400","4494307/635/891/50/182/561/4494307/","0.0/9.702742678879297E-6/6.41071583095697E-8/0.9300529799890697/0.06989584868521018/4.140447588284919E-5/0.0/","3/","no"
"4","116618900","259/794/128/694/50/891/4494307/","0.013464346448349901/3.7441307537887547E-7/0.1756814898912379/2.660166466673481E-6/0.8108510731901207/5.589074948729744E-8/0.0/","4/","no"
"5","103355700","4494307/109/660/128/857/50/4494307/","0.0/0.20538359918552412/4.173325318393948E-6/0.1415043454529845/8.768258784610172E-8/0.6531077943535851/0.0/","5/","no"
"6","103292700","1287/1317511/4773/1317511/4773/1317511/50/","2.925700859656685E-11/0.0/6.038439849221515E-41/0.0/6.038439849221515E-41/0.0/0.9999999999707431/","6/","no"
"7","104398200","259/705/50/891/128/694/4494307/","0.013464322621218142/2.144058778405701E-6/0.810849638270466/5.5890650580435734E-8/0.1756811789971278/2.660161759119561E-6/0.0/","2/","no"
"8","99554500","356/101165/101165/101165/101165/101165/2351/","0.9962723226608454/2.3073058272587675E-123/2.3073058272587675E-123/2.3073058272587675E-123/2.3073058272587675E-123/2.3073058272587675E-123/0.0037276773391546145/","0/","no"
"9","99805300","156/12393/1317511/12393/1317511/12393/156/","0.5/7.061488853212094E-35/0.0/7.061488853212094E-35/0.0/7.061488853212094E-35/0.5/","0/6/","no"
"0","104823900","50/12226/3787/208227/3787/208227/156/","0.8887890798973597/1.832820991053283E-104/1.3368523320822812E-32/0.0/1.3368523320822812E-32/0.0/0.11121092010264023/","0/","no"
"1","102865800","101165/93/839/83/6128/717/101165/","0.0/0.47011113256551346/6.535095261260234E-5/0.529544253766918/2.952637151299917E-32/2.7926271495584573E-4/0.0/","1/3/","no"
"2","104147400","14312/630/50/816/561/151/4494307/","3.123603868427181E-122/1.0111025254884366E-5/0.8786794702871559/2.6357102949897355E-7/3.911740913586107E-5/0.12127103770742378/0.0/","2/","no"
"3","105071500","4494307/188/816/50/619/128/4494307/","0.0/0.052054475358905124/2.3370878717010644E-7/0.7791262708289514/1.1123563099438226E-5/0.16880789654025705/0.0/","3/","no"
"4","105957500","14312/827/561/151/50/816/4494307/","3.123634788007682E-122/2.1243722170602104E-7/3.911779634689413E-5/0.12127223813160394/0.8786881680611889/2.635736385063918E-7/0.0/","4/","no"
"5","104311700","4494307/93/619/128/816/50/4494307/","0.0/0.26129257762418534/8.668281468950265E-6/0.1315472702686681/1.821227183095484E-7/0.6071513017029594/0.0/","5/","no"
"6","103285500","3787/1317511/12393/1317511/12393/1317511/50/","1.504127764752314E-32/0.0/7.802248912324374E-106/0.0/7.802248912324374E-106/0.0/1.0/","6/","no"
