"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","93633200","79/3410/373066/","1.0/8.261587554006552E-19/0.0/","0/","no"
"1","102378600","101165/50/64/","0.0/0.5681997184824406/0.43180028151755934/","1/","no"
"2","98695400","2351/51/54/","3.1778841375520186E-20/0.5144190777705365/0.48558092222946353/","1/2/","no"
"3","90945800","356/97/320/","0.060616356715665336/0.8518597599745598/0.08752388330977483/","1/","no"
"4","91182300","373066/3253/2966/","3.5163929861399454E-55/0.47583616236699733/0.5241638376330027/","1/2/","no"
"5","90688800","373066/3343/983/","5.509306590238604E-165/0.0832967724296575/0.9167032275703425/","2/","no"
"0","90504900","79/3410/373066/","1.0/8.261587554006552E-19/0.0/","0/","no"
"1","92471000","101165/50/64/","0.0/0.5681997184824406/0.43180028151755934/","1/","no"
"2","94159200","101165/94/51/","0.0/0.3042960621764779/0.6957039378235221/","2/","no"
"3","90659900","356/97/320/","0.060616356715665336/0.8518597599745598/0.08752388330977483/","1/","no"
"4","90698300","373066/3395/3108/","1.0947768574526384E-52/0.4769382144824219/0.5230617855175781/","1/2/","no"
"5","90870200","373066/3253/947/","3.087267462158134E-171/0.08072852851812623/0.9192714714818737/","2/","no"
"0","92513100","50/22942/373066/","1.0/1.1518254547264252E-195/0.0/","0/","no"
"1","91216000","356/69/50/","0.0014654559060107227/0.4073274360152803/0.5912071080787089/","2/","no"
"2","92160000","15809/51/54/","1.2687773464518077E-132/0.5144190777705365/0.48558092222946353/","1/2/","no"
"3","91206700","901/111/812/","8.619225078835423E-4/0.9972300825030707/0.0019079949890458533/","1/","no"
"4","91800900","373066/3253/2966/","3.5163929861399454E-55/0.47583616236699733/0.5241638376330027/","1/2/","no"
"5","90779700","373066/3253/947/","3.087267462158134E-171/0.08072852851812623/0.9192714714818737/","2/","no"
"0","90180500","249/8881/373066/","0.999999999999999/1.0108346693958207E-15/0.0/","0/","no"
"1","91289000","356/50/50/","0.0012378419366357767/0.4993810790316821/0.4993810790316821/","1/2/","no"
"2","91194800","101165/69/51/","0.0/0.41431541304225217/0.5856845869577478/","2/","no"
"3","90142500","901/111/806/","8.618320142764976E-4/0.9971253828967908/0.002012785088932695/","1/","no"
"4","90419300","373066/3395/3108/","1.0947768574526384E-52/0.4769382144824219/0.5230617855175781/","1/2/","no"
"5","89205100","373066/3343/983/","5.509306590238604E-165/0.0832967724296575/0.9167032275703425/","2/","no"
"0","94472200","1029/215/373066/","0.02256529205813018/0.9774347079418698/0.0/","1/","no"
"1","91826200","15809/54/55/","1.9827674611945866E-125/0.5045453293304605/0.49545467066953963/","1/2/","no"
"2","92226300","356/50/50/","0.0012378419366357767/0.4993810790316821/0.4993810790316821/","1/2/","no"
"3","91474200","356/97/318/","0.06050716833118737/0.8503253030056313/0.0891675286631813/","1/","no"
"4","88570500","373066/3395/3108/","1.0947768574526384E-52/0.4769382144824219/0.5230617855175781/","1/2/","no"
"5","91272900","373066/3253/947/","3.087267462158134E-171/0.08072852851812623/0.9192714714818737/","2/","no"
"0","89984900","50/58686/373066/","1.0/0.0/0.0/","0/","no"
"1","93727600","101165/54/50/","0.0/0.48040220212170437/0.5195977978782956/","1/2/","no"
"2","91677100","101165/60/50/","0.0/0.4511368443987638/0.5488631556012363/","1/2/","no"
"3","90854200","101165/2194/2178/","9.365992447554727E-21/0.4981643037963412/0.5018356962036588/","1/2/","no"
"4","90603500","373066/3253/2966/","3.5163929861399454E-55/0.47583616236699733/0.5241638376330027/","1/2/","no"
"5","90632100","373066/3253/947/","3.087267462158134E-171/0.08072852851812623/0.9192714714818737/","2/","no"
"0","88999700","249/22942/373066/","1.0/3.786354639774956E-40/0.0/","0/","no"
"1","94237800","101165/73/50/","0.0/0.3891276943311772/0.6108723056688228/","2/","no"
"2","90831700","6128/73/64/","1.6280291475090753E-41/0.4654398122512984/0.5345601877487016/","1/2/","no"
"3","91885400","901/112/832/","9.257235954326947E-4/0.9973694898975335/0.001704786507033894/","1/","no"
"4","88962500","373066/3343/3056/","1.4229589975010633E-53/0.4765465011287257/0.5234534988712742/","1/2/","no"
"5","91571600","373066/3395/1004/","1.5168925465305064E-161/0.08478002560526064/0.9152199743947393/","2/","no"
"0","88898000","249/22942/373066/","1.0/3.786354639774956E-40/0.0/","0/","no"
"1","94076700","101165/60/54/","0.0/0.4727542879102602/0.5272457120897397/","1/2/","no"
"2","90501900","101165/60/54/","0.0/0.4727542879102602/0.5272457120897397/","1/2/","no"
"3","90106300","101165/2194/2178/","9.365992447554727E-21/0.4981643037963412/0.5018356962036588/","1/2/","no"
"4","92636200","373066/3253/2966/","3.5163929861399454E-55/0.47583616236699733/0.5241638376330027/","1/2/","no"
"5","90611500","373066/3253/947/","3.087267462158134E-171/0.08072852851812623/0.9192714714818737/","2/","no"
"0","91968300","246/215/373066/","0.4641818298659717/0.5358181701340283/0.0/","0/1/","no"
"1","91519900","101165/50/51/","0.0/0.5049018037366292/0.4950981962633707/","1/2/","no"
"2","95732200","356/51/64/","0.0015917566518754513/0.561281652700985/0.43712659064713943/","1/","no"
"3","92239200","901/111/812/","8.619225078835423E-4/0.9972300825030707/0.0019079949890458533/","1/","no"
"4","91521800","373066/3343/3056/","1.4229589975010633E-53/0.4765465011287257/0.5234534988712742/","1/2/","no"
"5","90832200","373066/3253/947/","3.087267462158134E-171/0.08072852851812623/0.9192714714818737/","2/","no"
"0","89313500","272/148646/373066/","1.0/9.1904191536559E-237/0.0/","0/","yes"
"1","97874900","101165/64/54/","0.0/0.45467026111147996/0.5453297388885201/","1/2/","yes"
"2","94853400","101165/54/60/","0.0/0.5272457120897397/0.4727542879102602/","1/2/","yes"
"3","97464900","101165/2335/2178/","9.66776881102423E-21/0.4819949386908777/0.5180050613091223/","1/2/","yes"
"4","94689200","373066/3395/3108/8881/","1.0121061076692388E-52/0.4409228022792794/0.48356340765416705/0.07551379006655352/","1/2/","yes"
"5","108439500","373066/3253/2966/1281/98/","0.0/1.4441168680588532E-14/2.6219092578441097E-13/6.46245415621812E-6/0.9999935375455672/","4/","yes"
