"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","112695900","156/861/674/","0.9540871241796963/0.010700699707367556/0.0352121761129362/","0/","no"
"1","105856300","12059/37284/1469863019/","0.8900865245649764/0.10991347543502371/0.0/","0/","no"
"2","102744000","478056859/478056859/78/","0.0/0.0/1.0/","2/","no"
"3","106501700","2147483647/2147483647/2078/","0.0/0.0/1.0/","2/","no"
"4","100666500","14902303/14902303/175/","0.0/0.0/1.0/","2/","no"
"5","102715700","7671210/473081/11124/","9.285664120688424E-300/9.252483923865224E-19/1.0/","2/","no"
"0","102232200","50/2568/601256/","1.0/3.61222175003823E-22/0.0/","0/","no"
"1","103629500","968/3941/915247/","0.9555580407820553/0.0444419592179446/0.0/","0/","no"
"2","100083200","478056859/478056859/50/","0.0/0.0/1.0/","2/","no"
"3","99244600","2147483647/2147483647/2078/","0.0/0.0/1.0/","2/","no"
"4","97796400","14902303/14902303/64/","0.0/0.0/1.0/","2/","no"
"5","96279500","7671210/1676/48259941/","0.0/1.0/0.0/","1/","no"
"0","101537600","78/667/91772/","0.9994221950335332/5.778049664668115E-4/0.0/","0/","no"
"1","104155300","1633/5603/5856331/","0.9190583109064292/0.08094168909357081/0.0/","0/","no"
"2","96158800","478056859/478056859/65/","0.0/0.0/1.0/","2/","no"
"3","100612700","2147483647/2147483647/2078/","0.0/0.0/1.0/","2/","no"
"4","98772200","473081/19280164/549/","0.0/0.0/1.0/","2/","no"
"5","97095800","185917/1676/48259941/","1.936026802114009E-48/1.0/0.0/","1/","no"
"0","105452100","153196043/335/562757/","0.0/1.0/0.0/","1/","no"
"1","104378600","1795/37284/19422/","0.9999453518217115/2.6200382464809084E-9/5.464555825016826E-5/","0/","no"
"2","100553900","478056859/478056859/50/","0.0/0.0/1.0/","2/","no"
"3","104327200","2147483647/2147483647/43267/","0.0/0.0/1.0/","2/","no"
"4","98003400","48259941/11124/960/","0.0/2.550825739088219E-5/0.9999744917426092/","2/","no"
"5","98544900","62940/10884/48259941/","0.008306621088958086/0.9916933789110419/0.0/","1/","no"
"0","102365500","50/10334/478056859/","1.0/2.6656004983505577E-88/0.0/","0/","no"
"1","105097300","12059/37284/5856331/","0.8900865245649764/0.10991347543502371/3.093644031590871E-211/","0/","no"
"2","101327800","478056859/478056859/50/","0.0/0.0/1.0/","2/","no"
"3","101355000","2147483647/2147483647/2078/","0.0/0.0/1.0/","2/","no"
"4","101242500","465090/48259941/630/","2.1334E-320/0.0/1.0/","2/","no"
"5","97570300","473081/390/48259941/","0.0/1.0/0.0/","1/","no"
"0","102897800","596/2568/153196043/","0.9645378306868292/0.035462169313170845/0.0/","0/","no"
"1","102272000","12059/37284/1469863019/","0.8900865245649764/0.10991347543502371/0.0/","0/","no"
"2","99965200","478056859/478056859/50/","0.0/0.0/1.0/","2/","no"
"3","105457700","83/129416/711813722/","1.0/0.0/0.0/","0/","no"
"4","101096600","48259941/11124/960/","0.0/2.550825739088219E-5/0.9999744917426092/","2/","no"
"5","100498100","7671210/1676/48259941/","0.0/1.0/0.0/","1/","no"
"0","100688700","50/8750/153196043/","1.0/8.212412099003691E-75/0.0/","0/","no"
"1","108552300","43267/50/2147483647/","0.0/1.0/0.0/","1/","no"
"2","100469800","153196043/153196043/50/","0.0/0.0/1.0/","2/","no"
"3","104093100","388/19212/167940/","1.0/9.641980606102916E-22/8.680349130166747E-188/","0/","no"
"4","96392100","14902303/14902303/50/","0.0/0.0/1.0/","2/","no"
"5","98700800","2365/505/14902303/","0.02470126581860805/0.9752987341813919/0.0/","1/","no"
"0","99535100","50/10334/478056859/","1.0/2.6656004983505577E-88/0.0/","0/","no"
"1","104981400","12059/37284/5856331/","0.8900865245649764/0.10991347543502371/3.093644031590871E-211/","0/","no"
"2","99366200","478056859/478056859/50/","0.0/0.0/1.0/","2/","no"
"3","102380800","50/126124/17862208/","1.0/0.0/0.0/","0/","no"
"4","98492100","48259941/48259941/511/","0.0/0.0/1.0/","2/","no"
"5","100111000","7671210/473081/11124/","9.285664120688424E-300/9.252483923865224E-19/1.0/","2/","no"
"0","107983800","156/861/674/","0.9540871241796963/0.010700699707367556/0.0352121761129362/","0/","no"
"1","104991200","12059/37284/1469863019/","0.8900865245649764/0.10991347543502371/0.0/","0/","no"
"2","103931300","478056859/478056859/50/","0.0/0.0/1.0/","2/","no"
"3","100817300","400/19397/2795409/","1.0/2.6650481232773486E-21/0.0/","0/","no"
"4","98173500","48259941/48259941/175/","0.0/0.0/1.0/","2/","no"
"5","100582500","7671210/912/48259941/","0.0/1.0/0.0/","1/","no"
"0","99640700","50/31769/17025/","1.0/7.841136070361513E-271/2.805835145480509E-145/","0/","yes"
"1","105564500","37284/37284/1469863019/","0.5/0.5/0.0/","0/1/","yes"
"2","107973700","1796212/478056859/50/","0.0/0.0/1.0/","2/","yes"
"3","105664700","2638869/44982051/1783526897/","0.9999998925190647/1.0748093518834154E-7/8.103977073624389E-294/","0/","yes"
"4","114415300","171809/48259941/19280164/511/","5.007903313144378E-146/0.0/0.0/1.0/","3/","yes"
"5","111405900","185917/7671210/48259941/7671210/3046549/","0.9999997921658539/3.2715737082184838E-18/5.031029270570072E-113/3.2715737082184838E-18/2.0783414603581748E-7/","0/","yes"
