"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","221467600","682/9990/7978/8011/10253/4559/11407/10579/7971/9952/1009/445821/19224/460354/15931/6165/9165/5051/1164137/5504/","0.6150445113626907/7.418105785170529E-7/1.4113981183155405E-5/1.3448258626852147E-5/5.047322243143414E-7/0.0021070041738503555/9.316977388475131E-8/3.131624410269655E-7/1.4259377796880426E-5/7.842523327827234E-7/0.3810476792232853/5.513813990459721E-284/9.970877141122344E-13/3.165585196447336E-293/1.237743000570137E-10/2.0066392070358836E-4/2.4824474345967907E-6/0.0010252287155719294/0.0/5.281712867346787E-4/","0/","no"
"1","214375500","20443/43267/829/16529/133819/2645/16085/523/16085/20443/20443/13924/2842/20352/2645/2645/52127/21373/17468/21373/","1.906100827071347E-17/2.3092540773534377E-36/0.3438364511677095/3.3426706173845035E-14/2.057818068387916E-111/0.010745824459065348/7.799801758596879E-14/0.616547629369665/7.799801758596879E-14/1.906100827071347E-17/1.906100827071347E-17/4.820964121881276E-12/0.007378446080413517/2.2676041323188753E-17/0.010745824459065348/0.010745824459065348/1.0477272208222831E-43/3.2311420039768612E-18/5.569862866971837E-15/3.2311420039768612E-18/","7/","no"
"2","250647500","750/15602/787/16046/1551/750/16834/7021/1354/49221/7021/15602/750/46143/750/750/15602/276/2200/4906/","0.08632365429702103/4.47115685937305E-25/0.07552997876180337/9.001076548848948E-26/0.004789408433362253/0.08632365429702103/5.233937886644537E-27/1.2709888615470196E-11/0.009753227337319188/8.727038346015079E-78/1.2709888615470196E-11/4.47115685937305E-25/0.08632365429702103/5.843991004133861E-73/0.08632365429702103/0.08632365429702103/4.47115685937305E-25/0.4778490989594973/4.5998868604558654E-4/2.631144732568912E-8/","17/","no"
"3","231064200","6056/13190/6056/3488/42687/931/14220/352500/45517/46143/125868/15352/888/45517/704/704/15352/6920/345331/6920/","1.4356929928093166E-4/5.785901504063807E-9/1.4356929928093166E-4/0.005482799087557641/3.904928780498602E-27/0.206142176428809/1.3423627069391678E-9/5.500992206622886E-218/7.051394043346649E-29/2.90165734350588E-29/2.2408275626283737E-78/2.6948501762519017E-10/0.2191067415403343/7.051394043346649E-29/0.2844484161788835/0.2844484161788835/2.6948501762519017E-10/4.215215986801007E-5/1.4344727189439761E-213/4.215215986801007E-5/","14/15/","no"
"4","223207200","5358/16734/4728/4906/15602/822/6468/48973/16734/12059/17178/12732/523/115228/1043/1043/6512/5358/6512/5358/","4.2617349326744596E-5/1.5888627541994313E-14/1.4181898741139748E-4/1.009733733014138E-4/1.3781455097571774E-13/0.2449354489594043/5.124027858426845E-6/3.028316522321211E-41/1.5888627541994313E-14/1.190572000829391E-10/6.809204910452046E-15/3.29586223176597E-11/0.43337586034213904/3.7037554150075493E-96/0.16065174971963103/0.16065174971963103/4.711335225507663E-6/4.2617349326744596E-5/4.711335225507663E-6/4.2617349326744596E-5/","12/","no"
"5","221710800","78/370465/7065/5651/6612/44378/378958/23199/6119/1087349/4674/7715/43267/1060490/44378/44378/359721/965/19656/157/","0.7310514712807172/0.0/2.8420034469129123E-39/1.686343669143018E-31/8.789134755220812E-37/2.133998841705767E-244/0.0/5.735841197761363E-128/4.5098654612236425E-34/0.0/3.961908360526589E-26/7.59128981622964E-43/2.7340340469138072E-238/0.0/2.133998841705767E-244/2.133998841705767E-244/0.0/9.721996971721278E-6/1.721392960236613E-108/0.26893880672231096/","0/","no"
"6","213509500","1436/15010/271349/388/3874/1419/11466/699531/4427/12940/278289/260606/1033/14322/1507/1968/14322/1326/737608/260606/","0.045307039573964404/3.174189038898289E-17/2.065220714519134E-303/0.670182338918123/8.595857664462276E-5/0.04733094069154959/2.8726979850986794E-13/0.0/2.0744303584877753E-5/6.4962088561089224E-15/3.6887988185022E-311/2.0363980170523726E-291/0.12767042473210954/1.8609825818273673E-16/0.037748401830913755/0.011540391256725822/1.8609825818273673E-16/0.06011376011609024/0.0/2.0363980170523726E-291/","3/","no"
"7","225318200","7941/958718/657/8983/7016/1902/7016/148272/958718/7016/8433/6523/1902/386551/2924/2924/958718/2924/148272/8805/","1.1143754766336226E-5/0.0/0.715536610892282/2.287118216170113E-6/4.545188556451428E-5/0.107870938810241/4.545188556451428E-5/2.663685860011694E-98/0.0/4.545188556451428E-5/5.275950568049388E-6/9.614855351842268E-5/0.107870938810241/1.432513520196817E-255/0.022822434287135963/0.022822434287135963/0.0/0.022822434287135963/2.663685860011694E-98/2.997592065456658E-6/","2/","no"
"8","240732400","8271/52127/2645/52127/9313/2826/53588/352782/148272/164556/8724/8724/2645/6119/2826/2078/52127/8271/958718/6787/","0.011611244230510647/8.008333612284906E-12/0.17383084391312334/8.008333612284906E-12/0.007034112007334514/0.1593370194022047/3.96593245238347E-12/1.253022774156311E-74/6.595537705286814E-32/2.615713113481595E-35/0.009337893961912435/0.009337893961912435/0.17383084391312334/0.03269058101134938/0.1593370194022047/0.22833410694474982/8.008333612284906E-12/0.011611244230510647/3.314670447537301E-201/0.02370719699307316/","15/","no"
"9","224824100","649/14026/7885/3488/40113/750/3488/831481/4728/38002/8063/4390/596/6690/677/677/18051/624/4390/1694/","0.16436121874098714/3.0517406328612714E-11/8.95134603507501E-7/0.0014142829774698971/3.215591987091294E-30/0.13877963696671605/0.0014142829774698971/0.0/1.7720832637601998E-4/1.1039058770548194E-28/6.643550018923393E-7/3.121519784882427E-4/0.17962004854157476/6.625288147184027E-6/0.15683046584579025/0.15683046584579025/3.601764466692401E-14/0.17139016188734207/3.121519784882427E-4/0.02854973912520101/","0/12/14/15/17/","no"
