"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99801800","50/561/50/95/95/50/233/98/","0.23554482953836772/1.0486080281217728E-5/0.23554482953836772/0.09747035818232962/0.09747035818232962/0.23554482953836772/0.0065121258879225034/0.09190218305203385/","0/2/5/","no"
"1","110514500","216/3989/54/54/529/592/228/54/","0.016987634874471455/2.738618006319921E-32/0.3230930184337772/0.3230930184337772/5.735912302150914E-5/1.8244749895719004E-5/0.013657705951279854/0.3230930184337772/","2/3/7/","no"
"2","101927500","94/4028/54/61/182/231/79/61/","0.12030886107592059/1.038479109372887E-32/0.24897064692852652/0.2192170376200048/0.024289940135131097/0.009965739767753968/0.15803073685265823/0.2192170376200048/","2/3/7/","no"
"3","102074000","193/502/157/68/68/50/508/206/","0.02298125232716291/5.371060762380719E-5/0.04655158815245102/0.2665759409004106/0.2665759409004106/0.3794035202631162/4.774925468328138E-5/0.01781029759414158/","5/","no"
"4","106725200","214/3989/502/50/60/565/571/508/","0.02154603694291953/1.5383677300341248E-34/7.601178199569307E-5/0.5369356063262181/0.4413330219223797/2.2100367489797146E-5/1.96474425174197E-5/6.757521647983805E-5/","3/4/","no"
"5","107558200","80/231/571/51/51/80/241/25963/","0.17878250725292505/0.009799426562670363/1.4176952894676254E-5/0.3122681680091729/0.3122681680091729/0.17878250725292505/0.008085045960239056/1.2085000040627444E-217/","3/4/","no"
"6","105063600","109/60/95/95/227/227/50/95/","0.09141496720614174/0.23893547437129364/0.12029162752988856/0.12029162752988856/0.009040221983940703/0.009040221983940703/0.2906942318650174/0.12029162752988856/","1/6/","no"
"7","102798300","83/228/107/1468/1468/239/107/78/","0.26043662796486294/0.041550789522064244/0.1922049196025106/6.335853606269073E-9/6.335853606269073E-9/0.03614996630537564/0.1922049196025106/0.27745276433096866/","0/7/","no"
"0","102169000","50/561/50/95/95/50/233/98/","0.23554482953836772/1.0486080281217728E-5/0.23554482953836772/0.09747035818232962/0.09747035818232962/0.23554482953836772/0.0065121258879225034/0.09190218305203385/","0/2/5/","no"
"1","108635500","1551/79/228/3989/1535/3989/228/502/","7.759796207766069E-9/0.7600965874841321/0.1180307889811609/4.515709335206448E-22/9.47783649092633E-9/4.515709335206448E-22/0.1180307889811609/0.003841817315913378/","1/","no"
"2","104243600","103/160/83/50/157/168/79/529/","0.12719700791203037/0.041599579918434056/0.18827317951812014/0.3595858002525297/0.04412001783013661/0.035560210279629446/0.203634223667395/2.9980621724560057E-5/","3/","no"
"3","105604900","55/565/68/157/3989/72/1468/203/","0.36178494473524847/4.011147214557634E-5/0.28683499004436186/0.058534796451676224/1.1201163499657173E-31/0.2670613831470793/3.9835482402436205E-12/0.0257437741455049/","0/","no"
"4","105699500","206/10317/565/50/60/502/592/502/","0.02511336695657666/1.9901921585593404E-88/2.2019751480780524E-5/0.5349770142032173/0.4397231615030427/7.573451210388864E-5/1.296856147498738E-5/7.573451210388864E-5/","3/4/","no"
"5","104717600","55/968/134/50/50/54/968/134/","0.2150202028967856/3.6120727058513155E-9/0.045682367083994285/0.23716858238799132/0.23716858238799132/0.21927789093509778/3.6120727058513155E-9/0.045682367083994285/","0/3/4/5/","no"
"6","104063100","109/561/95/95/60/227/95/95/","0.11890766328345283/7.197123077016622E-5/0.1495836023902575/0.1495836023902575/0.2655029473221122/0.017183008602634796/0.1495836023902575/0.1495836023902575/","4/","no"
"7","105880600","108/571/1468/157/79/157/195/97/","0.19966332496742492/6.1209521587093E-4/8.265937300907013E-9/0.10821636178078241/0.28689967004504163/0.10821636178078241/0.06729813825648091/0.22909403968767952/","4/","no"
"0","102410000","60/98/233/61/1366/233/109/109/","0.2830353229381941/0.15180865607355865/0.016601717138978896/0.278433224792714/1.4245148381238472E-10/0.016601717138978896/0.12675968088756198/0.12675968088756198/","0/3/","no"
"1","104651200","103/4028/214/50/157/571/571/54/","0.1449011537685693/5.46295839657992E-35/0.01643776158250047/0.40963540094764916/0.050260942398095414/1.4989298341167057E-5/1.4989298341167057E-5/0.37873476270650325/","3/7/","no"
"2","115277200","72/3989/79/79/203/565/90/160/","0.24597087506955698/1.2238062036419384E-24/0.22348017863818223/0.22348017863818223/0.04088211114089557/2.870176626914662E-4/0.19221947005714002/0.07368016879335167/","0/2/3/","no"
"3","102946800","1551/160/529/50/50/168/231/529/","7.365316055670528E-14/0.051565649486223115/3.716312122042951E-5/0.4457322735566455/0.4457322735566455/0.04407941961267733/0.012816057545293939/3.716312122042951E-5/","3/4/","no"
"4","103367000","61/157/50/157/1468/60/529/157/","0.26901156255538283/0.040952031607731545/0.33376616288614597/0.040952031607731545/2.807712227922211E-13/0.2743383518367115/2.78278982844152E-5/0.040952031607731545/","0/2/5/","no"
"5","106132500","78/1535/168/50/50/54/535/185/","0.15727951553683597/6.158499425348173E-14/0.02693209488426821/0.2723380659248892/0.2723380659248892/0.25179438235903984/2.018612609375496E-5/0.019297689243922344/","3/4/5/","no"
"6","104266800","65/561/60/60/95/227/60/60/","0.1660096897196587/4.884509169933339E-5/0.18019027421950953/0.18019027421950953/0.10151868597052587/0.011661682340078075/0.18019027421950953/0.18019027421950953/","0/2/3/6/7/","no"
"7","106439900","160/10317/565/157/50/157/1535/89/","0.06333512305107578/2.0366579429796206E-88/2.253385511690114E-5/0.06717247538956754/0.5474673290227502/0.06717247538956754/1.238011740934294E-13/0.2548300632917983/","4/","no"
"0","102153900","50/233/61/98/1366/233/561/106/","0.38684424004894424/0.010695112243192287/0.3117918622464281/0.15093445367185182/2.4045587140442138E-12/0.010695112243192287/1.7221688820043213E-5/0.12902199785516677/","0/2/","no"
"1","106652300","1468/72/1535/157/157/157/195/79/","1.6344311958184367E-9/0.3299931724243825/6.527811392543206E-10/0.10299581980407134/0.10299581980407134/0.10299581980407134/0.06119958801864247/0.2998197778575488/","1/7/","no"
"2","104339500","83/3989/68/68/228/157/79/69/","0.16039169748336363/4.171936929506167E-26/0.19933966661919952/0.19933966661919952/0.019612549802979155/0.05488033922714376/0.1699645604301511/0.1964715198179634/","0/2/3/6/7/","no"
"3","105147000","4028/571/1468/50/50/157/195/1468/","6.114761470515327E-35/1.6777719563818895E-5/3.857086657662413E-13/0.45851031343052595/0.45851031343052595/0.05625773651142392/0.026704858907189048/3.857086657662413E-13/","3/4/","no"
"4","105882900","78/1535/168/50/50/54/535/185/","0.15727951553683597/6.158499425348173E-14/0.02693209488426821/0.2723380659248892/0.2723380659248892/0.25179438235903984/2.018612609375496E-5/0.019297689243922344/","3/4/5/","no"
"5","104802800","73/1468/203/50/50/68/592/157/","0.18137237042886845/2.3951885794881104E-13/0.014175747831238417/0.28472750647813677/0.28472750647813677/0.20005481996318694/6.902177240046696E-6/0.034935146642953004/","3/4/","no"
"6","102865900","109/64/95/95/227/227/50/65/","0.08477642330211332/0.20486893192918318/0.11155606403246439/0.11155606403246439/0.008383722152712613/0.008383722152712613/0.26958405177238504/0.20089102062596448/","6/","no"
"7","105723900","598/60/157/157/182/565/1535/50/","1.0058446642897478E-5/0.3836294345064519/0.057266527346185134/0.057266527346185134/0.03507610781303277/1.921077975440233E-5/1.0554417238005028E-13/0.4667321337616422/","1/7/","no"
