"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","139107200","50/13231/876856/15714/3720/2093005/5318/","1.0/5.703814241189352E-113/0.0/4.092465332490027E-134/5.595365479127361E-32/0.0/1.3801767044479404E-45/","0/","no"
"1","151947200","2548/3982/699872/11188/3886/2086408/4980/","0.3875622554160238/0.2208100736482359/6.017421094040444E-120/0.0130699010902646/0.2292847692701267/0.0/0.14927300057534898/","0/","no"
"2","143451000","103450/96249/55764/19051/74994/108059/284903/","0.009630073246473749/0.014053288140802488/0.11766365297287366/0.8082079976853115/0.04288350720865323/0.007560777075931383/7.036699540556574E-7/","3/","no"
"3","141303800","30268/544022/1367/50/2045/1693167/4776972/","4.745278249392921E-258/0.0/6.0951398283673094E-12/0.9999999999939049/1.026648406280889E-17/0.0/0.0/","3/","no"
"4","137286900","13938/297734/5001/5990266/50/273166154/731061067/","5.440661083002558E-119/0.0/6.908327902291827E-43/0.0/1.0/0.0/0.0/","4/","no"
"5","132720800","863/391642/367301/367301/1157/50/1521/","1.1935344853025134E-7/0.0/0.0/0.0/3.7433033013977865E-10/0.9999998802719235/2.9756688411758515E-13/","5/","no"
"6","135089900","3601/40484/40484/40484/12103/47937/50/","5.770085523015557E-31/0.0/0.0/0.0/2.3000508814348196E-103/0.0/1.0/","6/","no"
"0","138645000","50/12989/867394/15689/3623/2085836/5318/","1.0/6.560474741036288E-111/0.0/6.681507512908215E-134/3.7483447907332447E-31/0.0/1.3801767044479404E-45/","0/","no"
"1","143178300","2385/3585/681915/10728/3783/2073181/4797/","0.3913067519621981/0.2366442607239641/8.053015694411537E-125/0.01185612576424499/0.21779928553564157/0.0/0.14239357601395114/","0/","no"
"2","141005400","103074/95858/55305/19051/74535/107683/285827/","0.009777538297222619/0.014279724033628828/0.1199870195450747/0.8045482180698289/0.043730277682202064/0.007676555050477048/6.673215658884252E-7/","3/","no"
"3","144857200","30268/544022/1367/50/2045/1693167/4776972/","4.745278249392921E-258/0.0/6.0951398283673094E-12/0.9999999999939049/1.026648406280889E-17/0.0/0.0/","3/","no"
"4","140453000","13903/297184/4983/6008189/50/272568239/730717863/","1.0806794815687853E-118/0.0/9.832259867144697E-43/0.0/1.0/0.0/0.0/","4/","no"
"5","127975900","913/384272/371094/362942/987/50/1572/","4.47771137110026E-8/0.0/0.0/0.0/1.0493088077483475E-8/0.9999999447296888/1.0946874609641568E-13/","5/","no"
"6","134523000","3718/41220/41220/41220/12397/48673/50/","5.819150846053033E-32/0.0/0.0/0.0/7.2136902317286065E-106/0.0/1.0/","6/","no"
"0","142847400","50/12989/867394/15689/3623/2085836/5318/","1.0/6.560474741036288E-111/0.0/6.681507512908215E-134/3.7483447907332447E-31/0.0/1.3801767044479404E-45/","0/","no"
"1","141154400","2432/3436/688396/10693/3768/2056978/4816/","0.37760950101943586/0.24993511074711355/1.3531509560328543E-123/0.012660209514118882/0.21805433574066319/0.0/0.14174084297866846/","0/","no"
"2","144895600","103007/95806/55305/19057/74535/107616/283795/","0.009825581563582117/0.014336889800203942/0.12005863136915954/0.8042930052972047/0.04377028387860971/0.007714862408755915/7.456824841986137E-7/","3/","no"
"3","137569800","30297/546360/1371/50/2002/1689822/4761905/","2.6872614316883316E-258/0.0/5.635356053750168E-12/0.9999999999943646/2.3855668688818408E-17/0.0/0.0/","3/","no"
"4","133509300","13892/297055/4983/6008799/50/272466027/726800014/","1.3408131622548984E-118/0.0/9.832259867144697E-43/0.0/1.0/0.0/0.0/","4/","no"
"5","129855400","1090/389792/368463/368463/1043/50/1533/","1.392511525059412E-9/0.0/0.0/0.0/3.4997012116798976E-9/0.9999999951075521/2.3517855107787453E-13/","5/","no"
"6","134467300","3656/42343/42343/42343/12846/48741/50/","1.9625713562268513E-31/0.0/0.0/0.0/1.083085976304462E-109/0.0/1.0/","6/","no"
"0","135863500","50/13294/879305/15777/3658/2086883/5322/","1.0/1.658379628975991E-113/0.0/1.1898811659540876E-134/1.8870973287114906E-31/0.0/1.2760637763310344E-45/","0/","no"
"1","149433500","2502/4131/693391/11022/3900/2095769/4915/","0.39868296541764287/0.20796036548305383/5.3059919913915495E-121/0.0132533616080659/0.2280663884262195/0.0/0.15203691906501784/","0/","no"
"2","141461300","103294/96078/55592/19051/74535/107903/286052/","0.009686188619125007/0.014146311291674608/0.11844872280354239/0.806288417714352/0.043824864199166876/0.00760483445870407/6.60913434950007E-7/","3/","no"
"3","140118800","30114/541611/1342/50/2002/1687140/4770266/","9.719875609640676E-257/0.0/9.951146618638872E-12/0.999999999990049/2.3855668688715453E-17/0.0/0.0/","3/","no"
"4","139194400","13900/297184/4983/6010806/50/272544397/726995940/","1.1461557565957408E-118/0.0/9.832259867144697E-43/0.0/1.0/0.0/0.0/","4/","no"
"5","130960100","964/386109/368079/368079/1165/54/1565/","6.522293850236195E-8/0.0/0.0/0.0/1.6875297445931443E-9/0.9999999330883603/1.1715103061103071E-12/","5/","no"
"6","133223900","3656/42735/42735/42735/13003/48350/54/","3.611266731393105E-29/0.0/0.0/0.0/5.640095184337142E-103/0.0/1.0/","6/","no"
"0","145561200","50/13231/876856/15714/3720/2093005/5318/","1.0/5.703814241189352E-113/0.0/4.092465332490027E-134/5.595365479127361E-32/0.0/1.3801767044479404E-45/","0/","no"
"1","144889600","2409/3436/686237/10839/3746/2056734/4815/","0.38081048280009755/0.24867846382398312/2.245751012307936E-124/0.011523362768932772/0.21866263151485454/0.0/0.140325059092132/","0/","no"
"2","146297300","103148/95948/55305/19166/74535/107757/284148/","0.010020792611955369/0.01458958381055268/0.12160466187610751/0.8013161466200661/0.044589054193547646/0.007878967066191744/7.938215788031656E-7/","3/","no"
"3","144600100","30032/539914/1324/51/2002/1683944/4791416/","4.0195342342430826E-251/0.0/2.334194332909633E-11/0.999999999976658/5.0769760146810124E-17/0.0/0.0/","3/","no"
"4","140582300","13903/297055/4983/6008799/50/272568239/730717863/","1.0806794815687853E-118/0.0/9.832259867144697E-43/0.0/1.0/0.0/0.0/","4/","no"
"5","131985700","982/384733/366703/366703/1151/68/1561/","1.7667325553342369E-6/0.0/0.0/0.0/1.5256820520833892E-7/0.9999980802984895/4.007500983100956E-10/","5/","no"
"6","130571700","3601/42390/42390/42390/12865/48004/54/","9.81644073366457E-29/0.0/0.0/0.0/6.933791365021994E-102/0.0/1.0/","6/","no"
"0","151792700","50/12989/867394/15689/3623/2085836/5318/","1.0/6.560474741036288E-111/0.0/6.681507512908215E-134/3.7483447907332447E-31/0.0/1.3801767044479404E-45/","0/","no"
"1","139702000","2485/3982/691783/10780/3884/2099544/4897/","0.39497440378934245/0.21629620725386836/1.5097425929759028E-121/0.014043161113830588/0.2249930593474614/0.0/0.14969316849549721/","0/","no"
"2","137076700","103279/96078/55592/19051/74535/107888/284474/","0.00969368517087584/0.014146117829625557/0.11844710292312632/0.8062773910794788/0.04382426485932114/0.007610720162288626/7.17975283727289E-7/","3/","no"
