"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","102471200","97/97/502/502/508/","0.4884796468856605/0.4884796468856605/0.00783534372170205/0.00783534372170205/0.007370018785274908/","0/1/","no"
"1","101835900","565/157/78/55/68/","4.235089989819334E-5/0.06180280035818773/0.25332239407337026/0.38198343664745504/0.3028490180210889/","3/","no"
"2","97048600","40251/15712/93/50/198/","0.0/2.865561114817533E-134/0.28975013876970784/0.6732765833695761/0.03697327786071594/","3/","no"
"3","104440700","3989/1468/157/157/160/","9.830107225161226E-12/8.356589536009725E-5/0.33540828873441214/0.33540828873441214/0.32909985662598557/","2/3/4/","no"
"4","103953100","40251/15712/691/198/50/","0.0/4.0345684239347114E-134/3.2983396296941544E-6/0.0520565478833654/0.9479401537770049/","4/","no"
"0","99633500","148/60/64/68/50/","0.04266451430496155/0.23957289267168178/0.22150083329471748/0.204792030530312/0.29146972919832714/","1/4/","no"
"1","96924400","502/50/50/1468/51/","4.749379158190224E-5/0.3354888822525518/0.3354888822525518/2.8222041110673156E-13/0.32897474170303237/","1/2/4/","no"
"2","96793000","15712/15712/201/79/79/","6.131153910873216E-86/6.131153910873216E-86/0.09813266166080506/0.4509336691695975/0.4509336691695975/","3/4/","no"
"3","96759700","10317/3989/50/502/160/","3.333974092641021E-88/2.567676397660763E-34/0.8961946201230565/1.2687061406972376E-4/0.10367850926287366/","2/","no"
"4","98680100","2111/691/198/97/51/","4.239630045785179E-18/3.068372233392435E-6/0.040211826971843764/0.28047058353856047/0.6793145211173625/","4/","no"
"0","95537100","50/50/2474/73/50/","0.2749516315023422/0.2749516315023422/6.273285364114235E-22/0.17514510549297344/0.2749516315023422/","0/1/4/","no"
"1","96188100","50/50/565/1468/529/","0.4999688680345108/0.4999688680345108/2.0578809799228334E-5/4.2058448712183404E-13/4.168512075858508E-5/","0/1/","no"
"2","96395000","40251/15712/93/50/201/","0.0/2.871626469844034E-134/0.29036343487130856/0.6747016660481656/0.034934899080525834/","3/","no"
"3","101573100","5961/2111/50/269/201/","4.33405413747768E-51/2.6416174605651367E-18/0.938590906528419/0.012810460553533956/0.04859863291804706/","2/","no"
"4","99819600","2884/914/257/132/50/","6.044371733120673E-25/3.606118357059703E-8/0.014183217829768127/0.1645212621201257/0.8212954839889226/","4/","no"
"0","99071800","68/50/78/168/68/","0.22800113008817824/0.32450202027699304/0.1874050194436136/0.03209070010303687/0.22800113008817824/","1/","no"
"1","99380200","502/50/50/1468/51/","4.749379158190224E-5/0.3354888822525518/0.3354888822525518/2.8222041110673156E-13/0.32897474170303237/","1/2/4/","no"
"2","102369800","40251/15712/50/318/98/","0.0/3.0501446373917646E-134/0.7166453193502822/0.0037422202472074985/0.2796124604025103/","2/","no"
"3","97838800","2178/2111/60/50/54/","2.754660939210455E-19/1.0247357363619214E-18/0.2992695405638393/0.3640980036292755/0.3366324558068853/","2/3/4/","no"
"4","98088000","15712/15712/123/122/50/","2.870547778394215E-134/2.870547778394215E-134/0.16118009778176132/0.16437167961962615/0.6744482225986126/","4/","no"
"0","96281200","78/78/1484/1468/1468/","0.49999998391983136/0.49999998391983136/9.32454592333511E-9/1.1417895615103608E-8/1.1417895615103608E-8/","0/1/","no"
"1","96741000","50/168/157/203/182/","0.7426504356303838/0.0734422928734352/0.09112081299806761/0.03697438801215385/0.05581207048595959/","0/","no"
"2","98165100","15712/691/198/136/50/","3.43202110875109E-134/2.805745260332156E-6/0.04428210217592113/0.14934616342334506/0.8063689286554735/","4/","no"
"3","96469900","40251/15712/50/79/697/","0.0/2.7173135499057676E-134/0.6384451454775217/0.36155287962491667/1.974897561501311E-6/","2/","no"
"4","96351200","40251/40251/93/691/198/","2.1894490459178596E-186/2.1894490459178596E-186/0.7524570168357367/0.0012990610663335001/0.24624392209792975/","2/","no"
"0","98226400","50/50/592/565/1468/","0.4999836501530114/0.4999836501530114/1.2120275322772768E-5/2.0579418233921973E-5/4.2059692215554437E-13/","0/1/","no"
"1","95910400","50/50/348/952/348/","0.49855432131146543/0.49855432131146543/0.001445673492990081/1.0391088887971334E-8/0.001445673492990081/","0/1/","no"
"2","101178500","2111/691/209/97/50/","1.951553303368054E-18/2.4126886794919266E-6/0.03069092086210107/0.27590188264116416/0.6934047838080553/","4/","no"
"3","97406400","2111/2111/50/68/51/","1.0489149366111082E-18/1.0489149366111082E-18/0.37268909519336646/0.2618582614773716/0.365452643329262/","2/4/","no"
"4","97931100","40251/5922/198/269/50/","0.0/9.283782923059779E-51/0.05139180686481275/0.012772850932713305/0.935835342202474/","4/","no"
"0","100425100","51/50/3989/3989/160/","0.46777506898026816/0.4770376419338151/1.3667547946460729E-34/1.3667547946460729E-34/0.05518728908591674/","0/1/","no"
"1","97308100","50/157/168/1468/157/","0.7438894918144913/0.09127284119522382/0.0735648257944354/6.257757240367285E-13/0.09127284119522382/","0/","no"
"2","96596000","2111/2111/318/107/97/","5.916607724168767E-10/5.916607724168767E-10/0.05222628861749873/0.44972991152797703/0.49804379867120274/","3/4/","no"
"3","99506900","717/209/79/78/54/","2.4854545700789442E-6/0.025509831472124662/0.2711576237973508/0.27613285472597837/0.42719720454997595/","4/","no"
"4","96819500","8449/2951/50/97/54/","1.2933364245970945E-72/8.51843421200199E-26/0.43057793808570977/0.1713245517130479/0.39809751020124234/","2/4/","no"
"0","96434200","182/157/529/1468/565/","0.42167194448038303/0.49396046176444225/0.04690034808707184/1.230686588443801E-4/0.03734417700925831/","0/1/","no"
"1","97265900","203/157/592/529/1468/","0.3920674562989022/0.5245669934449252/0.03342849202320802/0.04980636405528343/1.3069417768113128E-4/","1/","no"
"2","119731400","40251/2111/50/318/50/","0.0/1.4035605540197049E-18/0.49869793504584586/0.0026041299083081767/0.49869793504584586/","2/4/","no"
"3","100120300","2178/691/255/60/72/","4.473683326260182E-16/1.7277590760127084E-5/0.021959416267804153/0.5369566398828068/0.4410666662586284/","3/4/","no"
"4","96333300","40251/40251/2111/2111/50/","0.0/0.0/2.8144503022469383E-18/2.8144503022469383E-18/1.0/","4/","no"
"0","113018500","68/50/592/529/1468/","0.41264329382650444/0.5872935035395089/1.4236783454811536E-5/4.8965850037860944E-5/4.940438350635454E-13/","1/","no"
"1","101159800","60/182/193/203/157/","0.64593229328931/0.08741742986398354/0.07299323899027271/0.06195649183176401/0.13170054602466966/","0/","no"
"2","96234300","40251/40251/198/244/2111/","2.1637883073431136E-88/2.1637883073431136E-88/0.5575122136139317/0.4424505169208974/3.726946517113006E-5/","2/","no"
"3","106997800","5922/2111/60/209/60/","8.820715974619443E-43/1.197373341033508E-15/0.47917217469869033/0.04165565060261819/0.47917217469869033/","2/4/","no"
"4","124857400","40251/40251/2111/691/50/","0.0/0.0/2.8144405094550296E-18/3.4794687619070422E-6/0.999996520531238/","4/","no"
"0","105742400","182/50/60/529/60/","0.027638437714143586/0.36776449305380143/0.3022832033541392/3.0662523776599125E-5/0.3022832033541392/","1/2/4/","yes"
"1","131388400","50/54/565/565/502/","0.519537359671489/0.4803463230403057/2.1384252484166404E-5/2.1384252484166404E-5/7.354878323709875E-5/","0/1/","yes"
"2","105748400","15712/5922/198/50/51/","2.0909582535903762E-134/4.8736544235126464E-51/0.0269788629198638/0.4912801271856268/0.4817410098945094/","3/4/","yes"
"3","104632200","5922/2268/64/50/60/","3.8422658339446663E-51/5.017757868649812E-20/0.29433626958622944/0.3873128218682422/0.3183509085455284/","3/4/","yes"
"4","111464200","914/914/272/157/50/","3.8665911202253056E-8/3.8665911202253056E-8/0.011332595155947043/0.10804902521613179/0.8806183022960988/","4/","yes"
