"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","102176400","125/50/50/348/54/","0.07278165281315059/0.31673077947583395/0.31673077947583395/9.184341058318486E-4/0.2928383541293496/","1/2/4/","no"
"1","99516800","157/60/1535/1535/1551/","0.16936083374681687/0.8306391661806732/2.618360501896787E-11/2.618360501896787E-11/2.014262809914695E-11/","1/","no"
"2","95849900","40251/40251/50/2111/691/","0.0/0.0/0.999996520531238/2.8144405094550296E-18/3.4794687619070422E-6/","2/","no"
"3","104744100","40251/15809/2111/50/691/","0.0/6.35336170206806E-135/2.8144405094550296E-18/0.999996520531238/3.4794687619070422E-6/","3/","no"
"4","98904400","2951/1098/328/50/79/","1.2596328811472485E-25/7.578969592601452E-10/0.002732783857065322/0.6367016698270387/0.3605655455579992/","3/","no"
"0","101679700","51/50/134/123/348/","0.4060252604572088/0.4140651044877304/0.07975539554786623/0.0989535620276463/0.0012006774795481324/","0/1/","no"
"1","99570700","50/78/1468/1468/1535/","0.6339081026385378/0.3660918973602521/5.332570311401893E-13/5.332570311401893E-13/1.4334840311672358E-13/","0/","no"
"2","96538200","15712/15712/272/79/691/","1.2473155325780267E-85/1.2473155325780267E-85/0.08218855366274844/0.9173747354803128/4.3671085693875995E-4/","3/","no"
"3","100559700","5922/2111/753/60/54/","2.436347748178612E-47/3.0157736407124225E-17/1.5941321195767552E-6/0.4727535342774652/0.5272448715904152/","3/4/","no"
"4","102307900","2884/977/260/50/50/","3.6500623819776985E-25/6.331515564954427E-9/0.008075643890480922/0.4959621748890018/0.4959621748890018/","3/4/","no"
"0","96582100","502/508/98/50/107/","8.242632057212733E-5/7.327780391484093E-5/0.22717443506572027/0.5822469260902489/0.19042293471954397/","3/","no"
"1","99083500","160/69/65/50/79/","0.0371250842222286/0.221098121400723/0.23913732386626257/0.320908363634148/0.18173110687663785/","3/","no"
"2","100366000","5922/5961/54/50/93/","4.2125850442510955E-51/1.9608353896931437E-51/0.3926095276837851/0.4246421958716411/0.18274827644457384/","2/3/","no"
"3","97257700","320/320/691/2111/2111/","0.43059525197277815/0.43059525197277815/0.1355587761315253/0.001625359961459299/0.001625359961459299/","0/1/","no"
"4","101064100","2899/1029/292/50/50/","2.730261413655215E-25/2.2926366694980597E-9/0.004328289258304521/0.4978358542245295/0.4978358542245295/","3/4/","no"
"0","100364200","50/50/3989/3989/3989/","0.5/0.5/1.4325439698065782E-34/1.4325439698065782E-34/1.4325439698065782E-34/","0/1/","no"
"1","94931000","157/60/1535/1535/1551/","0.16936083374681687/0.8306391661806732/2.618360501896787E-11/2.618360501896787E-11/2.014262809914695E-11/","1/","no"
"2","104371000","40251/40251/122/691/244/","1.4806442422165786E-142/1.4806442422165786E-142/0.7242827725900307/0.007093406040663125/0.26862382136930607/","2/","no"
"3","99656300","5961/691/297/50/83/","3.015155491884969E-51/2.2719887521650968E-6/0.005146878772287699/0.6529677379847977/0.34188311125416243/","3/","no"
"4","99392100","15712/5961/2178/691/50/","4.2561277415082557E-134/4.6176017976799653E-51/7.565686510213751E-19/3.4794687619070422E-6/0.999996520531238/","4/","no"
"0","97481400","50/60/565/157/502/","0.5141844817651509/0.42263278592319004/2.1163927053212927E-5/0.06308877738644356/7.279099816255307E-5/","0/1/","no"
"1","103254600","51/69/3989/79/502/","0.43644865517485165/0.30874537057528767/5.629605631131036E-34/0.2547312840346462/7.46902152144453E-5/","0/","no"
"2","99069100","2111/2111/97/97/97/","3.9598978612380677E-10/3.9598978612380677E-10/0.33333333306934015/0.33333333306934015/0.33333333306934015/","2/3/4/","no"
"3","98364200","5922/2111/717/50/60/","5.44489005339066E-51/1.5447463023089611E-18/1.1470253151414488E-6/0.5488625260413023/0.4511363269333827/","3/4/","no"
"4","97416400","691/697/2178/122/122/","0.0048504751296788206/0.004619544823687158/2.7252801650553056E-8/0.4952649763969162/0.4952649763969162/","3/4/","no"
"0","100828200","51/50/348/348/375/","0.4932286473542313/0.502995235254816/0.0014585509494639585/0.0014585509494639585/8.590154920247117E-4/","0/1/","no"
"1","98805200","157/50/79/50/83/","0.038192568560226736/0.311276060275024/0.1762763124568177/0.311276060275024/0.16297899843290736/","1/3/","no"
"2","100923800","15712/5922/50/50/93/","1.7512408030773955E-134/4.0818330408551547E-51/0.4114619710801107/0.4114619710801107/0.1770760578397786/","2/3/","no"
"3","97446600","15712/5961/717/122/122/","4.480320377371385E-56/1.203987622011137E-21/0.003948176132544982/0.49802591193372747/0.49802591193372747/","3/4/","no"
"4","98009500","22425/8282/2966/947/60/","5.895976284978263E-160/2.9026808954210184E-59/2.0440685449376235E-21/4.840952797323739E-7/0.9999995159047202/","4/","no"
"0","101833400","502/50/1535/157/3989/","1.2607862848227207E-4/0.8906001550225792/2.013952961109096E-13/0.10927376634873721/2.551647763172799E-34/","1/","no"
"1","97074500","60/50/182/157/168/","0.38795107595496553/0.47198993921969445/0.035471245275757325/0.057911643116590264/0.046676096432992496/","0/1/","no"
"2","96474200","15712/15712/79/272/198/","1.0335452977628607E-85/1.0335452977628607E-85/0.7601511561252151/0.06810273018287002/0.17174611369191484/","2/","no"
"3","97604800","691/223/89/50/79/","1.6846420865180641E-6/0.016285390848024956/0.2253645738982152/0.4841647792047503/0.27418357140692307/","3/","no"
