"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","104650000","434/518/2364241/2364241/2364241/5951414/2364241/2364241/","0.5481264063647453/0.4518735936352547/0.0/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
"1","114311200","63038/511/7671210/7671210/7671210/10951/19280164/3692/","9.157257292129549E-54/0.9980005664508409/0.0/0.0/0.0/1.3918578004731909E-9/0.0/0.001999432157301335/","1/","no"
"2","113257500","1890933/11916807/253666/268822/1890933/76174004/1890933/30230137/","8.083282028334787E-4/5.528868015627164E-21/0.5136837603041018/0.4838912550873978/8.083282028334787E-4/5.371747088159311E-131/8.083282028334787E-4/2.4491671814876183E-52/","2/3/","no"
"3","111788600","7671210/1184063/361/1184063/1676/7671210/19280164/3030195/","0.0/0.0/0.9742340240291789/0.0/0.02576597597082106/0.0/0.0/0.0/","2/","no"
"4","111096700","186964/48259941/69100/11124/79/1185589/22167/3030195/","0.0/0.0/0.0/1.0970289593717895E-60/1.0/0.0/1.2339385900400618E-120/0.0/","4/","no"
"5","115114100","15715/45221/76174004/45221/669/3010/76174004/45221/","1.7146493295949355E-10/1.2834084416868488E-29/0.0/1.2834084416868488E-29/0.9705174221009165/0.029482577727618576/0.0/1.2834084416868488E-29/","4/","no"
"6","105502500","711063/1793938/278324/711063/106872/1793938/1467/711063/","1.1815743337401837E-210/0.0/1.2427056483087527E-82/1.1815743337401837E-210/6.559745842232027E-32/0.0/1.0/1.1815743337401837E-210/","6/","no"
"7","111967400","2364241/1297/56884/1297/56884/1297/50724/5996/","0.0/0.330384352902435/8.323540465002262E-20/0.330384352902435/8.323540465002262E-20/0.330384352902435/9.580025242093067E-18/0.008846941292694937/","1/3/5/","no"
"0","109867800","50/294/10111/11124/11124/48259941/187208/7671210/","0.9917094488998592/0.008290551100140825/2.0948523733566364E-86/4.953051362946206E-95/4.953051362946206E-95/0.0/0.0/0.0/","0/","no"
"1","108265200","656/511/7671210/7671210/7671210/3046549/7671210/7671210/","0.4296686628598425/0.5703313371401575/0.0/0.0/0.0/0.0/0.0/0.0/","1/","no"
"2","117500900","746356/4763162/687/101910/746356/76174004/746356/746356/","0.0/0.0/1.0/1.269968965105145E-64/0.0/0.0/0.0/0.0/","2/","no"
"3","108498500","48259941/469566/19280164/26135/1676/3030195/7671210/48259941/","0.0/6.761243085645545E-122/0.0/4.6326173990001273E-7/0.9999995367382601/0.0/0.0/0.0/","4/","no"
"4","112246500","4323/48259941/1374/4323/50/171809/395/4323/","4.096699270861038E-37/0.0/5.307302383743627E-12/4.096699270861038E-37/0.9988475428910482/0.0/0.0011524571036444936/4.096699270861038E-37/","4/","no"
"5","112772600","720682/17025/1077/1077/42796/253666/41318/45260/","6.184269814445298E-291/1.8792733810564745E-7/0.4999999060363309/0.4999999060363309/7.791343018346521E-18/8.675485194115437E-103/3.0694109456637014E-17/7.923904328856592E-19/","2/3/","no"
"6","111142500","394/394/278324/394/106872/394/1467/394/","0.19739016063796372/0.19739016063796372/5.211133458912876E-307/0.19739016063796372/1.6785175837502834E-118/0.19739016063796372/0.0130491968101815/0.19739016063796372/","0/1/3/5/7/","no"
"7","113241300","2364241/2364241/2364241/2364241/137249/518/142783/50/","0.0/0.0/0.0/0.0/0.0/1.034342898171546E-4/0.0/0.9998965657101828/","7/","no"
"0","112029200","511/1122/11124/11124/11124/48259941/187208/3030195/","0.7673413455500833/0.23265865215994633/7.633235217106762E-10/7.633235217106762E-10/7.633235217106762E-10/0.0/3.3321845977918566E-159/0.0/","0/","no"
"1","109768600","63038/511/7671210/7671210/7671210/4323/11124/11124/","9.170246267939214E-54/0.9994161655546033/0.0/0.0/0.0/5.838324570303715E-4/9.941831905315052E-10/9.941831905315052E-10/","1/","no"
"2","115713100","1875606/6285/687/4968/45260/115515/45260/76174004/","0.0/2.919574604827169E-4/0.9977280422014619/0.001980000338055341/7.288924067343532E-29/3.271584601853386E-73/7.288924067343532E-29/0.0/","2/","no"
"3","111639900","180039/24592/50/22128/1687/187208/19280164/69100/","0.0/1.0249031919436505E-209/0.9999999999999885/9.841634367802492E-189/1.1481501548252955E-14/0.0/0.0/0.0/","2/","no"
"4","111571900","3030195/48259941/1192131/3050363/7387/2828/458959/26235/","0.0/0.0/2.2120619441585466E-183/0.0/0.16634183168049496/0.8334455762225502/7.903848394747462E-71/2.125920969548395E-4/","5/","no"
"5","114285300","76174004/30332349/76174004/76174004/5168/4774/76174004/76174004/","0.0/0.0/0.0/0.0/0.479383423596754/0.5206165764032461/0.0/0.0/","4/5/","no"
"6","110158000","294/294/294/294/1861/294/1467/106872/","0.19905694121833364/0.19905694121833364/0.19905694121833364/0.19905694121833364/9.818924615878648E-4/0.19905694121833364/0.0037334014467438593/2.4915983257613634E-158/","0/1/2/3/5/","no"
"7","110987800","22101/22140/22140/22140/699/22140/1153/55/","1.065526816584247E-171/5.310180684462232E-172/5.310180684462232E-172/5.310180684462232E-172/1.0129990949947437E-5/5.310180684462232E-172/3.052963770128303E-9/0.9999898669560863/","7/","no"
"0","111024800","458/390/7671210/7671210/19280164/7671210/19280164/390/","0.2958663762003404/0.35206681189982986/0.0/0.0/0.0/0.0/0.0/0.35206681189982986/","0/1/7/","no"
"1","108895400","656/511/7671210/7671210/7671210/3046549/7671210/7671210/","0.4296686628598425/0.5703313371401575/0.0/0.0/0.0/0.0/0.0/0.0/","1/","no"
"2","107670500","24385354/3793268/2568/3793268/854/24385354/61218842/9658374/","0.0/0.0/0.11871259837098004/0.0/0.8812874016290199/0.0/0.0/0.0/","4/","no"
"3","107944300","19280164/182721/48259941/22334/1664/48259941/3050363/19280164/","0.0/5.936605237317527E-48/0.0/4.059631004574909E-6/0.9999959403689955/0.0/0.0/0.0/","4/","no"
"4","111586500","187208/48259941/187208/187208/9465/520/10451/187208/","2.403627083788539E-156/0.0/2.403627083788539E-156/2.403627083788539E-156/3.496542956375302E-8/0.9999999597655449/5.269025607377797E-9/2.403627083788539E-156/","5/","no"
"5","110831800","977/977/41318/977/253666/50/41318/977/","1.2766125245449942E-8/1.2766125245449942E-8/0.0/1.2766125245449942E-8/0.0/0.999999948935499/0.0/1.2766125245449942E-8/","5/","no"
"6","107751600","294/4494307/5810/16776/1861/711063/1467/294/","0.49414727671729064/0.0/3.743567661724601E-9/2.6872522655740504E-25/0.002437490915680725/0.0/0.009267951906170233/0.49414727671729064/","0/7/","no"
"7","107268900","2364241/2364241/2364241/2364241/137249/518/142783/50/","0.0/0.0/0.0/0.0/0.0/1.034342898171546E-4/0.0/0.9998965657101828/","7/","no"
"0","109546500","50/294/10111/11124/11124/48259941/187208/7671210/","0.9917094488998592/0.008290551100140825/2.0948523733566364E-86/4.953051362946206E-95/4.953051362946206E-95/0.0/0.0/0.0/","0/","no"
"1","111822000","63038/511/7671210/1122/7671210/11124/19280164/3692/","7.030012410283279E-54/0.7661635076748586/0.0/0.2323015305554585/0.0/7.621518510322558E-10/0.0/0.001534961007531009/","1/","no"
"2","111550500","858/4096/210844/4096/153196043/36267/92753/858/","0.4887281663140413/0.01127183368595873/3.34223522152967E-107/0.01127183368595873/0.0/6.12256115561949E-19/1.693005120919153E-47/0.4887281663140413/","0/7/","no"
"3","112313300","7671210/1184063/22128/22128/185917/7671210/19280164/3030195/","3.8120549128581805E-151/7.855757017537545E-24/0.4998474707210811/0.4998474707210811/3.0505855783786393E-4/3.8120549128581805E-151/0.0/4.610785759545376E-60/","2/3/","no"
"4","111763700","19280164/69100/69100/69100/8436/113/1185589/3030195/","0.0/1.5384211302599271E-263/1.5384211302599271E-263/1.5384211302599271E-263/1.9619738758333966E-32/1.0/0.0/0.0/","5/","no"
"5","112603900","720682/17025/1077/1077/42796/253666/41318/45260/","6.184269814445298E-291/1.8792733810564745E-7/0.4999999060363309/0.4999999060363309/7.791343018346521E-18/8.675485194115437E-103/3.0694109456637014E-17/7.923904328856592E-19/","2/3/","no"
"6","114644500","394/395/395/395/106872/395/367/1861/","0.16436988398636027/0.16392383301491262/0.16392383301491262/0.16392383301491262/3.597645146025259E-127/0.16392383301491262/0.1768830613025387/0.003051722651450741/","0/1/2/3/5/6/","no"
"7","110260500","56786/56786/2364241/56786/2185/56786/2947/50/","0.0/0.0/0.0/0.0/6.595394938088732E-19/0.0/2.139785854901688E-25/1.0/","7/","no"
"0","110240300","50/294/186964/186964/10111/7671210/186964/186964/","0.9917094488998592/0.008290551100140825/0.0/0.0/2.0948523733566364E-86/0.0/0.0/0.0/","0/","no"
"1","109235100","656/511/7671210/7671210/7671210/3046549/7671210/7671210/","0.4296686628598425/0.5703313371401575/0.0/0.0/0.0/0.0/0.0/0.0/","1/","no"
"2","110350900","594515/4096/50/2779/859/36267/859/12570/","0.0/3.515369579543281E-35/0.9999997418172517/5.767496199448955E-24/1.290913741969304E-7/3.90219250139485E-309/1.290913741969304E-7/2.42639984557542E-107/","2/","no"
"3","110505200","675/10111/1184063/511/186964/69002/186964/48259941/","0.4205995893418346/4.168283602112811E-9/0.0/0.5794004064898817/4.0521705222429864E-159/4.642600303815184E-59/4.0521705222429864E-159/0.0/","3/","no"
"4","110525200","3692/3692/3692/3692/50/3692/24592/3692/","9.688680738411491E-32/9.688680738411491E-32/9.688680738411491E-32/9.688680738411491E-32/1.0/9.688680738411491E-32/1.0249031919436622E-209/9.688680738411491E-32/","4/","no"
"5","115431000","15731/45260/1077/1077/1796212/3010/1892459/45260/","5.762197662953403E-7/7.315144115253709E-19/0.4615870180245924/0.4615870180245924/0.0/0.07682538773104877/0.0/7.315144115253709E-19/","2/3/","no"
"6","108883300","294/294/294/294/1861/294/1467/106872/","0.19905694121833364/0.19905694121833364/0.19905694121833364/0.19905694121833364/9.818924615878648E-4/0.19905694121833364/0.0037334014467438593/2.4915983257613634E-158/","0/1/2/3/5/","no"
"7","110467200","2364241/2364241/2364241/2364241/137249/518/142783/50/","0.0/0.0/0.0/0.0/0.0/1.034342898171546E-4/0.0/0.9998965657101828/","7/","no"
"0","111720200","9465/9992/1689/1689/1689/48259941/1430/72789/","0.001038035793935822/7.182456291178228E-4/0.23776731606650992/0.23776731606650992/0.23776731606650992/0.0/0.28494177037741675/6.280564095350515E-23/","2/3/4/6/","no"
"1","116690200","656/511/7671210/7671210/7671210/3046549/7671210/7671210/","0.4296686628598425/0.5703313371401575/0.0/0.0/0.0/0.0/0.0/0.0/","1/","no"
"2","120844800","15731/102008/869/98715/76174004/746966/191073762/279579/","3.8111160972515427E-8/3.2547503217605635E-51/0.9999999618888391/1.433333502321926E-49/0.0/0.0/0.0/7.430485070344275E-140/","2/","no"
"3","112896100","9893/1122/294/511/7671210/455/7671210/3692/","3.48627888543096E-15/0.028503224446760914/0.47191405416631416/0.22615116786691766/0.0/0.27342686128933585/0.0/4.692230667998087E-6/","2/","no"
"4","114691600","186964/187208/187208/187208/511/187208/10194/3030195/","6.993730850143139E-159/4.3425062349773653E-159/4.3425062349773653E-159/4.3425062349773653E-159/0.9999999938824821/4.3425062349773653E-159/6.1175179823822184E-9/0.0/","4/","no"
"5","113890000","1078/1078/76174004/76174004/11916807/361/1890933/1078/","0.09758433495914359/0.09758433495914359/0.0/0.0/0.0/0.7072469951225693/0.0/0.09758433495914359/","5/","no"
"6","113388500","395/395/1793938/395/711063/395/364/1861/","0.19582272833460454/0.19582272833460454/0.0/0.19582272833460454/0.0/0.19582272833460454/0.21318094445071611/0.003528142210865839/","0/1/3/5/6/","no"
"7","113813800","1295/1297/1297/1297/56786/137493/521/6079/","0.1191367832087579/0.11868119377187067/0.11868119377187067/0.11868119377187067/8.101131597568618E-48/5.778209587867543E-115/0.5248071660887254/1.2469386904795009E-5/","6/","no"
"0","112709700","582/669/7671210/7671210/7671210/19280164/7671210/7671210/","0.5372379537836077/0.4627620462163924/0.0/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
"1","111087300","63038/511/7671210/1122/7671210/11124/19280164/3692/","7.030012410283279E-54/0.7661635076748586/0.0/0.2323015305554585/0.0/7.621518510322558E-10/0.0/0.001534961007531009/","1/","no"
"2","116971000","1847651/14071/253666/253666/76174004/44828/1892459/15731/","1.2888534917609933E-57/0.49971819746399826/2.0149721779571318E-8/2.0149721779571318E-8/0.0/0.05616851921395069/5.337341472632205E-59/0.4441132430226074/","1/7/","no"
"3","111857500","186964/24553/7304/50/7671210/186964/7671210/72789/","0.0/2.2018634918980506E-209/1.6904278253355395E-62/1.0/0.0/0.0/0.0/0.0/","3/","no"
"4","108019400","180039/7671210/7671210/72789/8436/2617/8963/26274/","3.0884748597448376E-30/0.0/0.0/1.91081963234736E-12/0.09049044686494201/0.8354189714793032/0.07399115687188457/9.942478195919789E-5/","5/","no"
"5","112950700","30230137/743739/1890933/1890933/390/3010/1890933/1890933/","0.0/0.0/0.0/0.0/0.99877154313122/0.0012284568687800023/0.0/0.0/","4/","no"
"6","107609400","711063/1793938/278324/711063/106872/1793938/1467/711063/","1.1815743337401837E-210/0.0/1.2427056483087527E-82/1.1815743337401837E-210/6.559745842232027E-32/0.0/1.0/1.1815743337401837E-210/","6/","no"
"7","110263600","2364241/2364241/2364241/2364241/137249/2364241/142783/50/","0.0/0.0/0.0/0.0/0.0/0.0/0.0/1.0/","7/","no"
"0","108385800","514/62940/7671210/7671210/7671210/10951/19280164/11124/","0.9999999972912912/2.2738534455702237E-53/0.0/0.0/0.0/1.579718105312521E-9/0.0/1.1289907439284669E-9/","0/","no"
"1","110484700","595/669/185917/180039/187208/48259941/469566/3030195/","0.5310004535074256/0.46899954649257425/4.833772522615669E-136/9.278528419926409E-132/5.540611832951141E-137/0.0/0.0/0.0/","0/1/","no"
"2","113788800","746356/101910/759/94418/76174004/746356/76174004/30230137/","0.0/1.5785620552230611E-58/1.0/3.016413991732458E-54/0.0/0.0/0.0/0.0/","2/","no"
"3","116520600","186964/24553/50/22128/7671210/186964/7671210/72789/","0.0/2.2018634918980506E-209/1.0/9.841634367802605E-189/0.0/0.0/0.0/0.0/","2/","no"
"4","110659700","187208/48259941/3050363/72324/7387/2467/8963/24592/","2.564027712383962E-33/0.0/0.0/4.217785496468477E-13/0.112735867532341/0.8276287174647763/0.05952961282083423/1.0580218162675265E-4/","5/","no"
"5","110303800","583333/229344/583333/583333/3793268/50/583333/583333/","0.0/0.0/0.0/0.0/0.0/1.0/0.0/0.0/","5/","no"
"6","114524500","16737/4494307/5810/975/1651/107116/1473/278324/","4.597484744493115E-8/0.0/0.00334772367748383/0.47445845468767034/0.23735362256305872/2.7940122711924276E-48/0.2848401530969398/1.832924783673206E-124/","3/","no"
"7","110610600","2364241/936940/2364241/936940/2364241/6982/2364241/50/","0.0/0.0/0.0/0.0/0.0/9.332817500645175E-60/0.0/1.0/","7/","no"
"0","113939500","8436/1689/1538/1689/48259941/1689/48259941/3030195/","0.0030312146992366377/0.2429799730628751/0.26802886611213805/0.2429799730628751/0.0/0.2429799730628751/0.0/0.0/","1/2/3/5/","yes"
"1","112923700","62940/511/7671210/7671210/7671210/4323/11124/11124/","1.11047216498782E-53/0.9994161655546033/0.0/0.0/0.0/5.838324570303715E-4/9.941831905315052E-10/9.941831905315052E-10/","1/","yes"
"2","129043400","17698/17698/701/91642/746966/478056859/746966/17698/","3.0531850077562346E-11/3.0531850077562346E-11/0.9999999999084044/5.483624322042682E-57/0.0/0.0/0.0/3.0531850077562346E-11/","2/","yes"
"3","117326600","7671210/19280164/1184063/22128/185917/7671210/19280164/3030195/","7.621784735056934E-151/0.0/1.570672256494107E-23/0.9993900689490111/6.099310509889327E-4/7.621784735056934E-151/0.0/9.218759257686548E-60/","3/","yes"
"4","119564900","48259941/4323/4323/4323/79/456342/395/3030195/","0.0/8.961795129327447E-24/8.961795129327447E-24/8.961795129327447E-24/0.981109038062961/0.0/0.018890961937039055/0.0/","4/","yes"
"5","117879000","1847651/44113/44113/44113/11916807/253666/44113/44113/","3.5056504656645666E-19/0.19965461986487518/0.19965461986487518/0.19965461986487518/2.604468710870281E-118/0.0017269006756241777/0.19965461986487518/0.19965461986487518/","1/2/3/6/7/","yes"
"6","124282000","5810/395/395/395/711063/1793938/50/1861/","8.88729559273438E-50/0.001149806897397146/0.001149806897397146/0.001149806897397146/0.0/0.0/0.9965505793078081/3.7738744627311843E-16/","6/","yes"
"7","111550600","2364241/2833/2364241/2364241/137249/518/3292/50/","0.0/2.0003283483047E-24/0.0/0.0/0.0/1.034342898171546E-4/2.4686012957331433E-28/0.9998965657101828/","7/","yes"
