"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","117490100","50/110615/4494307/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42784/4494307/107919/108163/1793938/278934/110371/108163/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","113224100","716/50/200/3787/716/12187/1317511/716/1317511/234/451/294/1317511/1317511/716/716/1317511/1317511/451/703/","1.9569264359494876E-6/0.9182258165724125/0.04848560148815192/1.3811289450189308E-32/1.9569264359494876E-6/4.06797602031599E-104/0.0/1.9569264359494876E-6/0.0/0.02489333783060932/3.5334804305708504E-4/0.007676238299642163/0.0/0.0/1.9569264359494876E-6/1.9569264359494876E-6/0.0/0.0/3.5334804305708504E-4/2.525090890398365E-6/","1/","no"
"2","111602200","512/181/50/1092/373066/1092/373066/373066/373066/205/3328/215/512/373066/373066/373066/373066/512/3328/977/","9.994735374301563E-5/0.0658305742216386/0.8589509638672841/1.1501010914984003E-9/0.0/1.1501010914984003E-9/0.0/0.0/0.0/0.0411200628230351/1.0468957493896506E-28/0.033798543761134905/9.994735374301563E-5/0.0/0.0/0.0/0.0/9.994735374301563E-5/1.0468957493896506E-28/1.0965476144376263E-8/","2/","no"
"3","115954100","15712/201/98/50/101165/320/101165/101165/101165/101165/201/101165/155/101165/101165/101165/101165/155/201/5961/","2.357017237804553E-134/0.028674397662253773/0.2160721760516993/0.5537918924870998/0.0/0.0027806127686352444/0.0/0.0/0.0/0.0/0.028674397662253773/0.0/0.07066606285290207/0.0/0.0/0.0/0.0/0.07066606285290207/0.028674397662253773/2.55719933598423E-51/","3/","no"
"4","114589500","1830/716/1317511/1317511/50/1317511/234/234/31465/1317511/716/234/1317511/234/716/716/3787/1317511/716/716/","6.274128674698262E-16/1.9226817258230207E-6/0.0/0.0/0.9021575697842269/0.0/0.024457723531354465/0.024457723531354465/2.7440822412212206E-268/0.0/1.9226817258230207E-6/0.024457723531354465/0.0/0.024457723531354465/1.9226817258230207E-6/1.9226817258230207E-6/1.3569602488939287E-32/0.0/1.9226817258230207E-6/1.9226817258230207E-6/","4/","no"
"5","116363400","713/234/234/234/1317511/50/80624/1317511/1317511/80624/234/1317511/3787/1317511/451/716/80624/716/3787/567/","2.0384043616355787E-6/0.0244485011135216/0.0244485011135216/0.0244485011135216/0.0/0.9018173879169749/0.0/0.0/0.0/0.0/0.0244485011135216/0.0/1.3564485719023298E-32/0.0/3.4703381615298505E-4/1.921956728902828E-6/0.0/1.921956728902828E-6/1.3564485719023298E-32/3.5691494966399086E-5/","5/","no"
"6","115031300","512/373066/373066/373066/1160/512/50/1098/181/512/373066/152/373066/170/512/3410/474/3410/512/373066/","8.896743299943629E-5/0.0/0.0/0.0/2.6985872638049056E-10/8.896743299943629E-5/0.7645891508458671/9.101276468566449E-10/0.05859862199490524/8.896743299943629E-5/0.0/0.10347588928936662/0.0/0.07270407646373445/8.896743299943629E-5/1.8667484274067986E-29/1.8742306114310356E-4/1.8667484274067986E-29/8.896743299943629E-5/0.0/","6/","no"
"7","110998900","705/1179/1317511/1317511/1442/1317511/293/50/293/1317511/1179/293/716/293/4549/1179/525508/1317511/4549/4549/","2.5570024948327996E-6/2.351511697590334E-10/0.0/0.0/1.3544098681491722E-12/0.0/0.008244215192104503/0.9670185206086426/0.008244215192104503/0.0/2.351511697590334E-10/0.008244215192104503/2.060913636795553E-6/0.008244215192104503/4.7189896580748114E-39/2.351511697590334E-10/0.0/0.0/4.7189896580748114E-39/4.7189896580748114E-39/","7/","no"
"8","113020800","211/373066/373066/373066/22844/373066/3238/3238/54/373066/373066/3171/373066/246/373066/58686/54/58686/373066/373066/","0.02757685252151238/0.0/0.0/0.0/5.301725787983156E-181/0.0/3.45585621831525E-26/3.45585621831525E-26/0.478914554603762/0.0/0.0/1.1684370157740022E-25/0.0/0.01459403827096365/0.0/0.0/0.478914554603762/0.0/0.0/0.0/","8/16/","no"
"9","111677800","670/1287/80624/1317511/1317511/670/276/1317511/1317511/50/1317511/80868/276/1317511/670/716/276/716/276/716/","5.013488139015117E-6/2.792725937727453E-11/0.0/0.0/0.0/5.013488139015117E-6/0.011357369464625755/0.0/0.0/0.9545493786310941/0.0/0.0/0.011357369464625755/0.0/5.013488139015117E-6/2.034339352856818E-6/0.011357369464625755/2.034339352856818E-6/0.011357369464625755/2.034339352856818E-6/","9/","no"
"10","111184000","567/128/12187/3787/234/12187/1317511/567/1317511/1317511/50/1317511/716/1317511/234/234/1317511/1317511/128/229/","2.562232753720441E-5/0.14026759611962772/2.868146491332252E-104/9.737717523285107E-33/0.01755117021335454/2.868146491332252E-104/0.0/2.562232753720441E-5/0.0/0.0/0.6473996259811496/0.0/1.379740603934993E-6/0.0/0.01755117021335454/0.01755117021335454/0.0/0.0/0.14026759611962772/0.019359046743853026/","10/","no"
"11","114024000","512/512/512/373066/1092/373066/109/1029/192/373066/373066/50/373066/181/373066/8881/22425/8881/373066/373066/","8.006963483036156E-5/8.006963483036156E-5/8.006963483036156E-5/0.0/9.213668092809544E-10/0.0/0.21639429789259823/3.1689397507739833E-9/0.04250625392935586/0.0/0.0/0.6881211701800221/0.0/0.05273806500322634/0.0/4.3310672311054146E-76/2.0026518527603917E-191/4.3310672311054146E-76/0.0/0.0/","11/","no"
"12","108003100","703/1317511/294/290/1317511/1199/11962/716/1317511/11962/716/1317511/54/1317511/1199/1317511/11962/290/1199/1317511/","7.214975453044272E-6/0.0/0.01224070835304032/0.013164113066558876/0.0/8.743559251677117E-10/8.999249251777963E-95/5.696176462166239E-6/0.0/8.999249251777963E-95/5.696176462166239E-6/0.0/0.9614124555623967/0.0/8.743559251677117E-10/0.0/8.999249251777963E-95/0.013164113066558876/8.743559251677117E-10/0.0/","12/","no"
"13","115040200","2351/101165/101165/101165/15712/101165/2268/868/50/101165/101165/2268/101165/50/101165/2351/68/2351/101165/101165/","9.41607869748053E-21/0.0/0.0/0.0/1.5748217310455387E-134/0.0/4.793613998611012E-20/4.003799924889784E-8/0.37001150979186725/0.0/0.0/4.793613998611012E-20/0.0/0.37001150979186725/0.0/9.41607869748053E-21/0.2599769403782663/9.41607869748053E-21/0.0/0.0/","8/13/","no"
"14","110186500","155/215/373066/373066/215/246/22425/215/373066/22425/215/373066/914/373066/50/156/22425/512/914/156/","0.08196589317521764/0.02527542641076924/0.0/0.0/0.02527542641076924/0.013763077986379475/1.8694308758234206E-191/0.02527542641076924/0.0/1.8694308758234206E-191/0.02527542641076924/0.0/2.820391619989009E-8/0.0/0.6423457777092657/0.08037437292922535/1.8694308758234206E-191/7.474321977704898E-5/2.820391619989009E-8/0.08037437292922535/","14/","no"
"15","116417000","705/716/1317511/1317511/716/290/4600/716/4600/290/716/4600/1317511/1469/211/50/1317511/133/716/211/","2.034565383603824E-6/1.639835531054293E-6/0.0/0.0/1.639835531054293E-6/0.0069572330732244675/1.3813223632157643E-39/1.639835531054293E-6/1.3813223632157643E-39/0.0069572330732244675/1.639835531054293E-6/1.3813223632157643E-39/0.0/6.34702195523558E-13/0.03274667585097812/0.7694409416142459/0.0/0.1511410067936754/1.639835531054293E-6/0.03274667585097812/","15/","no"
"16","112642300","716/1317511/1317511/1317511/81670/716/581/4600/133/716/1317511/4600/1317511/1199/716/1317511/50/1317511/716/1317511/","1.7812425142541743E-6/0.0/0.0/0.0/0.0/1.7812425142541743E-6/2.5137732043640766E-5/1.500437130831081E-39/0.16417426129008547/1.7812425142541743E-6/0.0/1.500437130831081E-39/0.0/1.373089484618734E-10/1.7812425142541743E-6/0.0/0.8357916946279906/0.0/1.7812425142541743E-6/0.0/","16/","no"
"17","114389200","567/1317511/294/234/1317511/716/12187/1317511/12187/716/1317511/12187/234/4246/716/451/1317511/50/1317511/716/","3.7231234772845035E-5/0.0/0.007864303304992624/0.025503215420329614/0.0/2.004870411407422E-6/4.167639931487421E-104/0.0/4.167639931487421E-104/2.004870411407422E-6/0.0/4.167639931487421E-104/0.025503215420329614/1.7462068850570905E-36/2.004870411407422E-6/3.620049397054347E-4/0.0/0.9407220101982243/0.0/2.004870411407422E-6/","17/","no"
"18","114042000","567/451/31465/4075/716/31465/234/716/1317511/234/451/1317511/234/1317511/567/716/234/1317511/50/703/","3.567775586107558E-5/3.4690022874916704E-4/2.7419916036285444E-268/4.783542499981394E-35/1.921216889735248E-6/2.7419916036285444E-268/0.02443908989294603/1.921216889735248E-6/0.0/0.02443908989294603/3.4690022874916704E-4/0.0/0.02443908989294603/0.0/3.567775586107558E-5/1.921216889735248E-6/0.02443908989294603/0.0/0.9014702417947171/2.479013609112068E-6/","18/","no"
"19","112402200","509/403/920/1035/512/1035/373066/512/373066/214/403/373066/373066/373066/155/155/373066/214/403/51/","1.0985611902681464E-4/8.435616935099752E-4/4.0572099497971897E-8/4.443943528562808E-9/1.0369762299792687E-4/4.443943528562808E-9/0.0/1.0369762299792687E-4/0.0/0.03196025644652619/8.435616935099752E-4/0.0/0.0/0.0/0.09939566782519246/0.09939566782519246/0.0/0.03196025644652619/8.435616935099752E-4/0.7344401655510234/","19/","no"
"0","113776500","50/110615/4494307/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42784/4494307/107919/108163/1793938/278934/110371/108163/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","110208200","716/50/200/3787/716/12187/1317511/716/1317511/234/451/294/1317511/1317511/716/716/1317511/1317511/451/703/","1.9569264359494876E-6/0.9182258165724125/0.04848560148815192/1.3811289450189308E-32/1.9569264359494876E-6/4.06797602031599E-104/0.0/1.9569264359494876E-6/0.0/0.02489333783060932/3.5334804305708504E-4/0.007676238299642163/0.0/0.0/1.9569264359494876E-6/1.9569264359494876E-6/0.0/0.0/3.5334804305708504E-4/2.525090890398365E-6/","1/","no"
"2","110426800","512/186/54/941/373066/941/373066/373066/373066/211/8449/215/512/373066/373066/373066/373066/512/8449/1056/","2.0109514143521655E-4/0.07543682755126377/0.8315534556936244/8.239571354889562E-8/0.0/8.239571354889562E-8/0.0/0.0/0.0/0.04788250177610477/4.273263837806515E-67/0.04452375458124542/2.0109514143521655E-4/0.0/0.0/0.0/0.0/2.0109514143521655E-4/4.273263837806515E-67/1.0182029213578839E-8/","2/","no"
