"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99392800","50/110615/712589/712589/110615/280941/1793938/41408/4494307/280941/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","110541500","716/50/200/3787/716/12187/1317511/716/1317511/234/","1.97348271924055E-6/0.9259943286968675/0.04889580666450844/1.3928137797961387E-32/1.97348271924055E-6/4.1023925227334256E-104/0.0/1.97348271924055E-6/0.0/0.02510394419046654/","1/","no"
"2","103544400","512/181/50/1092/373066/1029/373066/373066/373066/197/","1.0272238027662464E-4/0.06765835238030275/0.8827996364587514/1.1820335131755853E-9/0.0/4.0654741943356915E-9/0.0/0.0/0.0/0.049439283533161585/","2/","no"
"3","101781800","6128/223/140/50/101165/343/101165/101165/101165/101165/","1.4461847277550042E-52/0.02784276185832565/0.14174419871806598/0.8277654969037206/0.0/0.00264754251988769/0.0/0.0/0.0/0.0/","3/","no"
"4","100043100","1830/716/1317511/1317511/50/1317511/234/215/80624/1317511/","6.521177751844843E-16/1.9983889308611797E-6/0.0/0.0/0.9376807805138371/0.0/0.02542076690212466/0.036896454195106766/0.0/0.0/","4/","no"
"5","102853600","713/290/290/290/1317511/50/4600/1317511/1317511/4600/","2.2006305733843065E-6/0.008803120946646594/0.008803120946646594/0.008803120946646594/0.0/0.9735884365294869/1.7478137790862165E-39/0.0/0.0/1.7478137790862165E-39/","5/","no"
"6","103144400","512/373066/373066/373066/2884/512/93/2884/148/512/","0.007282170545039502/0.0/0.0/0.0/8.00304776140168E-14/0.007282170545039502/0.6282107994585562/8.00304776140168E-14/0.3499426889061652/0.007282170545039502/","6/","no"
"7","102621700","713/1199/1317511/1317511/1448/1317511/290/50/208227/1317511/","2.2400697834892675E-6/1.628135713156072E-10/0.0/0.0/1.2339900605696514E-12/0.0/0.008960888515993885/0.9910368712501751/0.0/0.0/","7/","no"
"8","102626100","214/373066/373066/373066/1219/373066/1212/1219/50/373066/","0.038579668992451646/0.0/0.0/0.0/1.0670936369517967E-10/0.0/1.22408500186638E-10/1.0670936369517967E-10/0.9614203306717212/0.0/","8/","no"
"9","101186000","567/3787/31465/1317511/1317511/567/234/1317511/1317511/109/","0.011501418577681275/2.2272423937878587E-15/1.178635653532749E-124/0.0/0.0/0.011501418577681275/0.2373991993555572/0.0/0.0/0.7395979634890781/","9/","no"
