"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101010100","50/975/975/137/6039/975/137/6039/137/137/","0.5792238259550607/7.690183398563156E-9/7.690183398563156E-9/0.10519403774359722/5.794944988873745E-52/7.690183398563156E-9/0.10519403774359722/5.794944988873745E-52/0.10519403774359722/0.10519403774359722/","0/","no"
"1","109975300","6483/50/1645/6483/1645/6483/266/4494307/6483/6483/","1.6332198447585997E-55/0.9857309996017223/2.578762716140497E-14/1.6332198447585997E-55/2.578762716140497E-14/1.6332198447585997E-55/0.014269000398226053/0.0/1.6332198447585997E-55/1.6332198447585997E-55/","1/","no"
"2","108299700","2502/205/54/840/205/840/2502/4494307/840/840/","4.1444669835813204E-20/0.056909595816312074/0.886178604840802/5.508816434722301E-7/0.056909595816312074/5.508816434722301E-7/4.1444669835813204E-20/0.0/5.508816434722301E-7/5.508816434722301E-7/","2/","no"
"3","106593600","236/395/1832/68/395/209/236/4494307/79/50/","0.011010057570803186/4.8731824971982786E-4/2.824405052518369E-16/0.29676091859653975/4.8731824971982786E-4/0.018694342619708964/0.011010057570803186/0.0/0.23918577523467585/0.4223642119080291/","9/","no"
"4","104162200","586/102/102/716/93/716/716/11508/716/716/","0.0018646079774749824/0.32117527478154656/0.32117527478154656/4.677001506468676E-4/0.353446341706198/4.677001506468676E-4/4.677001506468676E-4/6.445622461464642E-54/4.677001506468676E-4/4.677001506468676E-4/","1/2/4/","no"
"5","106966200","395/395/2041/242/395/50/395/202/242/242/","0.0010256690854634099/0.0010256690854634099/9.87110454915394E-18/0.02060111428704745/0.0010256690854634099/0.8889589405060114/0.0010256690854634099/0.045135040290992585/0.02060111428704745/0.02060111428704745/","5/","no"
"6","105344000","202/2041/395/202/395/395/50/4494307/202/202/","0.04208096741607631/9.203173991107004E-18/9.562669510605498E-4/0.04208096741607631/9.562669510605498E-4/9.562669510605498E-4/0.8288073294825129/0.0/0.04208096741607631/0.04208096741607631/","6/","no"
"7","103770800","265/6483/6483/6483/265/1651/6483/79/6483/6483/","0.08178835060186639/1.4359947233850235E-35/1.4359947233850235E-35/1.4359947233850235E-35/0.08178835060186639/2.4464680648306994E-9/1.4359947233850235E-35/0.8364232963497992/1.4359947233850235E-35/1.4359947233850235E-35/","7/","no"
"8","107363700","216/395/1953/50/395/228/216/4494307/68/50/","0.01371853011173354/4.1022214878100305E-4/2.216912039422926E-17/0.35554415349049656/4.1022214878100305E-4/0.010842280631019876/0.01371853011173354/0.0/0.249811907866958/0.35554415349049656/","3/9/","no"
"9","104280600","202/395/2041/50/395/242/202/4494307/60/68/","0.019148073414155375/4.351294874329019E-4/4.187713877453284E-18/0.37713162423776253/4.351294874329019E-4/0.008739809386201275/0.019148073414155375/0.0/0.309982495901427/0.26497966467143264/","3/8/","no"
"0","105912100","50/975/975/114/6400/975/114/6400/114/114/","0.4671990671445309/6.202863813578375E-9/6.202863813578375E-9/0.13320022856171942/3.94077084037728E-55/6.202863813578375E-9/0.13320022856171942/3.94077084037728E-55/0.13320022856171942/0.13320022856171942/","0/","no"
