"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105904300","50/4706/1287/4706/1287/4706/197/1287/716/197/","0.8992742645207564/2.0200431225798867E-40/2.6310074888524852E-11/2.0200431225798867E-40/2.6310074888524852E-11/2.0200431225798867E-40/0.05036190943174951/2.6310074888524852E-11/1.9165368144176107E-6/0.05036190943174951/","0/","no"
"1","109631100","101165/97/133/318/2284/97/101165/133/101165/101165/","0.0/0.28653282883446735/0.19844384762849065/0.03004664701583105/5.825281524907587E-11/0.28653282883446735/0.0/0.19844384762849065/0.0/0.0/","1/5/","no"
"2","109356200","5497/671/93/784/561/138/4494307/50/43203/4494307/","2.5658231044160385E-47/3.201890745190554E-6/0.2675535003217098/3.4925785804757896E-7/2.7677069051851483E-5/0.11071580539637861/0.0/0.6216994660642565/0.0/0.0/","7/","no"
"3","107110300","4494307/635/891/50/182/561/4494307/891/16776/4494307/","0.0/9.702742056864076E-6/6.410715419984221E-8/0.9300529203660198/0.06989584420438623/4.140447322852607E-5/0.0/6.410715419984221E-8/3.4430929940424814E-143/0.0/","3/","no"
"4","106973900","259/794/128/694/50/891/4494307/128/16776/4494307/","0.011452375974376771/3.184647190571252E-7/0.14942949378873877/2.2626591381646845E-6/0.6896860077852653/4.753902308393737E-8/0.0/0.14942949378873877/2.5532450998165103E-143/0.0/","4/","no"
"5","107119200","4494307/109/660/128/857/50/4494307/660/43203/4494307/","0.0/0.20538274205652673/4.17330790182242E-6/0.14150375491178147/8.768222191966501E-8/0.6531050687336662/0.0/4.17330790182242E-6/0.0/0.0/","5/","no"
"6","104479000","1287/1317511/4773/1317511/4773/1317511/50/4773/208227/1287/","2.925700859571087E-11/0.0/6.038439849044849E-41/0.0/6.038439849044849E-41/0.0/0.999999999941486/6.038439849044849E-41/0.0/2.925700859571087E-11/","6/","no"
"7","108012400","259/705/50/891/128/694/4494307/50/16776/4494307/","0.007435362018283226/1.1840070722014675E-6/0.4477730348969805/3.0864324347667335E-8/0.0970158843033042/1.4690130549217046E-6/0.0/0.4477730348969805/1.6576736286879156E-143/0.0/","2/7/","no"
"8","106279500","356/101165/101165/101165/101165/101165/2351/101165/97/354/","0.06221259175099687/0.0/0.0/0.0/0.0/0.0/8.9718805757155E-11/0.0/0.874292127535659/0.06349528062362528/","8/","no"
"9","107926800","156/12393/1317511/12393/1317511/12393/156/1317511/713/50/","0.10008065708598508/6.240526410891341E-106/0.0/6.240526410891341E-106/0.0/6.240526410891341E-106/0.10008065708598508/0.0/1.807894815980359E-6/0.7998368779332138/","9/","no"
