"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","114283600","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","no"
"1","121550900","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","no"
"2","113748400","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","no"
"3","117676600","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","no"
"4","115629400","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","no"
"5","109518500","8275/11786/1320708/9613/9613/50/","9.106894815394909E-71/1.1512660393194345E-100/0.0/3.6772813072314474E-82/3.6772813072314474E-82/1.0/","5/","no"
"0","113435700","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","no"
"1","120031900","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","no"
"2","112187400","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","no"
"3","112762000","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","no"
"4","113743700","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","no"
"5","110974100","8275/11786/1320708/1196/9613/1009/","4.0996326584860057E-4/1.2677514804080749E-5/0.0/0.45360336567307086/1.0899642515472699E-4/0.5458649971211217/","3/5/","no"
"0","111765200","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","no"
"1","112897200","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","no"
"2","111997300","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","no"
"3","112468800","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","no"
"4","122625200","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","no"
"5","112648300","8275/11786/1320708/1196/9613/1009/","4.0996326584860057E-4/1.2677514804080749E-5/0.0/0.45360336567307086/1.0899642515472699E-4/0.5458649971211217/","3/5/","no"
"0","116648800","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","no"
"1","111462800","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","no"
"2","112827900","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","no"
"3","114212900","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","no"
"4","115187700","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","no"
"5","111858400","8275/11786/1320708/9613/9613/50/","9.106894815394909E-71/1.1512660393194345E-100/0.0/3.6772813072314474E-82/3.6772813072314474E-82/1.0/","5/","no"
"0","123141900","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","no"
"1","111815400","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","no"
"2","109357900","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","no"
"3","119380500","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","no"
"4","116167100","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","no"
"5","110627100","8275/11786/1320708/9613/9613/50/","9.106894815394909E-71/1.1512660393194345E-100/0.0/3.6772813072314474E-82/3.6772813072314474E-82/1.0/","5/","no"
"0","112395100","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","no"
"1","109942700","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","no"
"2","110949900","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","no"
"3","113342900","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","no"
"4","114616300","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","no"
"5","109632800","8275/11786/1320708/9613/9613/50/","9.106894815394909E-71/1.1512660393194345E-100/0.0/3.6772813072314474E-82/3.6772813072314474E-82/1.0/","5/","no"
"0","110571900","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","no"
"1","108125900","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","no"
"2","113406100","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","no"
"3","111628200","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","no"
"4","117062500","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","no"
"5","114480800","8275/11786/1320708/9613/9613/50/","9.106894815394909E-71/1.1512660393194345E-100/0.0/3.6772813072314474E-82/3.6772813072314474E-82/1.0/","5/","no"
"0","111766000","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","no"
"1","108437200","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","no"
"2","113041200","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","no"
"3","114740300","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","no"
"4","116231000","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","no"
"5","113390800","8275/11786/1320708/9613/9613/50/","9.106894815394909E-71/1.1512660393194345E-100/0.0/3.6772813072314474E-82/3.6772813072314474E-82/1.0/","5/","no"
"0","111304300","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","no"
"1","112849700","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","no"
"2","113351600","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","no"
"3","113065900","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","no"
"4","117049000","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","no"
"5","117412800","8275/11786/1320708/1196/9613/1009/","4.0996326584860057E-4/1.2677514804080749E-5/0.0/0.45360336567307086/1.0899642515472699E-4/0.5458649971211217/","3/5/","no"
"0","113178700","50/14378/9510343/7975/10877/9833/","1.0/9.745347266532227E-123/0.0/3.2662072875192764E-68/6.336306333206931E-93/4.921524792847055E-84/","0/","yes"
"1","114239700","242580/50/10478/30725/242580/237753/","0.0/1.0/1.5832584621163506E-89/6.090353519072504E-262/0.0/0.0/","1/","yes"
"2","120180300","3702900/1411/50/1968/10521/13369/","0.0/2.572161526020305E-12/0.9999999999974277/4.646449797747633E-17/6.813683565369583E-90/3.810795104535599E-114/","2/","yes"
"3","125918500","2341/5058/233251/50/3825/4337/","3.096068969439006E-20/2.2593576955276637E-43/0.0/1.0/7.139910388669726E-33/3.1168563425969465E-37/","3/","yes"
"4","129690200","88493/16790/2185/88493/50/95647/","0.0/2.8133450384047212E-143/6.595394938088732E-19/0.0/1.0/0.0/","4/","yes"
"5","121061600","8275/11786/1320708/9613/9613/50/","9.106894815394909E-71/1.1512660393194345E-100/0.0/3.6772813072314474E-82/3.6772813072314474E-82/1.0/","5/","yes"
