"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","117112600","15931/701/1768/25483/9872/515724/","3.104609052379945E-10/0.8205286622641175/0.17946959791873843/3.825008729616287E-16/1.7395066829456025E-6/1.96564E-319/","1/","no"
"1","122661700","7068/50/21092978/9975/1588/1667/","1.7285146266430503E-60/0.999999999999903/0.0/3.040098047116166E-85/7.999096172169736E-14/1.699457273103957E-14/","1/","no"
"2","111876900","187257/30863/50/181979/651/597/","0.0/4.0689267582002584E-263/0.9999704001461021/0.0/7.622978954267395E-6/2.1976874943529185E-5/","2/","no"
"3","127583500","1330/8868/1264223/50/1118/1527/","1.2590995296074516E-11/8.12143028728738E-76/0.0/0.9999999991829472/8.041973059828337E-10/2.6453989729771943E-13/","3/","no"
"4","114472900","4231/37460/2334/213456/50/887/","2.4909673185199447E-36/2.70536E-319/3.551563964450077E-20/0.0/0.9999999254476878/7.455231222654636E-8/","4/","no"
"5","113108100","9441/1628/1618/3206878/661/50/","1.0720216643288847E-80/3.651027246778867E-14/4.441921250133725E-14/0.0/6.265836727179989E-6/0.9999937341631919/","5/","no"
"0","116605900","15931/701/1768/25483/9872/515724/","3.104609052379945E-10/0.8205286622641175/0.17946959791873843/3.825008729616287E-16/1.7395066829456025E-6/1.96564E-319/","1/","no"
"1","113938900","7068/50/21092978/9975/1588/1667/","1.7285146266430503E-60/0.999999999999903/0.0/3.040098047116166E-85/7.999096172169736E-14/1.699457273103957E-14/","1/","no"
"2","111949200","187257/30863/50/181979/651/597/","0.0/4.0689267582002584E-263/0.9999704001461021/0.0/7.622978954267395E-6/2.1976874943529185E-5/","2/","no"
"3","112056700","1330/8868/1264223/50/1118/1527/","1.2590995296074516E-11/8.12143028728738E-76/0.0/0.9999999991829472/8.041973059828337E-10/2.6453989729771943E-13/","3/","no"
"4","113457700","4231/37460/2334/213456/50/887/","2.4909673185199447E-36/2.70536E-319/3.551563964450077E-20/0.0/0.9999999254476878/7.455231222654636E-8/","4/","no"
"5","113581400","9441/1628/1618/3206878/661/50/","1.0720216643288847E-80/3.651027246778867E-14/4.441921250133725E-14/0.0/6.265836727179989E-6/0.9999937341631919/","5/","no"
"0","113744800","15931/701/1768/25483/9872/515724/","3.104609052379945E-10/0.8205286622641175/0.17946959791873843/3.825008729616287E-16/1.7395066829456025E-6/1.96564E-319/","1/","no"
"1","116063600","7068/50/21092978/9975/1588/1667/","1.7285146266430503E-60/0.999999999999903/0.0/3.040098047116166E-85/7.999096172169736E-14/1.699457273103957E-14/","1/","no"
"2","115139100","187257/30863/50/181979/651/597/","0.0/4.0689267582002584E-263/0.9999704001461021/0.0/7.622978954267395E-6/2.1976874943529185E-5/","2/","no"
"3","114503200","1330/8868/1264223/50/1118/1527/","1.2590995296074516E-11/8.12143028728738E-76/0.0/0.9999999991829472/8.041973059828337E-10/2.6453989729771943E-13/","3/","no"
"4","125518700","4231/37460/2334/213456/50/887/","2.4909673185199447E-36/2.70536E-319/3.551563964450077E-20/0.0/0.9999999254476878/7.455231222654636E-8/","4/","no"
"5","114734200","9441/1628/1618/3206878/661/50/","1.0720216643288847E-80/3.651027246778867E-14/4.441921250133725E-14/0.0/6.265836727179989E-6/0.9999937341631919/","5/","no"
"0","116720500","15931/701/1768/25483/9872/515724/","3.104609052379945E-10/0.8205286622641175/0.17946959791873843/3.825008729616287E-16/1.7395066829456025E-6/1.96564E-319/","1/","no"
"1","115987300","7068/50/21092978/9975/1588/1667/","1.7285146266430503E-60/0.999999999999903/0.0/3.040098047116166E-85/7.999096172169736E-14/1.699457273103957E-14/","1/","no"
"2","117170700","187257/30863/50/181979/651/597/","0.0/4.0689267582002584E-263/0.9999704001461021/0.0/7.622978954267395E-6/2.1976874943529185E-5/","2/","no"
"3","112662100","1330/8868/1264223/50/1118/1527/","1.2590995296074516E-11/8.12143028728738E-76/0.0/0.9999999991829472/8.041973059828337E-10/2.6453989729771943E-13/","3/","no"
"4","112426400","4231/37460/2334/213456/50/887/","2.4909673185199447E-36/2.70536E-319/3.551563964450077E-20/0.0/0.9999999254476878/7.455231222654636E-8/","4/","no"
"5","121549400","9441/1628/1618/3206878/661/50/","1.0720216643288847E-80/3.651027246778867E-14/4.441921250133725E-14/0.0/6.265836727179989E-6/0.9999937341631919/","5/","no"
"0","113723800","15931/701/1768/25483/9872/515724/","3.104609052379945E-10/0.8205286622641175/0.17946959791873843/3.825008729616287E-16/1.7395066829456025E-6/1.96564E-319/","1/","no"
"1","113246800","7068/50/21092978/9975/1588/1667/","1.7285146266430503E-60/0.999999999999903/0.0/3.040098047116166E-85/7.999096172169736E-14/1.699457273103957E-14/","1/","no"
"2","111738600","187257/30863/50/181979/651/597/","0.0/4.0689267582002584E-263/0.9999704001461021/0.0/7.622978954267395E-6/2.1976874943529185E-5/","2/","no"
"3","112354100","1330/8868/1264223/50/1118/1527/","1.2590995296074516E-11/8.12143028728738E-76/0.0/0.9999999991829472/8.041973059828337E-10/2.6453989729771943E-13/","3/","no"
