"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","109520600","50/79/5922/691/50/2111/","0.3896651963990868/0.22066825136923027/3.8656021341603633E-51/1.3558325960501595E-6/0.3896651963990868/1.0966933297805226E-18/","0/4/","no"
"1","105280300","691/50/5922/140/5922/140/","2.59183500718308E-6/0.7448912941392805/7.389557504625592E-51/0.1275530570128562/7.389557504625592E-51/0.1275530570128562/","1/","no"
"2","98085300","2111/198/50/2111/2111/691/","2.6679304523097006E-18/0.0520565478833654/0.9479401537770049/2.6679304523097006E-18/2.6679304523097006E-18/3.2983396296941544E-6/","2/","no"
"3","105724600","50/79/5922/691/50/2111/","0.3896651963990868/0.22066825136923027/3.8656021341603633E-51/1.3558325960501595E-6/0.3896651963990868/1.0966933297805226E-18/","0/4/","no"
"4","98834300","50/79/2111/2111/50/2111/","0.3896657247205779/0.22066855055884402/1.0966948167151028E-18/1.0966948167151028E-18/0.3896657247205779/1.0966948167151028E-18/","0/4/","no"
"5","99466500","79/50/691/2111/79/691/","0.2655440193826018/0.4689086981171078/1.6315588442430078E-6/1.3197202271419124E-18/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"0","101114600","50/79/5922/691/50/2111/","0.3896651963990868/0.22066825136923027/3.8656021341603633E-51/1.3558325960501595E-6/0.3896651963990868/1.0966933297805226E-18/","0/4/","no"
"1","97886100","79/50/2111/691/79/691/","0.2655440193826018/0.4689086981171078/1.3197202271419124E-18/1.6315588442430078E-6/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"2","99462400","5922/691/691/5922/2111/691/","1.6656460335466017E-4/0.3195381008620365/0.3195381008620365/1.6656460335466017E-4/0.041052568207181256/0.3195381008620365/","1/2/5/","no"
"3","99542500","50/79/5922/691/50/2111/","0.3896651963990868/0.22066825136923027/3.8656021341603633E-51/1.3558325960501595E-6/0.3896651963990868/1.0966933297805226E-18/","0/4/","no"
"4","105099300","50/79/2111/2111/50/2111/","0.3896657247205779/0.22066855055884402/1.0966948167151028E-18/1.0966948167151028E-18/0.3896657247205779/1.0966948167151028E-18/","0/4/","no"
"5","103000900","79/50/691/2111/79/691/","0.2655440193826018/0.4689086981171078/1.6315588442430078E-6/1.3197202271419124E-18/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"0","101441200","50/2111/2111/5922/50/2111/","0.5/1.4072251511234692E-18/1.4072251511234692E-18/4.9601583229430837E-51/0.5/1.4072251511234692E-18/","0/4/","no"
"1","99469900","2111/50/691/140/2111/691/","2.402957929662687E-18/0.8537929867669958/2.9707563632450396E-6/0.14620107172027766/2.402957929662687E-18/2.9707563632450396E-6/","1/","no"
"2","97729100","2111/2111/691/2111/2111/2111/","0.07822502768138075/0.07822502768138075/0.6088748615930963/0.07822502768138075/0.07822502768138075/0.07822502768138075/","2/","no"
"3","100301200","79/50/2111/691/79/691/","0.2655440193826018/0.4689086981171078/1.3197202271419124E-18/1.6315588442430078E-6/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"4","108435500","140/2111/2111/140/50/2111/","0.1275533876101915/2.0964649616226898E-18/2.0964649616226898E-18/0.1275533876101915/0.7448932247796171/2.0964649616226898E-18/","4/","no"
"5","98594800","79/50/2111/691/79/691/","0.2655440193826018/0.4689086981171078/1.3197202271419124E-18/1.6315588442430078E-6/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"0","99617300","50/79/2111/2111/50/2111/","0.3896657247205779/0.22066855055884402/1.0966948167151028E-18/1.0966948167151028E-18/0.3896657247205779/1.0966948167151028E-18/","0/4/","no"
"1","101113800","79/50/691/2111/79/691/","0.2655440193826018/0.4689086981171078/1.6315588442430078E-6/1.3197202271419124E-18/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"2","97445600","2111/198/50/2111/2111/691/","2.6679304523097006E-18/0.0520565478833654/0.9479401537770049/2.6679304523097006E-18/2.6679304523097006E-18/3.2983396296941544E-6/","2/","no"
"3","100258500","79/50/2111/691/79/691/","0.2655440193826018/0.4689086981171078/1.3197202271419124E-18/1.6315588442430078E-6/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"4","98367600","50/79/5922/691/50/2111/","0.3896651963990868/0.22066825136923027/3.8656021341603633E-51/1.3558325960501595E-6/0.3896651963990868/1.0966933297805226E-18/","0/4/","no"
"5","99332900","2111/691/272/691/2111/50/","2.778672487365619E-18/3.4352490617154033E-6/0.012705315200361198/3.4352490617154033E-6/2.778672487365619E-18/0.9872878143015154/","5/","no"
"0","98804300","50/2111/79/2111/691/79/","0.4689094631704896/1.3197223803466339E-18/0.26554445263400206/1.3197223803466339E-18/1.6315615062316134E-6/0.26554445263400206/","0/","no"
"1","100804400","79/50/2111/691/79/691/","0.2655440193826018/0.4689086981171078/1.3197202271419124E-18/1.6315588442430078E-6/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"2","100306900","2111/2111/691/2111/2111/2111/","0.07822502768138075/0.07822502768138075/0.6088748615930963/0.07822502768138075/0.07822502768138075/0.07822502768138075/","2/","no"
"3","100870900","50/79/2111/244/691/2111/","0.6294894884875328/0.35648127152107295/1.7716668811350076E-18/0.01402704969476187/2.1902966322099245E-6/1.7716668811350076E-18/","0/","no"
"4","100366500","50/79/5922/691/50/2111/","0.3896651963990868/0.22066825136923027/3.8656021341603633E-51/1.3558325960501595E-6/0.3896651963990868/1.0966933297805226E-18/","0/4/","no"
"5","100265300","79/50/2111/691/79/691/","0.2655440193826018/0.4689086981171078/1.3197202271419124E-18/1.6315588442430078E-6/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"0","99246000","50/79/5922/691/50/2111/","0.3896651963990868/0.22066825136923027/3.8656021341603633E-51/1.3558325960501595E-6/0.3896651963990868/1.0966933297805226E-18/","0/4/","no"
"1","100725500","2111/691/272/691/2111/50/","2.778672487365619E-18/3.4352490617154033E-6/0.012705315200361198/3.4352490617154033E-6/2.778672487365619E-18/0.9872878143015154/","5/","no"
"2","100810300","79/2111/50/2111/2111/79/","0.2655448858868161/1.3197245335583817E-18/0.46891022822636785/1.3197245335583817E-18/1.3197245335583817E-18/0.2655448858868161/","2/","no"
"3","99710900","50/79/5922/691/50/2111/","0.3896651963990868/0.22066825136923027/3.8656021341603633E-51/1.3558325960501595E-6/0.3896651963990868/1.0966933297805226E-18/","0/4/","no"
"4","99535900","50/79/2111/2111/50/2111/","0.3896657247205779/0.22066855055884402/1.0966948167151028E-18/1.0966948167151028E-18/0.3896657247205779/1.0966948167151028E-18/","0/4/","no"
"5","100924800","5922/691/691/5922/2111/691/","1.6656460335466017E-4/0.3195381008620365/0.3195381008620365/1.6656460335466017E-4/0.041052568207181256/0.3195381008620365/","1/2/5/","no"
"0","101737700","50/79/5922/691/50/2111/","0.3896651963990868/0.22066825136923027/3.8656021341603633E-51/1.3558325960501595E-6/0.3896651963990868/1.0966933297805226E-18/","0/4/","no"
"1","99136200","79/50/2111/691/79/691/","0.2655440193826018/0.4689086981171078/1.3197202271419124E-18/1.6315588442430078E-6/0.2655440193826018/1.6315588442430078E-6/","1/","no"
"2","101496500","691/272/5922/2111/2111/5922/","0.17694706891839387/0.8211035079731198/8.438243172116589E-10/9.747107104189308E-4/9.747107104189308E-4/8.438243172116589E-10/","1/","no"
