"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","103759000","50/64/1468/1484/64/54/1468/89/","0.2557593534524346/0.19436292773334615/2.1515022909582257E-13/1.5721448726247356E-13/0.19436292773334615/0.23646627663451317/2.1515022909582257E-13/0.11904851444577244/","0/5/","no"
"1","113761800","112/50/2268/5961/112/40251/2268/155/","0.1723256673957642/0.5811868908725641/7.529456630857404E-20/2.6836989699279144E-51/0.1723256673957642/0.0/7.529456630857404E-20/0.07416177433590734/","1/","no"
"2","100870000","4028/108/50/592/4028/4028/108/4028/","8.124759996623538E-35/0.19537842346704407/0.6092283845514754/1.4768514436326501E-5/8.124759996623538E-35/8.124759996623538E-35/0.19537842346704407/8.124759996623538E-35/","2/","no"
"3","102508000","2284/832/299/50/101165/310/2284/15809/","9.338867903094439E-20/2.1622883057711276E-7/0.007476816366461435/0.9864967422287078/0.0/0.006026225176000121/9.338867903094439E-20/6.267592429182848E-135/","3/","no"
"4","108138300","126/127/22844/137/50/127/22844/148/","0.11293390350830672/0.11074108175123527/3.943860971841519E-195/0.09102338471204408/0.5011967814449504/0.11074108175123527/3.943860971841519E-195/0.07336376683222821/","4/","no"
"5","101582600","137/137/318/5922/137/50/2351/108/","0.09707949473811554/0.09707949473811554/0.0027913087403432834/5.3028376924572116E-51/0.09707949473811554/0.5345431886648732/1.3603092332186847E-20/0.17142701838043684/","5/","no"
"6","104377700","1468/193/97/160/10317/102/50/3989/","4.3476435722616753E-13/0.0313051637775535/0.20564183737008795/0.0597902069630936/1.9226646141601145E-88/0.18643763499436836/0.516825156894462/1.480749523907E-34/","6/","no"
"7","105483100","89/90/3989/10317/90/4028/3989/50/","0.19571276735303536/0.19191264001256111/1.2046604695230385E-34/1.564179504659374E-88/0.19191264001256111/5.607342893714967E-35/1.2046604695230385E-34/0.42046195262184227/","7/","no"
"0","104062800","50/82/529/535/82/10317/529/97/","0.40550883508906616/0.21652189653577744/3.380947462951652E-5/3.005695310877759E-5/0.21652189653577744/1.508551736606441E-88/3.380947462951652E-5/0.16134969593701123/","0/","no"
"1","104766000","112/50/5922/2284/112/40251/198/155/","0.16699580714712628/0.5632113625980845/5.587235055534007E-51/5.3317525458243437E-20/0.16699580714712628/0.0/0.03092899815323117/0.07186802495443172/","1/","no"
"2","100585300","4028/4028/50/592/4028/4028/4028/4028/","1.333582487671314E-34/1.333582487671314E-34/0.9999757592442984/2.4240755701572484E-5/1.333582487671314E-34/1.333582487671314E-34/1.333582487671314E-34/1.333582487671314E-34/","2/","no"
"3","101614200","5961/780/320/68/101165/331/274/15809/","7.377278680764235E-38/3.004326093486863E-5/0.02360715305788639/0.9102539939749829/0.0/0.020128354082962548/0.04598045562323332/7.644931755352054E-100/","3/","no"
"4","103949200","691/691/40251/2127/50/2111/40251/2268/","3.4794566552463022E-6/3.4794566552463022E-6/0.0/2.056559660318082E-18/0.9999930410866895/2.8144307167312684E-18/0.0/1.2955220346964767E-19/","4/","no"
"5","103703900","1535/1468/241/1535/1468/89/241/565/","7.659341278376038E-8/1.612499301509102E-7/0.13439433781813026/7.659341278376038E-8/1.612499301509102E-7/0.7275386950920235/0.13439433781813026/0.0036721535850302665/","5/","no"
