"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","118612600","1173/3787/1173/294/12393/3870/294/260/81915/525508/1830/12354/294/1652/525508/12393/294/","0.0066070808367816435/2.9539894996194706E-7/0.0066070808367816435/0.19170505517571657/1.4136398820870791E-21/2.1493145269643396E-7/0.19170505517571657/0.2183777189444573/2.9394501795865277E-137/0.0/5.33071641879602E-4/1.6414715762894536E-21/0.19170505517571657/0.0010543167068308163/0.0/1.4136398820870791E-21/0.19170505517571657/","3/6/7/12/16/17/18/19/","no"
"1","124223700","246/914/246/3410/3410/947/512/122/22942/148646/509/3395/22942/438/148646/3410/3410/","0.19264030299889054/8.436061215465136E-4/0.19264030299889054/1.2975960186975372E-12/1.2975960186975372E-12/6.450920514941797E-4/0.02215854296364261/0.5279253104907479/1.407952871569568E-81/0.0/0.02270564002509373/1.4658929158617462E-12/1.407952871569568E-81/0.04044120234303778/0.0/1.2975960186975372E-12/1.2975960186975372E-12/","7/19/","no"
"2","125974300","2474/6209/2474/381/381/83/82/6209/78/83/78/375/2474/381/83/381/55/","3.636911995860266E-20/3.934068350853988E-49/3.636911995860266E-20/6.201390126704217E-4/6.201390126704217E-4/0.1269276144921065/0.12921453721915827/3.934068350853988E-49/0.13878176642420878/0.1269276144921065/0.13878176642420878/6.902725530613616E-4/3.636911995860266E-20/6.201390126704217E-4/0.1269276144921065/6.201390126704217E-4/0.20926825785236178/","16/","no"
"3","118664800","381/73/6209/348/6209/2474/55/55/2474/2474/78/952/55/381/2474/6209/381/","6.731072211598447E-4/0.16470390656660222/4.270090675465292E-49/0.0012134105978201836/4.270090675465292E-49/3.947553172948717E-20/0.2271425803601657/0.2271425803601657/3.947553172948717E-20/3.947553172948717E-20/0.15063559498247536/2.5109125422774877E-8/0.2271425803601657/6.731072211598447E-4/3.947553172948717E-20/4.270090675465292E-49/6.731072211598447E-4/","6/7/12/17/18/19/","no"
"4","115311300","2474/2474/6209/82/78/68/82/2474/952/2474/2474/83/375/82/6209/78/2474/","1.1981484631508643E-16/1.1981484631508643E-16/3.715022991943164E-40/0.1361609818219206/0.1442876519559309/0.16679014848155468/0.1361609818219206/1.1981484631508643E-16/4.551617186401399E-7/1.1981484631508643E-16/1.1981484631508643E-16/0.1342018650485804/0.001949281930521947/0.1361609818219206/3.715022991943164E-40/0.1442876519559309/1.1981484631508643E-16/","3/4/5/6/11/13/15/17/18/","no"
"5","118156600","10317/3989/216/239/241/157/168/3989/1468/82/3989/203/3989/157/502/241/228/","8.665468461889823E-55/1.1189790186024771E-21/0.061788442377622724/0.04683392796073604/0.04571888774774006/0.1257831891683273/0.11017054601385703/1.1189790186024771E-21/1.7372518115894143E-8/0.31049697586343633/1.1189790186024771E-21/0.07226521090960102/1.1189790186024771E-21/0.1257831891683273/0.0019698023305642666/0.04571888774774006/0.05347092333952966/","9/","no"
"6","119568600","1551/1551/10317/170/10317/170/502/1551/10317/1468/535/10317/1468/1468/157/10317/1551/","4.834828749176857E-5/4.834828749176857E-5/3.8840378011627506E-29/0.30222804623917615/3.8840378011627506E-29/0.30222804623917615/0.036962948891924675/4.834828749176857E-5/3.8840378011627506E-29/8.175665866147613E-5/0.029995736957076257/3.8840378011627506E-29/8.175665866147613E-5/8.175665866147613E-5/0.3281465585466952/3.8840378011627506E-29/4.834828749176857E-5/","3/5/14/17/","no"
"7","122509100","441/1092/318/8488/22942/331/512/78/2966/148646/487/487/3410/466/148646/22942/22844/","0.009008676402114713/2.3760444458498756E-6/0.04274063824325633/5.213089924525927E-47/1.8100777239489422E-126/0.03625557711496733/0.0036672937066268996/0.8916956425785327/1.1850311368798903E-16/0.0/0.0050324637564607205/0.0050324637564607205/4.2942252908710256E-19/0.006564868397134452/0.0/1.8100777239489422E-126/6.258096809701383E-126/","7/19/","no"
"8","120583000","381/82/381/375/348/6209/2474/55/50/123/82/73/136/2474/123/136/2474/","3.3984049720567697E-4/0.1195179059494387/3.3984049720567697E-4/3.8226857615192636E-4/6.490665184424731E-4/7.988883728646915E-54/5.107051252246658E-22/0.20293342415701524/0.223836792441143/0.05349266983581411/0.1195179059494387/0.14258478268014507/0.041456416531092735/5.107051252246658E-22/0.05349266983581411/0.041456416531092735/5.107051252246658E-22/","7/8/19/","no"
"9","122738600","109/561/109/106/109/1366/227/561/50/561/227/95/109/561/1366/55/561/","0.07912716889267188/1.1201710299972104E-5/0.07912716889267188/0.0839213306778106/0.07912716889267188/1.564026060129982E-12/0.007825055279377288/1.1201710299972104E-5/0.2516197542251415/1.1201710299972104E-5/0.007825055279377288/0.10412229221138283/0.07912716889267188/1.1201710299972104E-5/1.564026060129982E-12/0.22812182820159527/1.1201710299972104E-5/","8/15/","no"
