"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","136514400","305/364272/1165/1367/7092/","0.9163583085279602/0.0/0.05514410988999596/0.028497581368480195/2.1356361046020743E-10/","0/7/","no"
"1","117736900","42924/10538/16892/43368/12767/","0.018912522763565878/0.4086223408282693/0.22360651017574348/0.018132303085945982/0.3307263231464753/","1/4/6/7/","no"
"2","127693100","1566/1990/175/1210/52327/","3.6830484727579495E-4/3.310949421319186E-5/0.9968146017058495/0.0027839839526616074/2.0382766992406898E-129/","2/6/","no"
"3","132470300","3025800/1316837/1013875/4960/8494/","2.3830704141596782E-265/9.609491474927572E-116/3.195328618110474E-89/0.6709216243753371/0.329078375624663/","3/5/","no"
"4","130226000","65375578/9433/3883834/66913035/50/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/","4/6/","no"
"5","133204700","133386/13006/40080/115063/45574/","7.923025718545742E-5/0.8285022160297709/0.10335037677788157/3.2410296778419214E-4/0.06774407396737783/","1/7/","no"
"6","135836000","14548/32298/5734053/14645/105598/","0.43658675305063877/0.12889163095437084/8.131310502669218E-172/0.43368565637666/8.359596183303675E-4/","0/3/5/7/","no"
"7","134663300","20697/21757/19780/18823/15992/","0.18310856254911156/0.17136575970482457/0.19391439525607032/0.2058721776865033/0.24573910480349023/","3/4/5/6/","no"
"0","123765200","50/371428/1247/1407/7269/","0.9999999999331187/0.0/6.409926392090973E-11/2.782021936450031E-12/3.3576998050808783E-62/","0/7/","no"
"1","120392500","48264/8694/16620/48264/15047/","0.005543284776940445/0.5250421588430197/0.21101309539806867/0.005543284776940445/0.2528581762050308/","1/7/","no"
"2","120586000","776/1718/50/804/51260/","6.571883653041107E-7/6.2519474376860326E-15/0.9999989632750133/3.7953661512740204E-7/0.0/","2/6/","no"
"3","134525800","3025800/1316837/1013875/4960/8494/","2.3830704141596782E-265/9.609491474927572E-116/3.195328618110474E-89/0.6709216243753371/0.329078375624663/","3/5/","no"
"4","127149700","65375578/9433/3883834/66913035/50/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/","4/6/","no"
"5","134546800","133386/13006/40080/115063/45574/","7.923025718545742E-5/0.8285022160297709/0.10335037677788157/3.2410296778419214E-4/0.06774407396737783/","1/7/","no"
"6","128922900","14529/31903/5724862/14715/105328/","0.43635826106039816/0.13199059094707669/9.137482658684333E-172/0.43080799536301767/8.431526295074406E-4/","0/3/5/7/","no"
"7","141546900","20697/21757/19780/18823/15992/","0.18310856254911156/0.17136575970482457/0.19391439525607032/0.2058721776865033/0.24573910480349023/","3/4/5/6/","no"
"0","126652200","50/367863/1202/1367/7184/","0.999999999839004/0.0/1.5490094090063296E-10/6.095139827423167E-12/1.7777308208792592E-61/","0/7/","no"
"1","119528300","42438/8809/16782/43341/12653/","0.010507784973922914/0.47783047874184237/0.19330353969568698/0.009484124032678034/0.3088740725558698/","1/7/","no"
"2","117654400","798/1698/50/653/49651/","4.269177677699606E-7/9.253882079782587E-15/0.9999922430978111/7.329984411809392E-6/0.0/","2/6/","no"
"3","132044300","3025800/1316837/1013875/4960/8494/","2.3830704141596782E-265/9.609491474927572E-116/3.195328618110474E-89/0.6709216243753371/0.329078375624663/","3/5/","no"
"4","134321300","65375578/9433/3883834/66913035/50/","0.0/1.2540963616267055E-80/0.0/0.0/1.0/","4/6/","no"
"5","136614000","133386/13006/40080/115063/45574/","7.923025718545742E-5/0.8285022160297709/0.10335037677788157/3.2410296778419214E-4/0.06774407396737783/","1/7/","no"
"6","140221200","14519/32254/5736980/14627/105598/","0.4368169615360255/0.12877871222443463/3.02681427946828E-172/0.43357996310358005/8.243631359597108E-4/","0/3/5/7/","no"
"7","135545500","20697/21757/19780/18823/15992/","0.18310856254911156/0.17136575970482457/0.19391439525607032/0.2058721776865033/0.24573910480349023/","3/4/5/6/","no"
"0","124171100","50/373050/1216/1367/7620/","0.9999999998761888/0.0/1.1771612641652892E-10/6.0951398276498134E-12/3.4440857873340505E-65/","0/7/","no"
"1","118566000","15869/3071/5076/15869/4391/","0.007044128918181118/0.454051268242202/0.23640367863579906/0.007044128918181118/0.29545679528563673/","1/7/","no"
