"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","106913800","150/22425/373066/373066/373066/373066/373066/","1.0/8.59752828494409E-65/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","110209900","50/50/101165/101165/15712/15712/101165/","0.5/0.5/0.0/0.0/2.1280712753116535E-134/2.1280712753116535E-134/0.0/","0/1/","no"
"2","124654400","2147483647/2147483647/50/50/244048/166476/1131/","0.0/0.0/0.4999999998441883/0.4999999998441883/0.0/0.0/3.11623429987566E-10/","2/3/","no"
"3","117151700","2147483647/852964464/146077/49929/4689/1022/84/","0.0/0.0/0.0/2.1115407308631727E-255/2.9610843071539808E-24/1.612225020047892E-5/0.9999838777497995/","6/7/8/9/","no"
"4","114514300","711063/1793938/106872/106872/50/50/40892/","0.0/0.0/0.0/0.0/0.5/0.5/0.0/","4/5/","no"
"5","115799600","113050284/283228681/1002/987/44520016/64/1002/","0.0/0.0/5.405001120452326E-7/6.807969349694141E-7/0.0/0.999998238202841/5.405001120452326E-7/","5/","no"
"6","114238300","76174004/191073762/31769/10334/1044/50/60/","0.0/0.0/4.303710678971E-271/1.4630498983411727E-88/1.8835600445605518E-9/0.5488631545674195/0.45113684354902045/","5/6/7/8/9/","no"
"7","117957400","76174004/191073762/91642/31769/2698/687/50/","0.0/0.0/0.0/7.841106561386731E-271/2.823238832455812E-23/3.763354508457217E-6/0.9999962366454915/","6/7/8/9/","no"
"8","118666500","711813722/1783526897/352782/126124/10219/4004/60/","0.0/0.0/0.0/0.0/4.7007787289775543E-73/8.324724913601171E-29/1.0/","6/7/8/9/","no"
"9","114335100","339794931/2136842333/146961/50282/4797/1118/93/","0.0/0.0/0.0/1.315466400639162E-232/1.8483631704042805E-22/1.837951738799983E-5/0.999981620482612/","6/7/8/9/","no"
"0","103198400","2884/3328/373066/373066/373066/373066/373066/","0.538399109516499/0.46160089048350084/1.0130427306146088E-56/1.0130427306146088E-56/1.0130427306146088E-56/1.0130427306146088E-56/1.0130427306146088E-56/","0/1/","no"
"1","109039900","65/65/40251/40251/40251/40251/40251/","0.5/0.5/1.8461725130565804E-265/1.8461725130565804E-265/1.8461725130565804E-265/1.8461725130565804E-265/1.8461725130565804E-265/","0/1/","no"
