"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105069900","50/4494307/16776/215/4494307/4824/215/","0.9270441641737913/0.0/3.4319544586544445E-143/0.03647791791310431/0.0/2.0593524793830599E-41/0.03647791791310431/","0/8/","no"
"1","98980900","101165/50/101165/146/223/101165/101165/","0.0/0.8432644997257838/0.0/0.1283714131779695/0.028364087096246767/0.0/0.0/","1/8/","no"
"2","115458400","101165/101165/93/101165/2111/126/5922/","0.0/0.0/0.5868755309122624/0.0/2.7866030220217905E-10/0.41312446880907727/6.881260047285361E-28/","2/8/","no"
"3","106885800","306/6113/6483/50/4494307/2130/306/","0.006520947893366234/2.3139226620606805E-52/1.6352529872731193E-55/0.9869581042132675/0.0/1.9137989780012442E-18/0.006520947893366234/","3/8/9/","no"
"4","103483800","1793938/385/367/868/367/973/1473/","0.0/0.2759580047018317/0.2897915121298999/0.07427308936808896/0.2897915121298999/0.055836211487942135/0.014349670182337458/","1/2/4/7/8/","no"
"5","101628000","171/373066/463/373066/373066/246/373066/","0.5465387246854501/0.0/0.10007608492552275/0.0/0.0/0.35338519038902727/0.0/","0/8/","no"
"6","103605400","705/1317511/133/598/133/608/50/","1.8983489708435653E-6/0.0/0.14102194847668928/1.5471873480818964E-5/0.14102194847668928/1.2717071838111657E-5/0.7179260157523316/","6/8/","no"
"7","101252400","4494307/2407/2502/212/822/4494307/4494307/","0.0/3.165238591409701E-5/2.026315354399181E-5/0.9459810814146226/0.05396700304591934/0.0/0.0/","3/8/9/","no"
"8","103927500","212/4494307/822/2502/4494307/111/4494307/","0.2883247898240177/0.0/0.0012431630962760978/3.8028647591309366E-10/0.0/0.7104320466994196/0.0/","5/8/","no"
"9","108113300","215/16177/16776/188/4494307/868/215/","0.31395681223388433/6.584426473862157E-38/2.7675990053157566E-39/0.3621695885018651/0.0/0.009916787030366261/0.31395681223388433/","0/3/6/8/9/","no"
"0","101624900","50/4494307/6483/224/4494307/1530/284/","0.9586314717048892/0.0/1.5883196775095428E-55/0.03161848794964373/0.0/2.391091135701148E-13/0.009750040345227933/","0/8/","no"
"1","102832400","373066/50/373066/3238/90/373066/373066/","0.0/0.68660907503206/0.0/4.887048299828446E-28/0.31339092496794/0.0/0.0/","1/8/","no"
"2","104138100","101165/101165/50/101165/2111/283/5922/","0.0/0.0/0.9897342915541921/0.0/2.7855579760088557E-18/0.01026570844580777/9.818477567509405E-51/","2/8/","no"
"3","100131400","287/6243/6483/50/4494307/2130/287/","0.009409299726845457/1.7979362099161429E-53/1.6256817887717247E-55/0.9811814005463091/0.0/1.902597439124522E-18/0.009409299726845457/","3/8/9/","no"
"4","101749100","4494307/732/248/16776/50/4494307/248/","0.0/1.4956811857231065E-6/0.019786948330910624/3.5555301913663114E-143/0.960424607656993/0.0/0.019786948330910624/","4/7/8/","no"
"5","105745700","2951/373066/1281/373066/373066/97/373066/","2.2504980938845135E-13/0.0/5.6625382307209635E-6/0.0/0.0/0.9999943374615443/0.0/","5/8/","no"
"6","103658600","670/1317511/147/562/147/608/50/","4.044456896097023E-6/0.0/0.11494962142429685/3.361573748453508E-5/0.11494962142429685/1.3640366895039257E-5/0.7700494565901307/","6/8/","no"
"7","102078900","4494307/2407/2502/212/822/4494307/4494307/","0.0/3.165238591409701E-5/2.026315354399181E-5/0.9459810814146226/0.05396700304591934/0.0/0.0/","3/8/9/","no"
"8","99008000","1851/4494307/822/2502/4494307/518/4494307/","0.04631293877510585/0.0/0.33632580126287825/0.013211479584200174/0.0/0.6041497803778157/0.0/","5/8/","no"
"9","103999400","215/16177/16776/188/4494307/868/215/","0.31395681223388433/6.584426473862157E-38/2.7675990053157566E-39/0.3621695885018651/0.0/0.009916787030366261/0.31395681223388433/","0/3/6/8/9/","no"
"0","103439700","50/4494307/6483/233/4494307/1473/293/","0.9650902984885956/0.0/1.5990210596120332E-55/0.026681925174446314/0.0/7.360381871807679E-13/0.00822777633622216/","0/8/","no"
"1","104865900","373066/272/373066/151/941/373066/373066/","0.0/0.3096901032327606/0.0/0.6865127256714592/0.0037971710957803574/0.0/0.0/","3/8/9/","no"
"2","105636700","101165/101165/50/356/272/126/272/","0.0/0.0/0.7977375934610792/0.0019773937962002325/0.010266011010448115/0.1797529907218242/0.010266011010448115/","2/8/","no"
"3","102100400","205/6113/6483/50/4494307/2130/205/","0.04368938813933773/2.1396398919381154E-52/1.512087064251581E-55/0.9126212237213245/0.0/1.769653197845069E-18/0.04368938813933773/","3/8/9/","no"
"4","103447800","4494307/705/259/16776/50/4494307/259/","0.0/2.5592132590400663E-6/0.016071421792753844/3.583036308905854E-143/0.9678545972012332/0.0/0.016071421792753844/","4/7/8/","no"
"5","101468500","476/373066/1187/512/373066/914/512/","0.2874324315128841/0.0/0.0647427531630987/0.2665378110562068/0.0/0.1147491932116037/0.2665378110562068/","0/3/6/8/9/","no"
"6","103075000","214/1317511/1179/171/1179/608/50/","0.03540515428956822/0.0/2.1455253363569604E-10/0.08226902466714295/2.1455253363569604E-10/1.5628911399211875E-5/0.8823101917027846/","6/8/","no"
"7","115016600","4494307/246/2502/1851/233/4494307/4494307/","0.0/0.48585134293693005/3.1583421168016985E-5/5.101391942528014E-4/0.513606934447649/0.0/0.0/","1/4/7/8/","no"
"8","101076600","1851/4494307/822/2502/4494307/518/4494307/","0.04631293877510585/0.0/0.33632580126287825/0.013211479584200174/0.0/0.6041497803778157/0.0/","5/8/","no"
