"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","110263500","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/3/4/5/","no"
"1","108343000","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/3/","no"
"2","109960700","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/4/","no"
"3","102811800","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/4/","no"
"4","109462900","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/4/","no"
"5","103367200","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/4/","no"
"0","107359800","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/3/4/5/","no"
"1","108973500","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/3/","no"
"2","101770800","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/4/","no"
"3","107464900","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/4/","no"
"4","105516000","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/4/","no"
"5","106863500","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/4/","no"
"0","105811100","50/656/2648/","0.9999930887487086/6.911251291316201E-6/7.525323178333997E-23/","0/3/4/5/","no"
"1","103860400","361/50/1662/","0.002242230915843631/0.9977577690841377/1.8703085479924757E-14/","1/3/","no"
"2","107909800","30459/30459/50/","1.121466411236367E-259/1.121466411236367E-259/1.0/","2/4/","no"
"3","104017300","37014/31067/841/","2.1996739964159983E-19/2.5689551379392753E-16/0.9999999999999997/","2/4/","no"
"4","108038900","94089/81915/616/","1.6074804277372848E-66/5.9592432252284434E-58/1.0/","2/4/","no"
"5","108387700","2704/3584/562/","0.021683699224708374/0.0045426281321358265/0.9737736726431558/","2/4/","no"
