"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","113048900","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","108253300","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","105721700","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","102260900","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","104148500","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","103183700","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","101858700","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","102143300","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","102818400","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","110026400","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","103096100","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","102899900","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","99435900","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","103366800","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","100287000","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","105901500","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","104698800","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
"5","103173800","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/3/5/","no"
"0","104721500","50/48054/38036/","1.0/0.0/0.0/","0/3/5/","no"
"1","102065100","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/4/5/","no"
"2","105860600","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/3/","no"
"3","105164300","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/3/4/5/","no"
"4","105186800","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/4/5/","no"
