"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","100981500","156/861/674/","0.9540871241796963/0.010700699707367556/0.0352121761129362/","0/3/5/","no"
"1","108999200","12059/37284/1469863019/","0.8900865245649764/0.10991347543502371/0.0/","0/3/5/","no"
"2","107331800","478056859/478056859/78/","0.0/0.0/1.0/","2/4/","no"
"3","102774900","2147483647/2147483647/2078/","0.0/0.0/1.0/","2/4/","no"
"4","99652300","14902303/14902303/175/","0.0/0.0/1.0/","2/4/","no"
"5","99454800","7671210/473081/11124/","9.285664120688424E-300/9.252483923865224E-19/1.0/","2/4/","no"
"0","101195700","50/2568/601256/","1.0/3.61222175003823E-22/0.0/","0/3/5/","no"
"1","104796700","968/3941/915247/","0.9555580407820553/0.0444419592179446/0.0/","0/3/5/","no"
"2","99486600","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","107149300","2147483647/2147483647/2078/","0.0/0.0/1.0/","2/4/","no"
"4","98116300","14902303/14902303/64/","0.0/0.0/1.0/","2/4/","no"
"5","96978600","7671210/1676/48259941/","0.0/1.0/0.0/","1/","no"
"0","101755100","78/667/91772/","0.9994221950335332/5.778049664668115E-4/0.0/","0/3/5/","no"
"1","101985200","1633/5603/5856331/","0.9190583109064292/0.08094168909357081/0.0/","0/3/5/","no"
"2","103083500","478056859/478056859/65/","0.0/0.0/1.0/","2/4/","no"
"3","101215900","2147483647/2147483647/2078/","0.0/0.0/1.0/","2/4/","no"
"4","99487300","473081/19280164/549/","0.0/0.0/1.0/","2/4/","no"
"5","100252400","185917/1676/48259941/","1.936026802114009E-48/1.0/0.0/","1/","no"
"0","103446600","153196043/335/562757/","0.0/1.0/0.0/","1/","no"
"1","106487900","1795/37284/19422/","0.9999453518217115/2.6200382464809084E-9/5.464555825016826E-5/","0/3/5/","no"
"2","97672100","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","102393800","2147483647/2147483647/43267/","0.0/0.0/1.0/","2/4/","no"
"4","103778000","48259941/11124/960/","0.0/2.550825739088219E-5/0.9999744917426092/","2/4/","no"
"5","95057700","62940/10884/48259941/","0.008306621088958086/0.9916933789110419/0.0/","1/","no"
"0","103953700","50/10334/478056859/","1.0/2.6656004983505577E-88/0.0/","0/3/5/","no"
"1","108223800","12059/37284/5856331/","0.8900865245649764/0.10991347543502371/3.093644031590871E-211/","0/3/5/","no"
"2","106983100","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","99363800","2147483647/2147483647/2078/","0.0/0.0/1.0/","2/4/","no"
"4","100898400","465090/48259941/630/","2.1334E-320/0.0/1.0/","2/4/","no"
"5","99588300","473081/390/48259941/","0.0/1.0/0.0/","1/","no"
"0","99416800","596/2568/153196043/","0.9645378306868292/0.035462169313170845/0.0/","0/3/5/","no"
"1","102584700","12059/37284/1469863019/","0.8900865245649764/0.10991347543502371/0.0/","0/3/5/","no"
"2","100874200","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","100568300","83/129416/711813722/","1.0/0.0/0.0/","0/3/5/","no"
"4","98761700","48259941/11124/960/","0.0/2.550825739088219E-5/0.9999744917426092/","2/4/","no"
"5","99808700","7671210/1676/48259941/","0.0/1.0/0.0/","1/","no"
"0","102878800","50/8750/153196043/","1.0/8.212412099003691E-75/0.0/","0/3/5/","no"
"1","103044700","43267/50/2147483647/","0.0/1.0/0.0/","1/","no"
"2","102252300","153196043/153196043/50/","0.0/0.0/1.0/","2/4/","no"
"3","108775400","388/19212/167940/","1.0/9.641980606102916E-22/8.680349130166747E-188/","0/3/5/","no"
"4","99439300","14902303/14902303/50/","0.0/0.0/1.0/","2/4/","no"
"5","100873500","2365/505/14902303/","0.02470126581860805/0.9752987341813919/0.0/","1/","no"
"0","101438600","50/10334/478056859/","1.0/2.6656004983505577E-88/0.0/","0/3/5/","no"
"1","104671500","12059/37284/5856331/","0.8900865245649764/0.10991347543502371/3.093644031590871E-211/","0/3/5/","no"
"2","98316000","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","100033100","50/126124/17862208/","1.0/0.0/0.0/","0/3/5/","no"
"4","99516900","48259941/48259941/511/","0.0/0.0/1.0/","2/4/","no"
"5","98952200","7671210/473081/11124/","9.285664120688424E-300/9.252483923865224E-19/1.0/","2/4/","no"
"0","102020100","156/861/674/","0.9540871241796963/0.010700699707367556/0.0352121761129362/","0/3/5/","no"
"1","103918900","12059/37284/1469863019/","0.8900865245649764/0.10991347543502371/0.0/","0/3/5/","no"
"2","99911200","478056859/478056859/50/","0.0/0.0/1.0/","2/4/","no"
"3","102505900","400/19397/2795409/","1.0/2.6650481232773486E-21/0.0/","0/3/5/","no"
"4","100806900","48259941/48259941/175/","0.0/0.0/1.0/","2/4/","no"
"5","100508800","7671210/912/48259941/","0.0/1.0/0.0/","1/","no"
"0","103861500","50/31769/17025/","1.0/7.841136070361513E-271/2.805835145480509E-145/","0/3/5/","yes"
"1","109846900","37284/37284/1469863019/","0.5/0.5/0.0/","0/1/3/5/","yes"
"2","102573400","1796212/478056859/50/","0.0/0.0/1.0/","2/4/","yes"
"3","104748700","2638869/44982051/1783526897/","0.9999998925190647/1.0748093518834154E-7/8.103977073624389E-294/","0/3/5/","yes"
"4","122369200","171809/48259941/19280164/511/","5.007903313144378E-146/0.0/0.0/1.0/","3/","yes"
"5","112199600","185917/7671210/48259941/7671210/3046549/","0.9999997921658539/3.2715737082184838E-18/5.031029270570072E-113/3.2715737082184838E-18/2.0783414603581748E-7/","0/5/","yes"
