"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","114199700","50/1468/50/3989/3989/241/1468/1468/1468/10317/25963/10317/228/3989/10317/10317/502/502/","0.4867574387311057/4.0947075070147864E-13/0.4867574387311057/1.394602867225481E-34/1.394602867225481E-34/0.011503690389976404/4.0947075070147864E-13/4.0947075070147864E-13/4.0947075070147864E-13/1.8108083374869778E-88/1.0547217452882164E-221/1.8108083374869778E-88/0.014843615618897183/1.394602867225481E-34/1.8108083374869778E-88/1.8108083374869778E-88/6.890826363847365E-5/6.890826363847365E-5/","0/2/","no"
"1","120301200","2474/50/952/136/78/381/55/55/55/2474/136/952/381/2474/2474/55/2474/73/","3.6714511918613685E-22/0.1609159214975446/3.35388055482561E-9/0.02980295328276267/0.0929314750376376/2.4431080419638627E-4/0.14588852259158758/0.14588852259158758/0.14588852259158758/3.6714511918613685E-22/0.02980295328276267/3.35388055482561E-9/2.4431080419638627E-4/3.6714511918613685E-22/3.6714511918613685E-22/0.14588852259158758/3.6714511918613685E-22/0.10250397821678829/","1/6/7/8/15/","no"
"2","122506400","348/381/381/381/952/136/78/348/78/2474/6209/2474/952/952/2474/68/78/78/","0.0035271365854909085/0.0021863325527695437/0.0021863325527695437/0.0021863325527695437/5.568933479538354E-7/0.0761686639838474/0.176536888484826/0.0035271365854909085/0.176536888484826/1.4659425027730892E-16/4.545354995779851E-40/1.4659425027730892E-16/5.568933479538354E-7/5.568933479538354E-7/1.4659425027730892E-16/0.20406884056751384/0.176536888484826/0.176536888484826/","6/8/15/16/17/","no"
"3","131576700","2474/68/952/78/952/2474/348/348/348/2474/6209/2474/83/123/68/134/348/348/","1.564711481794158E-16/0.21781813223123092/5.94414456248994E-7/0.18843119416340381/5.94414456248994E-7/1.564711481794158E-16/0.0037647800665672735/0.0037647800665672735/0.0037647800665672735/1.564711481794158E-16/4.851601708302505E-40/1.564711481794158E-16/0.1752597491695513/0.09815609420355098/0.21781813223123092/0.08369160883928256/0.0037647800665672735/0.0037647800665672735/","1/3/12/14/","no"
"4","128574600","241/25963/83/83/78/502/10317/83/241/241/216/228/1551/83/170/241/241/241/","0.02063028824006092/8.13618748348638E-144/0.15243835714291937/0.15243835714291937/0.16239821529666187/7.58026321142443E-4/8.369855464546499E-58/0.15243835714291937/0.02063028824006092/0.02063028824006092/0.028310025364436102/0.02432044272048112/1.2969201986824648E-9/0.15243835714291937/0.05067813098831504/0.02063028824006092/0.02063028824006092/0.02063028824006092/","2/3/4/7/13/","no"
"5","122864300","1366/1366/109/55/1366/109/55/55/55/55/50/55/561/55/55/55/1366/109/","6.152474624588119E-13/6.152474624588119E-13/0.031126584852889418/0.08973723616909061/6.152474624588119E-13/0.031126584852889418/0.08973723616909061/0.08973723616909061/0.08973723616909061/0.08973723616909061/0.09898071345349738/0.08973723616909061/4.406463557700447E-6/0.08973723616909061/0.08973723616909061/0.08973723616909061/6.152474624588119E-13/0.031126584852889418/","3/6/7/8/9/10/11/13/14/15/","no"
"6","115370700","241/228/78/3989/241/241/1468/78/78/228/78/228/1551/241/78/228/241/241/","0.019970182218150265/0.023542263060143263/0.15720196992105423/4.967437716554292E-23/0.019970182218150265/0.019970182218150265/3.5898314815446996E-9/0.15720196992105423/0.15720196992105423/0.023542263060143263/0.15720196992105423/0.023542263060143263/1.2554227254951814E-9/0.019970182218150265/0.15720196992105423/0.023542263060143263/0.019970182218150265/0.019970182218150265/","2/7/8/10/14/","no"
"7","117531400","1551/50/502/535/535/1551/50/50/50/1468/203/50/10317/535/1468/228/170/239/","3.177516264804302E-14/0.19229609948428777/2.722257384387597E-5/1.4253289558859013E-5/1.4253289558859013E-5/3.177516264804302E-14/0.19229609948428777/0.19229609948428777/0.19229609948428777/1.6176358479093494E-13/0.009573859051897799/0.19229609948428777/7.153694068242733E-89/1.4253289558859013E-5/1.6176358479093494E-13/0.005864048823165062/0.01828525856679583/0.004726353693794902/","1/6/7/8/11/","no"
"8","121211600","127/198/140/156/2194/156/198/50/198/5922/806/198/40251/2194/93/868/724/895/","0.09638238832928012/0.023954749867175485/0.07469562557083308/0.0545815569159263/2.411558489033206E-19/0.0545815569159263/0.023954749867175485/0.4362115852103251/0.023954749867175485/4.32735704989038E-51/1.5919160808938166E-7/0.023954749867175485/0.0/2.411558489033206E-19/0.1877272587070898/4.7201340117326824E-8/7.946896779656413E-7/2.7799291084081026E-8/","7/","no"
"9","120789100","25963/25963/1551/216/1535/228/10317/1551/3989/73/25963/3989/228/25963/216/25963/25963/1551/","7.400758384670487E-153/7.400758384670487E-153/1.3788102368870745E-9/0.09427829209853109/1.71161470404031E-9/0.0801651434871818/4.934179296168031E-61/1.3788102368870745E-9/6.780503956708183E-24/0.6511131229805288/7.400758384670487E-153/6.780503956708183E-24/0.0801651434871818/7.400758384670487E-153/0.09427829209853109/7.400758384670487E-153/7.400758384670487E-153/1.3788102368870745E-9/","9/","no"
"10","118295000","83/1551/1551/1551/25963/82/228/203/228/3989/3989/3989/239/228/1468/78/25963/239/","0.24671571808235793/2.099016311317686E-9/2.099016311317686E-9/2.099016311317686E-9/1.316811185231455E-143/0.2498585512398912/0.03936171710535297/0.05401433061300798/0.03936171710535297/8.305356100981429E-23/8.305356100981429E-23/8.305356100981429E-23/0.034245432239612156/0.03936171710535297/6.002053875257E-9/0.2628353719703567/1.316811185231455E-143/0.034245432239612156/","0/5/15/","no"
"11","119241900","10317/78/3989/535/10317/1551/55/78/50/10317/535/50/1551/10317/3989/170/10317/216/","8.867059190180413E-89/0.13765231928236243/6.829008854490423E-35/1.7667062774495907E-5/8.867059190180413E-89/3.9385560144175735E-14/0.2160935623078845/0.13765231928236243/0.23835250430087934/8.867059190180413E-89/1.7667062774495907E-5/0.23835250430087934/3.9385560144175735E-14/8.867059190180413E-89/6.829008854490423E-35/0.02266471958023781/8.867059190180413E-89/0.00919673681976636/","6/8/11/","no"
"12","116768100","6209/6209/82/375/6209/2474/381/2474/381/6209/6209/381/952/54/968/6209/952/952/","1.5530457688191642E-49/1.5530457688191642E-49/0.3728975575319217/0.0018112749869276573/1.5530457688191642E-49/4.8275603050464926E-20/0.0016240777250909266/4.8275603050464926E-20/0.0016240777250909266/1.5530457688191642E-49/1.5530457688191642E-49/0.0016240777250909266/5.033156811746936E-8/0.6204187456841167/3.7627056753087916E-8/1.5530457688191642E-49/5.033156811746936E-8/5.033156811746936E-8/","13/","no"
"13","117435200","101165/901/901/136/15712/15712/126/780/2335/2335/2335/2335/156/78/107/50/101165/40251/","0.0/2.321735110672611E-8/2.321735110672611E-8/0.07589792411067232/1.7441578122086417E-134/1.7441578122086417E-134/0.09233910873868964/2.489990076907742E-7/1.4271634255267297E-20/1.4271634255267297E-20/1.4271634255267297E-20/1.4271634255267297E-20/0.051276495559914474/0.23666466785957502/0.1340237180534979/0.4097977902439409/0.0/0.0/","15/","no"
"14","119414500","1551/157/502/535/535/1551/157/157/157/1468/203/1468/10317/535/50/228/55/239/","6.602699813483767E-14/0.04902723394142715/5.6566975040355286E-5/2.9617532836642966E-5/2.9617532836642966E-5/6.602699813483767E-14/0.04902723394142715/0.04902723394142715/0.04902723394142715/3.3613561729269463E-13/0.01989393982855936/3.3613561729269463E-13/1.4864973316829036E-88/2.9617532836642966E-5/0.3995804629742028/0.012185163141362004/0.3622649819686022/0.009821096747210474/","14/16/","no"
"15","122797300","3410/318/1092/22942/1125/3410/318/318/318/3328/425/3328/148646/914/78/428/83/509/","2.230588808609394E-19/0.02220116153218698/1.2342105480442116E-6/9.402252653900034E-127/8.12783920131513E-7/2.230588808609394E-19/0.02220116153218698/0.02220116153218698/0.02220116153218698/6.298051336594668E-19/0.005729992541296652/6.298051336594668E-19/0.0/1.1746978872466737E-5/0.46318164192498495/0.005516477626609971/0.4347747813904454/0.0019786664145744516/","14/16/","no"
"16","119525400","1551/170/535/535/55/1551/170/170/170/1551/214/1551/3989/535/1551/73/50/228/","5.5175575004806125E-14/0.03175120350160201/2.474994245760314E-5/2.474994245760314E-5/0.30272735773030746/5.5175575004806125E-14/0.03175120350160201/0.03175120350160201/0.03175120350160201/5.5175575004806125E-14/0.013399073089558759/5.5175575004806125E-14/9.566818115068531E-35/2.474994245760314E-5/5.5175575004806125E-14/0.21270184885814075/0.3339101038678848/0.01018255262005137/","4/16/","no"
"17","117137300","83/6209/2474/375/83/83/381/83/83/83/82/83/123/83/83/83/50/123/","0.07220871619207861/4.922189468152883E-54/3.1466065524254563E-22/2.3552706779217305E-4/0.07220871619207861/0.07220871619207861/2.093858632839233E-4/0.07220871619207861/0.07220871619207861/0.07220871619207861/0.07363854549672526/0.07220871619207861/0.03295842886598365/0.07220871619207861/0.07220871619207861/0.07220871619207861/0.13791252191944522/0.03295842886598365/","16/","no"
"18","115846200","381/2474/2474/2474/55/381/2474/73/381/381/68/136/6209/381/381/381/381/83/","8.758054653699622E-4/5.136311920335215E-20/5.136311920335215E-20/5.136311920335215E-20/0.29554387034339635/8.758054653699622E-4/5.136311920335215E-20/0.21430253160894064/8.758054653699622E-4/8.758054653699622E-4/0.2343168900233149/0.06957384564798333/5.555977760502621E-49/8.758054653699622E-4/8.758054653699622E-4/8.758054653699622E-4/8.758054653699622E-4/0.17925641865340522/","4/","no"
"19","114140000","123/6209/50/6209/348/83/375/375/2474/2474/6209/952/83/2474/2474/2474/2474/136/","0.09645375233383335/1.4404923421317085E-53/0.4036048043140094/1.4404923421317085E-53/0.0011703454213481581/0.2113208022219522/6.892764687635612E-4/6.892764687635612E-4/9.208630979764515E-22/9.208630979764515E-22/1.4404923421317085E-53/8.412109208494989E-9/0.2113208022219522/9.208630979764515E-22/9.208630979764515E-22/9.208630979764515E-22/9.208630979764515E-22/0.07475093213726856/","2/","no"
"20","126983200","10317/50/3989/535/3989/1551/50/50/78/502/535/50/1468/3989/502/157/228/203/","7.781223353695809E-89/0.2091645079951414/5.992747092519992E-35/1.550360254777101E-5/5.992747092519992E-35/3.456251208198099E-14/0.2091645079951414/0.2091645079951414/0.12079579244000933/2.9610565579261636E-5/1.550360254777101E-5/0.2091645079951414/1.7595365020438635E-13/5.992747092519992E-35/2.9610565579261636E-5/0.025663810461081935/0.006378449122193599/0.010413687659684728/","1/6/7/11/","no"
"0","120805000","78/228/78/3989/3989/1551/228/228/228/10317/25963/10317/1468/3989/157/203/78/68/","0.19636631742922067/0.02233307666138716/0.19636631742922067/4.750641207242746E-26/4.750641207242746E-26/1.0515354668546073E-10/0.02233307666138716/0.02233307666138716/0.02233307666138716/7.039508779949435E-66/2.342583352412581E-164/7.039508779949435E-66/3.501354858740468E-10/4.750641207242746E-26/0.06249298716766334/0.03208496943136245/0.19636631742922067/0.22699078401247455/","0/2/16/17/","no"
"1","122468400","1551/50/502/535/535/1551/50/50/50/1468/203/50/10317/535/1468/228/170/239/","3.177516264804302E-14/0.19229609948428777/2.722257384387597E-5/1.4253289558859013E-5/1.4253289558859013E-5/3.177516264804302E-14/0.19229609948428777/0.19229609948428777/0.19229609948428777/1.6176358479093494E-13/0.009573859051897799/0.19229609948428777/7.153694068242733E-89/1.4253289558859013E-5/1.6176358479093494E-13/0.005864048823165062/0.01828525856679583/0.004726353693794902/","1/6/7/8/11/","no"
"2","115308300","123/348/123/6209/2474/2474/375/348/952/2474/348/2474/6209/2474/952/2474/2474/136/","0.2838685673436278/0.046246935900537245/0.2838685673436278/1.3729791563809542E-22/1.6558996869354963E-9/1.6558996869354963E-9/0.037197935985561294/0.046246935900537245/3.545263765040567E-4/1.6558996869354963E-9/0.046246935900537245/1.6558996869354963E-9/1.3729791563809542E-22/1.6558996869354963E-9/3.545263765040567E-4/1.6558996869354963E-9/1.6558996869354963E-9/0.2556150572812654/","0/2/17/","no"
"3","118750500","381/50/123/136/136/381/50/50/50/348/68/348/2474/136/348/78/55/82/","2.017062915079761E-4/0.132854352784855/0.03174962414474245/0.024605719761043785/0.024605719761043785/2.017062915079761E-4/0.132854352784855/0.132854352784855/0.132854352784855/3.852419045214298E-4/0.09334592908304323/3.852419045214298E-4/3.0311995689212723E-22/0.024605719761043785/3.852419045214298E-4/0.07672547784313338/0.12044752978616728/0.070937730423782/","1/6/7/8/16/","no"
"4","115063300","1551/25963/535/73/157/3989/10317/216/1551/1551/25963/502/10317/73/1551/73/1551/241/","5.924344497258735E-10/3.1798895191517904E-153/5.437335914372083E-4/0.27976427386639513/0.08991027552149425/2.9133843243909113E-24/2.1200725944519633E-61/0.04050862591982837/5.924344497258735E-10/5.924344497258735E-10/3.1798895191517904E-153/8.492939448865725E-4/2.1200725944519633E-61/0.27976427386639513/5.924344497258735E-10/0.27976427386639513/5.924344497258735E-10/0.028895246460995786/","3/13/15/","no"
"5","116079300","1366/1366/109/1366/50/50/561/109/109/55/1366/227/109/1366/55/227/1366/109/","1.1409749873778588E-12/1.1409749873778588E-12/0.057724179174520204/1.1409749873778588E-12/0.18355950275994204/0.18355950275994204/8.171776413405106E-6/0.057724179174520204/0.057724179174520204/0.1664174956466505/1.1409749873778588E-12/0.005708467765477354/0.057724179174520204/1.1409749873778588E-12/0.1664174956466505/0.005708467765477354/1.1409749873778588E-12/0.057724179174520204/","4/5/9/14/","no"
"6","123029900","78/241/241/241/3989/241/502/228/535/502/535/502/1468/3989/157/502/10317/1468/","0.48766288297649635/0.061950347307733106/0.061950347307733106/0.061950347307733106/1.5409698740273933E-22/0.061950347307733106/0.00227626455417081/0.07303145044216725/0.001499023995968222/0.00227626455417081/0.001499023995968222/0.00227626455417081/1.1136168144515167E-8/1.5409698740273933E-22/0.1794011488694479/0.00227626455417081/2.5133698904763934E-57/1.1136168144515167E-8/","0/","no"
"7","125985800","381/2474/2474/2474/136/83/55/136/381/381/6209/381/55/136/381/381/381/55/","6.838275725470106E-4/4.010424519152092E-20/4.010424519152092E-20/4.010424519152092E-20/0.05432315264454684/0.13996313848012779/0.23076020352613424/0.05432315264454684/6.838275725470106E-4/6.838275725470106E-4/4.338098967542697E-49/6.838275725470106E-4/0.23076020352613424/0.05432315264454684/6.838275725470106E-4/6.838275725470106E-4/6.838275725470106E-4/0.23076020352613424/","6/12/17/","no"
"8","118025400","10317/55/1551/535/10317/1551/55/78/50/502/535/78/1551/10317/10317/157/3989/203/","8.983618950201579E-89/0.21893416743124033/3.990329340164493E-14/1.78993008314556E-5/8.983618950201579E-89/3.990329340164493E-14/0.21893416743124033/0.13946179421173668/0.24148570890748908/3.4186146056030634E-5/1.78993008314556E-5/0.13946179421173668/3.990329340164493E-14/8.983618950201579E-89/8.983618950201579E-89/0.029629517559478888/6.918777921797803E-35/0.012022865499239248/","1/6/8/","no"
"9","116091700","83/78/375/952/83/375/348/78/123/78/78/78/375/348/78/78/83/375/","0.08905347348524899/0.09487195631749032/0.0022100927508072053/1.4873444684827036E-6/0.08905347348524899/0.0022100927508072053/0.0031105720097354163/0.09487195631749032/0.053672882954652584/0.09487195631749032/0.09487195631749032/0.09487195631749032/0.0022100927508072053/0.0031105720097354163/0.09487195631749032/0.09487195631749032/0.08905347348524899/0.0022100927508072053/","0/1/4/7/9/10/11/14/15/16/","no"
