"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","87463300","50/50/","0.5/0.5/","0/1/","no"
"1","85297000","50/50/","0.5/0.5/","0/1/","no"
"2","88975100","40251/15712/","0.17340277134489332/0.8265972286551067/","1/","no"
"3","85413600","529/157/","0.08671426591242151/0.9132857340875785/","1/","no"
"4","83717300","22425/8282/","0.15349174871784654/0.8465082512821535/","1/","no"
"0","84549100","50/50/","0.5/0.5/","0/1/","no"
"1","85887300","68/50/","0.41266937561800915/0.5873306243819909/","1/","no"
"2","82885900","15809/5922/","0.1585234726184655/0.8414765273815346/","1/","no"
"3","84661200","529/502/","0.4865837381230389/0.5134162618769611/","0/1/","no"
"4","84313500","941/914/","0.4926234860601615/0.5073765139398384/","0/1/","no"
"0","84158100","68/50/","0.41266937561800915/0.5873306243819909/","1/","no"
"1","83842700","502/50/","1.4154587988890748E-4/0.9998584541201111/","1/","no"
"2","80486000","40251/5922/","0.003030838676157435/0.9969691613238426/","1/","no"
"3","83643300","3989/1535/","0.16830944120734959/0.8316905587926504/","1/","no"
"4","81105700","5922/691/","5.209952226133254E-4/0.9994790047773867/","1/","no"
"0","84479100","157/157/","0.5/0.5/","0/1/","no"
"1","83553600","50/50/","0.5/0.5/","0/1/","no"
"2","82548200","10317/10317/","0.5/0.5/","0/1/","no"
"3","81834800","15712/6089/","0.17077687863835853/0.8292231213616414/","1/","no"
"4","85210300","8282/2884/","0.13341944395233857/0.8665805560476615/","1/","no"
"0","86290600","50/54/","0.5195977978782956/0.48040220212170437/","0/1/","no"
"1","84139200","157/157/","0.5/0.5/","0/1/","no"
"2","80205100","40251/40251/","0.5/0.5/","0/1/","no"
"3","83355100","5922/2111/","0.1413101402622664/0.8586898597377336/","1/","no"
"4","84724200","22425/2884/","0.0011425947878405465/0.9988574052121595/","1/","no"
"0","85365900","50/54/","0.5195977978782956/0.48040220212170437/","0/1/","no"
"1","83736200","134/50/","0.16150685429648454/0.8384931457035155/","1/","no"
"2","81474500","40251/5922/","0.003030838676157435/0.9969691613238426/","1/","no"
"3","84187600","2335/234/","1.3096813499995403E-4/0.999869031865/","1/","no"
"4","80485400","2111/2111/","0.5/0.5/","0/1/","no"
"0","82924600","50/50/","0.5/0.5/","0/1/","no"
"1","85411600","157/50/","0.10928754517256477/0.8907124548274352/","1/","no"
"2","80956900","15809/5922/","0.1585234726184655/0.8414765273815346/","1/","no"
"3","82844300","10317/3989/","0.16995236309930833/0.8300476369006916/","1/","no"
"4","80714300","40251/40251/","0.5/0.5/","0/1/","no"
"0","83800700","68/50/","0.41266937561800915/0.5873306243819909/","1/","no"
"1","85184500","502/50/","1.4154587988890748E-4/0.9998584541201111/","1/","no"
"2","82773100","40251/40251/","0.5/0.5/","0/1/","no"
"3","84414200","5922/753/","0.001052601224872916/0.9989473987751272/","1/","no"
"4","81062300","15712/15712/","0.5/0.5/","0/1/","no"
"0","83124900","54/50/","0.48040220212170437/0.5195977978782956/","0/1/","no"
"1","86990600","50/50/","0.5/0.5/","0/1/","no"
"2","83458200","40251/40251/","0.5/0.5/","0/1/","no"
"3","85682900","691/198/","0.07745872278085401/0.922541277219146/","1/","no"
"4","82081900","22425/8488/","0.16222413059052285/0.8377758694094771/","1/","no"
"0","84672300","50/50/","0.5/0.5/","0/1/","yes"
"1","90257500","60/54/","0.4727542879102602/0.5272457120897397/","0/1/","yes"
"2","85236500","40251/15712/","0.17340277134489332/0.8265972286551067/","1/","yes"
"3","96432700","40251/15712/50/","0.0/4.256142550623307E-134/1.0/","2/","yes"
"4","95322500","2884/914/438/64/","1.435242391241037E-19/2.086357760682901E-6/0.003160535551521526/0.9968373780907178/","3/","yes"
