"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","108747200","97/97/373066/373066/373066/373066/373066/","0.5/0.5/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
"1","105405400","691/691/101165/101165/15712/15712/101165/","0.499999999812978/0.499999999812978/4.387050582418111E-64/4.387050582418111E-64/1.8702205220852488E-10/1.8702205220852488E-10/4.387050582418111E-64/","0/1/","no"
"2","118676900","2136842333/2147483647/50/50/80751/49722/50/","0.0/0.0/0.33333333333333337/0.33333333333333337/0.0/0.0/0.33333333333333337/","2/3/6/","no"
"3","117593400","2136842333/2147483647/2982135/145561/12546/4559/453/","0.0/0.0/0.0/1.549704809693274E-139/2.7029375281594608E-12/1.1807731363828983E-4/0.9998819226836587/","6/","no"
"4","107077300","711063/1793938/278324/278324/364/364/106872/","0.0/0.0/0.0/0.0/0.5/0.5/9.34652855341647E-128/","4/5/","no"
"5","112993600","283228681/1783526897/359721/377404/44178309/150/44178309/","0.0/0.0/0.0/0.0/0.0/1.0/0.0/","5/","no"
"6","115223400","76174004/191073762/91642/31769/2673/687/50/","0.0/0.0/0.0/7.841106561386731E-271/4.609322239098876E-23/3.763354508457217E-6/0.9999962366454915/","6/","no"
"7","116393900","93217014/234539298/16429/5236/93157409/50/330/","0.0/0.0/3.323211823653742E-140/6.861569000810697E-45/0.0/0.9958899275399798/0.004110072460020155/","5/","no"
"8","116330600","2136842333/2147483647/145561/49722/4916/1034/239/","0.0/0.0/1.03641623250207E-263/2.766863617560767E-90/3.320078890416973E-9/0.03514484628410959/0.9648551503958116/","6/","no"
"9","115425800","2136842333/2147483647/1116045/408902/3495/15931/60/","0.0/0.0/0.0/0.0/3.501361577592249E-25/1.0118573874822746E-113/1.0/","6/","no"
"0","104125100","50/97/148646/148646/22523/22523/373066/","0.7153616165131179/0.28463838348688203/0.0/0.0/3.047470567919825E-192/3.047470567919825E-192/0.0/","0/","no"
"1","108491200","51/51/15712/15712/15712/15712/15809/","0.5/0.5/7.964611542206358E-132/7.964611542206358E-132/7.964611542206358E-132/7.964611542206358E-132/1.2332137368919303E-132/","0/1/","no"
"2","114388700","2136842333/2147483647/50/1116045/81143/49722/682/","0.0/0.0/0.9999958489988579/0.0/0.0/0.0/4.151001142100139E-6/","2/","no"
"3","116924300","2136842333/2147483647/1009/1009/3757/49722/50/","0.0/0.0/6.81648712392953E-9/6.81648712392953E-9/2.708644844314224E-32/0.0/0.9999999863670257/","6/","no"
"4","108235000","110371/711063/41310/41310/50/64/14872/","0.0/0.0/0.0/0.0/0.5681997184824406/0.43180028151755934/3.440351081779153E-127/","4/","no"
"5","114987800","711813722/1783526897/8029/2504/283228681/50/693/","0.0/0.0/1.1329247755194262E-68/1.2669805479572756E-21/0.0/0.9999966543396939/3.3456603061586177E-6/","5/","no"
"6","115697400","30253979/76233608/31769/10334/1044/50/51/","0.0/0.0/3.9590037384101236E-271/1.3458664973264772E-88/1.7326957628383393E-9/0.504901802861788/0.49509819540551614/","5/6/","no"
