"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","87304500","50/50/","0.5/0.5/","0/1/","no"
"1","88795100","50/188/","0.9373728571100223/0.06262714288997764/","0/","no"
"2","86285000","58441/58441/","0.5/0.5/","0/1/","no"
"3","86749500","8282/22425/","0.8465082512821535/0.15349174871784654/","0/","no"
"4","85363600","80624/80624/","0.5/0.5/","0/1/","no"
"0","86421100","64/64/","0.5/0.5/","0/1/","no"
"1","83928900","60/54/","0.4727542879102602/0.5272457120897397/","0/1/","no"
"2","85157200","22844/22844/","0.5/0.5/","0/1/","no"
"3","78592400","101165/40251/","0.18044786591944886/0.8195521340805512/","1/","no"
"4","86340900","3787/3787/","0.5/0.5/","0/1/","no"
"0","86554600","79/97/","0.55601389054462/0.44398610945538003/","0/","no"
"1","86132800","246/246/","0.5/0.5/","0/1/","no"
"2","86734000","8842/8842/","0.5/0.5/","0/1/","no"
"3","79146400","58441/148646/","0.823972382961863/0.17602761703813694/","0/","no"
"4","83743400","80624/80624/","0.5/0.5/","0/1/","no"
"0","87950900","79/68/","0.46022912271577787/0.539770877284222/","0/1/","no"
"1","87768400","122/64/","0.29063383041887514/0.7093661695811249/","1/","no"
"2","83510100","22425/58441/","0.8328543297937132/0.16714567020628687/","0/","no"
"3","84547600","8282/22425/","0.8465082512821535/0.15349174871784654/","0/","no"
"4","89218100","11794/11076/","0.4838009227294047/0.5161990772705952/","0/1/","no"
"0","87736100","140/93/","0.37754066879814546/0.6224593312018546/","1/","no"
"1","85790400","50/260/","0.9839780992822404/0.01602190071775949/","0/","no"
"2","80759200","373066/148646/","0.18097565489032474/0.8190243451096753/","1/","no"
"3","83571400","22425/22425/","0.5/0.5/","0/1/","no"
"4","84641300","80624/80624/","0.5/0.5/","0/1/","no"
"0","85509800","246/246/","0.5/0.5/","0/1/","no"
"1","87318000","302/302/","0.5/0.5/","0/1/","no"
"2","78264000","373066/148646/","0.18097565489032474/0.8190243451096753/","1/","no"
"3","81293500","58441/58441/","0.5/0.5/","0/1/","no"
"4","83788000","12187/12187/","0.5/0.5/","0/1/","no"
"0","85633900","50/50/","0.5/0.5/","0/1/","no"
"1","89179900","78/78/","0.5/0.5/","0/1/","no"
"2","84407700","58441/8282/","0.0023390790809488782/0.9976609209190511/","1/","no"
"3","83974400","5922/5922/","0.5/0.5/","0/1/","no"
"4","82945900","58441/58441/","0.5/0.5/","0/1/","no"
"0","87880400","50/60/","0.5488631556012363/0.4511368443987638/","0/1/","no"
"1","86579300","50/50/","0.5/0.5/","0/1/","no"
"2","79864500","373066/148646/","0.18097565489032474/0.8190243451096753/","1/","no"
"3","81450000","101165/40251/","0.18044786591944886/0.8195521340805512/","1/","no"
"4","85314600","11636/11636/","0.5/0.5/","0/1/","no"
"0","86984500","50/60/","0.5488631556012363/0.4511368443987638/","0/1/","no"
"1","85073100","50/60/","0.5488631556012363/0.4511368443987638/","0/1/","no"
"2","84943200","22425/2951/","0.0013627546458200076/0.99863724535418/","1/","no"
"3","82426600","58441/58441/","0.5/0.5/","0/1/","no"
"4","80022000","58441/148646/","0.823972382961863/0.17602761703813694/","0/","no"
"0","86001700","50/156/","0.8887890798973597/0.11121092010264023/","0/","yes"
"1","90972200","68/192/","0.8577957300125626/0.14220426998743743/","0/","yes"
"2","88936600","8282/22425/","0.8465082512821535/0.15349174871784654/","0/","yes"
"3","94240900","8449/58441/72/","1.4561995473979234E-50/0.0/1.0/","2/","yes"
"4","98570700","525508/525508/80624/207616/","0.0033037454063268154/0.0033037454063268154/0.8230343042499381/0.1703582049374083/","2/","yes"
