"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","96020300","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","109009700","716/50/200/3787/716/12187/1317511/","2.0243047475787E-6/0.9498409575805035/0.05015499381000148/1.42868215639576E-32/2.0243047475787E-6/4.208039208671879E-104/0.0/","1/","no"
"2","104106500","58441/171/50/1035/373066/920/373066/","0.0/0.08529006226283682/0.9147098982871577/3.74488920488122E-9/0.0/3.5705116309346906E-8/0.0/","2/","no"
"3","100130500","6128/223/140/50/101165/343/101165/","1.4461847277550042E-52/0.02784276185832565/0.14174419871806598/0.8277654969037206/0.0/0.00264754251988769/0.0/","3/","no"
"4","104430500","716/716/1317511/1317511/50/1317511/293/","2.113179198776395E-6/2.113179198776395E-6/0.0/0.0/0.991542481983404/0.0/0.008453291658198596/","4/","no"
"5","102443300","705/293/293/293/1317511/50/4549/","2.578263569926121E-6/0.008312764549658532/0.008312764549658532/0.008312764549658532/0.0/0.9750591280874544/4.7582273176733787E-39/","5/","no"
"6","98262500","512/373066/373066/373066/941/512/50/","1.1633271405307147E-4/0.0/0.0/0.0/2.5853471431545867E-8/1.1633271405307147E-4/0.9997673087184225/","6/","no"
"7","97709300","705/1179/1317511/1317511/1442/1317511/293/","0.18720670969354347/0.03733639199923739/0.0/0.0/0.015262680789289699/0.0/0.7601942175179294/","6/","no"
"8","101207900","197/373066/373066/373066/1275/373066/1160/","0.9881007073459867/0.0/0.0/0.0/0.004268831680256397/0.0/0.007630460973757093/","0/","no"
"9","97981900","705/1199/11962/1317511/1317511/705/290/","0.15758882565220705/0.02885821698685101/2.4965677019768504E-18/0.0/0.0/0.15758882565220705/0.6559641317087349/","6/","no"
"0","98480800","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","104264900","716/50/200/3787/716/12187/1317511/","2.0243047475787E-6/0.9498409575805035/0.05015499381000148/1.42868215639576E-32/2.0243047475787E-6/4.208039208671879E-104/0.0/","1/","no"
"2","100457600","512/181/68/1092/373066/977/373066/","0.0013417285611812921/0.1625621195655573/0.8360942637344524/2.999669224900576E-7/0.0/1.5881718865937264E-6/0.0/","2/","no"
"3","99961100","6128/223/140/50/101165/343/101165/","1.4461847277550042E-52/0.02784276185832565/0.14174419871806598/0.8277654969037206/0.0/0.00264754251988769/0.0/","3/","no"
"4","99208100","1830/716/1317511/1317511/50/1317511/234/","6.771003782770739E-16/2.074947122317018E-6/0.0/0.0/0.9736032896963227/0.0/0.026394635356554313/","4/","no"
"5","100388100","713/234/234/234/1317511/50/12187/","2.090317544891932E-6/0.02507114475701882/0.02507114475701882/0.02507114475701882/0.0/0.9247844754113986/4.097032562182807E-104/","5/","no"
"6","97542300","512/373066/373066/373066/941/512/50/","1.1633271405307147E-4/0.0/0.0/0.0/2.5853471431545867E-8/1.1633271405307147E-4/0.9997673087184225/","6/","no"
"7","99735900","705/1179/1317511/1317511/1442/1317511/293/","0.18720670969354347/0.03733639199923739/0.0/0.0/0.015262680789289699/0.0/0.7601942175179294/","6/","no"
"8","99175800","197/373066/373066/373066/3328/373066/3041/","0.9999992863107066/0.0/0.0/0.0/1.3565756554991266E-7/0.0/5.780317278387913E-7/","0/","no"
"9","102832200","670/1350/80624/1317511/1317511/670/276/","0.1604398970050936/0.013777622978020775/7.0700789887698645E-127/0.0/0.0/0.1604398970050936/0.6653425830117919/","6/","no"
"0","98138300","50/110615/712589/712589/110615/280941/1793938/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
