"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","100227900","50/4494307/16776/215/16776/4824/215/","0.9270441641737913/0.0/3.4319544586544445E-143/0.03647791791310431/3.4319544586544445E-143/2.0593524793830599E-41/0.03647791791310431/","0/","no"
"1","104412900","1308/68/373066/373066/111/373066/215/","9.47294346701841E-9/0.6042231684394672/0.0/0.0/0.32400378831899435/0.0/0.07177303376859517/","1/","no"
"2","108063000","15809/101165/79/156/83/101165/868/","1.733373327361895E-86/0.0/0.4285925461047092/0.16369528669439007/0.40768984097647826/0.0/2.2326224422412927E-5/","2/4/","no"
"3","101750100","2319/711063/6483/50/6483/4494307/2319/","4.765992387622161E-20/0.0/1.6568616036408418E-55/1.0/1.6568616036408418E-55/0.0/4.765992387622161E-20/","3/","no"
"4","102948000","4494307/732/248/16776/50/4494307/248/","0.0/1.4956811857231065E-6/0.019786948330910624/3.5555301913663114E-143/0.960424607656993/0.0/0.019786948330910624/","4/","no"
"5","99371600","83/373066/8282/373066/373066/78/373066/","0.48418249494242943/0.0/4.091087239580794E-46/0.0/0.0/0.5158175050575705/0.0/","0/5/","no"
"6","108105100","197/1317511/1287/154/1287/1317511/50/","0.047214611994959/0.0/2.4665863376436756E-11/0.10971001699623537/2.4665863376436756E-11/0.0/0.8430753709594738/","6/","no"
"7","101283700","4494307/227/2502/1851/233/4494307/4494307/","0.0/0.5063597878740898/2.3498405396716675E-5/4.083790230699629E-4/0.49320833469744363/0.0/0.0/","1/4/","no"
"8","104432000","223/4494307/597/2502/2502/122/4494307/","0.3011241485678804/0.0/0.014394874805198393/2.7035829365378754E-9/2.7035829365378754E-9/0.6844809712197553/0.0/","5/","no"
"9","107342900","215/711063/16776/188/16776/4494307/215/","0.31710143967819554/0.0/2.7953195944153837E-39/0.3657971206436089/2.7953195944153837E-39/0.0/0.31710143967819554/","0/3/6/","no"
"0","102405500","50/4494307/16776/778/16776/128/778/","0.821919378283578/0.0/3.0427783097785683E-143/5.193837768531097E-7/3.0427783097785683E-143/0.17807958294886825/5.193837768531097E-7/","0/","no"
"1","99427900","373066/246/373066/3186/93/373066/373066/","0.0/0.1641512283614255/0.0/4.285398293327554E-15/0.8358487716385702/0.0/0.0/","4/","no"
"2","101123700","101165/101165/223/101165/753/331/2268/","1.1450274125535492E-196/1.1450274125535492E-196/0.5843114826781349/1.1450274125535492E-196/0.05483686971940618/0.36078829441664073/6.33531858181168E-5/","2/","no"
"3","100353500","186/711063/6483/50/6483/4494307/186/","0.0610056807389274/0.0/1.4547056636002407E-55/0.877988638522145/1.4547056636002407E-55/0.0/0.0610056807389274/","3/","no"
"4","102171300","4494307/156/14312/43203/50/4494307/14312/","0.0/0.11121092010264023/3.1595423610795715E-122/0.0/0.8887890798973597/0.0/3.1595423610795715E-122/","4/","no"
"5","107098000","109/373066/1308/404/1308/109/512/","0.47752877708429026/0.0/8.814337907140768E-6/0.03268140436951294/8.814337907140768E-6/0.47752877708429026/0.012243412786092282/","0/5/","no"
"6","106325800","197/1317511/1287/154/1287/1317511/50/","0.047214611994959/0.0/2.4665863376436756E-11/0.10971001699623537/2.4665863376436756E-11/0.0/0.8430753709594738/","6/","no"
"7","102724600","4494307/781/2502/223/794/4494307/4494307/","0.0/0.07133541419249254/3.285527996514207E-5/0.8613184747621931/0.06731325576534922/0.0/0.0/","3/","no"
"8","105475400","1920/4494307/597/2502/2502/1920/4494307/","0.08408237706758287/0.0/0.7682933140778498/0.03177096589349215/0.03177096589349215/0.08408237706758287/0.0/","2/","no"
"9","101265700","265/711063/6483/128/6483/4494307/265/","0.20440725141414873/0.0/2.3813813383300336E-22/0.5911854971717027/2.3813813383300336E-22/0.0/0.20440725141414873/","3/","no"
"0","101192600","54/4494307/6483/230/6483/1494/290/","0.9483574996990385/0.0/1.6289032137870532E-51/0.038657141847145596/1.6289032137870532E-51/4.039735403651474E-12/0.012985358449776163/","0/","no"
"1","106199400","373066/152/373066/186/428/373066/373066/","0.0/0.5088050418035814/0.0/0.40741922776477774/0.08377573043164083/0.0/0.0/","1/3/","no"
"2","101578800","101165/101165/50/356/244/137/244/","0.0/0.0/0.8138966326128636/0.002017448049670555/0.018136233759026604/0.14781345181941266/0.018136233759026604/","2/","no"
"3","106729500","287/711063/6483/364/6483/4494307/287/","0.3616117809026687/0.0/1.6401340396442825E-10/0.2767764378666358/1.6401340396442825E-10/0.0/0.3616117809026687/","0/6/","no"
"4","107485000","4494307/205/4981/16776/50/4494307/4981/","0.0/0.04568535327066246/9.758343331599539E-43/3.5329108723972306E-143/0.9543146467293375/0.0/9.758343331599539E-43/","4/","no"
"5","100280200","138/373066/438/215/215/138/373066/","0.30629116531910305/0.0/0.03538410786238783/0.17601678074970303/0.17601678074970303/0.30629116531910305/0.0/","0/5/","no"
"6","112732400","705/1317511/133/598/133/1317511/50/","1.8983731125908137E-6/0.0/0.1410237418857457/1.5472070240247694E-5/0.1410237418857457/0.0/0.7179351457851557/","6/","no"
"7","103273400","4494307/216/2502/1920/222/4494307/4494307/","0.0/0.5068052920658175/1.3481521331174363E-5/1.9702834611220958E-4/0.49298419806673904/0.0/0.0/","1/4/","no"
"8","100962900","212/4494307/625/2502/2502/111/4494307/","0.2866123078930579/0.0/0.007175198731052264/3.780277949339554E-10/3.780277949339554E-10/0.7062124926198343/0.0/","5/","no"
"9","100873500","265/711063/6483/128/6483/4494307/265/","0.20440725141414873/0.0/2.3813813383300336E-22/0.5911854971717027/2.3813813383300336E-22/0.0/0.20440725141414873/","3/","no"
