"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","108323600","596/1523968/153196043/596/153196043/403/9658374/153196043/8989/","0.27682439296705014/0.0/0.0/0.27682439296705014/0.0/0.4463512138029674/0.0/0.0/2.6293233203785144E-10/","5/","no"
"1","108763600","2502/103/4494307/110615/43105/2502/395/43105/2502/","9.047919702216248E-11/0.9430900889532486/0.0/0.0/2.5242753758064072E-180/9.047919702216248E-11/0.05690991077531385/2.5242753758064072E-180/9.047919702216248E-11/","1/","no"
"2","119257500","17698/45260/50/744/191073762/604/4919/191073762/1770/","5.212778246725081E-151/0.0/0.9999796107483623/1.2307786664627867E-6/0.0/1.915847296905623E-5/3.448589410787872E-42/0.0/2.25526122625231E-15/","2/","no"
"3","111713400","554/76233608/191073762/50/191073762/43578/845/746356/17025/","5.10653599699126E-5/0.0/0.0/0.9999487647792255/0.0/0.0/1.6986080478899893E-7/0.0/2.805691387897373E-145/","3/","no"
"4","112035700","478056859/518/746966/16768/50/478056859/5090/128/478056859/","0.0/8.501630145265123E-5/0.0/3.5592497550483296E-143/0.8218503554494274/0.0/9.914692324189422E-44/0.17806462824912/0.0/","4/","no"
"5","109039600","10169/24409196/153196043/780/153196043/50/1523968/153196043/1522/","6.7743117641961625E-87/0.0/0.0/6.076139557687893E-7/0.0/0.9999993923857524/0.0/0.0/2.917889273246128E-13/","5/","no"
"6","110454900","107821/478056859/34847/102537/191073762/115515/50/191073762/15448/","0.0/0.0/4.824248503896289E-297/0.0/0.0/0.0/1.0/0.0/7.535789827576015E-132/","6/","no"
"7","108543200","478056859/518/746966/15536/128/478056859/6916/50/478056859/","0.0/8.501630145265123E-5/0.0/1.1029368678325394E-132/0.17806462824912/0.0/2.7979095706125805E-59/0.8218503554494274/0.0/","7/","no"
"8","106395800","415/2368056/14902303/1224/14902303/415/1297/14902303/50/","7.782828622908918E-4/0.0/0.0/1.0046963014657681E-10/0.0/7.782828622908918E-4/2.4010300966809878E-11/0.0/0.9984434341509383/","8/","no"
"9","109522600","5021/24409196/61218842/50/61218842/13473/5021/236269/5245/","4.667253408561805E-43/0.0/0.0/1.0/0.0/4.959015647830313E-115/4.667253408561805E-43/0.0/5.775264675960813E-45/","3/","no"
"10","108981400","1043/8126/14902303/1018/20993/53689/1043/20993/2833/","0.312654208802958/2.9944201956823085E-4/0.0/0.320419691478706/9.827413753237497E-10/1.1415909223659157E-23/0.312654208802958/9.827413753237497E-10/0.05397244693032696/","0/3/6/","no"
"11","115188400","1100/415/14902303/14902303/936940/1100/145479/936940/1100/","0.12210778863586956/0.6336766340923913/0.0/0.0/0.0/0.12210778863586956/2.282289664867557E-152/0.0/0.12210778863586956/","1/","no"
"0","107951700","50/1523968/153196043/9658374/153196043/8989/2120/153196043/8989/","1.0/0.0/0.0/0.0/0.0/7.572644580856253E-77/2.3591381927333712E-18/0.0/7.572644580856253E-77/","0/","no"
"1","106506400","2502/103/4494307/110615/43105/2502/395/43105/2502/","9.047919702216248E-11/0.9430900889532486/0.0/0.0/2.5242753758064072E-180/9.047919702216248E-11/0.05690991077531385/2.5242753758064072E-180/9.047919702216248E-11/","1/","no"
