"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","103291000","140/80868/293/","0.7474591020246757/1.6713060306988796E-249/0.25254089797532436/","0/","no"
"1","97487800","430/50/3395/","5.805346345103893E-4/0.9994194653654895/3.274455839813564E-29/","1/","no"
"2","98168500","501/1004/914/","0.5535911033675087/0.20324950272249787/0.2431593939099934/","0/","no"
"3","96175900","1538/4757/4011/","0.7552882095286497/0.09326841110498926/0.151443379366361/","0/","no"
"4","98210700","219/1317511/11076/","1.0/0.0/3.6945990827292343E-22/","0/","no"
"5","93165900","50/1317511/82/","0.6519112553005417/0.0/0.34808874469945833/","0/","no"
"0","93300200","50/1317511/1740/","0.999999999999996/0.0/4.061374621159994E-15/","0/","no"
"1","91882700","2899/50/509/","5.483583576876164E-25/0.9998766054240138/1.2339457598623172E-4/","1/","no"
"2","93672900","156/4773/30484/","0.9999999999998307/1.692087369752601E-13/1.2778427303727032E-84/","0/","no"
"3","93117000","1746/4757/4533/","0.7239649896823731/0.12918131882755707/0.14685369149007002/","0/","no"
"4","92696100","713/3870/207616/","0.9881272852039239/0.01187271479607611/1.3960766560980104E-126/","0/","no"
"5","92852000","1173/1317511/11076/","0.9997829713329083/0.0/2.1702866709170696E-4/","0/","no"
"0","95375200","50/1317511/1377/","0.99999999999499/0.0/5.009886563308684E-12/","0/","no"
"1","94988900","1104/50/509/","1.0581009735624269E-9/0.9998766043660434/1.233945758556678E-4/","1/","no"
"2","92535600","941/58686/941/","0.5/1.1927072244761615E-27/0.5/","0/2/","no"
"3","93312200","1125/140/1118/","9.231574992504619E-4/0.9981066977883365/9.701447124129297E-4/","1/","no"
"4","94362700","140/373066/155/","0.5265706902823603/0.0/0.4734293097176397/","0/2/","no"
"5","95963700","50/1317511/279/","0.9889060133676156/0.0/0.0110939866323844/","0/","no"
"0","94780600","50/80868/293/","0.9915466726150103/0.0/0.008453327384989776/","0/","no"
"1","97531100","1125/50/214/","6.740108213772128E-10/0.9614203303465846/0.03857966897940464/","1/","no"
"2","98315700","249/148646/79/","0.10669059394565118/0.0/0.8933094060543487/","2/","no"
"3","92419700","1746/4757/4533/","0.7239649896823731/0.12918131882755707/0.14685369149007002/","0/","no"
"4","93719500","128/1317511/12354/","1.0/0.0/6.912836926584373E-42/","0/","no"
"5","92980000","50/1317511/82/","0.6519112553005417/0.0/0.34808874469945833/","0/","no"
"0","94286500","50/1317511/80624/","1.0/0.0/0.0/","0/","no"
"1","91422000","430/50/3395/","5.805346345103893E-4/0.9994194653654895/3.274455839813564E-29/","1/","no"
"2","98916200","108/148646/246/","0.7800666889494274/0.0/0.21993331105057254/","0/","no"
"3","96090900","1448/4757/3787/","0.7686639123419856/0.07833620908809692/0.15299987856991742/","0/","no"
"4","94022100","50/331/200/","0.9462076493301349/0.003829208507608047/0.04996314216225695/","0/","no"
"5","93699300","82/1317511/11076/","1.0/0.0/2.980538736843341E-58/","0/","no"
"0","95734000","50/1317511/1377/","0.99999999999499/0.0/5.009886563308684E-12/","0/","no"
"1","93818900","1104/50/3395/","1.0582315535961399E-9/0.9999999989417685/3.2763578755702513E-29/","1/","no"
"2","91224900","51/148646/50/","0.4950981962633707/0.0/0.5049018037366292/","0/2/","no"
"3","92127700","1746/4757/4533/","0.7239649896823731/0.12918131882755707/0.14685369149007002/","0/","no"
"4","95233400","109/331/200/","0.6368870951878968/0.08464030546357626/0.2784725993485269/","0/","no"
"5","90835900","302/1317511/4298/","0.9999981272838319/0.0/1.8727161681766316E-6/","0/","no"
"0","99028800","50/1317511/1740/","0.999999999999996/0.0/4.061374621159994E-15/","0/","no"
"1","92309600","1104/50/3395/","1.0582315535961399E-9/0.9999999989417685/3.2763578755702513E-29/","1/","no"
"2","94726300","2899/148646/246/","2.164118534847434E-5/1.1793589531737459E-261/0.9999783588146515/","2/","no"
"3","92912800","1448/4757/3787/","0.7686639123419856/0.07833620908809692/0.15299987856991742/","0/","no"
"4","94471900","152/1317511/12354/","1.0/0.0/2.3136914234353825E-35/","0/","no"
"5","92000500","302/1317511/529/","0.6789988912553038/0.0/0.3210011087446961/","0/","no"
"0","94765300","82/1317511/11076/","1.0/0.0/2.980538736843341E-58/","0/","no"
"1","93559500","430/50/214/","5.581503012644731E-4/0.9608837139472058/0.03855813575152969/","1/","no"
"2","92193400","2951/108/107/","1.8388851936072006E-12/0.49768520172229996/0.5023147982758612/","1/2/","no"
"3","90743600","4090/1830/1557/","0.09663634945079932/0.4122098739427758/0.4911537766064248/","1/2/","no"
"4","95858500","200/1317511/11076/","1.0/0.0/3.166381633896351E-24/","0/","no"
"5","88882800","50/1317511/140/","0.8537980596190329/0.0/0.1462019403809671/","0/","no"
"0","97113200","50/1317511/1377/","0.99999999999499/0.0/5.009886563308684E-12/","0/","no"
"1","94060800","182/50/3395/","0.0698994255314817/0.9301005744685183/3.0473423454571383E-29/","1/","no"
"2","97666000","941/58686/50/","2.5859488040401394E-8/0.0/0.999999974140512/","2/","no"
"3","92598300","1475/4757/3854/","0.7646711565418759/0.08275369326877151/0.15257515018935258/","0/","no"
"4","89843500","109/22523/142/","0.5744425168116589/1.8442665569815925E-89/0.425557483188341/","0/","no"
"5","94858700","50/1317511/1377/","0.99999999999499/0.0/5.009886563308684E-12/","0/","no"
"0","94429200","50/1317511/80624/","1.0/0.0/0.0/","0/","yes"
"1","93118300","1104/50/3395/","1.0582315535961399E-9/0.9999999989417685/3.2763578755702513E-29/","1/","yes"
"2","103995200","920/509/354/","0.10979407915336212/0.349447411510977/0.5407585093356607/","2/","yes"
"3","97165100","1746/4757/1740/","0.45854072470736/0.08133555770811392/0.46012371758452597/","0/2/","yes"
"4","108310400","328/201/328/201/","0.17390122379447326/0.32609877620552674/0.17390122379447326/0.32609877620552674/","1/3/","yes"
"5","103101700","11076/1317511/11076/208227/11076/","0.33333333126279074/2.0028736333789787E-52/0.33333333126279074/6.211627719392052E-9/0.33333333126279074/","0/2/4/","yes"
