"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","113369200","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","104038300","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","108686700","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","105527900","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","104129600","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","102029200","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","100581000","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","101631900","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","106016800","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","103151400","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","102471900","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","103205500","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","98819500","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","99062900","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","100255000","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","104756000","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","102549300","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","106251400","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","98400100","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","103269400","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","102828000","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","103922300","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","102332400","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","101957600","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","98552000","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","101048300","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","99617200","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","111998900","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","105063100","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","101103600","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","97976500","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","104003900","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","101079500","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","101957200","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","101351000","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","103499100","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","101937800","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","99335700","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","100139600","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","104682700","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","103384600","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","105376800","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","100600400","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","100275500","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","101523100","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","104600600","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","103216000","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","108248200","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","101186300","50/48054/38036/","1.0/0.0/0.0/","0/","no"
"1","102354600","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","no"
"2","99090100","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","no"
"3","104734800","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","no"
"4","102258400","138071/9942/18012/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/","1/","no"
"5","102438000","2062/47485/1801/","0.4638534023368721/5.237488896038952E-12/0.5361465976578903/","0/2/","no"
"0","105260200","50/48054/38036/","1.0/0.0/0.0/","0/","yes"
"1","111043700","796494/50/15466/","0.0/1.0/5.294785515750183E-132/","1/","yes"
"2","106498700","16133/2217/50/","1.1065162470853043E-137/3.521618511921658E-19/1.0/","2/","yes"
"3","105314900","2327691/293241/310580/","4.992995105557817E-4/0.5145208258426797/0.4849798746467646/","1/2/","yes"
"4","117893400","138071/9942/18012/2202285/","1.7535563668408135E-6/0.6924547299526936/0.3075435164909394/1.208714316849849E-96/","1/","yes"
"5","119248100","2062/47485/1801/340979/3119/","0.3687199841541807/4.163312833378068E-12/0.42618629937129343/7.679838759357887E-83/0.20509371647036248/","0/2/","yes"
