"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","96327800","50/50/1468/","0.49999999999978967/0.49999999999978967/4.2061067599575607E-13/","0/1/","no"
"1","99839600","50/68/50/","0.37001152460638836/0.2599769507872232/0.37001152460638836/","0/2/","no"
"2","103255400","72/55/55/","0.2695870709203583/0.36520646453982086/0.36520646453982086/","1/2/","no"
"3","97908100","64/94/195/","0.5670276839949173/0.35740502638739413/0.07556728961768859/","0/","no"
"4","93719800","113/79/157/","0.32190151292065505/0.49237747023858125/0.18572101684076373/","1/","no"
"5","95147000","64/64/64/","0.33333333333333337/0.33333333333333337/0.33333333333333337/","0/1/2/","no"
"0","96511200","157/10317/157/","0.5/5.918144956882205E-29/0.5/","0/2/","no"
"1","93592700","157/157/50/","0.09852048339329691/0.09852048339329691/0.8029590332134062/","2/","no"
"2","94800100","54/1551/3989/","0.9999999999984889/1.5111021688949347E-12/8.476252503354863E-32/","0/","no"
"3","91168800","79/50/1468/","0.36155359365603296/0.6384464063434299/5.370747491185683E-13/","1/","no"
"4","95410500","72/55/55/","0.2695870709203583/0.36520646453982086/0.36520646453982086/","1/2/","no"
"5","94626300","78/60/78/","0.2991113590987706/0.40177728180245886/0.2991113590987706/","1/","no"
"0","92207700","64/10317/54/","0.45467026111147996/4.9809118850520074E-82/0.5453297388885201/","0/2/","no"
"1","93456000","157/157/50/","0.09852048339329691/0.09852048339329691/0.8029590332134062/","2/","no"
"2","93938800","64/3989/54/","0.45467026111147996/4.6223525644146576E-32/0.5453297388885201/","0/2/","no"
"3","92574200","60/108/231/","0.6596864687712601/0.3003292668450096/0.03998426438373015/","0/","no"
"4","92638900","168/10317/64/","0.16798161486607552/2.601294321810948E-69/0.8320183851339245/","2/","no"
"5","93251600","72/55/55/","0.2695870709203583/0.36520646453982086/0.36520646453982086/","1/2/","no"
"0","93002500","50/182/1468/","0.9301005744677906/0.06989942553142701/7.824204627422061E-13/","0/","no"
"1","92362400","185/61/529/","0.11914762033577485/0.8803884507151306/4.639289490945307E-4/","1/","no"
"2","92619700","50/502/193/","0.9427615302797495/1.3346290145267866E-4/0.05710500681879785/","0/","no"
"3","92993300","82/112/193/","0.5104100674575949/0.35558654780204607/0.1340033847403592/","0/","no"
"4","98424300","113/79/157/","0.32190151292065505/0.49237747023858125/0.18572101684076373/","1/","no"
"5","91832000","79/50/1468/","0.36155359365603296/0.6384464063434299/5.370747491185683E-13/","1/","no"
"0","93391100","61/78/502/","0.5678593465862167/0.43167811675687945/4.625366569037717E-4/","0/","no"
"1","93743000","50/50/64/","0.362326119425842/0.362326119425842/0.27534776114831594/","0/1/","no"
"2","93161200","113/79/157/","0.32190151292065505/0.49237747023858125/0.18572101684076373/","1/","no"
"3","92353800","157/193/1468/","0.5566396588936774/0.4432216561272963/1.3868497902633028E-4/","0/","no"
"4","95431800","157/50/157/","0.09852048339329691/0.8029590332134062/0.09852048339329691/","1/","no"
"5","92887000","50/182/79/","0.609215705289282/0.045784110872967354/0.3450001838377507/","0/","no"
"0","92413400","97/3989/1468/","0.9999991599435613/5.653332077471889E-18/8.400564387112713E-7/","0/","no"
"1","91641800","79/97/1468/","0.5560138816375814/0.44398610234296526/1.6019453362663815E-8/","0/","no"
"2","93159800","170/55/502/","0.11365760350425552/0.886039807843054/3.025886526904392E-4/","1/","no"
"3","90933800","50/79/571/","0.6384314913673957/0.36154514727254505/2.336136005912512E-5/","0/","no"
"4","94797400","157/157/50/","0.09852048339329691/0.09852048339329691/0.8029590332134062/","2/","no"
"5","92725600","502/157/1468/","0.10121531516722784/0.8985608112993688/2.2387353340330013E-4/","1/","no"
"0","91817700","61/68/571/","0.5281211982952221/0.4717374466807109/1.4135502406701988E-4/","0/1/","no"
"1","93041700","50/50/55/","0.3440430080390076/0.3440430080390076/0.3119139839219848/","0/1/2/","no"
"2","96216100","79/50/157/","0.3352886516104212/0.5920666768757362/0.07264467151384252/","1/","no"
"3","92626300","61/107/231/","0.6490822263660534/0.3090873496272841/0.04183042400666244/","0/","no"
"4","93043200","502/97/50/","1.0126056917470821E-4/0.2846095608421612/0.715289178588664/","2/","no"
"5","95443100","60/78/78/","0.40177728180245886/0.2991113590987706/0.2991113590987706/","0/","no"
"0","90544400","60/73/502/","0.5528599045792721/0.44674585604715433/3.942393735735734E-4/","0/1/","no"
"1","91874500","502/565/1468/","0.4928986493023841/0.43487344792587107/0.07222790277174487/","0/1/","no"
"2","92489400","50/3989/157/","0.8907124548274352/2.551969511989313E-34/0.10928754517256477/","0/","no"
"3","96400200","185/4028/54/","0.08456969997731403/3.8183426616287977E-32/0.9154303000226859/","2/","no"
"4","94498300","79/50/157/","0.3352886516104212/0.5920666768757362/0.07264467151384252/","1/","no"
"5","91126700","50/182/79/","0.609215705289282/0.045784110872967354/0.3450001838377507/","0/","no"
"0","93516100","97/50/502/","0.2846095608421612/0.715289178588664/1.0126056917470821E-4/","1/","no"
"1","94285000","50/61/61/","0.382851874279199/0.30857406286040057/0.30857406286040057/","0/1/2/","no"
"2","96466700","50/2474/123/","0.8071150847204498/1.8415105305856266E-21/0.1928849152795503/","0/","no"
"3","92723500","64/80/239/","0.5406789513971125/0.42270385228224566/0.03661719632064184/","0/","no"
"4","94668000","113/79/157/","0.32190151292065505/0.49237747023858125/0.18572101684076373/","1/","no"
"5","92468200","79/78/60/","0.29568593376442487/0.3005731942141607/0.4037408720214143/","2/","no"
"0","95049800","97/50/502/","0.2846095608421612/0.715289178588664/1.0126056917470821E-4/","1/","yes"
"1","98375900","50/50/50/","0.33333333333333337/0.33333333333333337/0.33333333333333337/","0/1/2/","yes"
"2","95135600","50/50/50/","0.33333333333333337/0.33333333333333337/0.33333333333333337/","0/1/2/","yes"
"3","93733600","65/64/195/","0.46493487855384874/0.47214302797048596/0.06292209347566524/","0/1/","yes"
"4","99195500","64/54/64/10317/","0.31255898554224715/0.37488202891550576/0.31255898554224715/3.42408311918483E-82/","0/1/2/","yes"
"5","103653800","193/195/195/502/65/","0.10096828597120802/0.09795453446063884/0.09795453446063884/9.351842459909184E-4/0.7021874608615233/","4/","yes"
