"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","95818600","60/107/1468/","0.6836272710141352/0.3163727289212326/6.463211784576922E-11/","0/","no"
"1","92932100","60/123/348/","0.7326453341089987/0.26083156242674466/0.0065231034642567265/","0/","no"
"2","98714800","98/206/157/","0.5299572867177724/0.17801847219621103/0.2920242410860166/","0/","no"
"3","99445300","25963/80/60/","2.2173387109575127E-185/0.4187592543543962/0.5812407456456038/","2/","no"
"4","91800800","15712/780/247/","7.413056701727469E-28/0.1044066070230275/0.8955933929769725/","2/","no"
"5","98132500","133/274/5922/","0.7412045795810455/0.2587954204189546/1.2816465565741886E-19/","0/","no"
"0","95246400","79/168/1468/","0.75259487856231/0.247405099754493/2.1683197050045873E-8/","0/","no"
"1","92578100","4028/54/64/","2.2746197133755868E-32/0.5453297388885201/0.45467026111147996/","1/2/","no"
"2","94981400","83/4028/50/","0.34365263045781763/8.753145761373889E-35/0.6563473695421823/","2/","no"
"3","90915300","25963/1484/60/","3.8148370144515104E-185/7.273035394921734E-11/0.9999999999272696/","2/","no"
"4","91689300","80/61/168/","0.38454650063457063/0.5224432327425341/0.09301026662289527/","1/","no"
"5","91643100","151/299/2268/","0.7258527587365718/0.2741465923974687/6.488659595910359E-7/","0/","no"
"0","95961800","54/60/1484/","0.5272457120883195/0.4727542879089867/2.6937452827238713E-12/","0/1/","no"
"1","95927600","89/157/1468/","0.6803879174029568/0.3196119317974982/1.5079954495461297E-7/","0/","no"
"2","92441600","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/","no"
"3","90593000","90/160/1468/","0.6833543463558354/0.31664547243228547/1.8121187900146558E-7/","0/","no"
"4","96627100","15712/780/247/","7.413056701727469E-28/0.1044066070230275/0.8955933929769725/","2/","no"
"5","91850200","151/320/5922/","0.7524723772759176/0.24752762272408232/2.4411038310176463E-17/","0/","no"
"0","90861600","50/214/1484/","0.9614203309940241/0.03857966900538495/5.909821179191142E-13/","0/","no"
"1","95061300","83/203/1468/","0.8066785852494917/0.19332135903042608/5.5720082266939805E-8/","0/","no"
"2","92322000","80/61/157/","0.37772618369833516/0.513177179293561/0.1090966370081039/","1/","no"
"3","92528200","80/571/1468/","0.9976750124167567/0.0023249515249937763/3.605824952680693E-8/","0/","no"
"4","93157400","6089/780/274/","5.657580679535217E-10/0.13705129249792178/0.8629487069363201/","2/","no"
"5","92141700","104/247/2111/","0.7960690938711017/0.20393090215037463/3.978523724924813E-9/","0/","no"
"0","95119200","89/3989/1468/","0.9999997783624492/1.5155572784959572E-19/2.2163755068927952E-7/","0/","no"
"1","90769800","89/157/1468/","0.6803879174029568/0.3196119317974982/1.5079954495461297E-7/","0/","no"
"2","91558500","25963/4028/79/","3.048038022013335E-141/3.648704035828439E-22/1.0/","2/","no"
"3","98330300","25963/160/60/","3.194718821114401E-185/0.1625543086691009/0.8374456913308992/","2/","no"
"4","94734400","3989/529/50/","2.8648490815810744E-34/8.336848191610169E-5/0.9999166315180839/","2/","no"
"5","101334200","122/299/2268/","0.8083035099174556/0.19169646868462473/2.1397919667319192E-8/","0/","no"
"0","93352300","50/72/348/","0.6051376491235604/0.393107614388253/0.0017547364881864574/","0/","no"
"1","94224500","160/50/113/","0.08225573970176424/0.7110166988228589/0.20672756147537688/","1/","no"
"2","94667600","80/61/168/","0.38454650063457063/0.5224432327425341/0.09301026662289527/","1/","no"
"3","92907100","25963/1484/182/","6.551418915964657E-62/8.123601443166461E-4/0.9991876398556834/","2/","no"
"4","95185300","3989/529/79/","5.919618301899611E-22/0.003593602581420088/0.99640639741858/","2/","no"
"5","95749500","133/697/5922/","0.9853557535692337/0.01464424643076634/1.7038181405684184E-19/","0/","no"
"0","94952100","50/54/1484/","0.5195977978781297/0.48040220212155094/3.1939516687632183E-13/","0/1/","no"
"1","96878400","60/157/1484/","0.8306391661907216/0.16936083374886565/6.04126805655278E-11/","0/","no"
"2","94634100","25963/4028/50/","2.1668323098208784E-221/1.3336148155022567E-34/1.0/","2/","no"
"3","98099800","25963/1484/60/","3.8148370144515104E-185/7.273035394921734E-11/0.9999999999272696/","2/","no"
"4","93127600","3989/529/79/","5.919618301899611E-22/0.003593602581420088/0.99640639741858/","2/","no"
"5","94942700","112/226/2111/","0.7327949342991419/0.26720505048845655/1.521240132382426E-8/","0/","no"
"0","97417600","79/529/1484/","0.9964063739991583/0.003593602496956465/2.350388527558197E-8/","0/","no"
"1","100288100","1484/1468/93/","3.744254351996455E-7/4.4390272214068627E-7/0.9999991816718427/","2/","no"
"2","98261400","185/94/51/","0.050222998489618725/0.28901340150539173/0.6607636000049895/","2/","no"
