"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","124192100","246/914/246/512/3410/947/3410/122/512/148646/156/3395/156/3410/148646/156/155/150/499/8282/","0.06402003701424677/2.803551192875979E-4/0.06402003701424677/0.007363935368822314/4.3122931107014513E-13/2.1438305677131132E-4/4.3122931107014513E-13/0.17544510360622745/0.007363935368822314/0.0/0.13307374254338136/4.87159318540584E-13/0.13307374254338136/4.3122931107014513E-13/0.0/0.13307374254338136/0.13416005280102736/0.13972607762354422/0.008184855395079137/2.7065108340314993E-30/","7/","no"
"1","140840100","198/50/55/155/156/78/155/198/868/6128/15712/140/15712/150/5922/156/150/127/2194/212/","0.014395214331841754/0.2621342029431712/0.2376543677729625/0.0334493738756008/0.03279989207681184/0.15138662421105456/0.0334493738756008/0.014395214331841754/2.8364871748051243E-8/4.579732814869166E-53/1.1156805351201562E-134/0.04488711198009791/1.1156805351201562E-134/0.0368948613989088/2.6004542969132438E-51/0.03279989207681184/0.0368948613989088/0.05791941662959993/1.449186550303925E-19/0.010939564731915588/","1/2/","no"
"2","126066400","381/78/381/136/381/2474/73/68/381/2474/55/73/381/6209/2474/381/375/348/348/50/","3.256247661683271E-4/0.12386185673755017/3.256247661683271E-4/0.03972226985927426/3.256247661683271E-4/4.893420247134396E-22/0.13662037603271368/0.15069309986907/3.256247661683271E-4/4.893420247134396E-22/0.19444459778103856/0.13662037603271368/3.256247661683271E-4/7.654703949283032E-54/4.893420247134396E-22/3.256247661683271E-4/3.662780532234079E-4/6.219156781883083E-4/6.219156781883083E-4/0.2144735656810297/","10/19/","no"
"3","133154400","241/83/3989/193/25963/10317/241/83/83/10317/64/64/78/83/10317/25963/241/1468/25963/239/","0.010601617889056494/0.12051519580956054/9.622417031805064E-28/0.022186148639137482/1.4622562205387929E-174/5.047147517751609E-70/0.010601617889056494/0.12051519580956054/0.12051519580956054/5.047147517751609E-70/0.16143192610088583/0.16143192610088583/0.13015147028238497/0.12051519580956054/5.047147517751609E-70/1.4622562205387929E-174/0.010601617889056494/6.717823966208116E-11/1.4622562205387929E-174/0.010932891904116112/","10/11/12/","no"
"4","127535000","83/83/381/83/381/2474/83/83/136/68/83/381/348/83/2474/136/83/381/381/82/","0.0887054948838273/0.0887054948838273/0.001181141397259784/0.0887054948838273/0.001181141397259784/7.91958832536499E-17/0.0887054948838273/0.0887054948838273/0.04114925796230214/0.11024587964889725/0.0887054948838273/0.001181141397259784/0.0019054955887819911/0.0887054948838273/7.91958832536499E-17/0.04114925796230214/0.0887054948838273/0.001181141397259784/0.001181141397259784/0.09000044278079908/","0/1/3/6/7/9/10/13/16/19/","no"
"5","129065700","10317/3989/216/239/241/157/168/3989/1468/82/3989/203/3989/157/502/241/228/241/25963/78/","1.271909489282753E-57/7.798192430413772E-23/0.043020802516107376/0.032154246876378266/0.03135043309925737/0.09078728304174448/0.07898663925923444/7.798192430413772E-23/5.635540550926396E-9/0.23460102604424476/7.798192430413772E-23/0.050715964372731896/7.798192430413772E-23/0.09078728304174448/0.0011519205738631097/0.03135043309925737/0.036958107593096465/0.03135043309925737/1.236400569957823E-143/0.2467854217475421/","9/19/","no"
"6","128261100","82/82/1551/1535/1551/25963/50/239/1468/502/3989/1468/228/502/157/1551/10317/1551/1551/216/","0.23372367383266282/0.23372367383266282/7.233000744645977E-14/9.89846288569292E-14/7.233000744645977E-14/9.484763480495021E-222/0.4377248501190699/0.01075862936260508/3.6822349021760094E-13/6.196692022159067E-5/1.2541201889451237E-34/3.6822349021760094E-13/0.013348372115163822/6.196692022159067E-5/0.05370742720759418/7.233000744645977E-14/1.6283999895042528E-88/7.233000744645977E-14/7.233000744645977E-14/0.016889439688601206/","6/","no"
"7","136899500","122/122/127/3395/3410/150/22844/50/425/1092/1092/3328/1092/58441/22425/1125/1029/260/2966/127/","0.11677641936886958/0.11677641936886958/0.10587106071738206/1.5698859770759582E-29/1.1698614741032827E-29/0.0674402184729023/3.770423205262661E-195/0.479155829441073/3.069976121182659E-4/6.415705501474307E-10/6.415705501474307E-10/5.8399864746486E-29/6.415705501474307E-10/0.0/1.3944961311683914E-191/3.3591573214686866E-10/2.206611307037184E-9/0.007801989834164524/7.064006740861241E-26/0.10587106071738206/","7/","no"
"8","127949000","381/78/381/375/381/952/68/952/50/123/50/68/123/952/952/136/123/136/381/73/","2.6566562423495246E-4/0.10105446792726852/2.6566562423495246E-4/2.9883319011078565E-4/2.6566562423495246E-4/3.647037936525256E-9/0.12294512151425709/3.647037936525256E-9/0.1749813270624899/0.041817157286363496/0.1749813270624899/0.12294512151425709/0.041817157286363496/3.647037936525256E-9/3.647037936525256E-9/0.03240798217644844/0.041817157286363496/0.03240798217644844/2.6566562423495246E-4/0.11146368843204778/","8/10/","no"
"9","129425700","55/55/2474/381/2474/136/55/55/952/381/55/136/136/136/136/952/381/2474/2474/72/","0.14442278546100104/0.14442278546100104/2.5099504641035094E-20/4.2797796714150134E-4/2.5099504641035094E-20/0.03399850104162382/0.14442278546100104/0.14442278546100104/1.596499356614132E-8/4.2797796714150134E-4/0.14442278546100104/0.03399850104162382/0.03399850104162382/0.03399850104162382/0.03399850104162382/1.596499356614132E-8/4.2797796714150134E-4/2.5099504641035094E-20/2.5099504641035094E-20/0.10660960165546382/","0/1/6/7/10/","no"
"10","131008100","241/83/1551/228/1551/10317/241/83/1551/10317/50/78/83/83/68/1551/1468/1468/1551/239/","0.005279053996776806/0.11695463564425601/3.6910406140363744E-14/0.006811748726116274/3.6910406140363744E-14/8.309815952398039E-89/0.005279053996776806/0.11695463564425601/3.6910406140363744E-14/8.309815952398039E-89/0.2233734319408744/0.12900166945134486/0.11695463564425601/0.11695463564425601/0.15694631075246032/3.6910406140363744E-14/1.8790650041636543E-13/1.8790650041636543E-13/3.6910406140363744E-14/0.0054901885580661966/","10/","no"
