"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101808900","50/93/3328/121/111/2884/8282/428/121/425/","0.44821782537551597/0.19289424333108482/5.462911806672143E-29/0.11139945874964416/0.1355310682794832/3.298685073516278E-25/3.5583642157864538E-71/2.707700413384082E-4/0.11139945874964416/2.8717547328942114E-4/","0/","no"
"1","115838300","152/50/22425/22425/50/246/249/153/1212/210/","0.05751427085394488/0.4249761738288908/1.2368160707434654E-191/1.2368160707434654E-191/0.4249761738288908/0.009105656837379432/0.008585479289123584/0.05639752432741263/5.410817141458293E-11/0.01844472098024984/","1/4/","no"
"2","104281600","1468/1468/50/1468/1468/64/1484/1484/1468/50/","3.047964680447729E-13/3.047964680447729E-13/0.36232611942512843/3.047964680447729E-13/3.047964680447729E-13/0.2753477611477737/2.2272075026111267E-13/2.2272075026111267E-13/3.047964680447729E-13/0.36232611942512843/","2/9/","no"
"3","114054400","69/68/206/79/68/231/1484/68/72/206/","0.16034553051576836/0.16268629991006744/0.0220171964770455/0.13871250976376986/0.16268629991006744/0.015325298590125548/1.990090920913251E-10/0.16268629991006744/0.15352336824703378/0.0220171964770455/","0/1/3/4/7/8/","no"
"4","107246900","914/68/22425/22425/50/68/69/920/474/8674/","1.418913531600553E-8/0.22705704587334832/9.404937765727944E-192/9.404937765727944E-192/0.32315835485346883/0.22705704587334832/0.22264831107520308/1.261427985855032E-8/7.92155212163299E-5/1.1777959497294933E-74/","4/","no"
"5","108973700","2884/2884/97/22844/8449/50/2951/246/22425/97/","4.0499102449214605E-25/4.0499102449214605E-25/0.2189583429286097/4.330190379089388E-195/1.6529259673960984E-72/0.5502925931058155/1.0886835662236743E-25/0.011790721036965069/1.6015267788598503E-191/0.2189583429286097/","5/","no"
"6","110661300","502/50/3989/3989/50/50/50/502/228/10317/","3.512123890657214E-5/0.2480910618342928/7.108027091872541E-35/7.108027091872541E-35/0.2480910618342928/0.2480910618342928/0.2480910618342928/3.512123890657214E-5/0.007565510185015616/9.229347668453539E-89/","1/4/5/6/","no"
"7","108411600","50/914/3328/425/1029/2884/8282/93/1092/1092/","0.6988125000281562/3.0683239267979557E-8/8.517178123952469E-29/4.4773277427781586E-4/3.218175527280504E-9/5.14295111109919E-25/5.547814595640342E-71/0.3007397314247873/9.356820736501184E-10/9.356820736501184E-10/","0/","no"
"8","106505900","1484/1484/206/160/1551/1484/231/206/93/1484/","1.612679124958975E-7/1.612679124958975E-7/0.12945083514179498/0.21116986558580764/7.906743352612382E-8/1.612679124958975E-7/0.09922040719551102/0.12945083514179498/0.43070733279600787/1.612679124958975E-7/","8/","no"
"9","105315300","1468/1468/50/3989/1468/54/3989/203/3989/50/","2.828250284051763E-13/2.828250284051763E-13/0.33620761971328444/9.632643964465778E-35/2.828250284051763E-13/0.3108459688241206/9.632643964465778E-35/0.016738791748462094/9.632643964465778E-35/0.33620761971328444/","2/5/9/","no"
"0","104513200","93/8282/58441/58441/22425/8282/8282/122/58441/148646/","0.5765216832688713/8.4406137242411E-39/1.5277995918980027E-270/1.5277995918980027E-270/3.832967311588698E-104/8.4406137242411E-39/8.4406137242411E-39/0.42347831673112873/1.5277995918980027E-270/0.0/","0/","no"
"1","108141500","152/50/210/58441/79/320/320/2884/1275/3395/","0.07711054812224491/0.5697741658945592/0.024729211091987304/0.0/0.322664353976697/0.0028608604467097952/0.0028608604467097952/4.193286009401621E-25/2.1092089731391113E-11/1.8667840777005995E-29/","1/","no"
"2","105421000","3989/3989/50/1535/4028/60/1535/228/1468/50/","1.0044331414425133E-34/1.0044331414425133E-34/0.3505767231626865/7.927744293863458E-14/4.675343119799919E-35/0.2881557542954832/7.927744293863458E-14/0.010690799378690424/2.949126250357933E-13/0.3505767231626865/","2/5/9/","no"
"3","104043500","157/89/565/60/79/592/3989/203/89/1535/","0.062240941295205424/0.18976132565749473/7.749734612399301E-5/0.3052639883494986/0.22356484986981082/4.97803705862238E-5/3.249669471494196E-29/0.029280291444162755/0.18976132565749473/9.622603921038239E-12/","3/","no"
"4","109755500","914/50/22425/22844/97/93/97/914/474/1275/","1.9721450499031806E-8/0.449157144297739/1.3071903992913202E-191/3.53436693370747E-195/0.17871711388103007/0.19329848698783136/0.17871711388103007/1.9721450499031806E-8/1.1010149284154201E-4/1.6627048676644398E-11/","1/","no"
"5","109762100","2884/50/22425/22425/50/50/51/2899/1212/58441/","1.848864279507467E-25/0.2512194733072683/7.311287102773939E-192/7.311287102773939E-192/0.2512194733072683/0.2512194733072683/0.24634158004620976/1.3777529852646469E-25/3.198538450267075E-11/0.0/","1/4/5/6/","no"
"6","113090500","214/214/1535/1535/214/214/1535/214/1535/10317/","0.19965724092945303/0.19965724092945303/4.2844883818373943E-4/4.2844883818373943E-4/0.19965724092945303/0.19965724092945303/4.2844883818373943E-4/0.19965724092945303/4.2844883818373943E-4/7.807003328110281E-22/","0/1/4/5/7/","no"
"7","115945500","354/181/210/58441/157/181/8282/246/58441/1302/","0.06698618597974301/0.20022127452362187/0.1666471701463416/1.4530875035562618E-161/0.23306604346844412/0.20022127452362187/1.0821751989735324E-23/0.1326920092039238/1.4530875035562618E-161/1.6604215430386556E-4/","1/4/5/","no"
"8","105683100","508/508/508/80/508/571/1484/508/214/508/","0.004144124783299087/0.004144124783299087/0.004144124783299087/0.8170025643445966/0.004144124783299087/0.001903917943474889/2.423552321315683E-8/0.004144124783299087/0.1562287447766106/0.004144124783299087/","3/","no"
"9","116608800","3989/3989/50/1535/4028/60/1535/228/1468/50/","1.0044331414425133E-34/1.0044331414425133E-34/0.3505767231626865/7.927744293863458E-14/4.675343119799919E-35/0.2881557542954832/7.927744293863458E-14/0.010690799378690424/2.949126250357933E-13/0.3505767231626865/","2/5/9/","no"
"0","104832600","246/119/1275/167/138/977/3041/109/167/22844/","0.0693520284462604/0.22002492827714343/6.003875756934502E-6/0.14222029289739577/0.18512172423630288/9.015190936266453E-5/6.397807903321888E-13/0.24096457745974237/0.14222029289739577/4.1800363507512474E-91/","1/7/","no"
"1","114194700","914/54/1239/22844/97/113/97/941/474/1212/","7.170453090171182E-8/0.44292790604682203/1.9465296530828145E-10/4.903342943186822E-181/0.20267198499039807/0.1515142596729034/0.20267198499039807/4.388817173395569E-8/2.1374819409853828E-4/3.180241740454815E-10/","1/","no"
"2","107703200","185/185/185/206/185/4028/195/195/182/571/","0.12621353020966922/0.12621353020966922/0.12621353020966922/0.11253013567476361/0.12621353020966922/9.57021719634903E-11/0.11950167022534851/0.11950167022534851/0.12829965715714414/0.015312745783016219/","0/1/2/3/4/6/7/8/","no"
"3","105878200","50/157/1468/68/157/10317/1484/508/182/565/","0.4942343533412574/0.06064096097890592/4.157604909185582E-13/0.3472582111939352/0.06064096097890592/1.8386235453039047E-88/3.0380433559586916E-13/6.220111504119008E-5/0.03714296961510646/2.0342776128517465E-5/","0/","no"
"4","105873600","122/109/210/58441/50/914/914/428/3328/509/","0.1521005942325759/0.1962607371771275/0.02708694588131899/0.0/0.6240976284585278/2.7402682207029866E-8/2.7402682207029866E-8/3.7701967902624395E-4/7.606547776554392E-29/7.701976605902823E-5/","4/","no"
"5","105956200","2884/2884/97/58441/22425/60/3041/246/58441/97/","3.667116707833553E-21/3.667116707833553E-21/0.25503444931063113/0.0/2.757905034918526E-160/0.4677603108506879/2.796085256701895E-22/0.02217079052804987/0.0/0.25503444931063113/","5/","no"
"6","105756000","228/228/3989/3989/228/228/565/228/3989/10317/","0.19122087702232654/0.19122087702232654/1.4088501328259156E-8/1.4088501328259156E-8/0.19122087702232654/0.19122087702232654/0.04389557262286326/0.19122087702232654/1.4088501328259156E-8/1.405800942295441E-20/","0/1/4/5/7/","no"
"7","108513300","68/914/1275/391/1098/1029/3171/50/58441/8842/","0.4123671217526127/2.5769439868795313E-8/2.1726075933885065E-11/7.324067070890954E-4/6.98616136446766E-10/2.7027974462927178E-9/1.5539794093335813E-27/0.5869004423477188/0.0/7.936006008377184E-76/","7/","no"
"8","107810700","3989/3989/228/157/4028/3989/239/228/79/3989/","3.258725479699198E-22/3.258725479699198E-22/0.0851759736711052/0.20689665034696395/2.0013784372592057E-22/3.258725479699198E-22/0.0742337868488217/0.0851759736711052/0.548517615462004/3.258725479699198E-22/","8/","no"
"9","102959700","565/565/68/3989/565/64/3989/182/3989/50/","1.6218594140413788E-5/1.6218594140413788E-5/0.2768570009176511/1.1289478269377922E-34/1.6218594140413788E-5/0.29944552162472593/1.1289478269377922E-34/0.029612809262185735/1.1289478269377922E-34/0.394036012413016/","9/","no"
"0","109713400","320/152/22425/181/156/1098/1124/2884/181/3328/","0.08409166939570903/0.25213047761318175/1.5105502610943614E-64/0.2085970161224872/0.24562425043930353/5.204508550453469E-4/4.39114774543427E-4/4.433760651448613E-9/0.2085970161224872/2.4348190414329817E-10/","1/3/4/8/","no"
