"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","129580700","134/60/64/60/54/64/64/64/","0.03670437511179484/0.14094228865393543/0.131055806137483/0.14094228865393543/0.1571878230304023/0.131055806137483/0.131055806137483/0.131055806137483/","1/2/3/4/5/6/7/","no"
"1","149661300","5922/198/97/2127/140/68/126/244/","5.340784760425823E-38/0.05690687076333005/0.24596375835938222/4.109619187881951E-14/0.1318936341078113/0.374455906513751/0.16156286861521546/0.029216961640468945/","5/","no"
"2","115443700","592/79/79/93/203/79/89/1468/","3.324492147354167E-4/0.2025996434234555/0.2025996434234555/0.17007369307715767/0.04300136381464906/0.2025996434234555/0.178793557785943/5.837148399165068E-9/","1/2/3/5/6/","no"
"3","109688100","348/125/68/123/72/69/51/69/","7.694923346827319E-4/0.056060824398977555/0.16776951408078694/0.0582590118146713/0.15534804022154267/0.16457400183127965/0.23264511348677946/0.16457400183127965/","6/","no"
"4","105170000","2284/61/94/103/50/104/103/226/","2.856550005735299E-20/0.24320466172713343/0.127337939665136/0.10673764486378318/0.30174720361314145/0.10466513499132797/0.10673764486378318/0.009569770275694795/","1/4/","no"
"5","115471400","592/60/60/54/60/60/60/1468/","1.0298364432745061E-5/0.1635235609188199/0.1635235609188199/0.18237189704022136/0.1635235609188199/0.1635235609188199/0.1635235609188199/1.2463545374499627E-12/","1/2/3/4/5/6/","no"
"6","103962900","112/10317/160/10317/160/160/80/1484/","0.24136213957653485/4.644362261647684E-56/0.13344719638340402/4.644362261647684E-56/0.13344719638340402/0.13344719638340402/0.35829626064477055/1.062848235857077E-8/","6/","no"
"7","110690800","952/50/123/123/123/123/123/68/","7.193195071968616E-9/0.34512249157233704/0.08247760921362804/0.08247760921362804/0.08247760921362804/0.08247760921362804/0.08247760921362804/0.24248945516632753/","1/","no"
"0","105585100","375/348/2474/123/82/968/134/968/","0.013231213273255145/0.018317921269000496/1.376126933684633E-13/0.27553736856043926/0.4515558942878424/1.0441159566434275E-5/0.24133672029019235/1.0441159566434275E-5/","4/","no"
"1","107273800","2335/297/103/282/132/103/89/806/","4.091422371378867E-12/0.027940333363346854/0.24120009065775458/0.03300760375772723/0.17475842968514396/0.24120009065775458/0.281795715772293/9.773610188822675E-5/","2/5/6/","no"
"2","106638200","1535/83/50/102/97/54/592/193/","6.920977452032578E-14/0.1602458538264259/0.30605598594981753/0.11040552774021718/0.12177796388051311/0.2829688082266667/7.419208233627719E-6/0.01853844116805669/","2/5/","no"
"3","104238700","952/123/123/123/68/123/123/348/","8.344252023286345E-7/0.1377892443639995/0.1377892443639995/0.1377892443639995/0.3057680329728652/0.1377892443639995/0.1377892443639995/0.0052849107819347785/","4/","no"
"4","111043300","2178/54/209/201/60/209/234/97/","6.555609663321293E-18/0.387504144233968/0.023139583566731858/0.026762436222107354/0.34745516477225286/0.023139583566731858/0.014687536408916778/0.17731155122929132/","1/4/","no"
"5","106321300","3989/79/50/78/83/50/78/529/","6.749323014915288E-35/0.1334045040794065/0.23557123401338181/0.13604609195637687/0.12334120312748503/0.23557123401338181/0.13604609195637687/1.96408535909458E-5/","2/5/","no"
"6","105129600","529/54/55/55/55/54/54/170/","2.9259510973618766E-5/0.16481325411509035/0.1618437270005611/0.1618437270005611/0.1618437270005611/0.16481325411509035/0.16481325411509035/0.019999797142072052/","1/2/3/4/5/6/","no"
"7","102453300","195/565/79/25963/228/89/10317/3989/","0.10312364913738234/0.0010109886821780217/0.4396279254947509/1.3400026324468463E-141/0.0682671541468797/0.387970282538809/1.1594417902317833E-56/2.611815340133382E-22/","2/5/","no"
"0","108955600","348/50/51/51/51/50/50/125/","4.6963472221237494E-4/0.16195802256332556/0.15881330636582863/0.15881330636582863/0.15881330636582863/0.16195802256332556/0.16195802256332556/0.037216378490325226/","1/2/3/4/5/6/","no"
"1","104015900","5922/68/198/69/244/50/255/68/","3.110429873695412E-51/0.22029998846952084/0.017218262497117335/0.21602245450680765/0.006986710253309905/0.31354139033306655/0.005631205470656854/0.22029998846952084/","5/","no"
"2","104091000","592/83/50/93/79/54/83/214/","6.047417174244593E-6/0.130616839157994/0.24946708158483535/0.10736021910330171/0.14127375289408767/0.2306486590967053/0.130616839157994/0.010010561587907727/","2/5/","no"
"3","104558000","952/50/50/60/60/50/60/375/","3.812024848019347E-9/0.1828972383372389/0.1828972383372389/0.15033197639642165/0.15033197639642165/0.1828972383372389/0.15033197639642165/3.1235198699373754E-4/","1/2/3/4/5/6/","no"
"4","105541300","107/198/198/234/60/198/223/5922/","0.24332458193506304/0.054739906825817024/0.054739906825817024/0.030338849927726754/0.5257827388792953/0.054739906825817024/0.03633410878046401/9.678734385877184E-43/","4/","no"
"5","106077000","239/68/502/82/78/79/78/1468/","0.018704709181246247/0.22296976729397874/4.1361533364424016E-4/0.18202383478728537/0.1928877962691327/0.190112480521647/0.1928877962691327/3.439330285867905E-10/","1/3/4/5/6/","no"
"6","112168100","3989/157/182/157/60/182/157/60/","3.6933233784235755E-29/0.07073824756552079/0.04695315229825774/0.07073824756552079/0.34693947635346106/0.04695315229825774/0.07073824756552079/0.34693947635346106/","4/7/","no"
"7","106887100","4028/97/69/592/1484/102/4028/1468/","1.1933350717210455E-25/0.2920785519934448/0.4357299975151208/2.47980344585471E-4/7.248776648127461E-10/0.27194346851094264/1.1933350717210455E-25/9.110286365862481E-10/","2/","no"
"0","117303800","68/123/123/123/50/123/123/348/","0.24224702518541763/0.08239515183331252/0.08239515183331252/0.08239515183331252/0.34477745372734675/0.08239515183331252/0.08239515183331252/9.997619206731298E-4/","4/","no"
"1","106395700","2335/60/54/103/54/54/97/209/","2.0192791525639025E-19/0.18586404550274985/0.20728742928203553/0.08504642522209004/0.20728742928203553/0.20728742928203553/0.09484919370084999/0.012378047728203428/","1/2/4/5/","no"
"2","104146300","1535/97/68/102/502/68/97/228/","1.4513323499175315E-10/0.16319830488400613/0.24845355106160902/0.1517906528473396/4.608884857557942E-4/0.24845355106160902/0.16319830488400613/0.02444474663054094/","2/5/","no"
"3","103531400","348/123/125/123/125/125/125/125/","0.02300135478951059/0.1411847402194058/0.13892583295433555/0.1411847402194058/0.13892583295433555/0.13892583295433555/0.13892583295433555/0.13892583295433555/","1/2/3/4/5/6/7/","no"
"4","104720400","15712/122/50/2111/79/2111/2111/79/","1.7910666858944274E-134/0.10255904524115332/0.4208192429156603/1.1843748454153078E-18/0.23831085592159323/1.1843748454153078E-18/1.1843748454153078E-18/0.23831085592159323/","2/","no"
"5","138673200","565/60/182/61/182/50/193/60/","1.1243487853185369E-5/0.22452669501919736/0.020528984100318934/0.22016709168851803/0.020528984100318934/0.2731641892587808/0.016546117325815464/0.22452669501919736/","1/3/5/7/","no"
"6","149722300","592/182/93/182/93/93/78/93/","3.0829126090359797E-4/0.055321583300605784/0.17067231058028176/0.055321583300605784/0.17067231058028176/0.17067231058028176/0.20635929981675782/0.17067231058028176/","2/4/5/6/7/","no"
"7","147195200","348/50/50/125/50/50/134/50/","5.344825452358748E-4/0.18432141412633926/0.18432141412633926/0.04235526838021038/0.18432141412633926/0.18432141412633926/0.03550317844285731/0.18432141412633926/","1/2/4/5/7/","no"
"0","109562000","64/64/159/61/60/64/375/159/","0.18032105972120205/0.18032105972120205/0.037991478249540335/0.1894109995886458/0.1925416892202061/0.18032105972120205/0.001101175528461104/0.037991478249540335/","0/1/3/4/5/","no"
"1","107368100","5922/318/122/320/140/93/93/806/","3.3289037630087314E-28/0.025920573609645482/0.2085426098648684/0.025374897691614905/0.17219955753678906/0.2839090733160547/0.2839090733160547/1.442146649728869E-4/","5/6/","no"
"2","105463600","592/79/79/93/203/79/89/1468/","3.324492147354167E-4/0.2025996434234555/0.2025996434234555/0.17007369307715767/0.04300136381464906/0.2025996434234555/0.178793557785943/5.837148399165068E-9/","1/2/3/5/6/","no"
"3","116620300","50/125/123/50/134/125/51/125/","0.2438102524978968/0.05602522488958929/0.058265940988614845/0.2438102524978968/0.046961656309222034/0.05602522488958929/0.23907622303760154/0.05602522488958929/","0/3/6/","no"
"4","107295000","2111/132/103/150/209/103/2335/780/","1.0967740149325826E-9/0.20148375406671656/0.2662817362234079/0.16946252824514157/0.0960937365787587/0.2662817362234079/1.27266368836017E-10/3.965074385268603E-4/","2/5/","no"
"5","113899200","107/79/193/98/107/182/10317/529/","0.18953173958698755/0.26895834107632205/0.06468675727933133/0.21209971157621554/0.18953173958698755/0.07422169565610615/7.09330600699124E-57/9.700152380498078E-4/","1/","no"
"6","108887300","3989/157/182/157/60/182/157/60/","3.6933233784235755E-29/0.07073824756552079/0.04695315229825774/0.07073824756552079/0.34693947635346106/0.04695315229825774/0.07073824756552079/0.34693947635346106/","4/7/","no"
"7","100999300","4028/1484/157/112/157/160/108/1484/","6.233065104106818E-17/8.528954735410574E-7/0.16524651162275655/0.2497055454552666/0.16524651162275655/0.1607604603292493/0.2590392651790238/8.528954735410574E-7/","3/6/","no"
"0","111540300","348/134/72/134/50/134/82/54/","7.860735924269662E-4/0.05221519630512204/0.1761013786018298/0.05221519630512204/0.2710849913715479/0.05221519630512204/0.14474613467117292/0.25063583284765634/","4/7/","no"
"1","106512200","15712/93/132/122/103/89/122/297/","8.308588088672798E-77/0.1945009898450904/0.12610361608525647/0.14092319561257732/0.17404713287269938/0.20334045585235722/0.14092319561257732/0.020161414119442007/","1/4/5/","no"
"2","102803200","3989/1535/60/598/565/68/10317/1535/","5.670038112169421E-29/1.6789563199949323E-11/0.5326259988584782/7.872042369258925E-5/1.352177229005951E-4/0.4671600629613496/5.021959047785583E-74/1.6789563199949323E-11/","2/5/","no"
"3","114495900","952/50/60/50/60/60/50/148/","3.7137601352823354E-9/0.1781825931546558/0.1464567843227244/0.1781825931546558/0.1464567843227244/0.1464567843227244/0.1781825931546558/0.026081863854099285/","1/2/3/4/5/6/","no"
"4","106911000","318/2111/2111/2111/93/2111/2111/691/","0.0835285856264826/4.3440907876091197E-10/4.3440907876091197E-10/4.3440907876091197E-10/0.9148919193590231/4.3440907876091197E-10/4.3440907876091197E-10/0.0015794928424488171/","4/","no"
"5","103858300","529/182/60/170/168/50/193/3989/","3.874796695408474E-5/0.03492645546768315/0.38199267808738/0.044191775451624844/0.045959215437704724/0.46474081936496586/0.02815030822368732/1.3315233166085001E-34/","2/5/","no"
"6","103472500","3989/68/78/68/78/78/68/228/","3.6758163908548905E-26/0.17563448975561027/0.15193875873380835/0.17563448975561027/0.15193875873380835/0.15193875873380835/0.17563448975561027/0.01728025453174389/","1/2/3/4/5/6/","no"
"7","104683600","2474/952/123/6209/123/123/2474/50/","1.3288718426551699E-21/1.2139280083080405E-8/0.13918971872857502/2.0787343061369757E-53/0.13918971872857502/0.13918971872857502/1.3288718426551699E-21/0.5824308316749949/","7/","no"
"0","108615100","952/123/68/50/68/68/50/348/","4.7916564821500815E-9/0.05494142267332721/0.1615313025818973/0.22989900973529315/0.1615313025818973/0.1615313025818973/0.22989900973529315/6.66645318738186E-4/","3/6/","no"
"1","115751900","2335/89/97/89/282/54/282/83/","3.1044622696515824E-19/0.16865288482713514/0.1458222072848568/0.16865288482713514/0.005046786770373448/0.31868600354838017/0.005046786770373448/0.18809244597174574/","5/","no"
"2","109858700","228/78/60/79/60/68/79/1535/","0.012362511647251514/0.14455861024308717/0.1941763952382354/0.14220811594715724/0.1941763952382354/0.17030985573275503/0.14220811594715724/6.120874434927706E-12/","2/4/5/","no"
"3","113214200","375/50/123/54/123/123/50/78/","4.04621953104225E-4/0.23692577884854715/0.05662068476464148/0.21905340315722763/0.05662068476464148/0.05662068476464148/0.23692577884854715/0.13682836289864936/","1/3/6/","no"
"4","112488000","15712/60/68/132/50/89/132/223/","1.2429191858325735E-134/0.2400329959671285/0.20518533666389593/0.05849911881927914/0.292029501138431/0.1359312096139461/0.05849911881927914/0.009822718978040105/","1/4/","no"
"5","104183600","529/50/51/170/51/54/168/50/","1.6413144641692314E-5/0.19685828415654902/0.19303591447704457/0.01871907249534401/0.19303591447704457/0.18200837955987179/0.01946773753295527/0.19685828415654902/","1/2/4/5/7/","no"
"6","105138100","592/60/64/60/64/64/64/193/","2.783157299308403E-5/0.1706692190889434/0.15983683623296374/0.1706692190889434/0.15983683623296374/0.15983683623296374/0.15983683623296374/0.01928638531726531/","1/2/3/4/5/6/","no"
"7","104867900","214/107/89/103/214/68/10317/72/","0.029447415856851556/0.13884119488147795/0.18022397128932627/0.14712783160160153/0.029447415856851556/0.24433694343835927/7.577453270110796E-66/0.23057522707553194/","5/7/","no"
"0","106293500","952/68/68/78/134/68/375/375/","6.3869581896937E-7/0.23404466174949293/0.23404466174949293/0.20246852109726976/0.08992627969680239/0.23404466174949293/0.002735287630815083/0.002735287630815083/","1/2/3/5/","no"
"1","149925700","895/50/244/64/269/272/78/5922/","2.670659795297541E-8/0.41906562988986873/0.009338129584904568/0.3184666431093467/0.005719663043510933/0.005392916675625698/0.2420169909901455/4.1572637439152367E-51/","1/","no"
"2","103006700","10317/3989/502/113/50/502/10317/3989/","2.8815274275716945E-88/2.2192223932750962E-34/1.0965326785283318E-4/0.2252067746006607/0.7745739188636337/1.0965326785283318E-4/2.8815274275716945E-88/2.2192223932750962E-34/","4/","no"
"3","107913000","375/50/54/50/54/54/54/134/","2.8982192571868747E-4/0.16970479468917576/0.15690319976757783/0.16970479468917576/0.15690319976757783/0.15690319976757783/0.15690319976757783/0.03268778962561843/","1/2/3/4/5/6/","no"
"4","112588500","4028/1484/68/10317/502/69/4028/1484/","5.983748499847839E-26/6.154914943844744E-10/0.5031530609746097/1.5603939189859558E-65/9.333634048904256E-4/0.49591357438951716/5.983748499847839E-26/6.154914943844744E-10/","2/5/","no"
"5","106163400","107/79/160/108/98/157/1468/529/","0.17915824052647797/0.2542376451941903/0.09236696939035037/0.1769327011194929/0.20049101657048848/0.09589649575515145/7.324903630511301E-9/9.169241189448128E-4/","1/","no"
"6","119568000","565/50/61/51/61/60/60/185/","7.755309256969249E-6/0.18841775730926258/0.15186247422041935/0.18475927615514248/0.15186247422041935/0.15486955463075242/0.15486955463075242/0.013351153523994484/","1/2/3/4/5/6/","no"
"7","109165200","10317/228/107/1551/3989/78/1468/3989/","2.797226998434089E-57/0.08127953855328089/0.3759814759877611/4.334340312011177E-9/1.7150052412643425E-22/0.5427389687307433/1.2393874181024392E-8/1.7150052412643425E-22/","5/","no"
"0","102466400","375/50/54/50/54/54/54/134/","2.8982192571868747E-4/0.16970479468917576/0.15690319976757783/0.16970479468917576/0.15690319976757783/0.15690319976757783/0.15690319976757783/0.03268778962561843/","1/2/3/4/5/6/","no"
"1","116172400","6089/244/122/255/806/93/244/111/","6.317761938992615E-29/0.06387983036706865/0.2338958681193362/0.05682534217363892/1.6174734880909848E-4/0.3184248974981379/0.06387983036706865/0.26293248412594067/","5/7/","no"
"2","104864800","565/89/50/90/79/60/93/182/","1.078704363864873E-5/0.12198813735633311/0.2620747288143122/0.11961951081116184/0.14841349104293533/0.21541173778450703/0.11278602422490237/0.019695582922209375/","2/5/","no"
"3","104835700","348/123/69/123/51/125/79/51/","8.194851598917407E-4/0.0620440171529003/0.17526614122847134/0.0620440171529003/0.24775973642720156/0.05970301661965324/0.14460384983177993/0.24775973642720156/","4/7/","no"
"4","107745800","2284/51/51/103/50/51/93/201/","1.981468426064303E-20/0.20524519626608648/0.20524519626608648/0.07403940863818691/0.20930932607942607/0.20524519626608648/0.09007799732731393/0.010837679156813614/","1/2/4/5/","no"
"5","106294600","1535/50/83/502/54/83/239/54/","5.767235907425421E-14/0.2550358073098328/0.1335325318727044/3.610437817482473E-5/0.23579731082737937/0.1335325318727044/0.006268402911767243/0.23579731082737937/","1/4/7/","no"
"6","106501000","3989/50/182/50/182/60/157/60/","7.3146872376774E-35/0.255304109048221/0.019186753613709803/0.255304109048221/0.019186753613709803/0.2098466419956444/0.031324990684849514/0.2098466419956444/","1/3/5/7/","no"
"7","108337200","375/50/54/68/72/54/159/159/","3.847237305207296E-4/0.2252744044059893/0.2082809442230187/0.1582819692175224/0.14634204932883116/0.2082809442230187/0.02657748243554953/0.02657748243554953/","1/2/5/","no"
"0","104941500","354/51/51/50/50/51/50/125/","4.175316179994922E-4/0.15882158491997705/0.15882158491997705/0.1619664650439353/0.1619664650439353/0.15882158491997705/0.1619664650439353/0.03721831849026346/","1/2/3/4/5/6/","yes"
"1","117013900","297/60/297/297/60/272/297/111/","0.008066959828161864/0.39269082122530297/0.008066959828161864/0.008066959828161864/0.39269082122530297/0.01215344600934917/0.008066959828161864/0.1701970722273975/","1/4/","yes"
"2","116585100","565/228/50/1468/157/60/592/193/","2.0218415162664584E-5/0.01497948635979571/0.49121296328363245/4.132188330893881E-13/0.06027024616447055/0.40375139763352086/1.1907662091131757E-5/0.029753780480913476/","2/5/","yes"
"3","109601500","51/51/51/50/51/51/51/125/","0.13785228243195194/0.13785228243195194/0.13785228243195194/0.14058194227813064/0.13785228243195194/0.13785228243195194/0.13785228243195194/0.03230436313015783/","0/1/2/3/4/5/6/","yes"
"4","111812800","354/111/93/141/198/111/145/806/","0.014762772586617625/0.1958237517917227/0.2371527363736195/0.14231829922986858/0.07760897783433753/0.1958237517917227/0.13638924611098077/1.2046428113078164E-4/","1/2/5/","yes"
"5","154613700","102/50/68/97/228/50/97/157/","0.08990683582271561/0.24923140937377372/0.17511460465541714/0.09916778289572574/0.007600284960296166/0.24923140937377372/0.09916778289572574/0.0305798900225722/","1/5/","yes"
"6","112871800","61/571/79/60/79/79/79/79/","0.1742428850399685/4.07538273581528E-5/0.1297186986874499/0.17712286769542393/0.1297186986874499/0.1297186986874499/0.1297186986874499/0.1297186986874499/","0/3/","yes"
"7","115190400","123/50/123/348/123/123/123/68/","0.08239515183331249/0.34477745372734664/0.08239515183331249/9.997619206731296E-4/0.08239515183331249/0.08239515183331249/0.08239515183331249/0.2422470251854176/","1/","yes"
