"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","102891200","50/2951/345/83/54/2966/54/54/","0.23253891933146786/4.600485326447079E-26/7.151548977812779E-4/0.12175353329719005/0.21499746415785362/3.4282302181029664E-26/0.21499746415785362/0.21499746415785362/","0/4/6/7/","no"
"1","113675100","204/50/22942/1098/1098/152/1098/122/","0.03419107636280139/0.7003446199386913/8.066747603260887E-196/8.336542576210398E-10/8.336542576210398E-10/0.09478133750264066/8.336542576210398E-10/0.17068296369490385/","1/","no"
"2","105560400","97/365/366/102/102/365/102/102/","0.20019540201561095/0.012995459433584124/0.012863526974230691/0.19023753803574753/0.19023753803574753/0.012995459433584124/0.19023753803574753/0.19023753803574753/","0/3/4/6/7/","no"
"3","100759800","832/691/6128/691/50/691/50/691/","1.0959352064042693E-7/1.7397281369601987E-6/8.735411845498121E-53/1.7397281369601987E-6/0.49999646574696577/1.7397281369601987E-6/0.49999646574696577/1.7397281369601987E-6/","4/6/","no"
"4","113362200","255/272/6128/272/198/198/198/198/","0.12250531133651298/0.11247458119880294/1.866430150130733E-14/0.11247458119880294/0.16313638156646562/0.16313638156646562/0.16313638156646562/0.16313638156646562/","4/5/6/7/","no"
"5","108882700","832/691/6128/691/50/691/691/691/","2.1918472932858288E-7/3.4794195731337662E-6/1.747063941134963E-52/3.4794195731337662E-6/0.9999823837174049/3.4794195731337662E-6/3.4794195731337662E-6/3.4794195731337662E-6/","4/","no"
"6","114124500","115/1625/146/1356/1173/1442/1173/1442/","0.5663305093195709/1.2582121014540595E-6/0.43351936529955204/1.2789918755963877E-5/6.194478788497913E-5/6.0938371248482455E-6/6.194478788497913E-5/6.0938371248482455E-6/","0/","no"
"7","107807200","162/3787/181/3787/3787/4246/3787/302/","0.43222638381319745/9.491213044139704E-11/0.38466971016585616/9.491213044139704E-11/9.491213044139704E-11/5.680280416460098E-12/9.491213044139704E-11/0.18310390563561746/","0/2/","no"
"0","106500100","50/175/246/113/113/3238/113/54/","0.3442994407470667/0.02968171957748205/0.007377054879332422/0.10010479911486549/0.10010479911486549/2.450605530455988E-28/0.10010479911486549/0.3183273874515225/","0/7/","no"
"1","103887900","136/50/2351/122/122/79/122/122/","0.06793237726784096/0.36678918977791186/9.334076873113127E-21/0.08939122851836427/0.08939122851836427/0.20771351888079026/0.08939122851836427/0.08939122851836427/","1/","no"
"2","143673200","246/377/50/257/365/377/331/365/","0.020402436049572172/0.001563656293738228/0.9522156791086756/0.01644412110014852/0.0019784643729546907/0.001563656293738228/0.0038535224082177463/0.0019784643729546907/","2/","no"
"3","148745500","832/691/6128/691/50/691/691/691/","2.1918472932858288E-7/3.4794195731337662E-6/1.747063941134963E-52/3.4794195731337662E-6/0.9999823837174049/3.4794195731337662E-6/3.4794195731337662E-6/3.4794195731337662E-6/","4/","no"
"4","111533200","832/691/73/691/691/691/691/691/","3.506849926417362E-5/2.3573509035594171E-4/0.9985505209586/2.3573509035594171E-4/2.3573509035594171E-4/2.3573509035594171E-4/2.3573509035594171E-4/2.3573509035594171E-4/","2/","no"
"5","110597700","1118/354/3410/111/127/93/127/400/","5.537540663837679E-6/0.018754894796993587/1.4253575367571378E-16/0.24877805588738697/0.2098406411984895/0.3012831495852122/0.2098406411984895/0.011497079792764214/","3/5/","no"
"6","103932200","102/1625/224/93/50/1442/1442/79/","0.15091174342856553/1.6199351380942398E-14/0.013798202396964604/0.1800376100108946/0.4183435682234498/5.859336145102503E-13/5.859336145102503E-13/0.23690887593893745/","4/","no"
"7","112449300","194/11076/152/128/128/11076/128/302/","0.12784837298859436/2.958652958660057E-38/0.17704897178640802/0.2132516412468455/0.2132516412468455/2.958652958660057E-38/0.2132516412468455/0.05534773148446105/","2/3/4/6/","no"
"0","118255900","50/411/109/257/257/3238/257/54/","0.43635961494671444/3.6789244070039467E-4/0.13722253666512788/0.0075356355800764024/0.0075356355800764024/3.105858328830801E-28/0.0075356355800764024/0.4034430492072281/","0/7/","no"
"1","107666100","1187/79/8881/138/138/79/138/138/","2.468798453618685E-7/0.25554313066976464/4.209338384448914E-49/0.12222837294515639/0.12222837294515639/0.25554313066976464/0.12222837294515639/0.12222837294515639/","1/5/","no"
"2","106901000","109/161/914/113/113/125/143/143/","0.16991199098148493/0.10590615059154569/1.1271404810134062E-4/0.16384436224459417/0.16384436224459417/0.14691086721985533/0.12473477633491219/0.12473477633491219/","0/3/4/5/","no"
