"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","157639600","55/84/4533/4616/4075/","0.6266465582771191/0.37335344172288093/1.1721268748757959E-35/2.662491067659733E-36/4.177178797736109E-32/","0/","no"
"1","109555300","51/68/11794/11794/11794/","0.5810105262638605/0.41898947373613943/4.884245028799278E-99/4.884245028799278E-99/4.884245028799278E-99/","0/","no"
"2","101156300","148646/148646/122/150/2884/","0.0/0.0/0.556666072400325/0.4433339275011859/9.848919367720033E-11/","2/","no"
"3","104729500","40251/40251/50/50/15712/","0.0/0.0/0.5/0.5/2.1280712753116535E-134/","2/3/","no"
"4","109074600","3870/3870/529/1475/93/","3.5115324817105E-18/3.5115324817105E-18/0.009581453887436328/4.0809913138735423E-7/0.9904181380134323/","4/","no"
"0","105901900","78/50/80624/80624/80624/","0.3660918973606951/0.6339081026393049/0.0/0.0/0.0/","1/","no"
"1","109460100","150/97/30484/80624/30484/","0.3679977043493296/0.6320022956506705/1.3753341644522466E-135/0.0/1.3753341644522466E-135/","1/","no"
"2","100463800","8282/8842/54/64/2951/","5.83720155273091E-66/2.2095164395959568E-70/0.5453297388885201/0.45467026111147996/7.264142928170421E-24/","2/3/","no"
"3","113184700","58441/58441/914/246/22425/","4.4558303559182924E-103/4.4558303559182924E-103/0.06271107956846317/0.9372889204315369/9.441527273588861E-40/","3/","no"
"4","102507500","3870/3870/421/1206/50/","2.9525067184906817E-33/2.9525067184906817E-33/6.924998449522257E-4/1.4311689006259146E-10/0.9993075000119309/","4/","no"
"0","100901200","126/126/207616/30903/207616/","0.5/0.5/0.0/2.835703344317978E-106/0.0/","0/1/","no"
"1","103455900","60/60/30903/31884/31884/","0.5/0.5/1.2873971391706398E-220/1.3347591936606409E-227/1.3347591936606409E-227/","0/1/","no"
"2","102563100","8282/8674/1092/78/318/","7.568477288163772E-46/5.296979571358006E-48/2.542750589769326E-6/0.954258084280196/0.045739372969214244/","3/","no"
"3","99735400","8449/8282/78/54/2884/","3.121323327951991E-67/6.501517419704654E-66/0.3926077821986513/0.6073922178013487/2.7355462605157113E-23/","3/","no"
"4","105045600","80624/80624/11469/31465/327/","4.800298584553917E-107/4.800298584553917E-107/1.7669664387179437E-15/5.904100304991113E-42/0.9999999999999982/","4/","no"
"0","103846300","51/50/31465/31465/31465/","0.4950981962633707/0.5049018037366292/1.5357539742482245E-268/1.5357539742482245E-268/1.5357539742482245E-268/","0/1/","no"
"1","102701600","50/50/22844/22844/22844/","0.5/0.5/3.934443633567805E-195/3.934443633567805E-195/3.934443633567805E-195/","0/1/","no"
