"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","110034500","97/97/373066/373066/373066/373066/373066/373066/373066/373066/","0.5/0.5/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/1/","no"
"1","112025900","691/691/101165/101165/15712/15712/101165/15712/101165/101165/","0.49999999971946696/0.49999999971946696/4.387050581597636E-64/4.387050581597636E-64/1.8702205217354765E-10/1.8702205217354765E-10/4.387050581597636E-64/1.8702205217354765E-10/4.387050581597636E-64/4.387050581597636E-64/","0/1/","no"
"2","133780800","2136842333/2147483647/50/50/80751/49722/50/1009/50/50/","0.0/0.0/0.1999999997273405/0.1999999997273405/0.0/0.0/0.1999999997273405/1.3632974415131251E-9/0.1999999997273405/0.1999999997273405/","2/3/6/8/9/","no"
"3","134596200","2136842333/2147483647/2982135/145561/12546/4559/453/453/453/453/","0.0/0.0/0.0/3.874605151466811E-140/6.757942290165862E-13/2.9521942813407902E-5/0.2499926195141277/0.2499926195141277/0.2499926195141277/0.2499926195141277/","6/7/8/9/","no"
"4","113485000","711063/1793938/278324/278324/364/364/106872/106872/106872/109325/","0.0/0.0/0.0/0.0/0.5/0.5/9.34652855341647E-128/9.34652855341647E-128/9.34652855341647E-128/1.1270766412830451E-130/","4/5/","no"
"5","128233500","283228681/1783526897/359721/377404/44178309/150/44178309/919/44855997/919/","0.0/0.0/0.0/0.0/0.0/0.9878663886015602/0.0/0.006066805699219912/0.0/0.006066805699219912/","5/","no"
"6","133820100","76174004/191073762/91642/31769/2673/687/50/50/50/50/","0.0/0.0/0.0/1.9602821732742485E-271/1.1523338122552046E-23/9.408412826537663E-7/0.2499997647896793/0.2499997647896793/0.2499997647896793/0.2499997647896793/","6/7/8/9/","no"
"7","131680400","93217014/234539298/16429/5236/93157409/50/330/329/329/330/","0.0/0.0/3.282207250289831E-140/6.776905210352723E-45/0.0/0.9836018027489168/0.004059358940491149/0.004139739685050493/0.004139739685050493/0.004059358940491149/","5/","no"
"8","137020700","2136842333/2147483647/145561/49722/4916/1034/239/229/229/229/","0.0/0.0/9.506944418889828E-276/8.805927188724434E-95/3.540924271137409E-10/0.007572725219312943/0.240104619836988/0.25077421819653556/0.25077421819653556/0.25077421819653556/","6/7/8/9/","no"
"9","136229500","2136842333/2147483647/1116045/408902/3495/15931/60/387/387/50/","0.0/0.0/0.0/0.0/2.527287273136987E-30/3.1836524469208146E-136/0.45046940849481654/7.397266619142346E-4/7.397266619142346E-4/0.548051138181355/","6/9/","no"
"0","109753500","50/97/148646/148646/22523/22523/373066/22523/148646/373066/","0.7153616165131179/0.28463838348688203/0.0/0.0/3.047470567919825E-192/3.047470567919825E-192/0.0/3.047470567919825E-192/0.0/0.0/","0/","no"
"1","111809500","51/51/15712/15712/15712/15712/15809/15712/15712/15809/","0.5/0.5/7.964611542206358E-132/7.964611542206358E-132/7.964611542206358E-132/7.964611542206358E-132/1.2332137368919303E-132/7.964611542206358E-132/7.964611542206358E-132/1.2332137368919303E-132/","0/1/","no"
"2","133195100","2136842333/2147483647/50/1116045/81143/49722/682/682/682/682/","0.0/0.0/0.9999833962021988/0.0/0.0/0.0/4.150949450312411E-6/4.150949450312411E-6/4.150949450312411E-6/4.150949450312411E-6/","2/","no"
"3","133216000","2136842333/2147483647/1009/1009/3757/49722/50/387/50/50/","0.0/0.0/2.2711405787065556E-9/2.2711405787065556E-9/9.02475587114442E-33/0.0/0.3331834281284317/4.497110724237357E-4/0.3331834281284317/0.3331834281284317/","6/8/9/","no"
"4","117740900","110371/711063/41310/41310/50/64/14872/14872/14312/16019/","0.0/0.0/0.0/0.0/0.5681997184824406/0.43180028151755934/3.440351081779153E-127/3.440351081779153E-127/2.0198842680493775E-122/5.878069409872378E-137/","4/","no"
"5","128002000","711813722/1783526897/8029/2504/283228681/50/693/430/693/430/","0.0/0.0/1.1316063573890344E-68/1.2655061251523593E-21/0.0/0.9988329286026448/3.3417668621267765E-6/5.801939318154298E-4/3.3417668621267765E-6/5.801939318154298E-4/","5/","no"
"6","131010800","30253979/76233608/31769/10334/1044/50/51/50/50/51/","0.0/0.0/1.5805025716479546E-271/5.372931173269242E-89/6.917220316011275E-10/0.20156550753175312/0.19765173835650926/0.20156550753175312/0.20156550753175312/0.19765173835650926/","5/6/7/8/9/","no"
"7","131409600","76174004/191073762/91642/31769/2673/687/50/50/50/50/","0.0/0.0/0.0/1.9602821732742485E-271/1.1523338122552046E-23/9.408412826537663E-7/0.2499997647896793/0.2499997647896793/0.2499997647896793/0.2499997647896793/","6/7/8/9/","no"
"8","137012600","2136842333/2147483647/426585/152634/12483/4559/50/50/122/122/","0.0/0.0/0.0/0.0/5.3711547740838925E-107/1.6125320140162274E-39/0.40202206743965585/0.40202206743965585/0.09797793256034416/0.09797793256034416/","6/7/","no"
