"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","105154500","51/592/592/598/598/598/592/592/508/592/","0.9996150516829855/3.0303989838640616E-5/3.0303989838640616E-5/2.7001563353373402E-5/2.7001563353373402E-5/2.7001563353373402E-5/3.0303989838640616E-5/3.0303989838640616E-5/1.5242367776157213E-4/3.0303989838640616E-5/","0/","no"
"1","118012700","14902303/434/2364241/50/231/5996/17994/17994/50724/17994/","0.0/5.21771460257032E-4/0.0/0.9715436148394783/0.027934613700264788/2.2585778193620902E-51/1.5273173895522752E-153/1.5273173895522752E-153/0.0/1.5273173895522752E-153/","3/","no"
"2","105730400","502/3989/64/193/203/64/239/68/64/64/","2.249917561905393E-4/1.1322387518846336E-27/0.18995173657372844/0.026105724955876007/0.02238315088969263/0.18995173657372844/0.012864381000211065/0.178614805103116/0.18995173657372844/0.18995173657372844/","2/5/7/8/9/","no"
"3","111844800","1317511/50/80624/51/11115/51/109/50/109/302/","0.0/0.21752111293987225/0.0/0.21329753601337503/1.2960746006874696E-95/0.21329753601337503/0.06840412786475668/0.21752111293987225/0.06840412786475668/0.0015544463639920283/","1/3/5/7/","no"
"4","110349400","80624/78/3787/457/78/190/190/78/55/78/","0.0/0.1730189061108372/2.9774151539325785E-30/1.9899884258054208E-4/0.1730189061108372/0.02341556266379905/0.02341556266379905/0.1730189061108372/0.26089425138647265/0.1730189061108372/","8/","no"
"5","112168400","14902303/5951414/2364241/360971/360971/50/50/17994/5996/1798/","0.0/0.0/0.0/0.0/0.0/0.4999999999999997/0.4999999999999997/7.860261578707523E-154/1.1623656338553874E-51/6.512376891102139E-16/","5/6/","no"
"6","114109800","48259941/19280164/7671210/1184063/1184063/50/50/62940/22128/7304/","0.0/0.0/0.0/0.0/0.0/0.5/0.5/0.0/4.9208171839013024E-189/8.452139126677698E-63/","5/6/","no"
"7","109631800","8321/8449/2951/249/249/50/72/50/50/54/","8.00794168640976E-72/6.509189394508205E-73/4.287214105784783E-26/0.004377913090125697/0.004377913090125697/0.21670412236087955/0.1407746496896465/0.21670412236087955/0.21670412236087955/0.20035715704746337/","5/7/8/9/","no"
"8","112065700","58441/914/1212/93/181/93/186/93/97/93/","4.630937227681986E-271/2.813660313347773E-5/1.1815871361223621E-6/0.17475038871419857/0.06852429766061005/0.17475038871419857/0.06497463112874176/0.17475038871419857/0.16747019816358436/0.17475038871419857/","3/5/7/8/9/","no"
"9","113124600","80624/80868/30484/3787/3787/1173/327/50/50/50/","0.0/0.0/2.28634823113723E-260/5.006454657998721E-33/5.006454657998721E-33/9.104401031196081E-11/0.001456902310500766/0.3328476991994851/0.3328476991994851/0.3328476991994851/","7/8/9/","no"
"0","105362300","50/3989/3989/3989/3989/3989/10317/3989/3989/3989/","1.0/2.8650879396131564E-34/2.8650879396131564E-34/2.8650879396131564E-34/2.8650879396131564E-34/2.8650879396131564E-34/3.720145175813745E-88/2.8650879396131564E-34/2.8650879396131564E-34/2.8650879396131564E-34/","0/","no"
"1","117737500","14902303/50/505/434/887/5996/17994/17994/50724/17994/","0.0/0.9993298420804148/1.3338925032156928E-4/5.366941669076569E-4/7.450235595840725E-8/2.3231733306408122E-51/1.5709987924321092E-153/1.5709987924321092E-153/0.0/1.5709987924321092E-153/","1/","no"
