"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","104627400","50/360971/6966/1149/18879/194/5951414/360971/","0.9439341441683337/0.0/1.205601330090917E-59/4.133532814263197E-10/4.3164040632780926E-161/0.05606585541831301/0.0/0.0/","0/","no"
"1","119755200","498/3288/1082/1676/28599/22128/22688/595/","0.44809257257542756/0.0016716605630995598/0.13902574960334502/0.042278488195450686/1.5639937307353494E-25/6.700975014805739E-20/2.1814909202834898E-20/0.3689315290626771/","0/7/","no"
"2","108201700","520/2678/50/490/367/441/28599/1687/","9.919458587321276E-5/4.167450781991804E-23/0.9972629041519926/1.786303754033529E-4/0.0019923765171367233/4.66894369582565E-4/7.719179812688533E-244/1.1450075578036475E-14/","2/","no"
"3","107938000","3030195/622/1689/50/23275/451/325/28560/","0.0/1.3395061237824019E-5/1.0985577588223832E-14/0.9950739641316341/1.6732257352092673E-198/3.829204445976723E-4/0.004529720362519495/1.65471956218514E-243/","3/","no"
"4","107888900","2009/2026/4228/1925/388/559/4012/398/","0.0058071838593725/0.00555886498526432/1.9345906497938286E-5/0.0072068650499558995/0.37472441529182166/0.24143545596904434/3.3708524890593605E-5/0.36521416041315274/","4/7/","no"
"5","107431400","174505/3686/925/230/487/50/3030195/419/","0.0/1.057846648744196E-31/3.4350557019921105E-8/0.02846168101997468/1.843983290778952E-4/0.9706543402795343/0.0/6.995460208560349E-4/","5/","no"
"6","113824500","8522/14720974/1656/118520/48861/44057/12059/2198857/","0.015588537975392879/0.0/0.9825674284433309/2.3050268176840638E-31/4.1694667780861544E-13/7.571706817370913E-12/0.001844033573287389/0.0/","2/","no"
"7","112619400","7097/2674/66536/6739/66536/60359/67644/203/","2.1057111714803648E-15/5.489076194798092E-6/6.081874839358055E-142/1.217707663034607E-14/6.081874839358055E-142/8.594466500234763E-129/2.662087653586787E-144/0.9999945109237909/","7/","no"
"0","107550100","108/279/14902303/919/369719/6283/5951414/930399/","0.8272116039165938/0.17230276519906/0.0/4.856308843462605E-4/0.0/2.0617526678032354E-25/0.0/0.0/","0/","no"
"1","114845400","1374/50/3030195/937/1374/1406/1687/473691/","5.313425730486345E-12/0.9999999720171835/0.0/2.7969341006722778E-8/5.313425730486345E-12/2.8371096181275912E-12/1.1481501226968338E-14/0.0/","1/","no"
"2","110667800","64019/3030195/229/473081/675/386/521/674/","1.7078459504352134E-121/0.0/0.4820356201297784/0.0/0.0693306838930221/0.2435712034359741/0.1354297146419344/0.069632777899291/","2/","no"
"3","109452100","521/521/26878/64/303/436/364/464479/","8.500477692398013E-4/8.500477692398013E-4/6.7045810775367035E-180/0.961319191321583/0.02432205183792564/0.003143162867897127/0.009515498434114538/0.0/","3/","no"
"4","110284100","9658374/24385354/2050/615/9209/630/10650/674/","0.0/0.0/0.03264307438348049/0.3353511429855174/2.9277079332584284E-7/0.3272837466915534/2.8222070487929374E-8/0.3047217149465849/","3/5/7/","no"
"5","109842900","11108/229/395/9454/24553/511/1205932/24385/","1.6129125993202464E-21/0.5620045458779851/0.2730816427523563/2.1416802432389285E-18/6.61098256594317E-47/0.1649138113696585/0.0/1.3724287504780559E-46/","1/","no"
"6","114575100","1209/5321/2160/587572708/3557/6022/3488/355197/","0.5544657549514104/0.018534946293323237/0.2526625068619496/0.0/0.07963941858952385/0.010384549702802684/0.08431282360099014/4.899217776910899E-128/","0/","no"
"7","112970400","4180/62872/3320566/1627/3969/1503/4954/52298663/","0.07073210682194091/7.9751058006216645E-19/0.0/0.38620680941773533/0.08138509520216174/0.4193977737152534/0.0422782148429087/0.0/","3/5/","no"
"0","106741700","64/2364241/6915/1138/18554/190/5951414/56367/","0.874182979038251/0.0/1.468804362005213E-46/5.830706950422643E-8/2.5207273797994677E-124/0.12581696265467948/0.0/0.0/","0/","no"
"1","110397600","372/50/4181/544/674/2864/64340/8264/","0.0018078771131822178/0.9981252620219848/6.627229544572895E-36/6.201396184003125E-5/4.846902992896004E-6/1.0872973764586701E-24/0.0/1.1277860720738172E-70/","1/","no"
"2","108208300","7680747/2651/64/487/7671210/495/22688/1434/","0.0/5.174406001488587E-18/0.9971968126370881/0.0014877365152387925/0.0/0.0013154501475256758/6.8797929010873016E-152/7.001474217396593E-10/","2/","no"
"3","108638100","1200917/2925/578/2165/7680747/10435/7680747/1184063/","0.0/0.016047013362756553/0.924324625428475/0.05962832385647657/0.0/3.7352291960190474E-8/0.0/0.0/","2/","no"
"4","110683100","76233608/1025/2457/1026/388/693/688924/836/","0.0/0.08977916072627924/0.002261704996394838/0.08954866236595091/0.46168600578901375/0.21078176775767987/0.0/0.1459426983646814/","4/","no"
"5","105797600","462473/26235/8290/3051/1066/536/3030195/971/","0.0/9.00430135458909E-22/2.9330950969143653E-7/0.005062042115937497/0.20402281117150076/0.5474091026282423/0.0/0.24350575077480976/","5/","no"
"6","114766600","37088136/14720974/582/118520/981/223/12059/3163/","0.0/0.0/0.16300570396916453/3.566813899174862E-230/0.0274546401535037/0.8095380410645194/9.129080740019503E-24/1.6148128123333006E-6/","5/","no"
"7","111356200","4757/151561/12579/563/4757/614/4954/160579/","3.0783104997873827E-4/2.7890924995296336E-117/2.918579832323237E-10/0.5221558085851312/3.0783104997873827E-4/0.47701145024649017/2.170787765631182E-4/3.1722788913090298E-124/","3/5/","no"
"0","105524100","50/8345/142783/1135/20993/20993/145479/5996/","0.9999999994237674/2.3082341119105915E-71/0.0/5.762325497545596E-10/4.552483106654904E-179/4.552483106654904E-179/0.0/2.3247312663711902E-51/","0/","no"
"1","110441400","1380/229/10884/174261/1689/247/1689/397/","0.0027760593354473435/0.4137989562455735/3.1450348158536025E-21/0.0/7.243751599966133E-4/0.3826494796432754/7.243751599966133E-4/0.1993267544557105/","1/5/","no"
"2","108480200","18425/930399/50/2244/395/144188/395/520/","3.3512647264196114E-157/0.0/0.9975987395080592/2.069081472295733E-19/0.0011510162507936017/0.0/0.0011510162507936017/9.922799035354379E-5/","2/","no"
"3","108288300","1200917/8421/1603/7304/520/486/7680747/1184063/","0.0/4.1259836507961166E-8/0.04961925614841234/4.089218418549039E-7/0.45860913476665066/0.4917711589032587/0.0/0.0/","4/5/","no"
"4","109103000","24409196/806/5015/4024/596/569498/858/27110/","0.0/0.29908090396041426/2.593602809676414E-4/0.0013640106420475878/0.4251631223447991/0.0/0.27413260277177154/2.1910024787787288E-20/","4/","no"
"5","112309600","26917/3030195/4044/27675/4323/511/1122/71092/","3.062385923202657E-23/0.0/7.720705020174498E-4/6.967877566726889E-24/4.4771371302144015E-4/0.7664053564442802/0.23237485934068094/1.0361851990163324E-60/","5/","no"
"6","111372100","1240/5095/16735/587572708/245/44602/50/2200383/","7.195727493028214E-11/1.0703386865062723E-43/8.094544446148565E-143/0.0/0.021383308130202425/0.0/0.9786166917978403/0.0/","6/","no"
