"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","110268700","50/110615/4494307/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42784/4494307/107919/108163/1793938/278934/110371/108163/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","117667300","716/50/200/3787/716/12187/1317511/716/1317511/234/451/294/1317511/1317511/716/716/1317511/1317511/451/703/","1.9569264359494876E-6/0.9182258165724125/0.04848560148815192/1.3811289450189308E-32/1.9569264359494876E-6/4.06797602031599E-104/0.0/1.9569264359494876E-6/0.0/0.02489333783060932/3.5334804305708504E-4/0.007676238299642163/0.0/0.0/1.9569264359494876E-6/1.9569264359494876E-6/0.0/0.0/3.5334804305708504E-4/2.525090890398365E-6/","1/","no"
"2","115968400","512/175/54/1056/373066/1056/373066/373066/373066/211/3238/215/512/373066/373066/373066/373066/512/3238/941/","1.9779165498661093E-4/0.09062514176179028/0.8178931277882879/1.00147641305624E-8/0.0/1.00147641305624E-8/0.0/0.0/0.0/0.04709591292759371/5.901931825653188E-26/0.04379234148568055/1.9779165498661093E-4/0.0/0.0/0.0/0.0/1.9779165498661093E-4/5.901931825653188E-26/8.104215959831619E-8/","2/","no"
"3","112510400","6128/223/107/50/101165/343/101165/101165/101165/101165/223/101165/146/101165/101165/101165/101165/146/223/15712/","1.0066124842204783E-52/0.01937986976620621/0.18843341159696272/0.576163658209652/0.0/0.0018428139240279507/0.0/0.0/0.0/0.0/0.01937986976620621/0.0/0.0877102534853693/0.0/0.0/0.0/0.0/0.0877102534853693/0.01937986976620621/2.4522346618288834E-134/","3/","no"
"4","111474000","716/716/1317511/1317511/50/1317511/293/293/4549/1317511/716/293/1317511/293/716/716/1173/1317511/716/716/","2.060893423476547E-6/2.060893423476547E-6/0.0/0.0/0.9670090361482108/0.0/0.008244134333329708/0.008244134333329708/4.718943374503467E-39/0.0/2.060893423476547E-6/0.008244134333329708/0.0/0.008244134333329708/2.060893423476547E-6/2.060893423476547E-6/2.645065021346952E-10/0.0/2.060893423476547E-6/2.060893423476547E-6/","4/","no"
"5","116168000","713/234/234/234/1317511/50/12187/1317511/1317511/12187/234/1317511/3787/1317511/451/716/12187/716/3787/567/","2.0384043616355787E-6/0.0244485011135216/0.0244485011135216/0.0244485011135216/0.0/0.9018173879169749/3.995282470323516E-104/0.0/0.0/3.995282470323516E-104/0.0244485011135216/0.0/1.3564485719023298E-32/0.0/3.4703381615298505E-4/1.921956728902828E-6/3.995282470323516E-104/1.921956728902828E-6/1.3564485719023298E-32/3.5691494966399086E-5/","5/","no"
"6","112956500","512/373066/373066/373066/3041/512/50/2884/167/512/373066/138/373066/157/512/1308/474/1308/512/373066/","8.29683617204757E-5/0.0/0.0/0.0/2.4155473727378771E-26/8.29683617204757E-5/0.7130329278505001/5.247607174157997E-25/0.07190961293059735/8.29683617204757E-5/0.0/0.1269809919266469/0.0/0.0874868403261351/8.29683617204757E-5/1.3820137556764724E-11/1.7478512987756292E-4/1.3820137556764724E-11/8.29683617204757E-5/0.0/","6/","no"
"7","113747300","713/4075/1317511/1317511/3787/1317511/234/50/234/1317511/3787/234/716/234/31465/3787/1836/1317511/31465/31465/","2.0391887300092033E-6/4.7872259821688836E-35/0.0/0.0/1.356970526908055E-32/0.0/0.024457908781311606/0.9021644029897344/0.024457908781311606/0.0/1.356970526908055E-32/0.024457908781311606/1.9226962887772073E-6/0.024457908781311606/2.7441030257033465E-268/1.356970526908055E-32/5.577803908799841E-16/0.0/2.7441030257033465E-268/2.7441030257033465E-268/","7/","no"
"8","114486400","205/373066/373066/373066/58441/373066/22425/3328/50/373066/373066/22425/373066/272/373066/22942/60/22942/373066/373066/","0.02542768315243319/0.0/0.0/0.0/0.0/0.0/1.5458307088663882E-191/6.473757961818281E-29/0.5311551455232499/0.0/0.0/1.5458307088663882E-191/0.0/0.006835386243413755/0.0/6.11798017022598E-196/0.436581785080903/6.11798017022598E-196/0.0/0.0/","8/16/","no"
"9","113429800","567/4246/12187/1317511/1317511/567/234/1317511/1317511/50/1317511/12226/234/1317511/567/716/234/716/234/716/","3.570134022766657E-5/1.6744522842628558E-36/3.9963845423940413E-104/0.0/0.0/3.570134022766657E-5/0.024455245069785907/0.0/0.0/0.90206614823951/0.0/1.8602003661013568E-104/0.024455245069785907/0.0/3.570134022766657E-5/1.9224868878709144E-6/0.024455245069785907/1.9224868878709144E-6/0.024455245069785907/1.9224868878709144E-6/","9/","no"
