"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","113371000","50/110615/712589/712589/110615/280941/1793938/41408/4494307/280941/41408/4494307/42687/4494307/107919/108163/1793938/278934/110371/108163/","1.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","122113800","716/50/229/4075/716/31465/1317511/716/1317511/234/451/234/1317511/1317511/716/716/1317511/1317511/451/657/","1.9644055213514634E-6/0.9217351407729983/0.02756244050748955/4.891075728507547E-35/1.9644055213514634E-6/2.803631112367294E-268/0.0/1.9644055213514634E-6/0.0/0.024988476511427958/3.546984873773707E-4/0.024988476511427958/0.0/0.0/1.9644055213514634E-6/1.9644055213514634E-6/0.0/0.0/3.546984873773707E-4/6.246694294742326E-6/","1/","no"
"2","116166800","512/148/50/3041/373066/2884/373066/373066/373066/172/8674/172/512/373066/373066/373066/373066/512/8674/2884/","8.751549111561773E-5/0.1100918967471827/0.752111112820049/2.547932853614786E-26/0.0/5.535205342194178E-25/0.0/0.0/0.0/0.06876722197971075/2.7411744400904107E-74/0.06876722197971075/8.751549111561773E-5/0.0/0.0/0.0/0.0/8.751549111561773E-5/2.7411744400904107E-74/5.535205342194178E-25/","2/","no"
"3","115159700","15712/201/98/50/101165/320/101165/101165/101165/101165/201/101165/155/101165/101165/101165/101165/155/201/320/","2.3504814590470867E-134/0.028594886356134233/0.2154730289959766/0.5522562816188714/0.0/0.0027729024008133632/0.0/0.0/0.0/0.0/0.028594886356134233/0.0/0.07047011275756124/0.0/0.0/0.0/0.0/0.07047011275756124/0.028594886356134233/0.0027729024008133632/","3/","no"
"4","117239600","1830/716/1317511/1317511/50/1317511/1836/234/80624/1317511/716/234/1317511/234/716/716/3787/1317511/716/716/","6.431426731612192E-16/1.970885088427857E-6/0.0/0.0/0.9247754726221977/0.0/5.717601169875696E-16/0.025070900689090264/0.0/0.0/1.970885088427857E-6/0.025070900689090264/0.0/0.025070900689090264/1.970885088427857E-6/1.970885088427857E-6/1.3909804645329908E-32/0.0/1.970885088427857E-6/1.970885088427857E-6/","4/","no"
"5","115094900","713/234/234/234/1317511/50/31465/1317511/1317511/31465/234/1317511/3787/1317511/451/716/31465/716/4246/567/","2.0384043616355787E-6/0.0244485011135216/0.0244485011135216/0.0244485011135216/0.0/0.9018173879169749/2.743047513971816E-268/0.0/0.0/2.743047513971816E-268/0.0244485011135216/0.0/1.3564485719023298E-32/0.0/3.4703381615298505E-4/1.921956728902828E-6/2.743047513971816E-268/1.921956728902828E-6/1.6739905251212277E-36/3.5691494966399086E-5/","5/","no"
"6","116710000","512/373066/373066/373066/1098/512/79/1098/170/512/373066/109/512/3171/512/3410/474/3410/512/373066/","0.0021845262335951857/0.0/0.0/0.0/1.4392962189681777E-6/0.0021845262335951857/0.4897519205499169/1.4392962189681777E-6/0.1570240499964268/0.0021845262335951857/0.0/0.3366012442612459/0.0021845262335951857/8.025912528098812E-18/0.0021845262335951857/4.046128371365999E-19/0.003512749198401201/4.046128371365999E-19/0.0021845262335951857/0.0/","6/","no"
"7","114965500","713/3787/1317511/1317511/3787/1317511/1836/50/1836/1317511/3944/234/716/234/31465/3787/1836/1317511/31465/31465/","2.144067546979175E-6/1.4267617440871505E-32/0.0/0.0/1.4267617440871505E-32/0.0/5.864679501351185E-16/0.9485641961553024/5.864679501351185E-16/0.0/6.567584935519912E-34/0.02571581909672016/2.021583708657465E-6/0.02571581909672016/2.8852367396868423E-268/1.4267617440871505E-32/5.864679501351185E-16/0.0/2.8852367396868423E-268/2.8852367396868423E-268/","7/","no"
"8","113631400","197/373066/373066/373066/3328/373066/8842/3328/50/373066/373066/8674/373066/292/373066/8881/68/8881/373066/373066/","0.03168807953939071/0.0/0.0/0.0/6.896376477635084E-29/0.0/7.651092418078869E-76/6.896376477635084E-29/0.565829904850589/0.0/0.0/2.062246450261302E-74/0.0/0.004919443785356034/0.0/3.561360216016545E-76/0.39756257182466415/3.561360216016545E-76/0.0/0.0/","8/","no"
"9","124188700","705/1199/11962/1317511/1317511/705/290/1317511/1317511/50/1317511/11962/290/1317511/705/716/290/716/290/716/","2.551880260340446E-6/1.5854944374867058E-10/3.523691549775158E-102/0.0/0.0/2.551880260340446E-6/0.008726200636866006/0.0/0.0/0.9650813712976757/0.0/3.523691549775158E-102/0.008726200636866006/0.0/2.551880260340446E-6/2.056785176640552E-6/0.008726200636866006/2.056785176640552E-6/0.008726200636866006/2.056785176640552E-6/","9/","no"
"10","126701000","567/128/31465/4075/234/31465/1317511/567/1317511/1317511/50/1317511/716/1317511/234/234/1317511/1317511/128/211/","2.541409293281355E-5/0.13912763069906176/1.9531842111077632E-268/3.407428261911018E-35/0.017408530518320288/1.9531842111077632E-268/0.0/2.541409293281355E-5/0.0/0.0/0.6421381599881314/0.0/1.3685273471219563E-6/0.0/0.017408530518320288/0.017408530518320288/0.0/0.0/0.13912763069906176/0.02732879034557152/","10/","no"
"11","124928900","58441/512/512/373066/920/373066/109/920/181/512/373066/50/373066/8282/373066/148646/8321/148646/373066/373066/","0.0/8.362418136791632E-5/8.362418136791632E-5/0.0/2.8052787637877472E-8/0.0/0.22600073114223584/2.8052787637877472E-8/0.055079275959810756/8.362418136791632E-5/0.0/0.7186690642482743/0.0/5.705454215417038E-71/0.0/0.0/2.6557224180271433E-71/0.0/0.0/0.0/","11/","no"
"12","117295300","688/1317511/284/284/1317511/1235/4690/716/1317511/4690/716/1317511/50/1317511/1235/1317511/4690/284/1235/1317511/","3.581002506234725E-6/0.0/0.00986956855135777/0.00986956855135777/0.0/7.870157380707138E-11/2.983054326463983E-40/2.0680852579460138E-6/0.0/2.983054326463983E-40/2.0680852579460138E-6/0.0/0.9703835769367997/0.0/7.870157380707138E-11/0.0/2.983054326463983E-40/0.00986956855135777/7.870157380707138E-11/0.0/","12/","no"
"13","110324300","901/101165/101165/101165/2268/101165/753/2268/79/101165/101165/753/101165/93/101165/901/79/901/101165/101165/","1.214244081390734E-5/0.0/0.0/0.0/4.605735947862309E-13/0.0/7.722373214032528E-5/4.605735947862309E-13/0.3521127870220443/0.0/0.0/7.722373214032528E-5/0.0/0.2955835511682677/0.0/1.214244081390734E-5/0.3521127870220443/1.214244081390734E-5/0.0/0.0/","8/13/16/","no"
