"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","106514200","79/5523/170/5507/948/50/948/5523/670/170/","0.32240638471955363/1.4112260515696604E-47/0.05413598320360275/1.9312826291529666E-47/1.2834125600793297E-8/0.5693186330273435/1.2834125600793297E-8/1.4112260515696604E-47/2.9901776460178086E-6/0.05413598320360275/","5/","no"
"1","113376000","597/93/1836/597/1836/597/1836/147/597/1836/","0.002966862278854043/0.6322007905455338/5.59662880143704E-9/0.002966862278854043/5.59662880143704E-9/0.002966862278854043/5.59662880143704E-9/0.35593173795253474/0.002966862278854043/5.59662880143704E-9/","1/","no"
"2","105591800","218/4494307/79/712589/316/218/316/4494307/372/50/","0.022442109984211762/0.0/0.3425539967873075/0.0/0.0032850125640437105/0.022442109984211762/0.0032850125640437105/0.0/0.0010956318851706801/0.6048961262310109/","9/","no"
"3","106278200","612/2206/927/50/176/658/176/2206/171/927/","1.2973887517694202E-5/3.461295472691446E-19/2.6956470887463786E-8/0.7921820678812667/0.06696720445380314/5.264456443287416E-6/0.06696720445380314/3.461295472691446E-19/0.07386523095422445/2.6956470887463786E-8/","3/","no"
"4","107065200","364/4494307/301/210/50/364/60/4494307/210/301/","0.0010992578335088528/0.0/0.0037807763529863246/0.022516381217555493/0.5187893895795771/0.0010992578335088528/0.4264177796123216/0.0/0.022516381217555493/0.0037807763529863246/","4/6/","no"
"5","106258600","50/6180/128/6113/891/50/891/6180/778/128/","0.4109599860283216/2.590036764740213E-53/0.08903985579878432/9.634954318847073E-53/2.8326856050206716E-8/0.4109599860283216/2.8326856050206716E-8/2.590036764740213E-53/2.5969207603382227E-7/0.08903985579878432/","0/5/","no"
"6","103757700","364/4494307/295/216/50/364/50/4494307/216/295/","0.001010052565964957/0.0/0.003907678843200492/0.018392871283914643/0.47668939730691995/0.001010052565964957/0.47668939730691995/0.0/0.018392871283914643/0.003907678843200492/","4/6/","no"
"7","114452800","634/68/716/30582/716/634/716/122/634/716/","1.8778442491780377E-4/0.6856984135506164/5.7219161401355594E-5/5.98778470537671E-193/5.7219161401355594E-5/1.8778442491780377E-4/5.7219161401355594E-5/0.313509356529025/1.8778442491780377E-4/5.7219161401355594E-5/","1/","no"
"8","106859100","778/6180/891/50/128/778/128/6180/50/891/","2.5969200859386544E-7/2.5900360921283634E-53/2.8326848693948574E-8/0.4109598793052974/0.08903983267584532/2.5969200859386544E-7/0.08903983267584532/2.5900360921283634E-53/0.4109598793052974/2.8326848693948574E-8/","3/8/","no"
"9","104358700","194/4494307/50/1793938/317/194/317/4494307/364/50/","0.027864992673389762/0.0/0.469139689658988/0.0/0.0024982898859963387/0.027864992673389762/0.0024982898859963387/0.0/9.940555632517434E-4/0.469139689658988/","2/9/","no"
"0","107610800","50/5957/143/5941/927/50/927/5957/740/143/","0.4304942855574245/2.150045708675568E-51/0.06950541325150703/2.942367684065559E-51/1.4648913610081302E-8/0.4304942855574245/1.4648913610081302E-8/2.150045708675568E-51/5.730843096044023E-7/0.06950541325150703/","0/5/","no"
"1","103429800","524/50/716/4247/716/524/716/50/524/716/","4.5975264915565057E-5/0.49992890620176333/1.065450431674277E-6/9.099699722535855E-37/1.065450431674277E-6/4.5975264915565057E-5/1.065450431674277E-6/0.49992890620176333/4.5975264915565057E-5/1.065450431674277E-6/","1/7/","no"
"2","106541300","207/4494307/50/712589/305/207/305/4494307/361/50/","0.021838747716499574/0.0/0.4744314704200408/0.0/0.0031966941023884193/0.021838747716499574/0.0031966941023884193/0.0/0.001066175522142452/0.4744314704200408/","2/9/","no"
"3","106952300","305/227/2433/138/586/305/586/306/586/2433/","0.11809505072312862/0.2069838754702618/2.651333608231284E-8/0.3926539398367487/0.015641178454045467/0.11809505072312862/0.015641178454045467/0.11724849485792382/0.015641178454045467/2.651333608231284E-8/","3/","no"
"4","106720600","364/4494307/317/194/50/364/60/4494307/194/317/","0.001083483370879888/0.0/0.0027230425010245996/0.030371799431961756/0.511344708642345/0.001083483370879888/0.42029864074992246/0.0/0.030371799431961756/0.0027230425010245996/","4/6/","no"
"5","106358100","50/5794/153/5727/919/50/919/5794/660/153/","0.4414189659870706/5.387292022798724E-50/0.058579606118955393/2.00407628372647E-49/1.7571694360142076E-8/0.4414189659870706/1.7571694360142076E-8/5.387292022798724E-50/2.820644559289673E-6/0.058579606118955393/","0/5/","no"
"6","105671200","364/4494307/301/210/50/364/60/4494307/210/301/","0.0010992578335088528/0.0/0.0037807763529863246/0.022516381217555493/0.5187893895795771/0.0010992578335088528/0.4264177796123216/0.0/0.022516381217555493/0.0037807763529863246/","4/6/","no"
"7","103540000","1540/50/1836/4706/1836/1540/1836/93/1540/1836/","1.4333222338895396E-13/0.6991255464580021/4.322477358729971E-16/1.5704483133352196E-40/4.322477358729971E-16/1.4333222338895396E-13/4.322477358729971E-16/0.30087445354156617/1.4333222338895396E-13/4.322477358729971E-16/","1/","no"
"8","106661600","753/6039/899/50/137/753/137/6039/60/899/","4.7213105828348806E-7/4.578432946285742E-52/2.696423922210894E-8/0.4576294430953237/0.08311103023114556/4.7213105828348806E-7/0.08311103023114556/4.578432946285742E-52/0.37614749825179006/2.696423922210894E-8/","3/8/","no"
"9","104984500","200/4494307/60/1793938/311/200/311/4494307/364/50/","0.027195149283811424/0.0/0.42332349970018246/0.0/0.003085050522384219/0.027195149283811424/0.003085050522384219/0.0/0.0010912811224167863/0.5150248195650096/","2/9/","no"
"0","109033800","54/107919/79/106872/857/54/857/107919/902/79/","0.30585960148282676/0.0/0.19414022814371118/0.0/1.395798356243489E-7/0.30585960148282676/1.395798356243489E-7/0.0/6.158725302794931E-8/0.19414022814371118/","0/5/","no"
