"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","108965600","30484/459/567/207616/207616/207616/","2.5107916423620843E-29/0.5584275074178574/0.4415724925821425/1.4663017454755517E-196/1.4663017454755517E-196/1.4663017454755517E-196/","1/","no"
"1","115354100","409/409/643/716/448/1538/","0.24931368927289818/0.24931368927289818/0.14089010545362038/0.11791115440002266/0.22669147422970323/0.015879887370857257/","0/1/4/","no"
"2","107466800","716/207616/50/181/30484/207616/","1.979490225519116E-6/0.0/0.9288131609518078/0.07118485955796669/6.380066116444497E-260/0.0/","2/","no"
"3","105929000","215/16776/304/50/14911/14911/","0.037610282929050845/3.5384908342929765E-143/0.006567803513312622/0.9558219135576366/2.6938362187698965E-127/2.6938362187698965E-127/","3/","no"
"4","110125000","3854/54/210/215/93/200/","5.892335014924229E-31/0.5971562732329616/0.03501635391184155/0.03197345783849572/0.29385543662734664/0.041998478389354284/","1/","no"
"5","107217600","30484/4773/191/3787/30484/30484/","3.0111731165021207E-69/4.32258102013046E-11/0.9999999926111912/7.345582872858258E-9/3.0111731165021207E-69/3.0111731165021207E-69/","2/","no"
"0","107976400","302/716/386/4075/30484/30484/","0.4967894106439513/0.1267009495279111/0.37650769771567333/1.9421124641942402E-6/2.728068833579494E-44/2.728068833579494E-44/","0/","no"
"1","108429400","451/302/643/716/489/1268/","0.22063195161196267/0.3607716143262538/0.11707708565206751/0.0920110314722753/0.19462670579938948/0.014881611138051172/","1/","no"
"2","111154100","716/4027/340/207616/31982/31982/","0.24924192608840162/1.512731235368421E-5/0.7507429465992447/7.774509309394107E-265/3.771632717034991E-41/3.771632717034991E-41/","2/","no"
"3","106446400","711063/376/65/50/361/361/","0.0/9.561953277804983E-4/0.42549200009401683/0.5709854876771717/0.0012831584505155027/0.0012831584505155027/","3/","no"
"4","104100500","327/1235/83/113/50/171/","0.002289326667723331/4.2419239074784237E-11/0.2738475235935874/0.15206927508232107/0.5230255375227055/0.0487683370912436/","4/","no"
"5","106031000","81670/11244/1803/1383/1235/50/","0.0/4.749184166677804E-96/1.1808415653086274E-15/4.453838077982823E-12/8.110357148538547E-11/0.9999999999144414/","5/","no"
"0","110257700","302/703/30903/1317511/207616/207616/","0.7897521921841579/0.21024780781584199/1.0879646839425464E-44/0.0/5.638968657654873E-298/5.638968657654873E-298/","0/","no"
"1","109114300","340/50/30484/207616/446/207616/","0.0033793094119162425/0.9961978499867409/6.842935065069605E-260/0.0/4.228406013428048E-4/0.0/","1/","no"
"2","103807600","716/30484/302/30484/30484/30484/","0.20321236320796773/4.375478768954044E-44/0.7967876367920323/4.375478768954044E-44/4.375478768954044E-44/4.375478768954044E-44/","2/","no"
"3","104333000","711063/4494307/113/50/361/711063/","0.0/0.0/0.22486467222289538/0.7733972953812002/0.001738032395904443/0.0/","3/","no"
"4","108135300","11469/554/81670/1383/302/678/","5.629549612563247E-17/0.24837518593992683/1.3499534275213722E-117/0.016102376215708713/0.5705630143560538/0.16495942348831066/","4/","no"
"5","108043700","4690/31982/294/3787/3787/3787/","3.37494417080278E-7/2.2356416189063095E-47/0.9999780467402057/7.205255125715721E-6/7.205255125715721E-6/7.205255125715721E-6/","2/","no"
"0","106211900","3787/567/3854/4027/207616/207616/","0.003421226436090003/0.9912960004123647/0.0030405589004594918/0.0022422142510856898/4.852045465330396E-159/4.852045465330396E-159/","1/","no"
"1","108726100","421/348/466/12393/4075/4533/","0.3213660639240411/0.39613296055654745/0.2824894010172751/4.065196738549577E-16/9.119564933675488E-6/2.4549372022850914E-6/","0/1/","no"
"2","108980100","716/4773/340/632/31982/31982/","0.18898449504336304/1.286672656433071E-6/0.5692412143376828/0.24177300394629775/2.8597921533677883E-41/2.8597921533677883E-41/","2/","no"
"3","109053900","390/4494307/1861/50/361/390/","0.0012665637471911697/0.0/3.768874729119808E-16/0.9952303214465553/0.0022365510590619943/0.0012665637471911697/","3/","no"
"4","108998700","83/150/138/215/50/1268/","0.27824050217319085/0.07479569764629426/0.09463756430110834/0.020910481936440645/0.5314157539203996/2.2566298460063647E-11/","4/","no"
"5","107970500","207616/289/11244/156/140/50/","0.0/0.007062718062649588/3.637592464404435E-96/0.09583932672742294/0.1311574617634893/0.7659404934464381/","5/","no"
"0","105136800","30484/716/30582/30582/4314/4314/","9.19386168793769E-19/0.9869390822118137/8.0193345119196E-19/8.0193345119196E-19/0.006530458894093216/0.006530458894093216/","1/","no"
"1","106499000","459/302/30484/30484/30484/30484/","0.3732845025678017/0.6267154974321983/3.441544806379553E-44/3.441544806379553E-44/3.441544806379553E-44/3.441544806379553E-44/","1/","no"
"2","107454100","215/4027/65/207616/31982/31982/","0.09340700471683216/7.701636306895966E-27/0.906592995283168/0.0/8.640702297717326E-211/8.640702297717326E-211/","2/","no"
"3","110967500","215/106872/1467/106872/106872/106872/","0.9969704175590122/3.562111209260623E-215/0.0030295824409877583/3.562111209260623E-215/3.562111209260623E-215/3.562111209260623E-215/","0/","no"
"4","104639300","167/31982/1538/30484/109/260/","0.32013612870794134/7.861874873629436E-127/1.2372178913592514E-6/6.453975979063028E-121/0.5424082978043097/0.13745433626985762/","4/","no"
"5","108140200","11794/265/1452/1625/11076/50/","9.69810302144801E-101/0.014547435409701187/1.1344758641858774E-12/3.81592871878537E-14/1.2614552605309786E-94/0.9854525645891262/","5/","no"
"0","107027600","50/31982/215/4690/4690/4690/","0.9621410670380313/1.158242807878218E-272/0.037858932961968725/2.9577160423062278E-40/2.9577160423062278E-40/2.9577160423062278E-40/","0/","no"
"1","108915400","554/50/156/716/152/30484/","4.051358678672414E-5/0.7933266521185768/0.09926605639016493/1.690740850294656E-6/0.1073650871636213/5.449402210523481E-260/","1/","no"
"2","108275300","108/30484/181/107/207616/207616/","0.39714256614965054/2.8158022861274004E-123/0.202020544764923/0.4008368890854264/0.0/0.0/","0/3/","no"
"3","105445900","1832/390/107/50/361/361/","5.017296929561047E-16/9.54846125546191E-4/0.24538159544487595/0.7502913442507531/0.0016861070894122496/0.0016861070894122496/","3/","no"
"4","103326800","670/4690/4690/4690/302/302/","0.12924290905279123/2.236041888795325E-7/2.236041888795325E-7/2.236041888795325E-7/0.435378210067321/0.435378210067321/","4/5/","no"
"5","115951800","172/30484/30484/30484/93/30484/","0.30144516962745105/2.7108056209284436E-141/2.7108056209284436E-141/2.7108056209284436E-141/0.698554830372549/2.7108056209284436E-141/","4/","no"
"0","109461100","302/703/30903/1317511/207616/207616/","0.7897521921841579/0.21024780781584199/1.0879646839425464E-44/0.0/5.638968657654873E-298/5.638968657654873E-298/","0/","no"
"1","111186200","1268/446/1557/207616/1173/489/","0.06773528191473752/0.42604005579860554/0.0354837468549091/2.228670800352033E-202/0.08377504403475688/0.38696587139699107/","1/5/","no"
"2","111319900","716/4773/340/632/31982/31982/","0.18898449504336304/1.286672656433071E-6/0.5692412143376828/0.24177300394629775/2.8597921533677883E-41/2.8597921533677883E-41/","2/","no"
"3","113263500","108/711063/107/1467/289/14312/","0.45528207740657406/0.0/0.4595172291232928/1.5610194834632821E-6/0.08519913245064964/3.471472214739178E-58/","0/2/","no"
"4","110393400","535/83/158/207616/50/489/","4.508187490847096E-5/0.31845147163730625/0.07317705113756302/0.0/0.6082152941984793/1.11101151742843E-4/","4/","no"
"5","106269700","11794/265/1452/1625/11076/50/","9.69810302144801E-101/0.014547435409701187/1.1344758641858774E-12/3.81592871878537E-14/1.2614552605309786E-94/0.9854525645891262/","5/","no"
"0","108694100","302/30484/30903/1317511/207616/207616/","1.0/5.491398921010213E-44/1.3776026134649208E-44/0.0/7.14017474526991E-298/7.14017474526991E-298/","0/","no"
"1","107675200","716/4690/4690/4690/4690/4690/","0.9807932601450959/0.0038413479709808154/0.0038413479709808154/0.0038413479709808154/0.0038413479709808154/0.0038413479709808154/","0/","no"
"2","108313600","716/3854/302/31982/30484/30484/","0.20321105054088345/6.4595827907037535E-6/0.7967824898763257/3.1182915872794236E-46/4.3754505051866864E-44/4.3754505051866864E-44/","2/","no"
"3","110590700","395/16776/197/50/304/14911/","0.0010843575580377495/3.47926925315486E-143/0.05263286004600247/0.9398249002380716/0.006457882157888067/2.6487511111142327E-127/","3/","no"
"4","109305000","327/3944/4313/113/409/11076/","0.12465363724818135/2.071949454850221E-15/8.14022654287592E-17/0.8146283294085235/0.060718033343293024/1.400576491897192E-42/","3/","no"
"5","107652200","81670/283/11469/156/150/50/","0.0/0.00812710257695016/4.5152247969350505E-98/0.09804245036506552/0.11028275974071702/0.7835476873172673/","5/","no"
"0","104637600","3787/567/3854/4027/207616/207616/","0.003421226436090003/0.9912960004123647/0.0030405589004594918/0.0022422142510856898/4.852045465330396E-159/4.852045465330396E-159/","1/","no"
"1","110889300","446/107/448/716/340/191/","0.02603279973749076/0.6007904231844361/0.025555147212286928/0.002136902330628164/0.06946609229075539/0.2760186352444027/","1/","no"
"2","106009100","716/3854/50/197/30484/30484/","2.018176012116443E-6/3.828908920027277E-33/0.946965242366581/0.053032739457406886/6.504753711803996E-260/6.504753711803996E-260/","2/","no"
"3","104421200","215/110615/65/107/14911/110615/","0.0631221767771601/0.0/0.6126534459239213/0.32422437729891873/1.2510576706228529E-98/0.0/","2/","no"
"4","109205500","497/386/1452/1803/302/451/","0.17966729101972392/0.2591594193215344/0.0076851629144243806/0.002413011938475026/0.34195225215501407/0.20912286265082813/","4/","no"
"5","106205800","207616/1235/1199/1383/1173/1235/","9.077696703900174E-78/0.20133171096374533/0.20760105773411863/0.17748553544809195/0.21224998489029887/0.20133171096374533/","1/2/3/4/5/","no"
"0","106547700","302/386/494/30582/4314/4314/","0.4369617684172164/0.3311654111211448/0.23187126802756125/1.7364470810086562E-44/7.76217038886354E-7/7.76217038886354E-7/","0/","yes"
"1","104893800","703/3787/3854/4027/3787/3787/","0.9453297022864796/0.011832523155913752/0.01075834233980385/0.008414385905975229/0.011832523155913752/0.011832523155913752/","0/","yes"
"2","111825400","716/30484/302/340/30484/207616/","0.11933503626725891/2.5694692455566077E-44/0.46790795615407976/0.41275700757866135/2.5694692455566077E-44/3.3409445716422206E-298/","2/3/","yes"
"3","114102900","2502/361/1467/65/361/711063/","9.001557470843977E-17/0.01102979505228599/5.818951818098138E-10/0.9779404093135327/0.01102979505228599/0.0/","3/","yes"
"4","117641600","4313/312/400/459/409/11076/","9.02095432973206E-7/0.3211657554126929/0.24245283633301024/0.20079988187745404/0.2355806242814096/3.7276843118989405E-16/","1/","yes"
"5","110788000","294/1767/11469/156/68/50/","0.004553040391728161/1.302731745619396E-15/3.138459276978343E-98/0.06814771173625683/0.38266800163039333/0.5446312462416203/","5/","yes"
