"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","101128400","50/102/239/50/64/193/","0.31193155240326287/0.11252505829947804/0.007666816169783009/0.31193155240326287/0.23705068439962754/0.018894336324585544/","0/3/","no"
"1","106014200","529/50/78/529/529/112/","4.448416183793033E-5/0.533540400863383/0.308127971321739/4.448416183793033E-5/4.448416183793033E-5/0.1581981753293643/","1/","no"
"2","98846500","354/2111/50/40251/354/112/","0.0019804594688480363/2.162197088895663E-18/0.7682484523423476/0.0/0.0019804594688480363/0.22779062871995626/","2/","no"
"3","97518900","157/3989/216/157/170/170/","0.2207306472345948/6.4691482085388505E-12/0.15194603818526004/0.2207306472345948/0.2032963336695406/0.2032963336695406/","0/3/4/5/","no"
"4","99518900","280/155/354/280/198/198/","0.12145111505865318/0.2706411809216466/0.07557706485792275/0.12145111505865318/0.20543976205156209/0.20543976205156209/","1/","no"
"5","99741400","280/40251/112/280/198/50/","0.008009634250957479/0.0/0.21588864569061927/0.008009634250957479/0.039984354325650784/0.7281077314818148/","5/","no"
"0","98806800","50/102/239/50/64/193/","0.31193155240326287/0.11252505829947804/0.007666816169783009/0.31193155240326287/0.23705068439962754/0.018894336324585544/","0/3/","no"
"1","100363600","112/502/50/10317/112/112/","0.15690987340584853/7.491604160544374E-5/0.529195463740849/1.9686839514980374E-88/0.15690987340584853/0.15690987340584853/","2/","no"
"2","103489100","354/50/198/112/354/354/","0.001896684509141951/0.7357509515595224/0.040404085097021696/0.21815490981603028/0.001896684509141951/0.001896684509141951/","1/","no"
"3","99945300","157/1468/239/157/193/193/","0.23878530235399514/5.949258936127143E-5/0.14210660138293338/0.23878530235399514/0.19013165065985752/0.19013165065985752/","0/3/","no"
"4","99759200","280/155/354/82/50/198/","0.006358557776111816/0.07375744793216353/0.001490067162906796/0.30863351211396567/0.5780182880769353/0.031742126937916615/","4/","no"
"5","95696200","280/40251/354/280/50/50/","0.005433532738732259/0.0/0.001273296397963184/0.005433532738732259/0.4939298190622862/0.4939298190622862/","4/5/","no"
"0","97289400","50/3989/216/50/170/170/","0.4486794285023517/1.2855060193546112E-34/0.017312117749643807/0.4486794285023517/0.04266451262282644/0.04266451262282644/","0/3/","no"
"1","97856500","1535/50/61/1468/108/108/","9.239838080701881E-14/0.40859947506047334/0.32932632324032873/3.4372260283353815E-13/0.13103710084938086/0.13103710084938086/","1/2/","no"
"2","96013500","354/2111/50/40251/354/112/","0.0019804594688480363/2.162197088895663E-18/0.7682484523423476/0.0/0.0019804594688480363/0.22779062871995626/","2/","no"
"3","100587800","50/1468/239/50/193/193/","0.46604345878621034/3.9204570848710136E-13/0.011454658876651503/0.46604345878621034/0.028229211775267885/0.028229211775267885/","0/3/","no"
"4","98840000","280/155/354/82/50/198/","0.006358557776111816/0.07375744793216353/0.001490067162906796/0.30863351211396567/0.5780182880769353/0.031742126937916615/","4/","no"
"5","98896500","280/40251/112/280/198/50/","0.008009634250957479/0.0/0.21588864569061927/0.008009634250957479/0.039984354325650784/0.7281077314818148/","5/","no"
"0","98860700","50/1468/82/50/193/193/","0.3766343240653015/3.168328352967555E-13/0.20110431904443735/0.3766343240653015/0.02281351641232146/0.02281351641232146/","0/3/","no"
"1","100734500","529/50/78/529/529/112/","4.448416183793033E-5/0.533540400863383/0.308127971321739/4.448416183793033E-5/4.448416183793033E-5/0.1581981753293643/","1/","no"
"2","100762600","354/2111/50/40251/354/354/","0.0025581057644896883/2.792851317620795E-18/0.9923256827065308/0.0/0.0025581057644896883/0.0025581057644896883/","2/","no"
"3","97854400","157/72/239/50/193/193/","0.0639699971938319/0.33868851367133873/0.012814419269705947/0.5213665760892757/0.031580246887923845/0.031580246887923845/","3/","no"
"4","99655000","280/155/354/82/50/198/","0.006358557776111816/0.07375744793216353/0.001490067162906796/0.30863351211396567/0.5780182880769353/0.031742126937916615/","4/","no"
"5","97493900","280/40251/112/280/198/50/","0.008009634250957479/0.0/0.21588864569061927/0.008009634250957479/0.039984354325650784/0.7281077314818148/","5/","no"
"0","99239200","50/1535/239/50/193/193/","0.46604345878634396/1.0538843930523306E-13/0.011454658876654786/0.46604345878634396/0.02822921177527598/0.02822921177527598/","0/3/","no"
"1","94885100","565/50/72/565/565/112/","2.1148490812069882E-5/0.5138094532729158/0.33377927934047047/2.1148490812069882E-5/2.1148490812069882E-5/0.15234782191417753/","1/","no"
"2","101061900","354/2111/50/40251/354/112/","0.0019804594688480363/2.162197088895663E-18/0.7682484523423476/0.0/0.0019804594688480363/0.22779062871995626/","2/","no"
"3","98215800","157/78/216/50/170/170/","0.06360723086811298/0.2993899081853027/0.02000264293713968/0.5184099675937732/0.04929512520783568/0.04929512520783568/","3/","no"
