"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","99757000","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","112614100","1836/1173/1317511/1317511/1317511/678/80624/","0.10918420116042694/0.28988152644937/0.0/0.0/0.0/0.6009342723902031/4.4121400079574355E-52/","5/","no"
"2","107766700","200/1317511/50/1317511/229/1317511/1317511/","0.048769983160166064/0.0/0.9236114689101942/0.0/0.027618547929639713/0.0/0.0/","2/","no"
"3","108198200","975/4494307/110615/50/975/4494307/110615/","1.327670384014767E-8/0.0/0.0/0.9999999734465922/1.327670384014767E-8/0.0/0.0/","3/","no"
"4","108602600","109325/4494307/2085/4494307/50/4494307/4494307/","0.0/0.0/4.685960401093821E-18/0.0/1.0/0.0/0.0/","4/","no"
"5","103241300","4494307/278324/4494307/4494307/2502/50/39911/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","106613400","4494307/278324/4494307/4494307/4494307/39911/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","103298000","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","116997600","1836/1173/1317511/1317511/1317511/678/80624/","0.10918420116042694/0.28988152644937/0.0/0.0/0.0/0.6009342723902031/4.4121400079574355E-52/","5/","no"
"2","114248000","200/1317511/50/1317511/201/1317511/1317511/","0.04780412587907315/0.0/0.9053199542459763/0.0/0.046875919874950545/0.0/0.0/","2/","no"
"3","109687600","975/4494307/1793938/51/975/4494307/1793938/","1.9183202558107787E-8/0.0/0.0/0.999999961633595/1.9183202558107787E-8/0.0/0.0/","3/","no"
"4","103401200","6243/4494307/39911/4494307/138/4494307/4494307/","8.421926061806618E-20/0.0/5.400253931269042E-125/0.0/1.0/0.0/0.0/","4/","no"
"5","120924800","4494307/278324/4494307/4494307/2502/50/278324/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","102127200","4494307/278324/4494307/4494307/4494307/39911/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","104075700","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","98748900","1317511/1173/1317511/1317511/1317511/678/80624/","0.0/0.3254112992012333/0.0/0.0/0.0/0.6745887007987666/4.952920697752484E-52/","5/","no"
"2","103552700","200/1317511/50/1317511/229/1317511/1317511/","0.048769983160166064/0.0/0.9236114689101942/0.0/0.027618547929639713/0.0/0.0/","2/","no"
"3","102426700","975/4494307/4494307/54/975/4494307/4494307/","5.340002342795562E-8/0.0/0.0/0.999999893199953/5.340002342795562E-8/0.0/0.0/","3/","no"
"4","103120200","15626/4494307/2135/4494307/119/4494307/4494307/","7.556062718506034E-57/0.0/5.056531092650439E-8/0.0/0.9999999494346891/0.0/0.0/","4/","no"
"5","101905000","4494307/278324/4494307/4494307/2502/50/278324/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","104974100","4494307/278324/4494307/4494307/4494307/278324/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","106668100","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","110399200","1317511/1173/1317511/1317511/1317511/678/80624/","0.0/0.3254112992012333/0.0/0.0/0.0/0.6745887007987666/4.952920697752484E-52/","5/","no"
"2","104847800","200/1317511/50/1317511/229/1317511/1317511/","0.048769983160166064/0.0/0.9236114689101942/0.0/0.027618547929639713/0.0/0.0/","2/","no"
"3","102817800","975/4494307/110615/50/975/4494307/110615/","1.327670384014767E-8/0.0/0.0/0.9999999734465922/1.327670384014767E-8/0.0/0.0/","3/","no"
"4","107896300","41310/4494307/1929/4494307/54/4494307/4494307/","0.0/0.0/1.5649710164832219E-15/0.0/0.9999999999999983/0.0/0.0/","4/","no"
"5","100167700","4494307/278324/4494307/4494307/2502/50/39911/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","113177800","4494307/278324/4494307/4494307/4494307/278324/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","108326600","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","108349500","1317511/1173/1317511/1317511/1317511/678/80624/","0.0/0.3254112992012333/0.0/0.0/0.0/0.6745887007987666/4.952920697752484E-52/","5/","no"
"2","111725100","200/1317511/50/1317511/201/1317511/1317511/","0.04780412587907315/0.0/0.9053199542459763/0.0/0.046875919874950545/0.0/0.0/","2/","no"
"3","103366200","975/4494307/43203/50/975/4494307/43203/","1.327670384014767E-8/0.0/0.0/0.9999999734465922/1.327670384014767E-8/0.0/0.0/","3/","no"
"4","100985700","6243/4494307/15459/4494307/109/4494307/4494307/","6.0556454017841055E-25/0.0/2.4898840102986296E-61/0.0/1.0/0.0/0.0/","4/","no"
"5","103286900","4494307/278324/4494307/4494307/2502/50/278324/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","105654000","4494307/278324/4494307/4494307/4494307/39911/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","141093700","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","158472600","1836/1173/1317511/1317511/1317511/678/80624/","0.10918420116042694/0.28988152644937/0.0/0.0/0.0/0.6009342723902031/4.4121400079574355E-52/","5/","no"
"2","117126900","200/1317511/50/1317511/201/1317511/1317511/","0.04780412587907315/0.0/0.9053199542459763/0.0/0.046875919874950545/0.0/0.0/","2/","no"
"3","103340700","975/4494307/4494307/50/975/4494307/4494307/","1.327670384014767E-8/0.0/0.0/0.9999999734465922/1.327670384014767E-8/0.0/0.0/","3/","no"
"4","115205800","41803/4494307/1960/4494307/68/4494307/4494307/","2.0643326322381626E-263/0.0/1.2345805303598982E-12/0.0/0.9999999999987654/0.0/0.0/","4/","no"
"5","107359700","4494307/278324/4494307/4494307/2502/50/39911/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","99924800","4494307/278324/4494307/4494307/4494307/278324/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","101505700","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","103124600","1836/1173/1317511/1317511/1317511/678/80624/","0.10918420116042694/0.28988152644937/0.0/0.0/0.0/0.6009342723902031/4.4121400079574355E-52/","5/","no"
"2","105373100","200/1317511/50/1317511/201/1317511/1317511/","0.04780412587907315/0.0/0.9053199542459763/0.0/0.046875919874950545/0.0/0.0/","2/","no"
"3","110562400","975/4494307/43203/50/975/4494307/43203/","1.327670384014767E-8/0.0/0.0/0.9999999734465922/1.327670384014767E-8/0.0/0.0/","3/","no"
"4","103305600","106872/4494307/2223/4494307/68/4494307/4494307/","0.0/0.0/2.7300153829073657E-14/0.0/0.9999999999999727/0.0/0.0/","4/","no"
"5","105785300","4494307/278324/4494307/4494307/2502/50/278324/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","106249500","4494307/278324/4494307/4494307/4494307/39911/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","104636200","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","103667500","1317511/1173/1317511/1317511/1317511/678/80624/","0.0/0.3254112992012333/0.0/0.0/0.0/0.6745887007987666/4.952920697752484E-52/","5/","no"
"2","108732700","200/1317511/50/1317511/201/1317511/1317511/","0.04780412587907315/0.0/0.9053199542459763/0.0/0.046875919874950545/0.0/0.0/","2/","no"
"3","110742100","975/4494307/712589/60/975/4494307/712589/","3.059021333494809E-7/0.0/0.0/0.9999993881957333/3.059021333494809E-7/0.0/0.0/","3/","no"
"4","112685600","16177/4494307/5956/4494307/50/4494307/4494307/","4.669521288770054E-138/0.0/5.093260392221918E-51/0.0/1.0/0.0/0.0/","4/","no"
"5","105749100","4494307/278324/4494307/4494307/2502/50/278324/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","108469400","4494307/278324/4494307/4494307/4494307/278324/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","117669900","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","no"
"1","108747300","1317511/1173/1317511/1317511/1317511/678/80624/","0.0/0.3254112992012333/0.0/0.0/0.0/0.6745887007987666/4.952920697752484E-52/","5/","no"
"2","100692700","200/1317511/50/1317511/229/1317511/1317511/","0.048769983160166064/0.0/0.9236114689101942/0.0/0.027618547929639713/0.0/0.0/","2/","no"
"3","108822000","975/4494307/1793938/51/975/4494307/1793938/","1.9183202558107787E-8/0.0/0.0/0.999999961633595/1.9183202558107787E-8/0.0/0.0/","3/","no"
"4","136242300","109325/4494307/14704/4494307/93/4494307/4494307/","0.0/0.0/3.125568263038868E-68/0.0/1.0/0.0/0.0/","4/","no"
"5","138407200","4494307/278324/4494307/4494307/2502/50/278324/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","no"
"6","106539900","4494307/278324/4494307/4494307/4494307/278324/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","no"
"0","105489400","50/6483/278324/4494307/311/4494307/4494307/","0.9940455669723802/1.6469959321859276E-55/0.0/0.0/0.005954433027619873/0.0/0.0/","0/","yes"
"1","116618800","1317511/1173/1317511/1317511/1317511/678/80624/","0.0/0.3254112992012333/0.0/0.0/0.0/0.6745887007987666/4.952920697752484E-52/","5/","yes"
"2","108751700","200/1317511/50/1317511/229/1317511/1317511/","0.048769983160166064/0.0/0.9236114689101942/0.0/0.027618547929639713/0.0/0.0/","2/","yes"
"3","103372200","975/4494307/4494307/50/975/4494307/4494307/","1.327670384014767E-8/0.0/0.0/0.9999999734465922/1.327670384014767E-8/0.0/0.0/","3/","yes"
"4","117852800","2137/4494307/2292/4494307/93/4494307/4494307/","3.60085053920565E-10/0.0/6.922790925322026E-11/0.0/0.9999999995706871/0.0/0.0/","4/","yes"
"5","112203200","4494307/278324/4494307/4494307/2502/50/278324/","0.0/0.0/0.0/0.0/1.3176575546108673E-21/1.0/0.0/","5/","yes"
"6","122480400","4494307/278324/4494307/4494307/4494307/278324/50/","0.0/0.0/0.0/0.0/0.0/0.0/1.0/","6/","yes"
