"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","118277000","107/472148924/27936166/27936166/472148924/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","138297600","11945988/50/48932/2147483647/2147483647/2147483647/","0.0/1.0/0.0/0.0/0.0/0.0/","1/","no"
"2","123087900","14449899/21298/118173/1015/36824800/234390286/","0.0/2.137598831338631E-9/8.321542335987212E-51/0.9999999978624011/0.0/0.0/","3/","no"
"3","129264700","682183/11916807/682183/50/11916807/76174004/","0.0/0.0/0.0/1.0/0.0/0.0/","3/","no"
"4","120324800","50/1286209/156530707/1005298862/50/2147483647/","0.5/0.0/0.0/0.0/0.5/0.0/","0/4/","no"
"5","121222700","312704/5797843/312704/755/5797843/97/","0.0/0.0/0.0/0.0012119817719400579/0.0/0.99878801822806/","5/","no"
"0","114379200","188/74014338/28704154/28704154/2147483647/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","119759200","35567335/50/120895/2147483647/2147483647/2147483647/","0.0/1.0/0.0/0.0/0.0/0.0/","1/","no"
"2","124114500","14449899/36824800/138589/14449899/36824800/234390286/","1.422866926170985E-45/1.0907982474422368E-115/1.0/1.422866926170985E-45/1.0907982474422368E-115/0.0/","2/","no"
"3","119758900","101661/11916807/101661/944/11916807/76174004/","5.168918049619215E-47/0.0/5.168918049619215E-47/1.0/0.0/0.0/","3/","no"
"4","134948700","55/49929/7860351/52298663/20402234/338447105/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"5","124518500","682183/11916807/682183/514/11916807/50/","0.0/0.0/0.0/1.1187245900815378E-4/0.0/0.9998881275409918/","5/","no"
"0","115602700","1261/2147483647/181867042/181867042/2147483647/2147483647/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","123640800","1871955/50/5578/2147483647/2147483647/2147483647/","0.0/1.0/8.431102960241413E-48/0.0/0.0/0.0/","1/","no"
"2","124859600","14449899/36824800/787/2192/36824800/234390286/","0.0/0.0/0.8560662845152817/0.14393371548471837/0.0/0.0/","2/","no"
"3","123297200","682183/11916807/682183/50/11916807/76174004/","0.0/0.0/0.0/1.0/0.0/0.0/","3/","no"
"4","120815200","65/167973/23872060/157444578/61558653/1011010552/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"5","120881500","682183/11916807/682183/514/11916807/50/","0.0/0.0/0.0/1.1187245900815378E-4/0.0/0.9998881275409918/","5/","no"
