"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","106132400","68/81670/80624/4773/1317511/80624/","1.0/0.0/0.0/2.4330533536437787E-30/0.0/0.0/","0/","no"
"1","102942600","15712/50/146/15809/15809/141/","3.2239993244757904E-134/0.7574932667618568/0.11531433038938227/4.8126454560687315E-135/4.8126454560687315E-135/0.12719240284876093/","1/","no"
"2","101704700","3989/3989/102/25963/25963/3989/","4.079940900864275E-17/4.079940900864275E-17/0.9999999999999999/9.085596218911307E-110/9.085596218911307E-110/4.079940900864275E-17/","2/","no"
"3","97294300","1535/1551/25963/79/1551/216/","1.056345519535537E-8/8.648625627198799E-9/2.5821766253765383E-141/0.8471602410231487/8.648625627198799E-9/0.15283973111614485/","3/","no"
"4","100706500","31982/1830/4419/525508/312/1830/","1.1231032122736212E-44/0.007708897159092559/1.9710470929218514E-6/0.0/0.984580234634722/0.007708897159092559/","4/","no"
"5","104428300","382/8282/348/148646/509/89/","0.0349199453059717/2.640395793510938E-40/0.05094955076628542/0.0/0.008516002610676175/0.9056145013170667/","5/","no"
"0","104263100","60/81670/80624/12393/1317511/80624/","1.0/0.0/0.0/1.5638649896182936E-88/0.0/0.0/","0/","no"
"1","101864800","6089/60/137/6128/6128/127/","7.370341790956622E-44/0.6186507160620407/0.17508048109046712/3.8888746347973864E-44/3.8888746347973864E-44/0.2062688028474921/","1/","no"
"2","101946600","206/1484/157/25963/239/160/","0.22156423464313663/6.802397590553617E-5/0.30212448309100254/3.525762132336202E-72/0.17980119824539764/0.29644206004455764/","2/5/","no"
"3","101335900","598/10317/25963/203/10317/3989/","0.1260577107983029/2.5694701965210257E-22/1.2622923152623369E-55/0.8739422815898842/2.5694701965210257E-22/7.611812847751207E-9/","3/","no"
"4","98866400","81915/1830/265/525508/302/1830/","2.6183026363132076E-134/0.0014848409294498024/0.5331305320920016/0.0/0.463899786049099/0.0014848409294498024/","2/4/","no"
"5","103096200","428/3171/274/148646/509/50/","5.962913618989004E-4/2.6135321934782412E-27/0.012213989486337253/0.0/1.2181385681269906E-4/0.987067905294951/","5/","no"
"0","103079200","60/207616/207616/4773/1317511/207616/","1.0/0.0/0.0/2.788762864716725E-34/0.0/0.0/","0/","no"
"1","104371700","141/60/146/40251/40251/115/","0.13839358609490165/0.522158170875059/0.12750231046775326/3.7557368686286765E-287/3.7557368686286765E-287/0.2119459325622861/","1/","no"
"2","100324200","68/952/60/6209/83/50/","0.2305065612108511/6.837735104897748E-9/0.2696546516291898/1.170896003844507E-53/0.17177091166255956/0.3280678686596645/","2/5/","no"
"3","99329600","1535/1551/25963/157/1551/103/","6.566645516589686E-7/5.63026760166133E-7/6.43059601644152E-109/0.3730314581422617/5.63026760166133E-7/0.6269667591396664/","5/","no"
"4","101667500","81915/1830/4157/525508/302/1830/","1.0405928798753795E-117/0.0063726839257776885/2.9444086867396445E-6/0.0/0.9872516877397579/0.0063726839257776885/","4/","no"
"5","101570000","163/3171/120/148646/214/60/","0.11275757401902296/4.329562949659158E-23/0.22818533789549816/0.0/0.04887053104429728/0.6101865570411815/","5/","no"
"0","100740700","83/81670/80624/4773/645/80624/","0.9987588514894431/0.0/0.0/5.640947637021404E-25/0.0012411485105569896/0.0/","0/","no"
"1","98563900","141/54/151/40251/40251/121/","0.12290908658399564/0.5978041132269658/0.10247580959736143/2.346723E-318/2.346723E-318/0.17681099059167718/","1/","no"
"2","105953700","68/375/50/6209/83/348/","0.314961235538243/7.655518951698557E-4/0.448267766048222/1.5998974177586083E-53/0.2347055905158475/0.0012998560025175938/","2/","no"
"3","98589600","4028/10317/25963/50/10317/592/","1.333582487671314E-34/3.720054996683364E-88/2.1667797841682094E-221/0.9999757592442984/3.720054996683364E-88/2.4240755701572484E-5/","3/","no"
"4","99963300","494/12354/4616/525508/302/713/","0.29674404858532394/2.973477613497394E-18/3.6665455578606984E-7/0.0/0.559214625167422/0.14404095959269816/","4/","no"
"5","101904300","1104/22425/1035/148646/1302/292/","0.05332141634200946/1.331056195583474E-33/0.0674801134258416/1.0843592337271245E-220/0.027128101325957138/0.8520703689061918/","5/","no"
"0","103175400","50/31563/30903/4773/597/30903/","0.9999780229575259/4.4522396148122785E-269/1.8572059231049417E-263/6.038307142349135E-41/2.197704247406144E-5/1.8572059231049417E-263/","0/","no"
"1","100284200","15712/50/146/15809/15809/141/","3.2239993244757904E-134/0.7574932667618568/0.11531433038938227/4.8126454560687315E-135/4.8126454560687315E-135/0.12719240284876093/","1/","no"
"2","98844500","1535/1535/79/25963/25963/1535/","1.2469252319304205E-8/1.2469252319304205E-8/0.9999999625922431/3.04803790799307E-141/3.04803790799307E-141/1.2469252319304205E-8/","2/","no"
"3","104957700","1535/1551/25963/50/1551/535/","2.2611759985124045E-13/1.6522855992777641E-13/2.1666717127020866E-221/0.9999258839190907/1.6522855992777641E-13/7.411608035274462E-5/","3/","no"
"4","101865700","108/3410/1281/373066/292/3123/","0.8439555236195744/5.888244097579924E-14/1.7892599384479903E-5/0.0/0.15602658378016276/8.193984334515927E-13/","0/","no"
"5","102547200","430/22425/403/148646/509/68/","0.005190108057781566/1.8877420050007284E-141/0.0076756951692452495/0.0/0.0016517362065958097/0.9854824605663773/","5/","no"
"0","100680100","68/80868/81670/31982/1317511/81670/","1.0/0.0/0.0/1.3469793424857783E-201/0.0/0.0/","0/","no"
"1","99064000","15712/50/146/15809/15809/141/","3.2239993244757904E-134/0.7574932667618568/0.11531433038938227/4.8126454560687315E-135/4.8126454560687315E-135/0.12719240284876093/","1/","no"
"2","100077000","1535/1535/54/25963/25963/1535/","2.0213151999884612E-12/2.0213151999884612E-12/0.9999999999939361/2.604437682465056E-205/2.604437682465056E-205/2.0213151999884612E-12/","2/","no"
"3","100581800","592/598/25963/50/598/195/","2.2905711305961226E-5/2.0363401034496306E-5/2.047445748423198E-221/0.9449027223488515/2.0363401034496306E-5/0.05503364513777358/","3/","no"
"4","102043700","494/12354/4616/525508/302/713/","0.29674404858532394/2.973477613497394E-18/3.6665455578606984E-7/0.0/0.559214625167422/0.14404095959269816/","4/","no"
"5","104536800","455/3328/322/148646/509/79/","0.008566865777207522/2.168809371723675E-18/0.04516859052701371/0.0/0.004361874714948289/0.9419026689808304/","5/","no"
"0","102109200","79/80624/80868/1317511/583/80868/","0.9981670610575072/0.0/0.0/0.0/0.0018329389424928042/0.0/","0/","no"
"1","100571700","6089/50/137/6128/6128/127/","2.6760910455979595E-52/0.7129792473430637/0.12948563663060841/1.2456422773969836E-52/1.2456422773969836E-52/0.157535116026328/","1/","no"
"2","101317500","565/3989/50/25963/598/502/","4.115177603633202E-5/2.8645027878885217E-34/0.9997957648292243/2.1663897664540396E-221/2.154638951743009E-5/1.415370052218967E-4/","2/","no"
"3","99502500","3989/4028/25963/79/4028/1484/","5.940967638907097E-22/3.648703949760424E-22/3.048037950114222E-141/0.9999999764113465/3.648703949760424E-22/2.3588653519770458E-8/","3/","no"
"4","100558500","31982/1830/4329/525508/302/1830/","3.863717636600402E-46/0.006372692053281557/1.6690465264684037E-6/0.0/0.9872529468469105/0.006372692053281557/","4/","no"
"5","99156400","22942/509/373066/8674/148646/320/","1.5922392070766216E-31/0.35691366953146725/0.0/3.2047135031703692E-12/1.3544033630719445E-201/0.6430863304653281/","5/","no"
"0","102172000","54/12187/11833/1317511/535/11833/","0.9998408420919255/1.5651939669470446E-96/9.768893523932397E-94/0.0/1.5915790807454603E-4/9.768893523932397E-94/","0/","no"
"1","99053300","6089/50/137/6128/6128/127/","2.6760910455979595E-52/0.7129792473430637/0.12948563663060841/1.2456422773969836E-52/1.2456422773969836E-52/0.157535116026328/","1/","no"
"2","100040400","1535/1535/54/25963/25963/1535/","2.0213151999884612E-12/2.0213151999884612E-12/0.9999999999939361/2.604437682465056E-205/2.604437682465056E-205/2.0213151999884612E-12/","2/","no"
"3","102154300","3989/4028/25963/79/4028/1484/","5.940967638907097E-22/3.648703949760424E-22/3.048037950114222E-141/0.9999999764113465/3.648703949760424E-22/2.3588653519770458E-8/","3/","no"
"4","101442000","31982/1830/4027/525508/302/1830/","3.863706613663334E-46/0.006372673872402398/4.521977228695539E-6/0.0/0.9872501302779666/0.006372673872402398/","4/","no"
"5","101604600","1104/22425/1035/148646/1302/292/","0.05332141634200946/1.331056195583474E-33/0.0674801134258416/1.0843592337271245E-220/0.027128101325957138/0.8520703689061918/","5/","no"
"0","102397200","60/207616/207616/1317511/1317511/207616/","1.0/0.0/0.0/0.0/0.0/0.0/","0/","no"
"1","101584000","141/54/151/40251/40251/121/","0.12290908658399564/0.5978041132269658/0.10247580959736143/2.346723E-318/2.346723E-318/0.17681099059167718/","1/","no"
"2","100248100","1535/1535/50/25963/25963/1535/","2.2613436004361244E-13/2.2613436004361244E-13/0.9999999999993215/2.1668323098194083E-221/2.1668323098194083E-221/2.2613436004361244E-13/","2/","no"
"3","97921900","1551/10317/25963/54/10317/3989/","1.5111021688949347E-12/9.133761703875664E-82/2.604437682476914E-205/0.9999999999984889/9.133761703875664E-82/8.476252503354863E-32/","3/","no"
"4","100818800","31982/1830/3960/525508/312/1830/","1.1230958322390913E-44/0.007708846503082853/8.542143945563965E-6/0.0/0.9845737648498888/0.007708846503082853/","4/","no"
"5","101751400","182/3328/158/148646/214/79/","0.15051412344915835/1.2558759763329864E-18/0.2031728152024282/0.0/0.1008926341594537/0.5454204271889598/","5/","no"
"0","101003000","54/11962/11283/1317511/1317511/11283/","1.0/9.360445872852436E-95/2.1520845118489635E-89/0.0/0.0/2.1520845118489635E-89/","0/","yes"
