"Real_Goal","Time","Cost","Prob","Results","Relearn Flag"
"0","116005400","123/64/159/159/159/50/64/952/159/159/159/64/952/2474/952/952/2474/","0.056540939582323535/0.1797968702843404/0.027912723301747006/0.027912723301747006/0.027912723301747006/0.2365920900295469/0.1797968702843404/4.931156611421794E-9/0.027912723301747006/0.027912723301747006/0.027912723301747006/0.1797968702843404/4.931156611421794E-9/5.398075608927278E-22/4.931156611421794E-9/4.931156611421794E-9/5.398075608927278E-22/","5/","no"
"1","129376500","6128/269/6128/150/5922/78/269/5922/15712/15712/15712/6128/101165/5922/40251/40251/6089/","3.48356084929879E-34/0.056400277708857915/3.48356084929879E-34/0.25437338221448574/4.725932268152867E-33/0.6328260623677984/0.056400277708857915/4.725932268152867E-33/7.16071069897335E-87/7.16071069897335E-87/7.16071069897335E-87/3.48356084929879E-34/0.0/4.725932268152867E-33/9.001071495623613E-222/9.001071495623613E-222/5.7071848967790625E-34/","5/","no"
"2","122089100","3989/1468/97/97/25963/97/102/10317/10317/10317/97/25963/25963/10317/10317/10317/3989/","1.142028235402252E-18/1.6969959648447763E-7/0.202009586626792/0.202009586626792/4.766704344212131E-116/0.202009586626792/0.19196148379323555/1.034336199531973E-46/1.034336199531973E-46/1.034336199531973E-46/0.202009586626792/4.766704344212131E-116/4.766704344212131E-116/1.034336199531973E-46/1.034336199531973E-46/1.034336199531973E-46/1.142028235402252E-18/","2/3/5/6/10/","no"
"3","117399300","348/348/123/68/6209/123/134/2474/2474/78/68/348/6209/952/2474/2474/78/","0.003410752841891971/0.003410752841891971/0.08892582603345421/0.1973352494401273/4.395373440608132E-40/0.08892582603345421/0.07582153210648739/1.4175712893997966E-16/1.4175712893997966E-16/0.1707117599514742/0.1973352494401273/0.003410752841891971/4.395373440608132E-40/5.3851772482463E-7/1.4175712893997966E-16/1.4175712893997966E-16/0.1707117599514742/","3/9/10/16/","no"
"4","122071600","868/868/868/121/101165/78/806/150/40251/2178/78/868/6128/6128/2194/40251/150/","1.3414251257324365E-5/1.3414251257324365E-5/1.3414251257324365E-5/0.17144432734820436/0.0/0.2954685464823981/2.9403914009582582E-5/0.11876775938321422/4.202629552969223E-222/8.432850381626187E-13/0.2954685464823981/1.3414251257324365E-5/1.626485889146397E-34/1.626485889146397E-34/6.886776977017767E-13/4.202629552969223E-222/0.11876775938321422/","5/10/","no"
"5","118477900","502/239/241/168/241/25963/1535/10317/3989/1468/10317/203/25963/10317/10317/10317/239/","0.030358360623895516/0.14392394076824214/0.14223073758063612/0.21907262900330174/0.14223073758063612/1.129430102083185E-67/6.72489359904383E-5/1.818825763737986E-27/3.322164746253301E-11/9.996807657732786E-5/1.818825763737986E-27/0.17809243662925683/1.129430102083185E-67/1.818825763737986E-27/1.818825763737986E-27/1.818825763737986E-27/0.14392394076824214/","3/11/","no"
"6","118448700","3989/502/3989/157/3989/157/502/10317/3989/3989/3989/1468/25963/10317/10317/10317/10317/","1.3168932107326089E-11/0.050613323071351864/1.3168932107326089E-11/0.4493307022401738/1.3168932107326089E-11/0.4493307022401738/0.050613323071351864/5.318408458870048E-29/1.3168932107326089E-11/1.3168932107326089E-11/1.3168932107326089E-11/1.1194929793525094E-4/5.243643807500544E-72/5.318408458870048E-29/5.318408458870048E-29/5.318408458870048E-29/5.318408458870048E-29/","3/5/","no"
"7","119196400","109/561/109/561/561/109/55/55/50/1366/109/561/95/227/227/227/561/","0.0686852550277582/9.723491178412486E-6/0.0686852550277582/9.723491178412486E-6/9.723491178412486E-6/0.0686852550277582/0.19801802802622595/0.19801802802622595/0.21841508082284306/1.3576313965662001E-12/0.0686852550277582/9.723491178412486E-6/0.09038192942697235/0.006792432043150106/0.006792432043150106/0.006792432043150106/9.723491178412486E-6/","6/7/8/19/","no"
"8","112614700","561/1366/561/1366/1366/561/227/227/227/1366/561/1366/1366/1366/1366/1366/561/","0.054809386151681454/0.0016050576983144614/0.054809386151681454/0.0016050576983144614/0.0016050576983144614/0.054809386151681454/0.23716918331892098/0.23716918331892098/0.23716918331892098/0.0016050576983144614/0.054809386151681454/0.0016050576983144614/0.0016050576983144614/0.0016050576983144614/0.0016050576983144614/0.0016050576983144614/0.054809386151681454/","6/7/8/19/","no"
"9","120260900","3989/1468/97/97/25963/97/102/10317/10317/10317/97/25963/25963/10317/10317/10317/3989/","1.142028235402252E-18/1.6969959648447763E-7/0.202009586626792/0.202009586626792/4.766704344212131E-116/0.202009586626792/0.19196148379323555/1.034336199531973E-46/1.034336199531973E-46/1.034336199531973E-46/0.202009586626792/4.766704344212131E-116/4.766704344212131E-116/1.034336199531973E-46/1.034336199531973E-46/1.034336199531973E-46/1.142028235402252E-18/","2/3/5/6/10/","no"
